,godotengine/godot,MonoGame/MonoGame,4ian/GDevelop
2017-09-07,20,2,4
2017-09-08,10,2,0
2017-09-09,17,2,2
2017-09-10,12,0,0
2017-09-11,33,3,3
2017-09-12,78,3,2
2017-09-13,43,0,0
2017-09-14,31,6,0
2017-09-15,17,2,0
2017-09-16,25,1,6
2017-09-17,93,0,0
2017-09-18,15,0,0
2017-09-19,32,2,4
2017-09-20,22,0,2
2017-09-21,24,4,0
2017-09-22,26,0,0
2017-09-23,20,0,2
2017-09-24,39,2,5
2017-09-25,43,4,0
2017-09-26,23,0,2
2017-09-27,13,3,1
2017-09-28,14,0,0
2017-09-29,15,3,0
2017-09-30,17,0,2
2017-10-01,21,0,9
2017-10-02,50,0,0
2017-10-03,24,1,0
2017-10-04,22,2,2
2017-10-05,13,2,0
2017-10-06,22,0,0
2017-10-07,30,0,3
2017-10-08,18,0,7
2017-10-09,47,0,2
2017-10-10,20,0,0
2017-10-11,28,0,0
2017-10-12,17,2,3
2017-10-13,28,4,0
2017-10-14,29,0,1
2017-10-15,33,8,8
2017-10-16,17,0,0
2017-10-17,18,0,1
2017-10-18,11,0,1
2017-10-19,12,0,0
2017-10-20,40,0,0
2017-10-21,37,0,3
2017-10-22,47,0,14
2017-10-23,34,0,0
2017-10-24,19,0,4
2017-10-25,13,0,0
2017-10-26,12,1,2
2017-10-27,19,0,0
2017-10-28,13,0,3
2017-10-29,26,0,0
2017-10-30,28,2,0
2017-10-31,29,0,2
2017-11-01,17,0,3
2017-11-02,8,1,6
2017-11-03,11,0,1
2017-11-04,16,0,0
2017-11-05,16,0,5
2017-11-06,15,0,2
2017-11-07,12,0,3
2017-11-08,20,1,4
2017-11-09,28,1,2
2017-11-10,36,1,0
2017-11-11,14,1,3
2017-11-12,29,0,6
2017-11-13,43,0,0
2017-11-14,17,1,2
2017-11-15,18,1,2
2017-11-16,28,1,1
2017-11-17,22,0,0
2017-11-18,14,0,2
2017-11-19,64,0,9
2017-11-20,71,0,1
2017-11-21,39,3,2
2017-11-22,22,1,1
2017-11-23,13,4,0
2017-11-24,34,2,3
2017-11-25,26,0,0
2017-11-26,44,2,1
2017-11-27,17,2,5
2017-11-28,15,2,1
2017-11-29,18,0,0
2017-11-30,14,0,0
2017-12-01,17,1,0
2017-12-02,6,0,0
2017-12-03,10,1,3
2017-12-04,23,1,2
2017-12-05,25,0,2
2017-12-06,56,0,4
2017-12-07,35,0,0
2017-12-08,22,0,0
2017-12-09,66,0,6
2017-12-10,50,0,2
2017-12-11,24,0,1
2017-12-12,13,1,2
2017-12-13,18,1,0
2017-12-14,25,1,0
2017-12-15,46,0,3
2017-12-16,46,0,10
2017-12-17,56,0,3
2017-12-18,19,0,0
2017-12-19,26,0,1
2017-12-20,24,0,3
2017-12-21,17,0,0
2017-12-22,15,0,1
2017-12-23,15,0,9
2017-12-24,14,1,13
2017-12-25,26,0,5
2017-12-26,24,0,3
2017-12-27,25,0,0
2017-12-28,11,0,0
2017-12-29,12,1,0
2017-12-30,8,0,0
2017-12-31,16,0,0
2018-01-01,18,0,0
2018-01-02,10,0,0
2018-01-03,49,0,0
2018-01-04,57,0,3
2018-01-05,30,1,1
2018-01-06,39,0,2
2018-01-07,32,0,1
2018-01-08,40,0,0
2018-01-09,21,0,19
2018-01-10,25,2,2
2018-01-11,36,0,0
2018-01-12,37,2,0
2018-01-13,34,0,2
2018-01-14,17,0,1
2018-01-15,19,1,0
2018-01-16,12,0,5
2018-01-17,8,0,5
2018-01-18,41,0,5
2018-01-19,17,0,0
2018-01-20,17,2,8
2018-01-21,14,0,3
2018-01-22,19,0,6
2018-01-23,7,0,0
2018-01-24,22,0,1
2018-01-25,16,0,0
2018-01-26,10,0,0
2018-01-27,12,1,5
2018-01-28,3,1,1
2018-01-29,5,0,1
2018-01-30,21,6,2
2018-01-31,18,0,0
2018-02-01,21,0,0
2018-02-02,10,0,0
2018-02-03,11,0,8
2018-02-04,6,0,2
2018-02-05,12,0,1
2018-02-06,4,0,1
2018-02-07,7,0,0
2018-02-08,2,1,0
2018-02-09,4,0,0
2018-02-10,2,0,2
2018-02-11,4,0,6
2018-02-12,11,4,0
2018-02-13,29,0,2
2018-02-14,59,4,0
2018-02-15,15,0,2
2018-02-16,17,5,0
2018-02-17,22,0,9
2018-02-18,14,0,4
2018-02-19,54,0,0
2018-02-20,26,1,1
2018-02-21,30,38,0
2018-02-22,27,0,0
2018-02-23,12,9,3
2018-02-24,25,2,4
2018-02-25,12,0,14
2018-02-26,7,2,0
2018-02-27,18,0,9
2018-02-28,10,0,1
2018-03-01,25,3,0
2018-03-02,28,0,0
2018-03-03,20,7,0
2018-03-04,12,1,0
2018-03-05,9,0,0
2018-03-06,17,5,0
2018-03-07,11,1,0
2018-03-08,4,1,0
2018-03-09,10,1,0
2018-03-10,12,1,6
2018-03-11,8,2,5
2018-03-12,2,0,1
2018-03-13,68,0,0
2018-03-14,11,1,0
2018-03-15,30,2,1
2018-03-16,11,0,0
2018-03-17,7,0,2
2018-03-18,12,4,0
2018-03-19,12,5,0
2018-03-20,12,0,0
2018-03-21,13,0,0
2018-03-22,6,4,0
2018-03-23,21,2,0
2018-03-24,8,0,0
2018-03-25,2,0,2
2018-03-26,8,0,0
2018-03-27,11,3,0
2018-03-28,14,1,0
2018-03-29,9,0,5
2018-03-30,16,2,9
2018-03-31,2,0,6
2018-04-01,3,0,4
2018-04-02,6,0,3
2018-04-03,38,0,6
2018-04-04,24,0,8
2018-04-05,9,0,1
2018-04-06,12,0,0
2018-04-07,19,1,0
2018-04-08,27,0,6
2018-04-09,23,0,1
2018-04-10,23,0,3
2018-04-11,11,0,0
2018-04-12,22,0,0
2018-04-13,10,0,12
2018-04-14,3,0,1
2018-04-15,9,2,3
2018-04-16,17,0,1
2018-04-17,7,0,0
2018-04-18,23,0,0
2018-04-19,11,0,0
2018-04-20,7,0,1
2018-04-21,6,0,0
2018-04-22,7,0,0
2018-04-23,7,0,10
2018-04-24,8,0,15
2018-04-25,5,1,4
2018-04-26,6,0,5
2018-04-27,9,0,4
2018-04-28,13,0,2
2018-04-29,14,0,0
2018-04-30,26,0,3
2018-05-01,29,0,0
2018-05-02,22,0,6
2018-05-03,21,0,0
2018-05-04,17,0,5
2018-05-05,17,0,2
2018-05-06,6,2,0
2018-05-07,57,0,0
2018-05-08,42,1,0
2018-05-09,21,1,2
2018-05-10,23,0,0
2018-05-11,25,0,1
2018-05-12,17,1,0
2018-05-13,18,2,0
2018-05-14,14,1,0
2018-05-15,20,2,0
2018-05-16,44,1,0
2018-05-17,26,0,0
2018-05-18,18,0,0
2018-05-19,6,0,0
2018-05-20,5,0,0
2018-05-21,13,0,2
2018-05-22,5,0,2
2018-05-23,17,0,4
2018-05-24,8,0,2
2018-05-25,21,0,9
2018-05-26,23,0,4
2018-05-27,12,0,14
2018-05-28,17,0,5
2018-05-29,15,0,5
2018-05-30,17,0,0
2018-05-31,10,1,0
2018-06-01,6,0,0
2018-06-02,0,0,0
2018-06-03,6,0,0
2018-06-04,1,0,1
2018-06-05,19,1,0
2018-06-06,9,6,0
2018-06-07,23,0,0
2018-06-08,16,0,0
2018-06-09,7,0,1
2018-06-10,6,1,4
2018-06-11,8,1,8
2018-06-12,7,0,4
2018-06-13,23,1,1
2018-06-14,5,0,2
2018-06-15,18,0,0
2018-06-16,3,0,7
2018-06-17,1,0,5
2018-06-18,23,3,2
2018-06-19,6,0,0
2018-06-20,7,0,2
2018-06-21,7,0,1
2018-06-22,9,0,0
2018-06-23,4,0,15
2018-06-24,4,1,1
2018-06-25,19,0,4
2018-06-26,13,0,0
2018-06-27,10,0,1
2018-06-28,7,3,4
2018-06-29,5,0,1
2018-06-30,6,1,0
2018-07-01,17,0,1
2018-07-02,10,8,0
2018-07-03,47,8,3
2018-07-04,35,0,4
2018-07-05,11,0,1
2018-07-06,2,0,2
2018-07-07,4,0,0
2018-07-08,6,1,2
2018-07-09,7,0,1
2018-07-10,19,0,1
2018-07-11,5,0,7
2018-07-12,12,0,1
2018-07-13,4,3,0
2018-07-14,5,0,0
2018-07-15,5,0,0
2018-07-16,13,1,3
2018-07-17,38,2,0
2018-07-18,29,0,1
2018-07-19,9,0,2
2018-07-20,16,2,6
2018-07-21,19,1,1
2018-07-22,20,1,0
2018-07-23,20,0,2
2018-07-24,36,1,0
2018-07-25,52,0,3
2018-07-26,32,2,0
2018-07-27,43,0,0
2018-07-28,20,3,1
2018-07-29,18,0,0
2018-07-30,12,0,1
2018-07-31,8,4,1
2018-08-01,2,0,1
2018-08-02,7,4,3
2018-08-03,3,0,0
2018-08-04,16,2,0
2018-08-05,10,0,1
2018-08-06,8,0,0
2018-08-07,12,0,3
2018-08-08,13,0,0
2018-08-09,12,0,4
2018-08-10,20,0,1
2018-08-11,14,0,0
2018-08-12,9,0,0
2018-08-13,36,0,7
2018-08-14,67,0,1
2018-08-15,20,0,0
2018-08-16,32,0,5
2018-08-17,14,0,10
2018-08-18,22,0,3
2018-08-19,20,1,5
2018-08-20,38,0,1
2018-08-21,38,0,3
2018-08-22,26,0,4
2018-08-23,51,0,3
2018-08-24,49,3,3
2018-08-25,15,0,8
2018-08-26,17,0,10
2018-08-27,51,0,13
2018-08-28,21,0,1
2018-08-29,34,0,9
2018-08-30,16,0,4
2018-08-31,10,0,2
2018-09-01,21,0,1
2018-09-02,9,0,0
2018-09-03,8,0,6
2018-09-04,8,0,5
2018-09-05,15,0,2
2018-09-06,9,1,2
2018-09-07,14,0,0
2018-09-08,14,0,1
2018-09-09,10,0,14
2018-09-10,47,0,4
2018-09-11,15,0,4
2018-09-12,46,0,2
2018-09-13,38,0,2
2018-09-14,39,0,1
2018-09-15,24,0,0
2018-09-16,12,0,6
2018-09-17,24,0,0
2018-09-18,10,0,11
2018-09-19,31,0,2
2018-09-20,46,0,1
2018-09-21,20,0,0
2018-09-22,21,1,2
2018-09-23,25,4,2
2018-09-24,13,1,0
2018-09-25,17,0,0
2018-09-26,8,0,0
2018-09-27,18,1,1
2018-09-28,34,0,3
2018-09-29,23,4,0
2018-09-30,26,3,1
2018-10-01,26,8,0
2018-10-02,68,4,3
2018-10-03,40,4,1
2018-10-04,32,13,0
2018-10-05,35,8,1
2018-10-06,21,2,0
2018-10-07,39,14,0
2018-10-08,10,4,28
2018-10-09,9,2,3
2018-10-10,2,0,0
2018-10-11,20,1,1
2018-10-12,4,2,0
2018-10-13,8,0,4
2018-10-14,10,1,0
2018-10-15,10,0,3
2018-10-16,20,0,1
2018-10-17,11,0,2
2018-10-18,13,0,9
2018-10-19,12,0,1
2018-10-20,8,0,4
2018-10-21,12,0,10
2018-10-22,8,0,4
2018-10-23,12,0,0
2018-10-24,30,0,0
2018-10-25,41,0,0
2018-10-26,11,0,0
2018-10-27,3,0,0
2018-10-28,11,2,8
2018-10-29,31,0,0
2018-10-30,13,0,0
2018-10-31,8,0,5
2018-11-01,34,1,0
2018-11-02,22,1,0
2018-11-03,10,0,1
2018-11-04,14,2,0
2018-11-05,22,2,4
2018-11-06,16,0,0
2018-11-07,7,2,0
2018-11-08,16,2,1
2018-11-09,14,0,0
2018-11-10,27,0,0
2018-11-11,6,0,2
2018-11-12,22,1,1
2018-11-13,12,5,5
2018-11-14,13,13,2
2018-11-15,12,0,1
2018-11-16,26,5,0
2018-11-17,8,2,2
2018-11-18,24,0,0
2018-11-19,21,2,4
2018-11-20,34,2,0
2018-11-21,16,1,2
2018-11-22,30,0,0
2018-11-23,13,0,1
2018-11-24,7,0,0
2018-11-25,10,2,6
2018-11-26,25,4,0
2018-11-27,13,0,0
2018-11-28,31,0,5
2018-11-29,3,0,0
2018-11-30,11,0,1
2018-12-01,7,0,1
2018-12-02,14,0,0
2018-12-03,14,0,0
2018-12-04,19,0,0
2018-12-05,7,0,1
2018-12-06,20,0,0
2018-12-07,22,1,0
2018-12-08,8,12,0
2018-12-09,12,9,0
2018-12-10,9,6,5
2018-12-11,24,0,3
2018-12-12,18,0,0
2018-12-13,21,0,0
2018-12-14,31,1,0
2018-12-15,10,2,0
2018-12-16,16,6,7
2018-12-17,15,0,2
2018-12-18,25,0,3
2018-12-19,8,0,1
2018-12-20,23,0,4
2018-12-21,20,0,2
2018-12-22,3,0,6
2018-12-23,7,0,1
2018-12-24,4,0,5
2018-12-25,3,0,3
2018-12-26,1,0,8
2018-12-27,22,0,9
2018-12-28,3,0,0
2018-12-29,5,0,3
2018-12-30,17,0,3
2018-12-31,4,0,0
2019-01-01,10,0,0
2019-01-02,7,1,0
2019-01-03,20,0,6
2019-01-04,20,3,0
2019-01-05,9,3,9
2019-01-06,8,6,5
2019-01-07,21,3,0
2019-01-08,8,0,0
2019-01-09,17,0,1
2019-01-10,14,0,4
2019-01-11,22,0,5
2019-01-12,0,0,2
2019-01-13,6,0,3
2019-01-14,19,0,7
2019-01-15,17,0,0
2019-01-16,25,0,0
2019-01-17,20,9,2
2019-01-18,26,0,1
2019-01-19,14,1,2
2019-01-20,10,2,2
2019-01-21,28,0,1
2019-01-22,27,0,1
2019-01-23,31,7,6
2019-01-24,22,1,2
2019-01-25,26,0,0
2019-01-26,22,0,0
2019-01-27,34,0,1
2019-01-28,25,0,30
2019-01-29,8,1,0
2019-01-30,8,0,4
2019-01-31,11,0,0
2019-02-01,12,0,0
2019-02-02,0,0,0
2019-02-03,11,0,3
2019-02-04,5,0,5
2019-02-05,4,0,4
2019-02-06,10,1,7
2019-02-07,4,1,0
2019-02-08,34,1,2
2019-02-09,18,0,18
2019-02-10,30,1,4
2019-02-11,9,0,0
2019-02-12,43,1,1
2019-02-13,18,0,0
2019-02-14,14,0,0
2019-02-15,12,0,0
2019-02-16,42,2,5
2019-02-17,9,4,3
2019-02-18,27,0,1
2019-02-19,21,2,2
2019-02-20,50,0,0
2019-02-21,29,1,0
2019-02-22,26,2,2
2019-02-23,26,1,4
2019-02-24,21,0,1
2019-02-25,24,0,0
2019-02-26,23,0,0
2019-02-27,37,0,0
2019-02-28,21,0,5
2019-03-01,34,0,0
2019-03-02,19,0,8
2019-03-03,30,0,1
2019-03-04,61,0,0
2019-03-05,56,2,1
2019-03-06,37,0,0
2019-03-07,30,0,9
2019-03-08,17,0,0
2019-03-09,21,0,2
2019-03-10,8,0,2
2019-03-11,26,0,7
2019-03-12,19,0,0
2019-03-13,10,0,0
2019-03-14,5,0,1
2019-03-15,2,0,0
2019-03-16,29,0,2
2019-03-17,11,0,7
2019-03-18,6,1,1
2019-03-19,9,2,0
2019-03-20,10,1,0
2019-03-21,1,0,0
2019-03-22,4,0,0
2019-03-23,5,3,0
2019-03-24,3,0,0
2019-03-25,3,0,0
2019-03-26,6,0,3
2019-03-27,20,0,0
2019-03-28,5,0,0
2019-03-29,6,0,0
2019-03-30,0,0,0
2019-03-31,6,0,0
2019-04-01,21,0,4
2019-04-02,9,0,2
2019-04-03,18,0,2
2019-04-04,16,1,1
2019-04-05,53,0,0
2019-04-06,36,0,0
2019-04-07,34,0,6
2019-04-08,36,0,0
2019-04-09,25,2,1
2019-04-10,15,0,1
2019-04-11,24,0,0
2019-04-12,15,0,0
2019-04-13,6,1,16
2019-04-14,5,1,1
2019-04-15,27,0,2
2019-04-16,20,0,1
2019-04-17,11,0,3
2019-04-18,15,0,1
2019-04-19,19,0,1
2019-04-20,16,0,5
2019-04-21,23,0,5
2019-04-22,26,0,4
2019-04-23,51,0,15
2019-04-24,23,0,4
2019-04-25,49,0,1
2019-04-26,15,0,7
2019-04-27,15,0,0
2019-04-28,2,1,0
2019-04-29,31,0,5
2019-04-30,63,0,0
2019-05-01,33,0,2
2019-05-02,28,0,1
2019-05-03,20,0,1
2019-05-04,2,0,0
2019-05-05,11,0,0
2019-05-06,14,0,4
2019-05-07,5,0,5
2019-05-08,17,0,2
2019-05-09,7,0,1
2019-05-10,4,0,7
2019-05-11,12,1,0
2019-05-12,5,0,1
2019-05-13,16,0,0
2019-05-14,12,0,0
2019-05-15,13,0,2
2019-05-16,20,0,1
2019-05-17,17,0,6
2019-05-18,11,0,6
2019-05-19,8,0,5
2019-05-20,30,2,4
2019-05-21,33,4,3
2019-05-22,17,3,2
2019-05-23,20,0,5
2019-05-24,43,0,1
2019-05-25,13,1,0
2019-05-26,17,1,0
2019-05-27,27,0,3
2019-05-28,48,2,8
2019-05-29,29,0,2
2019-05-30,32,0,3
2019-05-31,22,0,2
2019-06-01,17,0,3
2019-06-02,8,0,4
2019-06-03,35,0,0
2019-06-04,30,0,1
2019-06-05,8,0,2
2019-06-06,7,0,2
2019-06-07,8,0,0
2019-06-08,8,0,4
2019-06-09,8,0,3
2019-06-10,11,0,0
2019-06-11,34,2,0
2019-06-12,48,0,0
2019-06-13,19,0,0
2019-06-14,24,0,0
2019-06-15,25,0,3
2019-06-16,13,0,16
2019-06-17,23,0,1
2019-06-18,24,0,0
2019-06-19,38,5,5
2019-06-20,21,3,3
2019-06-21,14,1,2
2019-06-22,2,1,8
2019-06-23,12,35,8
2019-06-24,28,4,3
2019-06-25,20,7,1
2019-06-26,23,8,0
2019-06-27,26,9,3
2019-06-28,19,8,1
2019-06-29,32,6,0
2019-06-30,21,0,6
2019-07-01,35,2,7
2019-07-02,32,0,5
2019-07-03,27,0,0
2019-07-04,26,1,5
2019-07-05,33,1,2
2019-07-06,27,0,0
2019-07-07,10,0,0
2019-07-08,31,0,0
2019-07-09,39,0,1
2019-07-10,29,0,0
2019-07-11,27,1,1
2019-07-12,14,0,0
2019-07-13,3,0,0
2019-07-14,7,1,0
2019-07-15,33,0,0
2019-07-16,19,1,0
2019-07-17,21,5,1
2019-07-18,12,1,0
2019-07-19,23,4,0
2019-07-20,23,0,0
2019-07-21,5,0,0
2019-07-22,30,0,0
2019-07-23,11,1,2
2019-07-24,13,0,0
2019-07-25,30,0,0
2019-07-26,13,0,0
2019-07-27,14,2,6
2019-07-28,9,0,9
2019-07-29,41,0,16
2019-07-30,18,0,6
2019-07-31,13,0,0
2019-08-01,15,0,5
2019-08-02,12,0,0
2019-08-03,8,0,4
2019-08-04,7,0,14
2019-08-05,23,1,0
2019-08-06,16,0,0
2019-08-07,28,0,0
2019-08-08,32,1,0
2019-08-09,31,16,0
2019-08-10,8,2,0
2019-08-11,15,13,1
2019-08-12,38,2,2
2019-08-13,26,4,9
2019-08-14,18,0,3
2019-08-15,19,0,3
2019-08-16,3,0,3
2019-08-17,23,2,0
2019-08-18,20,0,0
2019-08-19,13,0,1
2019-08-20,18,0,1
2019-08-21,40,4,6
2019-08-22,30,3,0
2019-08-23,24,0,5
2019-08-24,10,0,0
2019-08-25,23,2,2
2019-08-26,25,0,0
2019-08-27,37,0,4
2019-08-28,27,0,0
2019-08-29,32,0,1
2019-08-30,33,0,0
2019-08-31,13,0,0
2019-09-01,33,0,0
2019-09-02,33,0,2
2019-09-03,40,0,0
2019-09-04,36,0,0
2019-09-05,11,0,1
2019-09-06,12,0,4
2019-09-07,11,0,0
2019-09-08,4,0,3
2019-09-09,3,0,2
2019-09-10,2,0,2
2019-09-11,8,2,1
2019-09-12,1,0,0
2019-09-13,7,0,0
2019-09-14,7,0,0
2019-09-15,4,0,22
2019-09-16,3,0,0
2019-09-17,8,0,4
2019-09-18,5,0,1
2019-09-19,30,0,2
2019-09-20,34,0,4
2019-09-21,8,0,0
2019-09-22,17,0,2
2019-09-23,49,0,0
2019-09-24,37,0,1
2019-09-25,38,0,0
2019-09-26,31,0,8
2019-09-27,23,0,0
2019-09-28,19,0,0
2019-09-29,8,0,1
2019-09-30,14,0,0
2019-10-01,28,0,1
2019-10-02,31,0,0
2019-10-03,31,2,23
2019-10-04,26,2,0
2019-10-05,14,1,8
2019-10-06,20,3,3
2019-10-07,25,0,5
2019-10-08,31,0,1
2019-10-09,23,0,1
2019-10-10,22,0,0
2019-10-11,31,0,0
2019-10-12,13,8,0
2019-10-13,11,0,4
2019-10-14,12,0,0
2019-10-15,12,3,1
2019-10-16,9,0,6
2019-10-17,4,0,1
2019-10-18,5,0,1
2019-10-19,5,0,9
2019-10-20,5,0,0
2019-10-21,21,2,1
2019-10-22,42,0,1
2019-10-23,24,0,2
2019-10-24,32,1,3
2019-10-25,37,2,1
2019-10-26,19,0,12
2019-10-27,14,7,2
2019-10-28,14,0,1
2019-10-29,17,1,2
2019-10-30,14,3,0
2019-10-31,23,0,0
2019-11-01,27,0,0
2019-11-02,26,4,0
2019-11-03,12,0,1
2019-11-04,16,0,0
2019-11-05,9,3,1
2019-11-06,12,0,1
2019-11-07,25,8,2
2019-11-08,30,3,0
2019-11-09,23,2,0
2019-11-10,17,0,2
2019-11-11,24,4,0
2019-11-12,31,1,1
2019-11-13,12,0,0
2019-11-14,12,0,22
2019-11-15,10,2,4
2019-11-16,8,0,3
2019-11-17,8,0,3
2019-11-18,15,0,0
2019-11-19,16,1,0
2019-11-20,18,0,8
2019-11-21,21,0,3
2019-11-22,11,0,0
2019-11-23,5,0,0
2019-11-24,5,0,2
2019-11-25,24,2,4
2019-11-26,17,3,0
2019-11-27,23,9,0
2019-11-28,10,1,2
2019-11-29,13,0,3
2019-11-30,16,0,0
2019-12-01,20,0,5
2019-12-02,7,0,2
2019-12-03,26,0,1
2019-12-04,17,0,1
2019-12-05,15,1,2
2019-12-06,21,0,8
2019-12-07,6,0,9
2019-12-08,3,1,2
2019-12-09,15,0,4
2019-12-10,17,7,4
2019-12-11,27,0,0
2019-12-12,25,0,1
2019-12-13,33,0,0
2019-12-14,17,0,0
2019-12-15,11,4,5
2019-12-16,22,0,1
2019-12-17,26,0,4
2019-12-18,15,0,0
2019-12-19,12,0,0
2019-12-20,11,0,0
2019-12-21,18,0,4
2019-12-22,20,0,1
2019-12-23,7,0,2
2019-12-24,8,0,4
2019-12-25,3,0,6
2019-12-26,7,0,9
2019-12-27,1,0,15
2019-12-28,9,0,0
2019-12-29,9,0,1
2019-12-30,45,1,0
2019-12-31,9,0,0
2020-01-01,15,0,0
2020-01-02,36,0,5
2020-01-03,37,0,3
2020-01-04,12,0,0
2020-01-05,17,0,2
2020-01-06,25,0,6
2020-01-07,19,0,3
2020-01-08,46,0,0
2020-01-09,26,3,0
2020-01-10,57,1,2
2020-01-11,10,0,0
2020-01-12,10,4,5
2020-01-13,39,0,5
2020-01-14,44,2,2
2020-01-15,24,0,2
2020-01-16,57,0,4
2020-01-17,15,0,1
2020-01-18,19,10,1
2020-01-19,34,1,3
2020-01-20,28,0,2
2020-01-21,21,4,0
2020-01-22,32,0,0
2020-01-23,37,0,0
2020-01-24,25,0,0
2020-01-25,11,1,1
2020-01-26,30,0,3
2020-01-27,25,0,6
2020-01-28,24,0,2
2020-01-29,10,0,0
2020-01-30,5,0,2
2020-01-31,40,0,0
2020-02-01,17,0,4
2020-02-02,3,0,2
2020-02-03,13,4,0
2020-02-04,4,0,0
2020-02-05,27,0,6
2020-02-06,20,0,0
2020-02-07,22,0,1
2020-02-08,21,0,5
2020-02-09,23,0,4
2020-02-10,48,1,2
2020-02-11,148,3,5
2020-02-12,30,1,1
2020-02-13,34,6,0
2020-02-14,33,0,4
2020-02-15,17,6,0
2020-02-16,12,5,1
2020-02-17,16,2,4
2020-02-18,21,0,3
2020-02-19,24,8,2
2020-02-20,12,2,0
2020-02-21,17,0,0
2020-02-22,28,0,8
2020-02-23,25,0,5
2020-02-24,10,0,1
2020-02-25,22,0,7
2020-02-26,32,2,0
2020-02-27,41,0,1
2020-02-28,34,0,0
2020-02-29,17,1,2
2020-03-01,11,0,3
2020-03-02,11,6,4
2020-03-03,9,0,4
2020-03-04,33,1,3
2020-03-05,26,1,2
2020-03-06,18,2,0
2020-03-07,10,0,0
2020-03-08,18,0,3
2020-03-09,32,0,2
2020-03-10,18,0,2
2020-03-11,16,0,1
2020-03-12,8,2,1
2020-03-13,9,0,0
2020-03-14,10,0,5
2020-03-15,1,1,1
2020-03-16,10,0,2
2020-03-17,19,0,3
2020-03-18,32,0,6
2020-03-19,15,2,3
2020-03-20,17,3,1
2020-03-21,6,0,1
2020-03-22,7,0,6
2020-03-23,6,2,1
2020-03-24,16,3,2
2020-03-25,13,6,3
2020-03-26,30,1,0
2020-03-27,19,11,0
2020-03-28,14,0,1
2020-03-29,3,1,2
2020-03-30,23,0,2
2020-03-31,17,3,2
2020-04-01,15,0,3
2020-04-02,21,1,0
2020-04-03,15,0,0
2020-04-04,18,0,3
2020-04-05,10,2,8
2020-04-06,19,0,0
2020-04-07,21,2,1
2020-04-08,15,0,3
2020-04-09,12,0,4
2020-04-10,40,6,6
2020-04-11,8,9,2
2020-04-12,11,0,4
2020-04-13,22,7,4
2020-04-14,19,0,5
2020-04-15,15,1,2
2020-04-16,13,4,4
2020-04-17,28,0,1
2020-04-18,6,0,15
2020-04-19,5,0,1
2020-04-20,24,0,3
2020-04-21,29,0,1
2020-04-22,18,3,2
2020-04-23,15,1,2
2020-04-24,16,4,3
2020-04-25,8,2,0
2020-04-26,11,0,1
2020-04-27,16,0,4
2020-04-28,21,0,0
2020-04-29,36,0,11
2020-04-30,29,0,3
2020-05-01,17,2,9
2020-05-02,6,0,3
2020-05-03,17,0,2
2020-05-04,11,0,4
2020-05-05,17,0,1
2020-05-06,16,0,0
2020-05-07,22,0,0
2020-05-08,16,0,7
2020-05-09,26,0,1
2020-05-10,33,1,10
2020-05-11,30,2,0
2020-05-12,22,0,0
2020-05-13,15,2,2
2020-05-14,16,1,5
2020-05-15,21,0,1
2020-05-16,27,1,5
