,microsoft/vscode,atom/atom,adobe/brackets
2016-03-10,35,21,0
2016-03-11,68,11,0
2016-03-12,4,5,0
2016-03-13,12,5,0
2016-03-14,21,14,0
2016-03-15,64,14,1
2016-03-16,56,4,0
2016-03-17,45,15,0
2016-03-18,37,21,0
2016-03-19,3,4,0
2016-03-20,1,1,0
2016-03-21,3,8,0
2016-03-22,14,12,2
2016-03-23,25,14,0
2016-03-24,55,6,0
2016-03-25,7,27,0
2016-03-26,0,2,0
2016-03-27,5,0,0
2016-03-28,1,21,0
2016-03-29,29,11,2
2016-03-30,38,26,2
2016-03-31,61,18,7
2016-04-01,34,11,4
2016-04-02,1,9,5
2016-04-03,3,1,0
2016-04-04,35,5,1
2016-04-05,36,26,0
2016-04-06,30,13,0
2016-04-07,47,19,0
2016-04-08,42,13,1
2016-04-09,1,8,0
2016-04-10,1,3,0
2016-04-11,41,15,1
2016-04-12,20,9,0
2016-04-13,44,7,0
2016-04-14,36,15,0
2016-04-15,19,18,1
2016-04-16,7,5,0
2016-04-17,2,1,1
2016-04-18,45,13,0
2016-04-19,65,5,2
2016-04-20,45,13,1
2016-04-21,92,11,0
2016-04-22,36,10,1
2016-04-23,10,1,0
2016-04-24,26,4,0
2016-04-25,50,29,0
2016-04-26,10,39,0
2016-04-27,28,16,3
2016-04-28,29,19,2
2016-04-29,35,15,1
2016-04-30,17,4,2
2016-05-01,2,5,4
2016-05-02,51,9,5
2016-05-03,29,11,1
2016-05-04,63,14,3
2016-05-05,3,7,2
2016-05-06,49,5,0
2016-05-07,0,4,0
2016-05-08,1,0,0
2016-05-09,15,0,0
2016-05-10,45,4,1
2016-05-11,47,3,3
2016-05-12,40,4,2
2016-05-13,51,4,10
2016-05-14,6,1,0
2016-05-15,4,2,2
2016-05-16,26,12,2
2016-05-17,40,12,3
2016-05-18,58,7,4
2016-05-19,61,10,9
2016-05-20,60,4,4
2016-05-21,17,2,3
2016-05-22,17,1,1
2016-05-23,58,21,9
2016-05-24,19,19,2
2016-05-25,53,22,1
2016-05-26,50,13,2
2016-05-27,37,5,1
2016-05-28,2,0,1
2016-05-29,0,0,3
2016-05-30,40,6,0
2016-05-31,33,0,2
2016-06-01,57,6,5
2016-06-02,86,2,0
2016-06-03,54,6,0
2016-06-04,5,2,1
2016-06-05,4,1,0
2016-06-06,50,5,0
2016-06-07,51,3,0
2016-06-08,51,11,1
2016-06-09,52,6,0
2016-06-10,29,6,0
2016-06-11,15,4,0
2016-06-12,7,0,0
2016-06-13,43,9,0
2016-06-14,85,16,2
2016-06-15,77,10,1
2016-06-16,71,3,0
2016-06-17,43,5,0
2016-06-18,1,7,0
2016-06-19,9,1,0
2016-06-20,47,5,0
2016-06-21,47,3,0
2016-06-22,42,3,0
2016-06-23,57,2,0
2016-06-24,69,3,0
2016-06-25,14,14,0
2016-06-26,19,0,0
2016-06-27,63,1,0
2016-06-28,19,6,0
2016-06-29,57,7,0
2016-06-30,51,10,0
2016-07-01,24,0,0
2016-07-02,10,18,2
2016-07-03,1,1,0
2016-07-04,30,4,0
2016-07-05,42,2,0
2016-07-06,52,8,0
2016-07-07,62,1,0
2016-07-08,38,6,1
2016-07-09,1,4,1
2016-07-10,5,0,0
2016-07-11,35,10,0
2016-07-12,47,16,0
2016-07-13,50,11,0
2016-07-14,49,11,0
2016-07-15,37,3,0
2016-07-16,8,3,0
2016-07-17,0,1,0
2016-07-18,20,4,0
2016-07-19,23,7,0
2016-07-20,33,10,0
2016-07-21,35,20,0
2016-07-22,29,15,0
2016-07-23,0,0,9
2016-07-24,1,2,6
2016-07-25,49,24,0
2016-07-26,25,14,4
2016-07-27,29,33,2
2016-07-28,19,35,2
2016-07-29,3,34,2
2016-07-30,2,1,1
2016-07-31,0,1,2
2016-08-01,0,12,2
2016-08-02,20,41,0
2016-08-03,41,19,1
2016-08-04,34,15,1
2016-08-05,16,21,0
2016-08-06,2,10,0
2016-08-07,0,4,0
2016-08-08,44,33,2
2016-08-09,59,25,0
2016-08-10,12,15,3
2016-08-11,7,45,0
2016-08-12,53,43,1
2016-08-13,0,8,1
2016-08-14,2,1,4
2016-08-15,28,22,2
2016-08-16,48,23,5
2016-08-17,65,20,5
2016-08-18,56,8,4
2016-08-19,35,19,0
2016-08-20,9,1,8
2016-08-21,4,0,4
2016-08-22,49,1,4
2016-08-23,92,17,0
2016-08-24,51,0,37
2016-08-25,55,14,9
2016-08-26,64,14,6
2016-08-27,6,2,3
2016-08-28,11,6,1
2016-08-29,86,21,7
2016-08-30,16,21,1
2016-08-31,75,5,1
2016-09-01,47,9,3
2016-09-02,19,4,0
2016-09-03,12,0,0
2016-09-04,4,0,1
2016-09-05,57,0,4
2016-09-06,40,4,2
2016-09-07,60,25,2
2016-09-08,43,11,0
2016-09-09,36,15,1
2016-09-10,13,2,5
2016-09-11,18,4,0
2016-09-12,53,13,0
2016-09-13,43,5,0
2016-09-14,42,7,4
2016-09-15,54,13,1
2016-09-16,33,8,1
2016-09-17,3,3,1
2016-09-18,4,0,0
2016-09-19,35,3,0
2016-09-20,56,16,0
2016-09-21,71,17,0
2016-09-22,58,26,1
2016-09-23,74,1,0
2016-09-24,3,4,0
2016-09-25,5,0,0
2016-09-26,70,3,0
2016-09-27,41,2,1
2016-09-28,75,1,2
2016-09-29,48,37,2
2016-09-30,12,3,0
2016-10-01,3,2,0
2016-10-02,1,0,0
2016-10-03,28,2,2
2016-10-04,41,3,0
2016-10-05,38,3,1
2016-10-06,35,12,0
2016-10-07,41,35,0
2016-10-08,22,5,0
2016-10-09,3,0,2
2016-10-10,23,29,0
2016-10-11,18,14,0
2016-10-12,14,18,0
2016-10-13,44,0,0
2016-10-14,55,33,0
2016-10-15,1,8,0
2016-10-16,7,4,1
2016-10-17,54,18,0
2016-10-18,58,4,1
2016-10-19,50,5,0
2016-10-20,76,2,0
2016-10-21,150,5,0
2016-10-22,9,1,0
2016-10-23,17,0,0
2016-10-24,91,2,0
2016-10-25,51,7,1
2016-10-26,61,8,3
2016-10-27,36,10,2
2016-10-28,43,8,2
2016-10-29,6,10,0
2016-10-30,5,7,2
2016-10-31,46,9,0
2016-11-01,60,15,5
2016-11-02,38,6,0
2016-11-03,63,7,0
2016-11-04,52,6,0
2016-11-05,5,2,0
2016-11-06,2,3,0
2016-11-07,53,6,0
2016-11-08,50,1,0
2016-11-09,54,1,0
2016-11-10,58,6,1
2016-11-11,60,17,1
2016-11-12,2,2,0
2016-11-13,0,1,0
2016-11-14,39,4,0
2016-11-15,44,10,0
2016-11-16,38,15,0
2016-11-17,45,7,1
2016-11-18,46,5,0
2016-11-19,4,2,0
2016-11-20,1,3,0
2016-11-21,45,15,0
2016-11-22,51,1,1
2016-11-23,63,9,1
2016-11-24,37,9,0
2016-11-25,37,0,0
2016-11-26,3,0,0
2016-11-27,8,10,3
2016-11-28,35,17,0
2016-11-29,72,6,1
2016-11-30,62,24,0
2016-12-01,54,13,0
2016-12-02,73,6,0
2016-12-03,21,0,0
2016-12-04,11,2,0
2016-12-05,94,8,0
2016-12-06,28,11,1
2016-12-07,87,5,1
2016-12-08,50,5,0
2016-12-09,28,8,0
2016-12-10,11,5,0
2016-12-11,3,1,0
2016-12-12,52,10,1
2016-12-13,48,12,1
2016-12-14,33,15,2
2016-12-15,16,12,0
2016-12-16,25,5,7
2016-12-17,11,2,2
2016-12-18,3,0,0
2016-12-19,39,0,1
2016-12-20,39,8,1
2016-12-21,42,2,0
2016-12-22,10,9,1
2016-12-23,26,4,1
2016-12-24,2,0,0
2016-12-25,0,0,0
2016-12-26,1,2,0
2016-12-27,17,1,0
2016-12-28,21,7,0
2016-12-29,18,3,0
2016-12-30,25,1,0
2016-12-31,13,11,0
2017-01-01,3,2,0
2017-01-02,5,7,0
2017-01-03,29,5,1
2017-01-04,41,9,0
2017-01-05,30,7,3
2017-01-06,39,5,0
2017-01-07,14,9,0
2017-01-08,6,1,3
2017-01-09,63,9,1
2017-01-10,47,12,0
2017-01-11,61,10,0
2017-01-12,63,10,0
2017-01-13,71,6,1
2017-01-14,11,4,0
2017-01-15,14,1,3
2017-01-16,67,0,1
2017-01-17,88,2,2
2017-01-18,58,15,0
2017-01-19,75,24,2
2017-01-20,119,12,1
2017-01-21,35,0,0
2017-01-22,6,0,0
2017-01-23,78,6,0
2017-01-24,48,7,0
2017-01-25,103,18,0
2017-01-26,58,5,0
2017-01-27,37,1,0
2017-01-28,1,1,0
2017-01-29,2,0,1
2017-01-30,27,0,0
2017-01-31,55,1,0
2017-02-01,36,3,0
2017-02-02,67,2,1
2017-02-03,34,2,0
2017-02-04,11,0,0
2017-02-05,6,1,0
2017-02-06,48,21,0
2017-02-07,34,10,0
2017-02-08,42,1,0
2017-02-09,43,4,1
2017-02-10,52,2,2
2017-02-11,7,3,0
2017-02-12,3,0,0
2017-02-13,22,17,1
2017-02-14,29,13,4
2017-02-15,59,13,3
2017-02-16,83,6,2
2017-02-17,60,5,0
2017-02-18,10,2,0
2017-02-19,6,0,3
2017-02-20,85,3,6
2017-02-21,94,3,0
2017-02-22,55,3,4
2017-02-23,71,13,4
2017-02-24,46,10,2
2017-02-25,1,0,9
2017-02-26,5,0,1
2017-02-27,24,10,4
2017-02-28,31,12,4
2017-03-01,67,2,4
2017-03-02,37,15,14
2017-03-03,51,23,13
2017-03-04,5,7,8
2017-03-05,7,1,3
2017-03-06,44,32,2
2017-03-07,64,16,11
2017-03-08,57,20,6
2017-03-09,42,7,4
2017-03-10,58,41,6
2017-03-11,6,5,3
2017-03-12,6,1,3
2017-03-13,35,3,8
2017-03-14,48,11,4
2017-03-15,41,3,7
2017-03-16,52,13,3
2017-03-17,77,19,1
2017-03-18,4,11,0
2017-03-19,10,0,0
2017-03-20,70,10,8
2017-03-21,78,5,4
2017-03-22,57,5,1
2017-03-23,76,19,1
2017-03-24,76,22,0
2017-03-25,19,1,0
2017-03-26,10,3,0
2017-03-27,82,5,1
2017-03-28,17,24,4
2017-03-29,74,3,8
2017-03-30,66,8,1
2017-03-31,31,7,0
2017-04-01,3,1,0
2017-04-02,1,2,5
2017-04-03,39,9,1
2017-04-04,38,17,3
2017-04-05,49,24,3
2017-04-06,23,36,3
2017-04-07,17,13,5
2017-04-08,1,5,0
2017-04-09,3,1,5
2017-04-10,49,5,6
2017-04-11,56,18,5
2017-04-12,42,16,3
2017-04-13,42,7,8
2017-04-14,29,3,0
2017-04-15,1,5,1
2017-04-16,0,0,5
2017-04-17,7,10,1
2017-04-18,54,18,0
2017-04-19,48,13,0
2017-04-20,24,12,1
2017-04-21,41,2,1
2017-04-22,8,0,0
2017-04-23,3,0,0
2017-04-24,50,1,9
2017-04-25,99,4,1
2017-04-26,34,3,4
2017-04-27,82,3,4
2017-04-28,40,2,4
2017-04-29,2,0,0
2017-04-30,2,3,0
2017-05-01,9,1,0
2017-05-02,30,4,0
2017-05-03,32,46,5
2017-05-04,38,3,4
2017-05-05,52,308,1
2017-05-06,4,1,0
2017-05-07,1,2,0
2017-05-08,46,12,0
2017-05-09,58,12,1
2017-05-10,65,27,1
2017-05-11,34,31,0
2017-05-12,66,12,0
2017-05-13,5,1,0
2017-05-14,3,3,0
2017-05-15,46,18,0
2017-05-16,52,15,0
2017-05-17,48,20,0
2017-05-18,99,7,0
2017-05-19,65,13,0
2017-05-20,16,2,0
2017-05-21,12,1,0
2017-05-22,83,7,1
2017-05-23,53,10,0
2017-05-24,86,22,1
2017-05-25,55,11,0
2017-05-26,148,1,0
2017-05-27,1,1,0
2017-05-28,1,0,0
2017-05-29,68,0,0
2017-05-30,32,8,0
2017-05-31,102,14,0
2017-06-01,76,39,0
2017-06-02,33,10,0
2017-06-03,1,4,0
2017-06-04,2,0,0
2017-06-05,14,6,0
2017-06-06,46,12,0
2017-06-07,65,17,0
2017-06-08,20,8,1
2017-06-09,48,5,0
2017-06-10,1,1,0
2017-06-11,3,0,0
2017-06-12,42,7,1
2017-06-13,50,7,3
2017-06-14,66,3,1
2017-06-15,69,12,4
2017-06-16,89,10,1
2017-06-17,15,0,1
2017-06-18,9,0,3
2017-06-19,102,5,5
2017-06-20,81,2,1
2017-06-21,74,0,1
2017-06-22,62,2,0
2017-06-23,65,0,4
2017-06-24,9,2,0
2017-06-25,13,0,0
2017-06-26,131,6,0
2017-06-27,41,5,6
2017-06-28,96,1,5
2017-06-29,59,2,2
2017-06-30,45,6,1
2017-07-01,1,0,0
2017-07-02,0,0,0
2017-07-03,38,2,7
2017-07-04,16,2,5
2017-07-05,27,5,0
2017-07-06,51,2,0
2017-07-07,42,4,1
2017-07-08,2,0,3
2017-07-09,1,0,0
2017-07-10,50,6,0
2017-07-11,50,1,0
2017-07-12,69,11,0
2017-07-13,52,29,3
2017-07-14,39,7,1
2017-07-15,10,0,0
2017-07-16,5,2,0
2017-07-17,80,10,0
2017-07-18,80,8,0
2017-07-19,64,7,0
2017-07-20,90,3,0
2017-07-21,51,8,0
2017-07-22,6,0,0
2017-07-23,13,1,0
2017-07-24,45,2,0
2017-07-25,67,0,0
2017-07-26,71,0,0
2017-07-27,35,1,0
2017-07-28,48,1,1
2017-07-29,10,0,0
2017-07-30,23,0,0
2017-07-31,31,8,0
2017-08-01,20,86,0
2017-08-02,26,18,1
2017-08-03,31,26,1
2017-08-04,13,14,0
2017-08-05,2,2,2
2017-08-06,1,4,0
2017-08-07,9,13,0
2017-08-08,24,11,1
2017-08-09,38,15,0
2017-08-10,24,8,0
2017-08-11,42,7,0
2017-08-12,13,15,0
2017-08-13,5,3,1
2017-08-14,33,8,0
2017-08-15,58,17,0
2017-08-16,50,21,0
2017-08-17,39,18,0
2017-08-18,50,15,0
2017-08-19,10,4,0
2017-08-20,11,5,0
2017-08-21,47,12,0
2017-08-22,46,14,2
2017-08-23,41,18,0
2017-08-24,39,9,1
2017-08-25,50,4,0
2017-08-26,19,5,0
2017-08-27,5,0,0
2017-08-28,96,14,1
2017-08-29,35,19,2
2017-08-30,72,14,1
2017-08-31,44,11,2
2017-09-01,29,6,0
2017-09-02,3,2,0
2017-09-03,11,0,0
2017-09-04,66,3,1
2017-09-05,34,11,0
2017-09-06,55,11,1
2017-09-07,62,13,2
2017-09-08,85,9,0
2017-09-09,11,15,0
2017-09-10,12,36,0
2017-09-11,36,5,0
2017-09-12,56,37,5
2017-09-13,55,4,0
2017-09-14,45,12,0
2017-09-15,62,8,1
2017-09-16,5,7,0
2017-09-17,12,5,0
2017-09-18,63,7,1
2017-09-19,80,33,3
2017-09-20,67,26,3
2017-09-21,70,22,0
2017-09-22,69,9,1
2017-09-23,7,8,0
2017-09-24,8,3,1
2017-09-25,90,9,0
2017-09-26,74,0,3
2017-09-27,88,19,0
2017-09-28,50,11,0
2017-09-29,25,9,0
2017-09-30,1,4,0
2017-10-01,1,5,0
2017-10-02,52,4,0
2017-10-03,45,15,0
2017-10-04,65,0,0
2017-10-05,44,19,0
2017-10-06,30,9,0
2017-10-07,4,4,0
2017-10-08,3,1,2
2017-10-09,21,4,0
2017-10-10,67,3,0
2017-10-11,49,6,0
2017-10-12,49,0,0
2017-10-13,62,4,0
2017-10-14,5,4,0
2017-10-15,2,10,0
2017-10-16,56,7,0
2017-10-17,39,15,0
2017-10-18,66,9,0
2017-10-19,43,19,0
2017-10-20,76,8,0
2017-10-21,14,7,0
2017-10-22,6,1,0
2017-10-23,42,31,0
2017-10-24,75,14,0
2017-10-25,67,33,1
2017-10-26,51,17,0
2017-10-27,74,5,0
2017-10-28,12,3,0
2017-10-29,16,4,0
2017-10-30,77,8,0
2017-10-31,38,19,0
2017-11-01,74,25,0
2017-11-02,40,32,0
2017-11-03,20,14,0
2017-11-04,4,2,0
2017-11-05,5,1,0
2017-11-06,67,17,0
2017-11-07,63,11,0
2017-11-08,85,7,3
2017-11-09,55,8,2
2017-11-10,67,1,2
2017-11-11,14,2,0
2017-11-12,7,3,0
2017-11-13,51,13,1
2017-11-14,88,9,0
2017-11-15,64,19,0
2017-11-16,53,9,3
2017-11-17,64,21,9
2017-11-18,5,6,0
2017-11-19,9,7,0
2017-11-20,65,16,1
2017-11-21,50,18,3
2017-11-22,42,7,0
2017-11-23,34,3,0
2017-11-24,43,0,0
2017-11-25,7,0,0
2017-11-26,1,0,0
2017-11-27,67,5,0
2017-11-28,29,6,4
2017-11-29,46,16,1
2017-11-30,83,8,0
2017-12-01,57,5,0
2017-12-02,9,1,0
2017-12-03,5,0,0
2017-12-04,92,24,0
2017-12-05,50,8,1
2017-12-06,69,7,3
2017-12-07,51,26,6
2017-12-08,19,11,2
2017-12-09,12,7,0
2017-12-10,6,12,0
2017-12-11,74,4,2
2017-12-12,82,0,0
