,kong/kong,haproxy/haproxy,traefik/traefik
2016-02-27,0,4.0,0
2016-02-28,0,0.0,0
2016-02-29,1,0.0,2
2016-03-01,0,0.0,2
2016-03-02,3,0.0,2
2016-03-03,1,0.0,1
2016-03-04,0,0.0,3
2016-03-05,0,0.0,5
2016-03-06,0,0.0,0
2016-03-07,2,1.0,0
2016-03-08,2,4.0,3
2016-03-09,55,0.0,4
2016-03-10,9,6.0,0
2016-03-11,5,51.0,0
2016-03-12,0,0.0,0
2016-03-13,0,7.0,0
2016-03-14,4,0.0,4
2016-03-15,1,1.0,1
2016-03-16,4,0.0,1
2016-03-17,0,4.0,0
2016-03-18,0,0.0,0
2016-03-19,0,1.0,0
2016-03-20,0,0.0,0
2016-03-21,5,0.0,6
2016-03-22,4,0.0,0
2016-03-23,9,0.0,4
2016-03-24,1,3.0,0
2016-03-25,2,1.0,2
2016-03-26,0,0.0,0
2016-03-27,0,0.0,2
2016-03-28,0,0.0,2
2016-03-29,0,2.0,2
2016-03-30,1,32.0,1
2016-03-31,0,1.0,5
2016-04-01,4,0.0,5
2016-04-02,0,0.0,3
2016-04-03,0,3.0,0
2016-04-04,1,0.0,1
2016-04-05,1,5.0,8
2016-04-06,3,2.0,10
2016-04-07,2,2.0,7
2016-04-08,3,0.0,2
2016-04-09,4,1.0,0
2016-04-10,2,0.0,0
2016-04-11,4,1.0,0
2016-04-12,0,6.0,2
2016-04-13,2,1.0,13
2016-04-14,9,3.0,4
2016-04-15,0,1.0,3
2016-04-16,0,0.0,4
2016-04-17,0,0.0,0
2016-04-18,0,0.0,1
2016-04-19,5,0.0,8
2016-04-20,1,2.0,4
2016-04-21,0,7.0,1
2016-04-22,0,0.0,8
2016-04-23,0,0.0,0
2016-04-24,0,0.0,0
2016-04-25,2,3.0,2
2016-04-26,7,0.0,2
2016-04-27,6,1.0,11
2016-04-28,1,0.0,4
2016-04-29,0,4.0,0
2016-04-30,0,0.0,0
2016-05-01,0,0.0,0
2016-05-02,0,3.0,2
2016-05-03,0,1.0,6
2016-05-04,0,2.0,0
2016-05-05,0,0.0,4
2016-05-06,1,4.0,1
2016-05-07,0,0.0,3
2016-05-08,0,0.0,0
2016-05-09,0,2.0,2
2016-05-10,3,3.0,1
2016-05-11,0,0.0,0
2016-05-12,2,0.0,6
2016-05-13,3,2.0,2
2016-05-14,0,1.0,0
2016-05-15,0,0.0,5
2016-05-16,0,0.0,0
2016-05-17,0,2.0,3
2016-05-18,1,4.0,4
2016-05-19,1,6.0,4
2016-05-20,1,0.0,1
2016-05-21,0,0.0,0
2016-05-22,0,0.0,0
2016-05-23,1,0.0,8
2016-05-24,13,0.0,4
2016-05-25,3,4.0,2
2016-05-26,13,3.0,5
2016-05-27,52,0.0,17
2016-05-28,2,0.0,2
2016-05-29,0,0.0,0
2016-05-30,1,0.0,9
2016-05-31,11,2.0,2
2016-06-01,3,5.0,9
2016-06-02,1,0.0,5
2016-06-03,0,0.0,3
2016-06-04,0,0.0,1
2016-06-05,0,0.0,0
2016-06-06,3,0.0,2
2016-06-07,1,3.0,13
2016-06-08,3,3.0,1
2016-06-09,2,0.0,2
2016-06-10,8,0.0,0
2016-06-11,0,0.0,3
2016-06-12,0,1.0,1
2016-06-13,5,1.0,0
2016-06-14,4,2.0,0
2016-06-15,7,0.0,0
2016-06-16,3,3.0,2
2016-06-17,1,1.0,0
2016-06-18,1,0.0,5
2016-06-19,0,0.0,0
2016-06-20,0,7.0,4
2016-06-21,1,8.0,0
2016-06-22,4,1.0,5
2016-06-23,6,0.0,10
2016-06-24,9,3.0,0
2016-06-25,0,0.0,0
2016-06-26,0,1.0,0
2016-06-27,5,1.0,0
2016-06-28,4,2.0,0
2016-06-29,1,2.0,0
2016-06-30,4,1.0,0
2016-07-01,5,0.0,0
2016-07-02,0,0.0,0
2016-07-03,0,0.0,0
2016-07-04,3,0.0,1
2016-07-05,3,2.0,18
2016-07-06,2,0.0,0
2016-07-07,7,0.0,0
2016-07-08,9,0.0,0
2016-07-09,1,0.0,0
2016-07-10,0,0.0,0
2016-07-11,10,0.0,2
2016-07-12,21,1.0,1
2016-07-13,8,2.0,6
2016-07-14,2,2.0,5
2016-07-15,3,0.0,2
2016-07-16,0,0.0,0
2016-07-17,0,0.0,1
2016-07-18,2,0.0,5
2016-07-19,7,0.0,5
2016-07-20,9,0.0,4
2016-07-21,1,0.0,16
2016-07-22,1,0.0,2
2016-07-23,2,0.0,0
2016-07-24,0,0.0,0
2016-07-25,0,0.0,0
2016-07-26,0,5.0,0
2016-07-27,3,1.0,2
2016-07-28,10,0.0,7
2016-07-29,7,0.0,0
2016-07-30,4,0.0,0
2016-07-31,0,0.0,3
2016-08-01,7,0.0,1
2016-08-02,5,2.0,0
2016-08-03,1,0.0,2
2016-08-04,4,0.0,0
2016-08-05,4,0.0,7
2016-08-06,4,0.0,1
2016-08-07,0,3.0,1
2016-08-08,12,2.0,1
2016-08-09,6,8.0,0
2016-08-10,2,10.0,0
2016-08-11,8,0.0,1
2016-08-12,4,0.0,0
2016-08-13,0,0.0,0
2016-08-14,0,6.0,0
2016-08-15,1,0.0,3
2016-08-16,3,0.0,8
2016-08-17,4,0.0,1
2016-08-18,2,0.0,2
2016-08-19,4,0.0,6
2016-08-20,2,0.0,0
2016-08-21,0,0.0,0
2016-08-22,2,0.0,3
2016-08-23,6,3.0,0
2016-08-24,0,1.0,1
2016-08-25,2,0.0,2
2016-08-26,0,0.0,1
2016-08-27,0,0.0,0
2016-08-28,0,0.0,0
2016-08-29,5,1.0,0
2016-08-30,5,5.0,1
2016-08-31,0,0.0,0
2016-09-01,5,0.0,0
2016-09-02,14,0.0,0
2016-09-03,0,0.0,0
2016-09-04,0,0.0,0
2016-09-05,5,0.0,0
2016-09-06,3,1.0,0
2016-09-07,0,0.0,0
2016-09-08,13,0.0,0
2016-09-09,0,0.0,0
2016-09-10,0,0.0,0
2016-09-11,0,5.0,0
2016-09-12,0,10.0,1
2016-09-13,4,5.0,3
2016-09-14,10,0.0,5
2016-09-15,9,0.0,3
2016-09-16,15,0.0,0
2016-09-17,1,0.0,0
2016-09-18,0,0.0,0
2016-09-19,7,0.0,8
2016-09-20,3,0.0,9
2016-09-21,5,0.0,7
2016-09-22,0,0.0,0
2016-09-23,1,1.0,4
2016-09-24,3,0.0,0
2016-09-25,0,0.0,0
2016-09-26,0,0.0,0
2016-09-27,0,0.0,9
2016-09-28,4,0.0,4
2016-09-29,3,0.0,1
2016-09-30,0,0.0,22
2016-10-01,0,2.0,1
2016-10-02,0,0.0,2
2016-10-03,2,1.0,3
2016-10-04,1,0.0,0
2016-10-05,0,0.0,0
2016-10-06,2,0.0,5
2016-10-07,1,0.0,4
2016-10-08,5,0.0,0
2016-10-09,0,0.0,0
2016-10-10,2,0.0,1
2016-10-11,0,0.0,0
2016-10-12,3,0.0,2
2016-10-13,1,0.0,2
2016-10-14,0,0.0,0
2016-10-15,0,0.0,0
2016-10-16,0,0.0,0
2016-10-17,7,1.0,6
2016-10-18,2,0.0,0
2016-10-19,0,1.0,3
2016-10-20,0,1.0,0
2016-10-21,1,11.0,0
2016-10-22,3,0.0,0
2016-10-23,0,0.0,0
2016-10-24,1,4.0,1
2016-10-25,2,14.0,3
2016-10-26,0,3.0,10
2016-10-27,2,0.0,0
2016-10-28,10,0.0,3
2016-10-29,0,0.0,0
2016-10-30,0,0.0,1
2016-10-31,0,4.0,0
2016-11-01,2,0.0,0
2016-11-02,0,0.0,3
2016-11-03,5,1.0,3
2016-11-04,2,0.0,0
2016-11-05,1,7.0,1
2016-11-06,0,0.0,0
2016-11-07,4,4.0,1
2016-11-08,8,5.0,2
2016-11-09,0,38.0,6
2016-11-10,2,0.0,8
2016-11-11,1,3.0,2
2016-11-12,0,9.0,1
2016-11-13,0,0.0,3
2016-11-14,0,8.0,7
2016-11-15,0,0.0,1
2016-11-16,1,1.0,18
2016-11-17,1,1.0,9
2016-11-18,1,7.0,0
2016-11-19,2,0.0,0
2016-11-20,0,0.0,3
2016-11-21,4,7.0,0
2016-11-22,1,2.0,1
2016-11-23,0,0.0,3
2016-11-24,0,54.0,2
2016-11-25,2,16.0,0
2016-11-26,0,2.0,0
2016-11-27,0,0.0,0
2016-11-28,1,0.0,3
2016-11-29,8,6.0,5
2016-11-30,6,0.0,5
2016-12-01,1,0.0,1
2016-12-02,1,0.0,0
2016-12-03,1,0.0,0
2016-12-04,0,1.0,0
2016-12-05,0,6.0,1
2016-12-06,2,0.0,2
2016-12-07,0,0.0,4
2016-12-08,0,0.0,5
2016-12-09,0,0.0,0
2016-12-10,0,0.0,0
2016-12-11,0,0.0,0
2016-12-12,0,20.0,0
2016-12-13,0,0.0,0
2016-12-14,0,7.0,1
2016-12-15,0,4.0,0
2016-12-16,0,18.0,1
2016-12-17,0,2.0,1
2016-12-18,0,0.0,0
2016-12-19,2,0.0,5
2016-12-20,2,0.0,4
2016-12-21,9,37.0,1
2016-12-22,7,22.0,2
2016-12-23,3,4.0,0
2016-12-24,0,0.0,0
2016-12-25,0,0.0,0
2016-12-26,0,1.0,0
2016-12-27,0,0.0,0
2016-12-28,4,1.0,0
2016-12-29,0,0.0,0
2016-12-30,0,0.0,4
2016-12-31,0,0.0,0
2017-01-01,0,0.0,1
2017-01-02,0,2.0,0
2017-01-03,0,0.0,0
2017-01-04,1,0.0,1
2017-01-05,2,6.0,1
2017-01-06,0,9.0,3
2017-01-07,0,0.0,0
2017-01-08,0,0.0,0
2017-01-09,0,0.0,1
2017-01-10,1,0.0,0
2017-01-11,0,8.0,0
2017-01-12,49,2.0,2
2017-01-13,0,3.0,0
2017-01-14,0,0.0,0
2017-01-15,0,0.0,0
2017-01-16,0,5.0,2
2017-01-17,2,0.0,1
2017-01-18,6,0.0,0
2017-01-19,7,4.0,0
2017-01-20,2,0.0,1
2017-01-21,0,0.0,0
2017-01-22,0,0.0,0
2017-01-23,1,0.0,2
2017-01-24,5,0.0,5
2017-01-25,0,3.0,0
2017-01-26,6,0.0,2
2017-01-27,0,0.0,0
2017-01-28,0,0.0,0
2017-01-29,0,0.0,0
2017-01-30,0,1.0,1
2017-01-31,2,0.0,1
2017-02-01,1,0.0,0
2017-02-02,4,0.0,11
2017-02-03,8,2.0,18
2017-02-04,0,0.0,8
2017-02-05,0,0.0,9
2017-02-06,0,0.0,28
2017-02-07,3,0.0,1
2017-02-08,4,5.0,1
2017-02-09,1,0.0,0
2017-02-10,1,1.0,3
2017-02-11,6,0.0,0
2017-02-12,0,0.0,0
2017-02-13,2,1.0,0
2017-02-14,4,0.0,4
2017-02-15,3,0.0,1
2017-02-16,0,0.0,1
2017-02-17,0,0.0,0
2017-02-18,1,0.0,1
2017-02-19,0,0.0,0
2017-02-20,3,0.0,1
2017-02-21,11,0.0,5
2017-02-22,3,0.0,2
2017-02-23,0,1.0,0
2017-02-24,2,0.0,0
2017-02-25,0,0.0,1
2017-02-26,0,0.0,0
2017-02-27,3,0.0,0
2017-02-28,4,2.0,1
2017-03-01,5,0.0,0
2017-03-02,0,2.0,7
2017-03-03,7,0.0,4
2017-03-04,3,0.0,0
2017-03-05,0,0.0,0
2017-03-06,5,4.0,17
2017-03-07,12,2.0,3
2017-03-08,6,2.0,1
2017-03-09,4,23.0,3
2017-03-10,6,2.0,3
2017-03-11,0,0.0,1
2017-03-12,0,0.0,0
2017-03-13,6,6.0,0
2017-03-14,2,6.0,2
2017-03-15,4,12.0,0
2017-03-16,9,0.0,1
2017-03-17,0,0.0,1
2017-03-18,0,0.0,0
2017-03-19,0,5.0,0
2017-03-20,0,3.0,0
2017-03-21,9,9.0,1
2017-03-22,1,0.0,3
2017-03-23,2,5.0,3
2017-03-24,6,1.0,5
2017-03-25,3,0.0,0
2017-03-26,0,0.0,0
2017-03-27,10,35.0,0
2017-03-28,8,0.0,0
2017-03-29,4,2.0,2
2017-03-30,3,1.0,0
2017-03-31,9,13.0,3
2017-04-01,0,0.0,1
2017-04-02,0,0.0,0
2017-04-03,8,1.0,7
2017-04-04,2,3.0,3
2017-04-05,5,2.0,0
2017-04-06,3,0.0,8
2017-04-07,10,0.0,6
2017-04-08,0,0.0,1
2017-04-09,0,0.0,0
2017-04-10,1,3.0,2
2017-04-11,3,3.0,26
2017-04-12,2,2.0,3
2017-04-13,2,12.0,0
2017-04-14,0,0.0,0
2017-04-15,10,1.0,0
2017-04-16,0,1.0,1
2017-04-17,1,0.0,10
2017-04-18,1,1.0,5
2017-04-19,1,3.0,5
2017-04-20,4,1.0,9
2017-04-21,9,7.0,1
2017-04-22,1,2.0,6
2017-04-23,0,0.0,1
2017-04-24,2,0.0,7
2017-04-25,16,0.0,13
2017-04-26,0,3.0,9
2017-04-27,0,5.0,2
2017-04-28,2,2.0,15
2017-04-29,10,0.0,1
2017-04-30,0,0.0,0
2017-05-01,4,0.0,10
2017-05-02,8,0.0,0
2017-05-03,1,2.0,31
2017-05-04,4,1.0,8
2017-05-05,1,0.0,5
2017-05-06,0,1.0,0
2017-05-07,0,0.0,0
2017-05-08,0,0.0,0
2017-05-09,2,0.0,2
2017-05-10,1,0.0,6
2017-05-11,2,0.0,8
2017-05-12,3,12.0,11
2017-05-13,1,0.0,0
2017-05-14,0,0.0,0
2017-05-15,2,0.0,11
2017-05-16,2,0.0,20
2017-05-17,4,0.0,7
2017-05-18,0,0.0,2
2017-05-19,3,0.0,6
2017-05-20,1,0.0,0
2017-05-21,0,0.0,0
2017-05-22,0,0.0,5
2017-05-23,1,0.0,4
2017-05-24,0,0.0,6
2017-05-25,17,0.0,0
2017-05-26,3,0.0,1
2017-05-27,0,7.0,0
2017-05-28,0,0.0,0
2017-05-29,0,0.0,0
2017-05-30,1,0.0,2
2017-05-31,6,0.0,4
2017-06-01,1,0.0,2
2017-06-02,3,32.0,3
2017-06-03,0,0.0,0
2017-06-04,0,0.0,0
2017-06-05,1,0.0,0
2017-06-06,1,0.0,3
2017-06-07,0,0.0,2
2017-06-08,3,7.0,0
2017-06-09,4,4.0,7
2017-06-10,0,0.0,0
2017-06-11,0,1.0,2
2017-06-12,4,0.0,16
2017-06-13,3,0.0,2
2017-06-14,2,5.0,5
2017-06-15,0,2.0,0
2017-06-16,16,3.0,5
2017-06-17,0,0.0,0
2017-06-18,0,0.0,0
2017-06-19,0,0.0,1
2017-06-20,6,4.0,4
2017-06-21,2,2.0,1
2017-06-22,6,0.0,0
2017-06-23,6,2.0,0
2017-06-24,1,0.0,2
2017-06-25,0,0.0,0
2017-06-26,0,0.0,4
2017-06-27,0,16.0,8
2017-06-28,0,0.0,0
2017-06-29,0,0.0,7
2017-06-30,1,5.0,3
2017-07-01,0,0.0,0
2017-07-02,0,0.0,0
2017-07-03,0,0.0,4
2017-07-04,0,2.0,1
2017-07-05,0,1.0,0
2017-07-06,2,4.0,5
2017-07-07,0,2.0,12
2017-07-08,1,0.0,2
2017-07-09,0,0.0,0
2017-07-10,3,0.0,5
2017-07-11,1,1.0,1
2017-07-12,1,0.0,1
2017-07-13,5,1.0,0
2017-07-14,0,0.0,0
2017-07-15,0,0.0,0
2017-07-16,0,0.0,0
2017-07-17,0,1.0,0
2017-07-18,5,13.0,2
2017-07-19,5,8.0,3
2017-07-20,10,2.0,5
2017-07-21,1,1.0,1
2017-07-22,2,0.0,0
2017-07-23,0,0.0,0
2017-07-24,3,9.0,2
2017-07-25,10,3.0,0
2017-07-26,7,1.0,0
2017-07-27,3,0.0,3
2017-07-28,0,9.0,0
2017-07-29,0,0.0,2
2017-07-30,1,0.0,0
2017-07-31,1,0.0,0
2017-08-01,0,0.0,3
2017-08-02,1,0.0,0
2017-08-03,3,1.0,1
2017-08-04,3,0.0,0
2017-08-05,0,0.0,0
2017-08-06,0,0.0,1
2017-08-07,3,0.0,0
2017-08-08,0,0.0,0
2017-08-09,0,8.0,1
2017-08-10,1,0.0,6
2017-08-11,2,1.0,2
2017-08-12,1,0.0,0
2017-08-13,0,0.0,1
2017-08-14,0,0.0,0
2017-08-15,0,0.0,0
2017-08-16,8,1.0,0
2017-08-17,1,3.0,1
2017-08-18,3,17.0,8
2017-08-19,2,0.0,0
2017-08-20,0,0.0,1
2017-08-21,0,0.0,7
2017-08-22,3,9.0,4
2017-08-23,6,6.0,3
2017-08-24,4,1.0,2
2017-08-25,0,0.0,15
2017-08-26,0,0.0,0
2017-08-27,0,0.0,0
2017-08-28,1,0.0,8
2017-08-29,0,0.0,2
2017-08-30,0,9.0,1
2017-08-31,2,0.0,0
2017-09-01,4,2.0,4
2017-09-02,0,0.0,0
2017-09-03,0,0.0,0
2017-09-04,1,0.0,0
2017-09-05,1,26.0,2
2017-09-06,0,1.0,5
2017-09-07,2,0.0,10
2017-09-08,3,0.0,8
2017-09-09,1,1.0,1
2017-09-10,0,0.0,0
2017-09-11,1,5.0,1
2017-09-12,0,0.0,3
2017-09-13,1,5.0,2
2017-09-14,0,1.0,2
2017-09-15,0,17.0,4
2017-09-16,0,0.0,1
2017-09-17,0,0.0,0
2017-09-18,0,2.0,7
2017-09-19,0,0.0,0
2017-09-20,0,4.0,4
2017-09-21,0,7.0,2
2017-09-22,1,0.0,4
2017-09-23,0,0.0,0
2017-09-24,0,0.0,0
2017-09-25,2,0.0,0
2017-09-26,0,0.0,2
2017-09-27,0,0.0,0
2017-09-28,1,0.0,0
2017-09-29,1,0.0,4
2017-09-30,0,0.0,0
2017-10-01,0,0.0,0
2017-10-02,0,0.0,7
2017-10-03,1,1.0,1
2017-10-04,2,18.0,0
2017-10-05,4,4.0,2
2017-10-06,1,1.0,3
2017-10-07,0,0.0,0
2017-10-08,0,2.0,0
2017-10-09,0,0.0,3
2017-10-10,0,0.0,8
2017-10-11,0,1.0,2
2017-10-12,1,0.0,5
2017-10-13,0,3.0,3
2017-10-14,0,0.0,0
2017-10-15,0,0.0,0
2017-10-16,1,1.0,7
2017-10-17,0,3.0,0
2017-10-18,0,3.0,0
2017-10-19,4,10.0,0
2017-10-20,0,0.0,2
2017-10-21,0,0.0,0
2017-10-22,0,24.0,1
2017-10-23,1,0.0,4
2017-10-24,3,7.0,4
2017-10-25,1,13.0,6
2017-10-26,9,0.0,0
2017-10-27,1,18.0,0
2017-10-28,0,0.0,0
2017-10-29,1,0.0,0
2017-10-30,2,1.0,9
2017-10-31,1,205.0,2
2017-11-01,2,5.0,1
2017-11-02,3,8.0,7
2017-11-03,1,7.0,3
2017-11-04,0,1.0,0
2017-11-05,0,16.0,1
2017-11-06,0,19.0,0
2017-11-07,0,16.0,1
2017-11-08,1,7.0,4
2017-11-09,0,4.0,8
2017-11-10,0,10.0,3
2017-11-11,0,3.0,0
2017-11-12,0,0.0,0
2017-11-13,1,8.0,1
2017-11-14,0,7.0,4
2017-11-15,0,11.0,2
2017-11-16,2,9.0,1
2017-11-17,3,1.0,3
2017-11-18,3,0.0,2
2017-11-19,1,1.0,0
2017-11-20,0,18.0,9
2017-11-21,0,12.0,6
2017-11-22,1,8.0,5
2017-11-23,0,10.0,5
2017-11-24,0,34.0,1
2017-11-25,0,0.0,1
2017-11-26,0,18.0,1
2017-11-27,2,1.0,6
2017-11-28,0,3.0,7
2017-11-29,3,8.0,1
2017-11-30,0,0.0,8
2017-12-01,1,3.0,3
2017-12-02,3,5.0,0
2017-12-03,1,19.0,0
2017-12-04,0,3.0,2
2017-12-05,3,0.0,16
2017-12-06,0,4.0,8
2017-12-07,0,4.0,0
2017-12-08,2,2.0,2
2017-12-09,2,0.0,1
2017-12-10,0,7.0,0
2017-12-11,2,0.0,0
2017-12-12,1,0.0,0
2017-12-13,6,0.0,5
2017-12-14,7,13.0,1
2017-12-15,24,1.0,6
2017-12-16,0,0.0,0
2017-12-17,0,0.0,0
2017-12-18,2,0.0,3
2017-12-19,0,1.0,4
2017-12-20,2,16.0,17
2017-12-21,0,1.0,7
2017-12-22,0,13.0,0
2017-12-23,0,1.0,0
2017-12-24,0,0.0,0
2017-12-25,0,0.0,0
2017-12-26,0,0.0,10
2017-12-27,0,3.0,2
2017-12-28,0,0.0,0
2017-12-29,0,4.0,0
2017-12-30,0,6.0,0
2017-12-31,0,0.0,0
2018-01-01,0,0.0,0
2018-01-02,0,0.0,16
2018-01-03,1,0.0,26
2018-01-04,0,2.0,29
2018-01-05,0,2.0,1
2018-01-06,1,0.0,0
2018-01-07,0,0.0,2
2018-01-08,0,0.0,0
2018-01-09,0,6.0,9
2018-01-10,0,1.0,6
2018-01-11,1,1.0,4
2018-01-12,0,1.0,2
2018-01-13,0,0.0,0
2018-01-14,0,0.0,0
2018-01-15,0,4.0,6
2018-01-16,0,0.0,0
2018-01-17,0,1.0,3
2018-01-18,0,0.0,7
2018-01-19,68,0.0,2
2018-01-20,2,0.0,0
2018-01-21,0,1.0,0
2018-01-22,2,1.0,4
2018-01-23,3,12.0,8
2018-01-24,0,1.0,9
2018-01-25,2,15.0,5
2018-01-26,1,0.0,3
2018-01-27,0,0.0,0
2018-01-28,0,0.0,0
2018-01-29,0,14.0,7
2018-01-30,1,1.0,1
2018-01-31,0,2.0,14
2018-02-01,1,0.0,2
2018-02-02,0,11.0,0
2018-02-03,0,0.0,0
2018-02-04,0,0.0,0
2018-02-05,1,23.0,7
2018-02-06,0,2.0,2
2018-02-07,1,1.0,6
2018-02-08,4,3.0,2
2018-02-09,1,0.0,2
2018-02-10,0,0.0,0
2018-02-11,0,0.0,0
2018-02-12,0,0.0,7
2018-02-13,1,0.0,4
2018-02-14,4,2.0,1
2018-02-15,2,0.0,2
2018-02-16,0,0.0,6
2018-02-17,0,0.0,1
2018-02-18,0,0.0,0
2018-02-19,29,10.0,5
2018-02-20,41,4.0,2
2018-02-21,5,1.0,6
2018-02-22,7,3.0,3
2018-02-23,1,0.0,5
2018-02-24,5,0.0,0
2018-02-25,0,0.0,0
2018-02-26,2,2.0,5
2018-02-27,4,3.0,4
2018-02-28,6,1.0,1
2018-03-01,0,12.0,3
2018-03-02,0,0.0,5
2018-03-03,0,0.0,0
2018-03-04,0,0.0,0
2018-03-05,0,2.0,1
2018-03-06,0,2.0,2
2018-03-07,0,0.0,5
2018-03-08,0,3.0,3
2018-03-09,0,0.0,1
2018-03-10,7,0.0,0
2018-03-11,0,0.0,0
2018-03-12,1,6.0,5
2018-03-13,8,0.0,2
2018-03-14,0,0.0,2
2018-03-15,7,0.0,7
2018-03-16,1,1.0,0
2018-03-17,0,0.0,0
2018-03-18,0,0.0,0
2018-03-19,2,14.0,1
2018-03-20,7,3.0,3
2018-03-21,3,6.0,2
2018-03-22,5,2.0,11
2018-03-23,2,2.0,3
2018-03-24,0,0.0,0
2018-03-25,0,0.0,0
2018-03-26,1,4.0,5
2018-03-27,6,2.0,5
2018-03-28,7,2.0,2
2018-03-29,3,7.0,0
2018-03-30,3,5.0,1
2018-03-31,2,0.0,0
2018-04-01,0,0.0,0
2018-04-02,2,0.0,0
2018-04-03,1,2.0,6
2018-04-04,3,3.0,10
2018-04-05,2,12.0,0
2018-04-06,0,2.0,4
2018-04-07,0,0.0,0
2018-04-08,0,0.0,0
2018-04-09,1,0.0,3
2018-04-10,2,1.0,4
2018-04-11,2,0.0,7
2018-04-12,0,0.0,3
2018-04-13,1,1.0,4
2018-04-14,0,0.0,0
