,liuchong/awesome-roadmaps,bregman-arie/devops-exercises,kamranahmedse/developer-roadmap
2020-10-01,0,2,-0.016116749999999947
2020-10-02,0,0,-0.01316201249999996
2020-10-03,0,0,-0.011093696249999967
2020-10-04,0,0,0.990431686984375
2020-10-05,0,0,0.8916011474640624
2020-10-06,0,0,-0.14500000000000013
2020-10-07,0,0,-0.07350000000000005
2020-10-08,0,0,-0.04916249999999994
2020-10-09,0,0,-0.036779249999999875
2020-10-10,0,0,-0.02927876249999991
2020-10-11,1,0,-0.024255708749999928
2020-10-12,1,0,-0.02066200926562494
2020-10-13,0,0,-0.017967165551562456
2020-10-14,0,0,-0.008398852535937478
2020-10-15,0,0,0.0
2020-10-16,0,0,2.0
2020-10-17,0,0,-0.20000000000000018
2020-10-18,0,0,-0.09000000000000007
2020-10-19,0,0,-0.057000000000000044
2020-10-20,0,0,-0.04132499999999985
2020-10-21,0,0,-0.032233499999999894
2020-10-22,0,0,-0.02632402499999992
2020-10-23,0,0,-0.022187392499999934
2020-10-24,0,0,1.98086337396875
2020-10-25,0,0,-0.21679770507187512
2020-10-26,0,0,-0.09000000000000007
2020-10-27,0,0,-0.057000000000000044
2020-10-28,0,0,-0.04132499999999985
2020-10-29,1,0,-0.032233499999999894
2020-10-30,0,0,-0.02632402499999992
2020-10-31,0,0,-0.022187392499999934
2020-11-01,0,0,-0.01913662603124995
2020-11-02,1,0,-0.016797705071874957
2020-11-03,1,0,0.0
2020-11-04,0,0,0.0
2020-11-05,0,0,0.0
2020-11-06,0,0,1.0
2020-11-07,0,0,-0.10000000000000009
2020-11-08,0,0,-0.04500000000000003
2020-11-09,0,0,-0.028500000000000022
2020-11-10,0,0,-0.020662499999999924
2020-11-11,0,0,-0.016116749999999947
2020-11-12,0,0,-0.01316201249999996
2020-11-13,0,0,-0.011093696249999967
2020-11-14,0,0,-0.009568313015624975
2020-11-15,0,0,-0.008398852535937478
2020-11-16,0,0,0.0
2020-11-17,0,0,0.0
2020-11-18,0,0,0.0
2020-11-19,0,1,0.0
2020-11-20,0,0,0.0
2020-11-21,0,0,1.0
2020-11-22,0,0,0.8999999999999999
2020-11-23,0,0,-0.14500000000000013
2020-11-24,0,2,-0.07350000000000005
2020-11-25,0,0,-0.04916249999999994
2020-11-26,0,0,-0.036779249999999875
2020-11-27,0,0,-0.02927876249999991
2020-11-28,0,0,-0.024255708749999928
2020-11-29,0,0,-0.02066200926562494
2020-11-30,0,0,-0.017967165551562456
2020-12-01,0,0,-0.008398852535937478
2020-12-02,0,0,0.0
2020-12-03,0,0,0.0
2020-12-04,0,0,0.0
2020-12-05,0,0,0.0
2020-12-06,0,0,0.0
2020-12-07,0,0,0.0
2020-12-08,0,0,0.0
2020-12-09,0,2,0.0
2020-12-10,0,3,0.0
2020-12-11,0,0,0.0
2020-12-12,0,1,0.0
2020-12-13,0,0,0.0
2020-12-14,0,0,0.0
2020-12-15,0,0,0.0
2020-12-16,0,3,0.0
2020-12-17,5,0,0.0
2020-12-18,0,1,0.0
2020-12-19,0,0,0.0
2020-12-20,0,0,0.0
2020-12-21,0,0,0.0
2020-12-22,0,1,0.0
2020-12-23,0,0,0.0
2020-12-24,0,0,0.0
2020-12-25,0,0,0.0
2020-12-26,0,0,0.0
2020-12-27,0,0,0.0
2020-12-28,0,0,0.0
2020-12-29,0,0,0.0
2020-12-30,0,0,0.0
2020-12-31,0,0,0.0
2021-01-01,0,0,0.0
2021-01-02,0,2,0.0
2021-01-03,0,1,0.0
2021-01-04,0,0,0.0
2021-01-05,0,0,0.0
2021-01-06,0,0,0.0
2021-01-07,0,0,1.0
2021-01-08,0,0,0.8999999999999999
2021-01-09,0,0,-0.14500000000000013
2021-01-10,0,0,-0.07350000000000005
2021-01-11,0,1,-0.04916249999999994
2021-01-12,0,0,-0.036779249999999875
2021-01-13,0,0,-0.02927876249999991
2021-01-14,0,0,-0.024255708749999928
2021-01-15,0,0,-0.02066200926562494
2021-01-16,0,0,-0.017967165551562456
2021-01-17,0,0,-0.008398852535937478
2021-01-18,0,0,0.0
2021-01-19,0,0,0.0
2021-01-20,0,1,0.0
2021-01-21,0,0,0.0
2021-01-22,0,4,0.0
2021-01-23,0,2,0.0
2021-01-24,0,2,0.0
2021-01-25,0,0,0.0
2021-01-26,0,0,0.0
2021-01-27,0,0,0.0
2021-01-28,0,0,0.0
2021-01-29,0,0,0.0
2021-01-30,0,0,0.0
2021-01-31,0,0,0.0
2021-02-01,0,0,0.0
2021-02-02,0,0,1.0
2021-02-03,0,0,-0.10000000000000009
2021-02-04,0,0,-0.04500000000000003
2021-02-05,0,0,-0.028500000000000022
2021-02-06,0,0,-0.020662499999999924
2021-02-07,0,0,-0.016116749999999947
2021-02-08,0,0,-0.01316201249999996
2021-02-09,0,0,-0.011093696249999967
2021-02-10,0,0,-0.009568313015624975
2021-02-11,0,0,-0.008398852535937478
2021-02-12,0,0,0.0
2021-02-13,0,0,0.0
2021-02-14,0,0,0.0
2021-02-15,0,0,0.0
2021-02-16,0,1,0.0
2021-02-17,0,1,0.0
2021-02-18,0,0,0.0
2021-02-19,0,0,0.0
2021-02-20,0,1,0.0
2021-02-21,0,0,0.0
2021-02-22,0,0,0.0
2021-02-23,0,0,0.0
2021-02-24,0,0,0.0
2021-02-25,0,0,0.0
2021-02-26,0,1,0.0
2021-02-27,0,0,0.0
2021-02-28,0,2,0.0
2021-03-01,0,0,0.0
2021-03-02,0,0,0.0
2021-03-03,0,0,0.0
2021-03-04,0,0,0.0
2021-03-05,0,0,0.0
2021-03-06,0,1,0.0
2021-03-07,0,0,0.0
2021-03-08,0,0,0.0
2021-03-09,0,0,0.0
2021-03-10,0,0,0.0
2021-03-11,0,0,0.0
2021-03-12,0,0,0.0
2021-03-13,0,0,0.0
2021-03-14,0,0,0.0
2021-03-15,0,0,0.0
2021-03-16,0,0,0.0
2021-03-17,0,0,0.0
2021-03-18,0,0,0.0
2021-03-19,0,0,0.0
2021-03-20,0,0,0.0
2021-03-21,0,0,0.0
2021-03-22,0,0,0.0
2021-03-23,0,0,0.0
2021-03-24,0,0,0.0
2021-03-25,0,0,0.0
2021-03-26,0,0,0.0
2021-03-27,0,0,0.0
2021-03-28,0,0,0.0
2021-03-29,0,0,0.0
2021-03-30,0,1,0.0
2021-03-31,0,0,0.0
2021-04-01,0,0,0.0
2021-04-02,0,0,0.0
2021-04-03,0,0,0.0
2021-04-04,0,0,0.0
2021-04-05,0,0,0.0
2021-04-06,0,0,0.0
2021-04-07,0,0,0.0
2021-04-08,0,0,0.0
2021-04-09,0,0,0.0
2021-04-10,0,0,0.0
2021-04-11,0,1,0.0
2021-04-12,0,0,0.0
2021-04-13,0,0,0.0
2021-04-14,0,0,0.0
2021-04-15,0,0,0.0
2021-04-16,0,0,0.0
2021-04-17,0,0,0.0
2021-04-18,0,0,0.0
2021-04-19,0,0,0.0
2021-04-20,0,0,0.0
2021-04-21,0,0,0.0
2021-04-22,0,0,0.0
2021-04-23,0,0,0.0
2021-04-24,0,0,0.0
2021-04-25,0,0,0.0
2021-04-26,0,0,0.0
2021-04-27,0,0,0.0
2021-04-28,0,0,0.0
2021-04-29,0,0,0.0
2021-04-30,0,0,0.0
2021-05-01,0,0,0.0
2021-05-02,0,0,0.0
2021-05-03,0,0,0.0
2021-05-04,0,0,0.0
2021-05-05,0,0,0.0
2021-05-06,0,0,0.0
2021-05-07,0,0,0.0
2021-05-08,0,0,0.0
2021-05-09,0,0,0.0
2021-05-10,0,0,0.0
2021-05-11,0,0,0.0
2021-05-12,0,0,0.0
2021-05-13,0,0,0.0
2021-05-14,0,0,0.0
2021-05-15,0,0,0.0
2021-05-16,0,1,0.0
2021-05-17,0,0,0.0
2021-05-18,0,2,0.0
2021-05-19,0,0,0.0
2021-05-20,0,0,0.0
2021-05-21,0,0,0.0
2021-05-22,0,0,0.0
2021-05-23,0,0,0.0
2021-05-24,0,0,0.0
2021-05-25,0,0,0.0
2021-05-26,0,0,0.0
2021-05-27,0,0,0.0
2021-05-28,0,0,0.0
2021-05-29,0,0,0.0
2021-05-30,0,0,0.0
2021-05-31,0,0,0.0
2021-06-01,0,0,0.0
2021-06-02,0,0,0.0
2021-06-03,0,0,0.0
2021-06-04,0,0,0.0
2021-06-05,0,0,0.0
2021-06-06,0,0,0.0
2021-06-07,0,0,0.0
2021-06-08,0,0,0.0
2021-06-09,0,0,0.0
2021-06-10,0,0,0.0
2021-06-11,0,0,0.0
2021-06-12,0,0,0.0
2021-06-13,0,0,0.0
2021-06-14,0,0,0.0
2021-06-15,0,0,0.0
2021-06-16,0,0,0.0
2021-06-17,0,0,0.0
2021-06-18,0,0,0.0
2021-06-19,0,0,0.0
2021-06-20,0,0,0.0
2021-06-21,0,0,0.0
2021-06-22,0,0,0.0
2021-06-23,0,0,0.0
2021-06-24,0,0,0.0
2021-06-25,0,0,0.0
2021-06-26,0,1,0.0
2021-06-27,0,4,0.0
2021-06-28,0,0,0.0
2021-06-29,0,0,0.0
2021-06-30,0,2,0.0
2021-07-01,0,1,0.0
2021-07-02,0,0,0.0
2021-07-03,0,0,0.0
2021-07-04,0,0,0.0
2021-07-05,0,0,0.0
2021-07-06,0,0,0.0
2021-07-07,0,0,0.0
2021-07-08,0,0,0.0
2021-07-09,0,0,0.0
2021-07-10,0,0,0.0
2021-07-11,0,3,0.0
2021-07-12,0,2,0.0
2021-07-13,0,0,0.0
2021-07-14,0,3,0.0
2021-07-15,0,0,0.0
2021-07-16,0,0,0.0
2021-07-17,0,1,0.0
2021-07-18,0,2,0.0
2021-07-19,0,0,0.0
2021-07-20,0,3,0.0
2021-07-21,0,0,0.0
2021-07-22,0,1,0.0
2021-07-23,0,0,0.0
2021-07-24,0,0,0.0
2021-07-25,0,0,0.0
2021-07-26,0,0,0.0
2021-07-27,0,0,0.0
2021-07-28,0,0,0.0
2021-07-29,0,0,0.0
2021-07-30,0,0,0.0
2021-07-31,0,0,0.0
2021-08-01,0,0,6.0
2021-08-02,0,0,2.3999999999999995
2021-08-03,0,0,1.4299999999999995
2021-08-04,0,0,-0.5060000000000004
2021-08-05,0,0,-0.29947499999999966
2021-08-06,0,0,-0.21568799999999952
2021-08-07,0,0,-0.16864732499999946
2021-08-08,0,0,-0.13828171499999958
2021-08-09,0,0,-0.11701499184374967
2021-08-10,0,0,-0.10128544676249973
2021-08-11,0,0,-0.044333183639062385
2021-08-12,0,0,0.983202294928125
2021-08-13,0,1,-0.10000000000000009
2021-08-14,0,0,7.955
2021-08-15,0,0,7.171499999999999
2021-08-16,0,0,-0.18066250000000084
2021-08-17,0,1,-0.7041167500000005
2021-08-18,0,0,-0.45146201249999957
2021-08-19,0,0,1.6661723037500011
2021-08-20,0,0,2.5355390869843757
2021-08-21,0,0,0.39143872746406283
2021-08-22,0,0,4.529541913375001
2021-08-23,0,0,-0.8266560206625
2021-08-24,0,0,1.5755198666968753
2021-08-25,0,0,-0.44623562753593743
2021-08-26,0,0,0.7288973200000006
2021-08-27,0,0,-0.3031634772812497
2021-08-28,0,0,7.791268597131251
2021-08-29,0,0,6.049033148126562
2021-08-30,0,0,-1.1632269426140631
2021-08-31,0,1,-0.6232984051796877
2021-09-01,0,0,1.6029013614687506
2021-09-02,0,0,0.4985370986781259
2021-09-03,0,1,9.582318336984375
2021-09-04,0,1,4.708717489964062
2021-09-05,0,0,29.725972622125
2021-09-06,0,0,-2.8420650113968775
2021-09-07,0,0,-0.9738577427515627
2021-09-08,0,0,-0.34899190499999966
2021-09-09,0,0,9.927411552718754
2021-09-10,0,1,-1.9100568055874987
2021-09-11,0,0,-1.138945797692186
2021-09-12,0,2,-0.8487442497031237
2021-09-13,0,0,0.3853292225500019
2021-09-14,0,0,0.4285272996203138
2021-09-15,0,3,-0.3188429993015621
2021-09-16,0,0,-0.21349782430156217
2021-09-17,0,1,-0.16281279570781215
2021-09-18,0,0,0.8708333721046879
2021-09-19,0,0,-0.1292787625
2021-09-20,0,0,-0.06925570874999996
2021-09-21,0,0,-0.04916200926562496
2021-09-22,0,0,3.9613703344484374
2021-09-23,0,1,-0.4245156025359378
2021-09-24,0,0,2.8068379875
2021-09-25,0,0,0.5749063037499997
2021-09-26,1,2,6.672781686984375
2021-09-27,0,1,2.096634147464062
2021-09-28,0,2,-0.7581355500000001
2021-09-29,0,0,2.552112465
2021-09-30,0,1,2.3759864604375007
2021-10-01,0,0,1.3101567386062505
2021-10-02,0,0,-0.6007829727968748
2021-10-03,0,0,-0.389394281873437
2021-10-04,0,0,-0.27599588239531186
2021-10-05,0,0,1.783341805701563
2021-10-06,0,0,-0.33019718385781227
2021-10-07,0,0,-0.1783100527968748
2021-10-08,0,0,-0.13308888915468733
2021-10-09,1,0,2.914341816360938
2021-10-10,0,3,1.6509687949281249
2021-10-11,0,0,-0.36132402500000016
2021-10-12,0,0,-0.19768739250000006
2021-10-13,0,0,-0.13812412603124977
2021-10-14,0,0,-0.10647295507187465
2021-10-15,0,0,-0.07171953749999978
2021-10-16,0,0,-0.05960511374999983
2021-10-17,0,1,-0.050892331546874864
2021-10-18,0,0,-0.044333183639062385
2021-10-19,0,0,-0.016797705071874957
2021-10-20,0,3,0.0
2021-10-21,0,2,0.0
2021-10-22,0,0,4.0
2021-10-23,0,0,-0.40000000000000036
2021-10-24,0,3,0.8199999999999998
2021-10-25,0,1,-0.2140000000000002
2021-10-26,0,0,1.8723500000000002
2021-10-27,0,0,-0.292967
2021-10-28,0,2,0.8366894500000002
2021-10-29,0,1,-0.21749153499999996
2021-10-30,0,0,-0.13776026456249973
2021-10-31,0,3,-0.1054226063937498
2021-11-01,0,0,-0.056554838015624824
2021-11-02,0,0,-0.04670299503593736
2021-11-03,0,1,0.9677013614687501
2021-11-04,0,0,-0.12789140132187501
2021-11-05,0,0,0.945431686984375
2021-11-06,0,0,-0.1368988525359376
2021-11-07,0,3,-0.06566249999999996
2021-11-08,0,0,-0.04461674999999997
2021-11-09,0,2,-0.03382451249999988
2021-11-10,0,1,-0.027210446249999916
2021-11-11,0,1,-0.022730325515624934
2021-11-12,0,4,-0.019492548785937445
2021-11-13,0,1,-0.009568313015624975
2021-11-14,0,0,-0.008398852535937478
2021-11-15,0,0,2.0
2021-11-16,0,2,-0.20000000000000018
2021-11-17,0,1,-0.09000000000000007
2021-11-18,0,4,-0.057000000000000044
2021-11-19,0,5,1.9586750000000002
2021-11-20,0,3,-0.23223350000000006
2021-11-21,0,0,-0.11632402499999998
2021-11-22,0,4,3.9208126075
2021-11-23,0,1,-0.4604616260312502
2021-11-24,0,2,-0.22903120507187497
2021-11-25,0,1,0.859675975
2021-11-26,0,2,-0.20483739249999972
2021-11-27,0,0,6.87139637396875
