,jquery/jquery,facebook/react,angular/angular
2019-02-21,0,21,17.0
2019-02-22,0,8,40.0
2019-02-23,0,4,2.0
2019-02-24,0,1,1.0
2019-02-25,0,5,12.0
2019-02-26,0,3,10.0
2019-02-27,0,10,21.0
2019-02-28,0,14,19.0
2019-03-01,0,8,11.0
2019-03-02,0,0,2.0
2019-03-03,0,3,0.0
2019-03-04,3,3,17.0
2019-03-05,0,4,16.0
2019-03-06,0,5,19.0
2019-03-07,0,10,27.0
2019-03-08,0,0,13.0
2019-03-09,0,5,2.0
2019-03-10,0,2,0.0
2019-03-11,3,9,10.0
2019-03-12,0,1,26.0
2019-03-13,0,5,14.0
2019-03-14,0,4,27.0
2019-03-15,0,12,12.0
2019-03-16,0,5,0.0
2019-03-17,0,4,0.0
2019-03-18,1,14,16.0
2019-03-19,0,7,19.0
2019-03-20,1,8,50.0
2019-03-21,0,6,25.0
2019-03-22,0,8,12.0
2019-03-23,0,0,0.0
2019-03-24,0,5,0.0
2019-03-25,3,4,7.0
2019-03-26,0,6,10.0
2019-03-27,2,4,31.0
2019-03-28,0,5,12.0
2019-03-29,0,8,20.0
2019-03-30,0,6,0.0
2019-03-31,0,0,0.0
2019-04-01,0,12,30.0
2019-04-02,1,12,29.0
2019-04-03,0,20,11.0
2019-04-04,2,34,16.0
2019-04-05,0,20,4.0
2019-04-06,0,11,0.0
2019-04-07,0,27,0.0
2019-04-08,2,30,16.0
2019-04-09,2,22,9.0
2019-04-10,0,52,15.0
2019-04-11,0,12,16.0
2019-04-12,0,45,6.0
2019-04-13,0,20,3.0
2019-04-14,0,2,0.0
2019-04-15,0,11,16.0
2019-04-16,0,18,10.0
2019-04-17,1,12,17.0
2019-04-18,0,21,6.0
2019-04-19,0,24,34.0
2019-04-20,0,15,4.0
2019-04-21,0,7,0.0
2019-04-22,0,19,15.0
2019-04-23,1,13,20.0
2019-04-24,0,21,26.0
2019-04-25,0,27,44.0
2019-04-26,0,14,38.0
2019-04-27,0,0,1.0
2019-04-28,0,8,0.0
2019-04-29,8,5,27.0
2019-04-30,1,16,6.0
2019-05-01,1,20,7.0
2019-05-02,0,6,1.0
2019-05-03,0,16,0.0
2019-05-04,0,3,0.0
2019-05-05,0,2,0.0
2019-05-06,1,9,11.0
2019-05-07,0,7,12.0
2019-05-08,1,14,19.0
2019-05-09,0,9,14.0
2019-05-10,0,14,12.0
2019-05-11,0,0,0.0
2019-05-12,0,3,0.0
2019-05-13,3,14,13.0
2019-05-14,0,4,19.0
2019-05-15,0,5,11.0
2019-05-16,0,8,43.0
2019-05-17,0,3,23.0
2019-05-18,0,1,0.0
2019-05-19,0,0,0.0
2019-05-20,0,10,8.0
2019-05-21,0,7,23.0
2019-05-22,0,26,23.0
2019-05-23,0,23,20.0
2019-05-24,0,8,16.0
2019-05-25,0,2,0.0
2019-05-26,0,3,0.0
2019-05-27,0,1,0.0
2019-05-28,0,10,7.0
2019-05-29,0,10,2.0
2019-05-30,0,8,31.0
2019-05-31,0,9,16.0
2019-06-01,0,9,0.0
2019-06-02,0,8,0.0
2019-06-03,0,16,10.0
2019-06-04,0,12,10.0
2019-06-05,0,11,5.0
2019-06-06,0,3,11.0
2019-06-07,0,8,7.0
2019-06-08,0,9,0.0
2019-06-09,0,11,0.0
2019-06-10,0,8,2.0
2019-06-11,0,4,29.0
2019-06-12,0,12,3.0
2019-06-13,0,4,3.0
2019-06-14,0,6,25.0
2019-06-15,0,4,0.0
2019-06-16,0,0,0.0
2019-06-17,0,7,5.0
2019-06-18,0,12,15.0
2019-06-19,0,11,16.0
2019-06-20,0,8,9.0
2019-06-21,0,8,21.0
2019-06-22,0,8,0.0
2019-06-23,0,0,0.0
2019-06-24,0,9,5.0
2019-06-25,0,3,35.0
2019-06-26,1,4,26.0
2019-06-27,0,3,18.0
2019-06-28,0,2,8.0
2019-06-29,0,0,0.0
2019-06-30,0,0,0.0
2019-07-01,0,5,11.0
2019-07-02,0,5,13.0
2019-07-03,0,4,3.0
2019-07-04,0,3,0.0
2019-07-05,0,2,0.0
2019-07-06,0,1,0.0
2019-07-07,0,0,0.0
2019-07-08,0,5,8.0
2019-07-09,0,1,13.0
2019-07-10,0,2,7.0
2019-07-11,0,4,31.0
2019-07-12,0,3,13.0
2019-07-13,0,2,0.0
2019-07-14,0,1,0.0
2019-07-15,0,2,7.0
2019-07-16,0,2,8.0
2019-07-17,0,4,9.0
2019-07-18,0,5,30.0
2019-07-19,0,5,3.0
2019-07-20,0,3,2.0
2019-07-21,0,0,0.0
2019-07-22,0,5,9.0
2019-07-23,0,8,11.0
2019-07-24,0,15,30.0
2019-07-25,0,11,8.0
2019-07-26,0,8,11.0
2019-07-27,0,3,0.0
2019-07-28,0,2,0.0
2019-07-29,1,4,6.0
2019-07-30,0,5,16.0
2019-07-31,0,10,8.0
2019-08-01,0,3,8.0
2019-08-02,0,8,10.0
2019-08-03,0,1,0.0
2019-08-04,0,2,0.0
2019-08-05,0,6,21.0
2019-08-06,0,7,0.0
2019-08-07,0,4,0.0
2019-08-08,0,7,29.0
2019-08-09,1,9,17.0
2019-08-10,0,2,3.0
2019-08-11,0,0,0.0
2019-08-12,1,13,8.0
2019-08-13,0,14,18.0
2019-08-14,0,26,11.0
2019-08-15,0,17,16.0
2019-08-16,0,11,5.0
2019-08-17,0,4,0.0
2019-08-18,0,5,0.0
2019-08-19,2,11,13.0
2019-08-20,1,11,9.0
2019-08-21,0,9,21.0
2019-08-22,1,6,17.0
2019-08-23,0,1,3.0
2019-08-24,0,1,0.0
2019-08-25,0,0,0.0
2019-08-26,3,10,21.0
2019-08-27,0,14,14.0
2019-08-28,0,9,7.0
2019-08-29,0,12,41.0
2019-08-30,1,1,29.0
2019-08-31,0,0,0.0
2019-09-01,0,0,0.0
2019-09-02,0,1,0.0
2019-09-03,0,2,9.0
2019-09-04,0,6,18.0
2019-09-05,0,8,15.0
2019-09-06,0,6,4.0
2019-09-07,0,0,1.0
2019-09-08,0,0,0.0
2019-09-09,0,7,23.0
2019-09-10,0,10,25.0
2019-09-11,0,19,14.0
2019-09-12,0,5,30.0
2019-09-13,0,7,12.0
2019-09-14,0,1,0.0
2019-09-15,0,0,0.0
2019-09-16,0,4,12.0
2019-09-17,0,10,15.0
2019-09-18,0,4,13.0
2019-09-19,0,6,1.0
2019-09-20,0,2,0.0
2019-09-21,0,0,0.0
2019-09-22,0,0,0.0
2019-09-23,0,12,4.0
2019-09-24,4,5,8.0
2019-09-25,0,10,9.0
2019-09-26,2,8,2.0
2019-09-27,0,5,12.0
2019-09-28,0,6,0.0
2019-09-29,0,2,0.0
2019-09-30,0,6,9.0
2019-10-01,0,3,11.0
2019-10-02,0,4,38.0
2019-10-03,0,10,13.0
2019-10-04,1,1,19.0
2019-10-05,1,0,0.0
2019-10-06,0,0,0.0
2019-10-07,1,6,14.0
2019-10-08,2,2,11.0
2019-10-09,0,1,8.0
2019-10-10,0,0,35.0
2019-10-11,0,2,8.0
2019-10-12,0,0,0.0
2019-10-13,0,0,0.0
2019-10-14,2,3,41.0
2019-10-15,0,6,13.0
2019-10-16,0,6,17.0
2019-10-17,0,4,37.0
2019-10-18,0,6,28.0
2019-10-19,0,4,0.0
2019-10-20,0,0,0.0
2019-10-21,5,3,28.0
2019-10-22,3,2,17.0
2019-10-23,0,2,22.0
2019-10-24,0,0,29.0
2019-10-25,0,0,29.0
2019-10-26,0,1,0.0
2019-10-27,0,0,0.0
2019-10-28,2,1,12.0
2019-10-29,0,4,19.0
2019-10-30,0,4,13.0
2019-10-31,0,3,23.0
2019-11-01,0,4,13.0
2019-11-02,0,1,1.0
2019-11-03,0,0,0.0
2019-11-04,0,4,7.0
2019-11-05,0,3,24.0
2019-11-06,0,4,16.0
2019-11-07,0,3,20.0
2019-11-08,0,1,13.0
2019-11-09,0,2,0.0
2019-11-10,0,2,0.0
2019-11-11,0,5,23.0
2019-11-12,0,2,21.0
2019-11-13,0,1,23.0
2019-11-14,0,3,9.0
2019-11-15,0,7,18.0
2019-11-16,0,0,8.0
2019-11-17,0,3,0.0
2019-11-18,2,1,20.0
2019-11-19,1,0,25.0
2019-11-20,0,0,24.0
2019-11-21,0,4,13.0
2019-11-22,0,0,28.0
2019-11-23,0,0,0.0
2019-11-24,0,0,0.0
2019-11-25,1,1,18.0
2019-11-26,0,0,19.0
2019-11-27,0,2,21.0
2019-11-28,0,1,0.0
2019-11-29,0,1,0.0
2019-11-30,0,0,0.0
2019-12-01,0,0,0.0
2019-12-02,1,0,28.0
2019-12-03,1,4,23.0
2019-12-04,0,4,17.0
2019-12-05,0,0,21.0
2019-12-06,0,1,10.0
2019-12-07,0,0,0.0
2019-12-08,0,0,0.0
2019-12-09,2,4,6.0
2019-12-10,0,1,12.0
2019-12-11,0,3,22.0
2019-12-12,0,3,18.0
2019-12-13,0,1,12.0
2019-12-14,0,3,0.0
2019-12-15,0,0,0.0
2019-12-16,3,3,18.0
2019-12-17,0,11,8.0
2019-12-18,0,9,21.0
2019-12-19,0,4,1.0
2019-12-20,0,5,1.0
2019-12-21,0,0,0.0
2019-12-22,0,4,0.0
2019-12-23,0,0,0.0
2019-12-24,0,0,0.0
2019-12-25,0,0,0.0
2019-12-26,0,0,0.0
2019-12-27,0,0,0.0
2019-12-28,0,0,0.0
2019-12-29,0,5,0.0
2019-12-30,0,1,0.0
2019-12-31,0,0,0.0
2020-01-01,0,1,0.0
2020-01-02,0,3,0.0
2020-01-03,0,4,0.0
2020-01-04,0,2,0.0
2020-01-05,0,1,0.0
2020-01-06,0,8,12.0
2020-01-07,4,2,20.0
2020-01-08,0,2,18.0
2020-01-09,0,8,11.0
2020-01-10,0,3,47.0
2020-01-11,0,0,0.0
2020-01-12,0,3,0.0
2020-01-13,3,0,20.0
2020-01-14,0,5,23.0
2020-01-15,0,2,35.0
2020-01-16,0,0,7.0
2020-01-17,0,4,4.0
2020-01-18,0,0,0.0
2020-01-19,0,0,0.0
2020-01-20,2,2,0.0
2020-01-21,3,3,17.0
2020-01-22,0,3,23.0
2020-01-23,0,0,28.0
2020-01-24,0,4,19.0
2020-01-25,0,1,1.0
2020-01-26,0,0,5.0
2020-01-27,2,1,16.0
2020-01-28,0,1,14.0
2020-01-29,0,6,28.0
2020-01-30,0,6,12.0
2020-01-31,0,4,21.0
2020-02-01,0,0,8.0
2020-02-02,0,1,2.0
2020-02-03,0,5,12.0
2020-02-04,0,8,26.0
2020-02-05,0,1,6.0
2020-02-06,0,4,28.0
2020-02-07,0,3,22.0
2020-02-08,0,0,8.0
2020-02-09,0,0,0.0
2020-02-10,2,6,5.0
2020-02-11,0,4,18.0
2020-02-12,0,2,4.0
2020-02-13,0,3,19.0
2020-02-14,0,1,10.0
2020-02-15,0,0,0.0
2020-02-16,0,0,0.0
2020-02-17,0,3,0.0
2020-02-18,0,9,17.0
2020-02-19,0,10,15.0
2020-02-20,0,3,18.0
2020-02-21,0,5,11.0
2020-02-22,0,2,0.0
2020-02-23,0,0,0.0
2020-02-24,1,2,51.0
2020-02-25,0,5,22.0
2020-02-26,0,11,23.0
2020-02-27,0,9,24.0
2020-02-28,0,10,19.0
2020-02-29,0,2,0.0
2020-03-01,0,0,1.0
2020-03-02,4,3,19.0
2020-03-03,0,5,20.0
2020-03-04,0,4,19.0
2020-03-05,0,9,13.0
2020-03-06,0,6,15.0
2020-03-07,0,2,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,19.0
2020-03-10,0,7,23.0
2020-03-11,0,8,48.0
2020-03-12,0,7,23.0
2020-03-13,1,6,15.0
2020-03-14,0,0,1.0
2020-03-15,0,0,0.0
2020-03-16,1,4,10.0
2020-03-17,0,6,20.0
2020-03-18,0,9,48.0
2020-03-19,0,7,3.0
2020-03-20,0,5,30.0
2020-03-21,0,3,1.0
2020-03-22,0,2,9.0
2020-03-23,0,2,21.0
2020-03-24,0,5,28.0
2020-03-25,0,4,4.0
2020-03-26,0,8,2.0
2020-03-27,0,1,19.0
2020-03-28,0,1,9.0
2020-03-29,0,4,4.0
2020-03-30,0,4,19.0
2020-03-31,0,7,24.0
2020-04-01,0,17,29.0
2020-04-02,0,10,10.0
2020-04-03,0,8,16.0
2020-04-04,0,4,1.0
2020-04-05,0,1,0.0
2020-04-06,1,4,22.0
2020-04-07,0,10,21.0
2020-04-08,0,6,18.0
2020-04-09,0,17,17.0
2020-04-10,0,5,2.0
2020-04-11,0,1,0.0
2020-04-12,0,0,0.0
2020-04-13,0,6,5.0
2020-04-14,0,5,12.0
2020-04-15,0,3,7.0
2020-04-16,0,11,35.0
2020-04-17,1,6,14.0
2020-04-18,0,3,0.0
2020-04-19,0,0,0.0
2020-04-20,1,6,7.0
2020-04-21,0,8,10.0
2020-04-22,0,2,15.0
2020-04-23,1,6,17.0
2020-04-24,0,1,11.0
2020-04-25,1,5,0.0
2020-04-26,0,1,1.0
2020-04-27,4,0,5.0
2020-04-28,0,4,12.0
2020-04-29,2,3,18.0
2020-04-30,1,4,3.0
2020-05-01,0,13,17.0
2020-05-02,0,0,0.0
2020-05-03,0,2,3.0
2020-05-04,0,4,22.0
2020-05-05,3,9,28.0
2020-05-06,0,6,49.0
2020-05-07,0,4,13.0
2020-05-08,0,4,20.0
2020-05-09,0,2,1.0
2020-05-10,0,1,2.0
2020-05-11,0,3,7.0
2020-05-12,1,11,11.0
2020-05-13,0,6,23.0
2020-05-14,0,4,42.0
2020-05-15,0,6,15.0
2020-05-16,0,0,0.0
2020-05-17,0,0,2.0
2020-05-18,5,3,28.0
2020-05-19,0,3,13.0
2020-05-20,0,3,27.0
2020-05-21,0,10,16.0
2020-05-22,0,0,2.0
2020-05-23,0,2,0.0
2020-05-24,0,0,0.0
2020-05-25,0,0,2.0
2020-05-26,0,4,6.0
2020-05-27,0,11,2.0
2020-05-28,0,9,4.0
2020-05-29,0,7,13.0
2020-05-30,0,0,0.0
2020-05-31,0,0,1.0
2020-06-01,0,1,8.0
2020-06-02,1,0,7.0
2020-06-03,0,0,14.0
2020-06-04,0,0,16.0
2020-06-05,0,0,8.0
2020-06-06,0,0,3.0
2020-06-07,0,0,0.0
2020-06-08,1,0,14.0
2020-06-09,0,0,15.0
2020-06-10,1,0,14.0
2020-06-11,0,1,12.0
2020-06-12,0,3,32.0
2020-06-13,0,1,2.0
2020-06-14,0,0,3.0
2020-06-15,0,1,18.0
2020-06-16,0,2,6.0
2020-06-17,0,1,18.0
2020-06-18,0,0,6.0
2020-06-19,0,2,0.0
2020-06-20,0,0,2.0
2020-06-21,0,0,0.0
2020-06-22,0,0,19.0
2020-06-23,0,5,7.0
2020-06-24,0,0,2.0
2020-06-25,1,2,38.0
2020-06-26,0,2,26.0
2020-06-27,0,0,3.0
2020-06-28,0,0,2.0
2020-06-29,0,1,14.0
2020-06-30,0,8,5.0
2020-07-01,0,13,3.0
2020-07-02,0,2,0.0
2020-07-03,0,0,1.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,7,11.0
2020-07-07,0,7,4.0
2020-07-08,0,10,15.0
2020-07-09,0,6,11.0
2020-07-10,0,10,6.0
2020-07-11,0,0,0.0
2020-07-12,0,0,0.0
2020-07-13,0,7,23.0
2020-07-14,0,2,8.0
2020-07-15,1,8,16.0
2020-07-16,0,5,10.0
2020-07-17,0,5,5.0
2020-07-18,0,0,0.0
2020-07-19,0,0,0.0
2020-07-20,1,3,11.0
2020-07-21,0,2,5.0
2020-07-22,1,3,10.0
2020-07-23,0,2,12.0
2020-07-24,0,3,7.0
2020-07-25,0,1,3.0
2020-07-26,0,1,0.0
2020-07-27,2,10,19.0
2020-07-28,0,2,16.0
2020-07-29,0,6,17.0
2020-07-30,0,3,6.0
2020-07-31,0,8,18.0
2020-08-01,0,1,0.0
2020-08-02,0,0,0.0
2020-08-03,0,3,4.0
2020-08-04,0,1,2.0
2020-08-05,0,4,9.0
2020-08-06,0,6,15.0
2020-08-07,0,4,3.0
2020-08-08,0,0,0.0
2020-08-09,0,0,0.0
2020-08-10,0,7,16.0
2020-08-11,0,1,15.0
2020-08-12,0,2,12.0
2020-08-13,1,5,16.0
2020-08-14,0,5,2.0
2020-08-15,0,1,2.0
2020-08-16,0,0,0.0
2020-08-17,0,6,14.0
2020-08-18,0,3,9.0
2020-08-19,0,6,13.0
2020-08-20,0,6,6.0
2020-08-21,0,3,6.0
2020-08-22,0,1,0.0
2020-08-23,0,0,0.0
2020-08-24,0,4,11.0
2020-08-25,2,1,14.0
2020-08-26,1,3,5.0
2020-08-27,0,2,16.0
2020-08-28,0,6,8.0
2020-08-29,0,1,0.0
2020-08-30,0,0,0.0
2020-08-31,1,1,19.0
2020-09-01,1,2,5.0
2020-09-02,3,3,10.0
2020-09-03,0,5,7.0
2020-09-04,0,6,0.0
2020-09-05,0,0,0.0
2020-09-06,0,0,0.0
2020-09-07,0,1,0.0
2020-09-08,0,1,33.0
2020-09-09,0,2,17.0
2020-09-10,0,6,19.0
2020-09-11,0,3,7.0
2020-09-12,0,1,0.0
2020-09-13,0,0,0.0
2020-09-14,0,4,13.0
2020-09-15,0,1,8.0
2020-09-16,0,1,17.0
2020-09-17,0,2,3.0
2020-09-18,0,3,15.0
2020-09-19,0,0,0.0
2020-09-20,0,0,0.0
2020-09-21,0,5,22.0
2020-09-22,2,6,6.0
2020-09-23,0,2,6.0
2020-09-24,0,1,7.0
2020-09-25,0,3,13.0
2020-09-26,0,0,0.0
2020-09-27,0,0,0.0
2020-09-28,1,2,55.0
2020-09-29,0,1,2.0
2020-09-30,0,3,35.0
2020-10-01,0,4,20.0
2020-10-02,0,1,8.0
2020-10-03,0,0,0.0
2020-10-04,0,0,0.0
2020-10-05,0,3,17.0
2020-10-06,0,1,12.0
2020-10-07,0,0,8.0
2020-10-08,0,3,12.0
2020-10-09,0,3,6.0
2020-10-10,0,0,0.0
2020-10-11,0,0,0.0
2020-10-12,0,1,30.0
2020-10-13,0,2,19.0
2020-10-14,0,7,22.0
2020-10-15,0,3,14.0
2020-10-16,0,7,19.0
2020-10-17,0,1,0.0
2020-10-18,0,0,2.0
2020-10-19,1,4,11.0
2020-10-20,0,4,7.0
2020-10-21,0,3,8.0
2020-10-22,0,3,25.0
2020-10-23,0,0,5.0
2020-10-24,0,0,0.0
2020-10-25,0,0,0.0
2020-10-26,0,0,6.0
2020-10-27,0,3,25.0
2020-10-28,0,0,20.0
2020-10-29,0,2,19.0
2020-10-30,0,3,8.0
2020-10-31,0,2,1.0
2020-11-01,0,0,0.0
2020-11-02,0,1,16.0
2020-11-03,0,4,5.0
2020-11-04,0,0,15.0
2020-11-05,0,0,3.0
2020-11-06,0,0,16.0
2020-11-07,0,0,0.0
2020-11-08,0,1,0.0
2020-11-09,0,3,6.0
2020-11-10,0,5,1.0
2020-11-11,1,7,2.0
2020-11-12,0,7,16.0
2020-11-13,0,9,12.0
2020-11-14,0,0,0.0
2020-11-15,0,0,0.0
2020-11-16,0,2,20.0
2020-11-17,0,2,12.0
2020-11-18,0,3,28.0
2020-11-19,0,0,23.0
2020-11-20,0,4,19.0
2020-11-21,0,0,1.0
2020-11-22,0,0,0.0
2020-11-23,0,0,13.0
2020-11-24,0,0,26.0
2020-11-25,0,0,16.0
2020-11-26,0,0,0.0
2020-11-27,0,0,0.0
2020-11-28,0,0,0.0
2020-11-29,0,0,0.0
2020-11-30,0,2,15.0
2020-12-01,0,4,11.0
2020-12-02,0,1,26.0
2020-12-03,0,2,14.0
2020-12-04,0,6,7.0
2020-12-05,0,1,4.0
2020-12-06,0,1,2.0
2020-12-07,2,6,7.0
2020-12-08,1,8,34.0
2020-12-09,0,8,17.0
2020-12-10,0,5,23.0
2020-12-11,0,2,3.0
2020-12-12,0,0,1.0
2020-12-13,0,1,2.0
2020-12-14,0,2,19.0
2020-12-15,0,1,11.0
2020-12-16,0,1,6.0
2020-12-17,0,2,6.0
2020-12-18,0,9,1.0
2020-12-19,0,0,0.0
2020-12-20,0,0,0.0
2020-12-21,0,1,15.0
2020-12-22,0,2,7.0
2020-12-23,0,0,5.0
2020-12-24,0,0,0.0
2020-12-25,0,0,2.0
2020-12-26,0,0,0.0
2020-12-27,0,0,0.0
2020-12-28,0,0,0.0
2020-12-29,0,0,0.0
2020-12-30,0,0,0.0
2020-12-31,0,0,0.0
2021-01-01,0,0,0.0
2021-01-02,0,0,0.0
2021-01-03,0,0,0.0
2021-01-04,0,3,0.0
2021-01-05,0,0,24.0
2021-01-06,0,0,26.0
2021-01-07,0,0,26.0
2021-01-08,0,0,18.0
2021-01-09,0,0,1.0
2021-01-10,0,0,1.0
2021-01-11,2,1,36.0
2021-01-12,1,3,0.0
2021-01-13,0,2,14.0
2021-01-14,0,3,12.0
2021-01-15,0,2,8.0
2021-01-16,0,0,1.0
2021-01-17,0,0,0.0
2021-01-18,0,1,1.0
2021-01-19,0,9,12.0
2021-01-20,0,4,3.0
2021-01-21,0,1,23.0
2021-01-22,0,4,6.0
2021-01-23,0,0,2.0
2021-01-24,0,0,2.0
2021-01-25,0,5,17.0
2021-01-26,1,2,8.0
2021-01-27,0,5,18.0
2021-01-28,0,1,18.0
2021-01-29,0,2,8.0
2021-01-30,0,0,0.0
2021-01-31,0,0,0.0
2021-02-01,0,3,0.0
2021-02-02,0,4,12.0
2021-02-03,0,9,11.0
2021-02-04,0,7,5.0
2021-02-05,1,3,3.0
2021-02-06,0,1,0.0
2021-02-07,0,0,0.0
2021-02-08,0,5,1.0
2021-02-09,0,5,65.0
2021-02-10,0,5,15.0
2021-02-11,0,10,21.0
2021-02-12,0,1,9.0
2021-02-13,0,0,12.0
2021-02-14,0,0,4.0
2021-02-15,0,0,0.0
2021-02-16,0,3,33.0
2021-02-17,1,2,14.0
2021-02-18,0,2,6.0
2021-02-19,0,0,25.0
2021-02-20,0,0,0.0
2021-02-21,0,0,0.0
2021-02-22,0,3,11.0
2021-02-23,0,3,14.0
2021-02-24,0,1,25.0
2021-02-25,0,3,0.0
2021-02-26,0,3,27.0
2021-02-27,0,0,0.0
2021-02-28,0,1,0.0
2021-03-01,2,1,13.0
2021-03-02,0,2,1.0
2021-03-03,0,0,20.0
2021-03-04,0,0,15.0
2021-03-05,0,1,6.0
2021-03-06,0,0,3.0
2021-03-07,0,4,2.0
2021-03-08,0,9,24.0
2021-03-09,0,1,20.0
2021-03-10,0,6,6.0
2021-03-11,0,3,9.0
2021-03-12,0,1,15.0
2021-03-13,0,2,0.0
2021-03-14,0,0,2.0
2021-03-15,0,4,12.0
2021-03-16,0,6,11.0
2021-03-17,0,4,12.0
2021-03-18,0,2,13.0
2021-03-19,0,5,9.0
2021-03-20,0,0,1.0
2021-03-21,0,0,0.0
2021-03-22,0,8,12.0
2021-03-23,0,3,17.0
2021-03-24,1,7,6.0
2021-03-25,0,8,0.0
2021-03-26,0,6,0.0
2021-03-27,0,2,0.0
2021-03-28,0,6,0.0
2021-03-29,0,1,8.0
2021-03-30,0,7,17.0
2021-03-31,0,3,1.0
2021-04-01,0,10,25.0
2021-04-02,0,0,10.0
2021-04-03,0,0,0.0
2021-04-04,0,0,0.0
2021-04-05,0,1,9.0
2021-04-06,0,4,15.0
2021-04-07,0,5,26.0
2021-04-08,0,6,4.0
2021-04-09,0,10,6.0
2021-04-10,0,1,0.0
2021-04-11,0,2,0.0
2021-04-12,0,3,21.0
2021-04-13,3,2,34.0
2021-04-14,0,12,41.0
2021-04-15,0,8,13.0
2021-04-16,0,4,17.0
2021-04-17,0,0,6.0
2021-04-18,0,0,0.0
2021-04-19,0,3,41.0
2021-04-20,0,7,18.0
2021-04-21,0,3,11.0
2021-04-22,0,3,19.0
2021-04-23,0,3,9.0
2021-04-24,0,1,1.0
2021-04-25,0,0,2.0
2021-04-26,0,3,38.0
2021-04-27,0,9,19.0
2021-04-28,0,14,17.0
2021-04-29,0,1,18.0
2021-04-30,0,1,16.0
2021-05-01,0,1,1.0
2021-05-02,0,0,0.0
2021-05-03,0,8,26.0
2021-05-04,0,6,9.0
