,apache/commons-io,apache/commons-lang,google/guava
2010-01-18,0,0,0
2010-01-19,0,0,0
2010-01-20,0,0,0
2010-01-21,0,4,0
2010-01-22,1,2,0
2010-01-23,0,0,0
2010-01-24,0,0,0
2010-01-25,0,5,0
2010-01-26,0,1,0
2010-01-27,0,0,0
2010-01-28,0,0,0
2010-01-29,0,1,0
2010-01-30,0,0,0
2010-01-31,0,0,0
2010-02-01,0,2,0
2010-02-02,0,5,0
2010-02-03,0,7,0
2010-02-04,0,3,0
2010-02-05,0,3,0
2010-02-06,0,0,0
2010-02-07,0,5,0
2010-02-08,0,2,0
2010-02-09,0,0,0
2010-02-10,0,1,0
2010-02-11,0,0,0
2010-02-12,0,0,0
2010-02-13,0,0,0
2010-02-14,0,0,0
2010-02-15,0,0,0
2010-02-16,0,0,0
2010-02-17,0,0,0
2010-02-18,0,0,0
2010-02-19,0,2,0
2010-02-20,0,0,0
2010-02-21,0,0,0
2010-02-22,0,2,0
2010-02-23,0,0,0
2010-02-24,0,0,0
2010-02-25,0,7,0
2010-02-26,0,0,0
2010-02-27,0,1,0
2010-02-28,0,0,0
2010-03-01,0,0,0
2010-03-02,0,5,0
2010-03-03,0,5,0
2010-03-04,6,3,0
2010-03-05,7,1,0
2010-03-06,6,2,0
2010-03-07,8,0,0
2010-03-08,3,6,0
2010-03-09,0,0,0
2010-03-10,0,0,0
2010-03-11,0,0,0
2010-03-12,1,1,0
2010-03-13,1,0,0
2010-03-14,0,6,0
2010-03-15,2,4,0
2010-03-16,0,3,0
2010-03-17,0,2,0
2010-03-18,0,0,0
2010-03-19,0,1,0
2010-03-20,0,2,0
2010-03-21,0,1,0
2010-03-22,0,5,0
2010-03-23,0,1,0
2010-03-24,0,1,0
2010-03-25,0,1,0
2010-03-26,0,0,0
2010-03-27,0,0,0
2010-03-28,0,2,0
2010-03-29,1,0,0
2010-03-30,1,1,0
2010-03-31,0,0,0
2010-04-01,0,0,0
2010-04-02,0,0,0
2010-04-03,0,1,0
2010-04-04,0,0,0
2010-04-05,0,8,0
2010-04-06,0,0,0
2010-04-07,0,3,0
2010-04-08,0,3,1
2010-04-09,0,0,2
2010-04-10,0,0,0
2010-04-11,1,0,0
2010-04-12,0,0,5
2010-04-13,0,0,0
2010-04-14,8,0,0
2010-04-15,0,0,0
2010-04-16,0,0,0
2010-04-17,0,0,0
2010-04-18,0,0,0
2010-04-19,0,0,0
2010-04-20,0,0,0
2010-04-21,3,2,0
2010-04-22,0,0,0
2010-04-23,0,0,1
2010-04-24,0,0,0
2010-04-25,0,1,0
2010-04-26,0,0,1
2010-04-27,0,0,2
2010-04-28,0,0,0
2010-04-29,0,1,0
2010-04-30,0,0,0
2010-05-01,0,0,0
2010-05-02,0,0,0
2010-05-03,0,0,0
2010-05-04,0,0,0
2010-05-05,0,0,0
2010-05-06,0,0,0
2010-05-07,0,0,0
2010-05-08,0,0,0
2010-05-09,0,0,0
2010-05-10,0,0,0
2010-05-11,0,0,0
2010-05-12,0,0,1
2010-05-13,0,0,0
2010-05-14,0,0,0
2010-05-15,0,0,0
2010-05-16,0,0,0
2010-05-17,0,0,0
2010-05-18,0,0,0
2010-05-19,0,0,0
2010-05-20,0,0,0
2010-05-21,0,2,0
2010-05-22,0,0,0
2010-05-23,0,0,0
2010-05-24,0,0,1
2010-05-25,0,0,1
2010-05-26,0,0,0
2010-05-27,0,0,0
2010-05-28,0,3,1
2010-05-29,0,0,0
2010-05-30,0,0,0
2010-05-31,0,0,0
2010-06-01,0,0,2
2010-06-02,0,0,0
2010-06-03,0,0,1
2010-06-04,0,0,1
2010-06-05,0,0,0
2010-06-06,0,0,0
2010-06-07,0,0,0
2010-06-08,0,0,0
2010-06-09,0,0,1
2010-06-10,0,0,1
2010-06-11,0,0,0
2010-06-12,0,0,0
2010-06-13,0,0,0
2010-06-14,0,0,0
2010-06-15,0,0,0
2010-06-16,0,0,0
2010-06-17,0,0,2
2010-06-18,0,0,1
2010-06-19,0,0,0
2010-06-20,0,0,0
2010-06-21,0,0,0
2010-06-22,0,5,0
2010-06-23,0,0,0
2010-06-24,0,0,0
2010-06-25,0,0,2
2010-06-26,0,0,1
2010-06-27,0,0,0
2010-06-28,0,0,0
2010-06-29,0,0,0
2010-06-30,0,2,1
2010-07-01,0,2,1
2010-07-02,0,0,0
2010-07-03,0,1,0
2010-07-04,0,0,0
2010-07-05,0,0,0
2010-07-06,0,2,0
2010-07-07,0,0,1
2010-07-08,0,0,1
2010-07-09,0,0,0
2010-07-10,0,0,0
2010-07-11,0,0,0
2010-07-12,0,0,0
2010-07-13,0,2,0
2010-07-14,0,0,0
2010-07-15,0,0,0
2010-07-16,0,0,0
2010-07-17,0,0,0
2010-07-18,0,4,0
2010-07-19,0,0,0
2010-07-20,0,6,0
2010-07-21,0,4,0
2010-07-22,0,16,0
2010-07-23,0,8,0
2010-07-24,0,1,0
2010-07-25,0,1,0
2010-07-26,0,6,0
2010-07-27,0,0,1
2010-07-28,0,1,0
2010-07-29,0,2,0
2010-07-30,0,2,2
2010-07-31,0,0,0
2010-08-01,0,0,0
2010-08-02,0,4,1
2010-08-03,0,1,0
2010-08-04,3,0,0
2010-08-05,5,0,1
2010-08-06,0,4,0
2010-08-07,0,2,0
2010-08-08,0,1,0
2010-08-09,0,10,0
2010-08-10,0,2,0
2010-08-11,0,0,8
2010-08-12,0,2,0
2010-08-13,0,0,0
2010-08-14,0,0,0
2010-08-15,0,0,0
2010-08-16,0,0,1
2010-08-17,0,0,0
2010-08-18,0,1,3
2010-08-19,0,3,1
2010-08-20,0,2,1
2010-08-21,0,0,0
2010-08-22,0,1,0
2010-08-23,0,0,3
2010-08-24,0,0,1
2010-08-25,0,5,0
2010-08-26,0,1,0
2010-08-27,0,0,1
2010-08-28,0,0,0
2010-08-29,0,2,0
2010-08-30,0,0,1
2010-08-31,0,0,1
2010-09-01,0,0,7
2010-09-02,0,0,4
2010-09-03,0,0,2
2010-09-04,0,0,0
2010-09-05,0,0,0
2010-09-06,0,0,0
2010-09-07,0,0,0
2010-09-08,5,2,1
2010-09-09,2,0,0
2010-09-10,0,0,0
2010-09-11,0,0,0
2010-09-12,0,0,0
2010-09-13,0,9,1
2010-09-14,0,0,3
2010-09-15,0,0,2
2010-09-16,0,0,1
2010-09-17,0,2,0
2010-09-18,0,0,0
2010-09-19,0,0,0
2010-09-20,0,0,0
2010-09-21,0,5,0
2010-09-22,0,1,4
2010-09-23,0,0,0
2010-09-24,0,0,2
2010-09-25,0,0,0
2010-09-26,0,0,0
2010-09-27,0,0,0
2010-09-28,7,1,0
2010-09-29,22,0,0
2010-09-30,18,0,0
2010-10-01,13,0,2
2010-10-02,1,1,0
2010-10-03,2,0,0
2010-10-04,19,0,0
2010-10-05,16,0,0
2010-10-06,12,1,0
2010-10-07,2,1,0
2010-10-08,12,2,0
2010-10-09,3,2,0
2010-10-10,4,1,0
2010-10-11,0,0,0
2010-10-12,2,0,1
2010-10-13,7,0,0
2010-10-14,7,1,0
2010-10-15,6,0,1
2010-10-16,0,0,0
2010-10-17,2,0,0
2010-10-18,2,0,0
2010-10-19,0,0,0
2010-10-20,0,0,0
2010-10-21,0,0,0
2010-10-22,0,3,0
2010-10-23,0,0,0
2010-10-24,0,0,0
2010-10-25,0,0,0
2010-10-26,0,0,0
2010-10-27,0,0,0
2010-10-28,0,0,0
2010-10-29,0,0,1
2010-10-30,0,0,0
2010-10-31,0,0,0
2010-11-01,0,0,0
2010-11-02,0,0,0
2010-11-03,0,0,0
2010-11-04,0,2,0
2010-11-05,0,0,0
2010-11-06,1,0,0
2010-11-07,2,1,0
2010-11-08,0,1,0
2010-11-09,0,1,0
2010-11-10,0,0,0
2010-11-11,1,0,0
2010-11-12,0,0,0
2010-11-13,0,10,0
2010-11-14,0,0,0
2010-11-15,0,0,0
2010-11-16,0,0,0
2010-11-17,0,0,0
2010-11-18,0,0,0
2010-11-19,0,0,0
2010-11-20,0,0,0
2010-11-21,0,1,0
2010-11-22,0,0,0
2010-11-23,0,0,0
2010-11-24,0,0,0
2010-11-25,0,0,0
2010-11-26,0,0,0
2010-11-27,0,0,0
2010-11-28,0,0,0
2010-11-29,0,0,0
2010-11-30,0,0,0
2010-12-01,0,1,0
2010-12-02,0,0,0
2010-12-03,0,0,0
2010-12-04,0,0,0
2010-12-05,0,0,0
2010-12-06,0,0,1
2010-12-07,0,0,0
2010-12-08,0,3,0
2010-12-09,0,0,0
2010-12-10,0,0,0
2010-12-11,0,0,0
2010-12-12,0,0,0
2010-12-13,0,0,0
2010-12-14,0,0,0
2010-12-15,0,0,0
2010-12-16,0,0,0
2010-12-17,0,0,0
2010-12-18,0,1,0
2010-12-19,0,0,0
2010-12-20,0,0,0
2010-12-21,0,0,0
2010-12-22,2,0,0
2010-12-23,5,0,0
2010-12-24,0,0,0
2010-12-25,0,0,0
2010-12-26,1,0,0
2010-12-27,0,0,0
2010-12-28,0,0,0
2010-12-29,0,0,0
2010-12-30,0,0,0
2010-12-31,0,0,0
2011-01-01,1,1,0
2011-01-02,0,0,1
2011-01-03,0,1,0
2011-01-04,0,0,0
2011-01-05,0,0,0
2011-01-06,0,1,0
2011-01-07,0,4,0
2011-01-08,0,0,0
2011-01-09,0,0,0
2011-01-10,0,5,0
2011-01-11,0,0,0
2011-01-12,0,1,1
2011-01-13,0,0,0
2011-01-14,0,0,0
2011-01-15,0,0,0
2011-01-16,0,1,0
2011-01-17,0,8,0
2011-01-18,0,0,0
2011-01-19,0,0,0
2011-01-20,0,0,1
2011-01-21,0,0,1
2011-01-22,0,0,0
2011-01-23,0,3,0
2011-01-24,0,0,1
2011-01-25,0,0,0
2011-01-26,0,0,1
2011-01-27,0,0,1
2011-01-28,0,0,0
2011-01-29,0,0,0
2011-01-30,0,24,0
2011-01-31,1,0,0
2011-02-01,0,0,0
2011-02-02,0,13,0
2011-02-03,0,3,2
2011-02-04,0,0,0
2011-02-05,0,0,0
2011-02-06,0,3,0
2011-02-07,0,0,0
2011-02-08,0,0,1
2011-02-09,0,0,3
2011-02-10,0,0,1
2011-02-11,0,0,1
2011-02-12,0,0,0
2011-02-13,0,0,0
2011-02-14,0,0,1
2011-02-15,0,0,5
2011-02-16,0,2,2
2011-02-17,0,0,5
2011-02-18,0,0,5
2011-02-19,0,0,4
2011-02-20,0,0,0
2011-02-21,0,2,0
2011-02-22,0,0,0
2011-02-23,0,0,0
2011-02-24,0,2,0
2011-02-25,0,0,0
2011-02-26,0,0,0
2011-02-27,0,0,0
2011-02-28,0,0,4
2011-03-01,0,5,2
2011-03-02,0,1,4
2011-03-03,0,6,1
2011-03-04,0,27,1
2011-03-05,0,0,0
2011-03-06,0,0,0
2011-03-07,0,1,3
2011-03-08,0,10,1
2011-03-09,2,1,0
2011-03-10,0,0,6
2011-03-11,0,0,0
2011-03-12,8,0,0
2011-03-13,1,0,0
2011-03-14,0,0,1
2011-03-15,0,0,2
2011-03-16,0,15,3
2011-03-17,0,6,2
2011-03-18,0,14,0
2011-03-19,0,18,1
2011-03-20,0,2,0
2011-03-21,0,3,4
2011-03-22,0,0,3
2011-03-23,0,0,2
2011-03-24,0,0,3
2011-03-25,0,0,6
2011-03-26,0,0,0
2011-03-27,0,0,0
2011-03-28,0,0,0
2011-03-29,0,0,3
2011-03-30,0,0,0
2011-03-31,0,0,0
2011-04-01,0,0,0
2011-04-02,0,0,0
2011-04-03,0,8,0
2011-04-04,1,2,0
2011-04-05,0,1,0
2011-04-06,0,6,0
2011-04-07,0,26,0
2011-04-08,6,3,1
2011-04-09,1,8,0
2011-04-10,3,4,0
2011-04-11,0,25,0
2011-04-12,0,7,11
2011-04-13,3,2,2
2011-04-14,0,0,9
2011-04-15,0,3,1
2011-04-16,0,0,0
2011-04-17,0,1,0
2011-04-18,0,0,1
2011-04-19,0,0,0
2011-04-20,0,3,3
2011-04-21,0,3,0
2011-04-22,0,5,5
2011-04-23,0,6,0
2011-04-24,0,0,0
2011-04-25,0,5,2
2011-04-26,0,1,3
2011-04-27,0,0,5
2011-04-28,0,1,4
2011-04-29,0,4,1
2011-04-30,0,0,0
2011-05-01,0,1,0
2011-05-02,0,0,10
2011-05-03,0,0,4
2011-05-04,0,10,2
2011-05-05,0,1,4
2011-05-06,0,0,3
2011-05-07,2,0,0
2011-05-08,0,0,0
2011-05-09,1,0,0
2011-05-10,0,0,0
2011-05-11,1,0,8
2011-05-12,0,0,1
2011-05-13,0,0,3
2011-05-14,0,0,0
2011-05-15,0,0,0
2011-05-16,0,0,6
2011-05-17,0,0,0
2011-05-18,0,1,6
2011-05-19,0,0,2
2011-05-20,0,1,0
2011-05-21,0,0,0
2011-05-22,0,0,0
2011-05-23,0,0,2
2011-05-24,0,0,4
2011-05-25,1,5,8
2011-05-26,1,0,0
2011-05-27,0,0,0
2011-05-28,0,0,0
2011-05-29,0,0,0
2011-05-30,0,0,0
2011-05-31,0,0,2
2011-06-01,0,0,2
2011-06-02,0,0,2
2011-06-03,0,0,1
2011-06-04,0,2,0
2011-06-05,0,3,0
2011-06-06,0,1,0
2011-06-07,0,2,8
2011-06-08,0,1,6
2011-06-09,0,0,1
2011-06-10,0,0,0
2011-06-11,0,0,0
2011-06-12,0,0,0
2011-06-13,0,0,2
2011-06-14,0,0,2
2011-06-15,0,0,2
2011-06-16,0,4,0
2011-06-17,0,2,1
2011-06-18,0,1,0
2011-06-19,0,0,0
2011-06-20,0,0,8
2011-06-21,0,0,2
2011-06-22,0,0,8
2011-06-23,0,0,0
2011-06-24,0,0,12
2011-06-25,0,0,1
2011-06-26,0,1,0
2011-06-27,0,1,0
2011-06-28,0,0,2
2011-06-29,0,0,7
2011-06-30,0,0,2
2011-07-01,0,0,0
2011-07-02,0,4,0
2011-07-03,0,8,0
2011-07-04,0,9,0
2011-07-05,0,0,0
2011-07-06,0,3,2
2011-07-07,0,7,3
2011-07-08,0,0,3
2011-07-09,0,0,0
2011-07-10,0,7,0
2011-07-11,0,6,2
2011-07-12,0,0,0
2011-07-13,0,2,4
2011-07-14,0,3,4
2011-07-15,0,2,0
2011-07-16,0,4,0
2011-07-17,0,18,0
2011-07-18,3,0,6
2011-07-19,0,17,4
2011-07-20,0,1,0
2011-07-21,0,3,2
2011-07-22,0,0,0
2011-07-23,0,0,0
2011-07-24,0,0,0
2011-07-25,0,0,4
2011-07-26,0,0,4
2011-07-27,0,3,21
2011-07-28,0,1,0
2011-07-29,0,0,0
2011-07-30,0,0,0
2011-07-31,0,0,0
2011-08-01,0,0,19
2011-08-02,0,12,4
2011-08-03,1,11,5
2011-08-04,1,0,7
2011-08-05,0,7,8
2011-08-06,0,1,0
2011-08-07,0,1,0
2011-08-08,0,21,5
2011-08-09,0,2,7
2011-08-10,0,12,1
2011-08-11,0,0,0
2011-08-12,0,0,2
2011-08-13,0,0,0
2011-08-14,0,3,0
2011-08-15,0,0,1
2011-08-16,0,4,3
2011-08-17,0,1,1
2011-08-18,0,7,3
2011-08-19,0,0,0
2011-08-20,0,0,0
2011-08-21,0,1,0
2011-08-22,0,0,0
2011-08-23,0,6,0
2011-08-24,0,0,0
2011-08-25,1,2,0
2011-08-26,0,3,0
2011-08-27,0,0,0
2011-08-28,0,0,0
2011-08-29,0,0,2
2011-08-30,3,0,2
2011-08-31,0,1,5
2011-09-01,0,2,2
2011-09-02,0,6,2
2011-09-03,0,0,0
2011-09-04,0,0,0
2011-09-05,1,2,0
2011-09-06,2,3,5
2011-09-07,6,5,1
2011-09-08,0,3,1
2011-09-09,0,0,1
2011-09-10,0,0,0
2011-09-11,8,5,0
2011-09-12,0,0,7
2011-09-13,0,0,0
2011-09-14,0,0,0
2011-09-15,0,0,11
2011-09-16,0,0,10
2011-09-17,0,0,0
2011-09-18,0,0,0
2011-09-19,0,0,0
2011-09-20,0,0,7
2011-09-21,3,0,0
2011-09-22,2,2,4
2011-09-23,0,1,3
2011-09-24,0,0,0
2011-09-25,0,0,0
2011-09-26,0,0,5
2011-09-27,2,0,2
2011-09-28,5,0,0
2011-09-29,1,1,2
2011-09-30,0,1,0
2011-10-01,0,0,0
2011-10-02,8,0,0
2011-10-03,0,2,19
2011-10-04,0,0,3
2011-10-05,0,0,0
2011-10-06,0,0,3
2011-10-07,1,1,1
2011-10-08,0,0,0
2011-10-09,0,0,0
2011-10-10,0,0,6
2011-10-11,0,0,2
2011-10-12,1,1,8
2011-10-13,0,0,4
2011-10-14,0,4,4
2011-10-15,0,0,0
2011-10-16,0,0,0
2011-10-17,0,0,0
2011-10-18,0,12,6
2011-10-19,0,0,4
2011-10-20,0,0,1
2011-10-21,0,0,3
2011-10-22,0,0,0
2011-10-23,0,0,0
2011-10-24,0,0,0
2011-10-25,0,0,6
2011-10-26,0,0,2
2011-10-27,0,0,2
2011-10-28,0,0,0
2011-10-29,0,0,0
2011-10-30,0,0,0
2011-10-31,0,0,1
2011-11-01,0,0,3
2011-11-02,0,0,3
2011-11-03,0,0,2
2011-11-04,0,0,0
2011-11-05,0,0,0
2011-11-06,0,0,0
2011-11-07,1,0,16
2011-11-08,0,0,2
2011-11-09,1,31,2
2011-11-10,0,4,2
2011-11-11,4,1,3
2011-11-12,0,0,0
2011-11-13,0,0,0
2011-11-14,1,0,5
2011-11-15,0,4,1
2011-11-16,6,4,4
2011-11-17,0,4,5
2011-11-18,0,0,2
2011-11-19,0,0,0
2011-11-20,0,0,0
2011-11-21,0,0,2
2011-11-22,0,1,3
2011-11-23,0,1,3
2011-11-24,0,1,0
2011-11-25,0,0,0
2011-11-26,0,0,0
2011-11-27,0,2,0
2011-11-28,0,0,0
2011-11-29,0,0,0
2011-11-30,0,0,2
2011-12-01,0,0,0
2011-12-02,0,0,3
2011-12-03,0,0,0
2011-12-04,0,0,0
2011-12-05,0,0,4
2011-12-06,0,0,4
2011-12-07,0,0,0
2011-12-08,0,0,0
2011-12-09,0,0,11
2011-12-10,0,0,1
2011-12-11,0,0,0
2011-12-12,0,0,2
2011-12-13,0,0,12
2011-12-14,0,0,6
2011-12-15,0,0,1
2011-12-16,0,0,4
2011-12-17,0,0,1
2011-12-18,0,0,0
2011-12-19,0,0,0
2011-12-20,0,0,0
2011-12-21,0,0,9
2011-12-22,0,0,1
2011-12-23,0,1,0
2011-12-24,0,0,0
2011-12-25,0,0,0
2011-12-26,0,0,0
2011-12-27,0,0,0
2011-12-28,0,6,1
2011-12-29,0,0,0
2011-12-30,0,0,0
2011-12-31,0,0,0
2012-01-01,0,0,0
2012-01-02,0,0,0
2012-01-03,0,0,3
2012-01-04,0,0,4
2012-01-05,0,0,3
2012-01-06,0,0,2
2012-01-07,4,0,0
2012-01-08,0,0,0
2012-01-09,0,0,0
2012-01-10,0,0,0
2012-01-11,0,0,5
2012-01-12,0,0,0
2012-01-13,0,0,1
2012-01-14,0,0,0
2012-01-15,0,0,0
2012-01-16,0,0,0
2012-01-17,0,0,2
2012-01-18,0,0,0
2012-01-19,0,0,1
2012-01-20,3,0,0
2012-01-21,0,0,0
2012-01-22,0,0,0
2012-01-23,2,1,1
2012-01-24,0,0,0
2012-01-25,0,0,4
2012-01-26,0,2,1
2012-01-27,0,0,0
2012-01-28,0,0,0
2012-01-29,0,0,0
2012-01-30,0,0,5
2012-01-31,0,0,0
2012-02-01,0,0,0
2012-02-02,0,0,0
2012-02-03,0,0,0
2012-02-04,0,0,0
2012-02-05,0,0,0
2012-02-06,0,0,0
2012-02-07,0,0,0
2012-02-08,0,0,1
2012-02-09,0,0,2
2012-02-10,0,0,20
2012-02-11,0,1,0
2012-02-12,0,0,0
2012-02-13,0,0,3
2012-02-14,2,0,1
2012-02-15,0,0,1
2012-02-16,0,0,0
2012-02-17,4,0,0
2012-02-18,0,0,0
2012-02-19,0,1,0
2012-02-20,0,0,0
2012-02-21,0,0,7
2012-02-22,3,0,3
2012-02-23,0,0,5
2012-02-24,0,0,5
2012-02-25,0,1,0
2012-02-26,0,0,0
2012-02-27,1,0,0
2012-02-28,0,0,1
2012-02-29,0,8,3
2012-03-01,8,0,2
2012-03-02,0,1,2
2012-03-03,1,0,0
2012-03-04,0,1,0
2012-03-05,1,3,0
2012-03-06,9,0,6
2012-03-07,3,0,2
2012-03-08,0,4,3
2012-03-09,0,0,1
2012-03-10,0,0,0
2012-03-11,0,2,0
2012-03-12,4,1,4
2012-03-13,20,0,10
2012-03-14,4,0,4
2012-03-15,0,1,0
2012-03-16,3,1,13
2012-03-17,3,1,0
2012-03-18,8,0,0
2012-03-19,3,0,3
2012-03-20,4,0,1
2012-03-21,0,0,0
2012-03-22,22,0,7
2012-03-23,5,0,0
2012-03-24,0,0,10
2012-03-25,0,0,0
2012-03-26,5,0,0
2012-03-27,1,0,18
2012-03-28,0,0,0
2012-03-29,3,0,12
2012-03-30,12,0,6
2012-03-31,0,0,0
2012-04-01,4,0,0
2012-04-02,0,0,4
2012-04-03,0,0,3
2012-04-04,1,0,3
2012-04-05,2,9,2
2012-04-06,9,2,4
2012-04-07,0,0,0
2012-04-08,0,0,0
2012-04-09,2,0,0
2012-04-10,9,0,12
2012-04-11,0,0,0
2012-04-12,0,0,0
2012-04-13,0,0,8
2012-04-14,0,0,0
2012-04-15,0,0,0
2012-04-16,17,0,2
2012-04-17,0,0,0
2012-04-18,1,0,1
2012-04-19,0,0,0
2012-04-20,0,0,0
2012-04-21,0,0,0
2012-04-22,0,0,0
2012-04-23,0,0,3
2012-04-24,0,5,2
2012-04-25,0,0,2
2012-04-26,0,0,0
2012-04-27,0,0,4
2012-04-28,0,0,0
2012-04-29,0,0,0
2012-04-30,0,0,0
2012-05-01,0,0,0
2012-05-02,0,0,0
2012-05-03,0,0,0
2012-05-04,0,0,0
2012-05-05,0,0,0
2012-05-06,0,0,0
2012-05-07,0,0,0
2012-05-08,0,0,27
2012-05-09,0,0,0
2012-05-10,0,0,0
2012-05-11,0,0,10
2012-05-12,0,0,0
2012-05-13,0,0,0
2012-05-14,0,0,0
2012-05-15,0,0,0
2012-05-16,0,0,0
2012-05-17,0,0,0
2012-05-18,0,0,0
2012-05-19,0,0,0
2012-05-20,0,0,0
2012-05-21,0,0,8
2012-05-22,0,0,1
2012-05-23,0,0,8
2012-05-24,0,0,1
2012-05-25,0,4,3
2012-05-26,0,0,0
2012-05-27,1,0,0
2012-05-28,4,0,0
2012-05-29,0,0,6
2012-05-30,0,1,2
2012-05-31,0,0,3
2012-06-01,3,0,4
2012-06-02,0,0,0
2012-06-03,1,0,0
2012-06-04,0,0,0
2012-06-05,1,0,0
2012-06-06,1,0,5
2012-06-07,11,0,0
2012-06-08,0,0,0
2012-06-09,0,2,0
2012-06-10,0,1,0
2012-06-11,1,0,5
2012-06-12,18,0,3
2012-06-13,0,0,13
2012-06-14,0,0,2
2012-06-15,0,0,1
2012-06-16,0,0,0
2012-06-17,0,0,0
2012-06-18,0,0,3
2012-06-19,0,0,19
2012-06-20,0,0,8
2012-06-21,0,0,1
2012-06-22,0,0,5
2012-06-23,0,0,0
2012-06-24,0,0,0
