,rails/rails,sinatra/sinatra,django/django
2020-01-12,3,0,0.0
2020-01-13,8,0,2.0
2020-01-14,10,0,2.0
2020-01-15,13,0,7.0
2020-01-16,6,0,6.0
2020-01-17,8,0,6.0
2020-01-18,0,0,1.0
2020-01-19,10,0,0.0
2020-01-20,8,0,6.0
2020-01-21,12,0,5.0
2020-01-22,3,0,5.0
2020-01-23,16,0,3.0
2020-01-24,9,0,4.0
2020-01-25,2,0,0.0
2020-01-26,6,0,0.0
2020-01-27,17,0,6.0
2020-01-28,5,0,3.0
2020-01-29,11,0,13.0
2020-01-30,7,0,2.0
2020-01-31,0,0,7.0
2020-02-01,3,0,0.0
2020-02-02,4,0,0.0
2020-02-03,2,0,7.0
2020-02-04,5,0,7.0
2020-02-05,12,0,5.0
2020-02-06,8,0,5.0
2020-02-07,13,0,5.0
2020-02-08,4,0,1.0
2020-02-09,14,0,0.0
2020-02-10,23,0,5.0
2020-02-11,8,0,4.0
2020-02-12,11,0,3.0
2020-02-13,14,0,5.0
2020-02-14,6,1,4.0
2020-02-15,1,0,0.0
2020-02-16,12,0,0.0
2020-02-17,2,0,1.0
2020-02-18,3,1,6.0
2020-02-19,2,0,7.0
2020-02-20,13,0,3.0
2020-02-21,6,0,0.0
2020-02-22,4,0,0.0
2020-02-23,0,0,0.0
2020-02-24,22,0,5.0
2020-02-25,26,0,1.0
2020-02-26,12,0,8.0
2020-02-27,31,0,5.0
2020-02-28,12,0,7.0
2020-02-29,3,0,1.0
2020-03-01,0,0,0.0
2020-03-02,3,0,2.0
2020-03-03,8,0,5.0
2020-03-04,21,0,7.0
2020-03-05,14,0,6.0
2020-03-06,7,0,6.0
2020-03-07,4,0,2.0
2020-03-08,0,0,0.0
2020-03-09,6,0,7.0
2020-03-10,9,4,10.0
2020-03-11,5,1,3.0
2020-03-12,14,0,4.0
2020-03-13,8,11,4.0
2020-03-14,4,0,2.0
2020-03-15,0,1,0.0
2020-03-16,11,1,5.0
2020-03-17,5,0,9.0
2020-03-18,8,5,7.0
2020-03-19,10,4,6.0
2020-03-20,7,2,2.0
2020-03-21,9,0,2.0
2020-03-22,3,0,0.0
2020-03-23,6,0,5.0
2020-03-24,8,0,8.0
2020-03-25,3,1,11.0
2020-03-26,4,0,4.0
2020-03-27,5,0,2.0
2020-03-28,5,0,0.0
2020-03-29,9,0,0.0
2020-03-30,6,0,1.0
2020-03-31,12,0,7.0
2020-04-01,3,0,7.0
2020-04-02,3,0,5.0
2020-04-03,3,0,0.0
2020-04-04,5,0,2.0
2020-04-05,6,0,0.0
2020-04-06,5,0,4.0
2020-04-07,8,0,15.0
2020-04-08,13,0,5.0
2020-04-09,3,0,9.0
2020-04-10,9,0,6.0
2020-04-11,8,0,0.0
2020-04-12,4,0,0.0
2020-04-13,14,0,0.0
2020-04-14,14,0,10.0
2020-04-15,6,0,9.0
2020-04-16,6,0,5.0
2020-04-17,4,0,6.0
2020-04-18,5,0,1.0
2020-04-19,4,0,0.0
2020-04-20,8,0,12.0
2020-04-21,5,0,7.0
2020-04-22,6,0,11.0
2020-04-23,8,0,4.0
2020-04-24,10,0,5.0
2020-04-25,10,0,2.0
2020-04-26,4,0,0.0
2020-04-27,9,0,5.0
2020-04-28,8,0,9.0
2020-04-29,8,0,7.0
2020-04-30,5,0,5.0
2020-05-01,22,0,7.0
2020-05-02,11,0,2.0
2020-05-03,8,0,0.0
2020-05-04,16,0,9.0
2020-05-05,35,0,7.0
2020-05-06,24,0,6.0
2020-05-07,19,0,3.0
2020-05-08,13,0,11.0
2020-05-09,15,0,0.0
2020-05-10,11,0,0.0
2020-05-11,11,0,9.0
2020-05-12,23,0,7.0
2020-05-13,17,0,17.0
2020-05-14,17,0,12.0
2020-05-15,13,0,6.0
2020-05-16,12,0,0.0
2020-05-17,21,0,0.0
2020-05-18,20,0,7.0
2020-05-19,21,0,6.0
2020-05-20,21,0,5.0
2020-05-21,9,0,7.0
2020-05-22,4,0,0.0
2020-05-23,15,0,2.0
2020-05-24,16,0,0.0
2020-05-25,9,0,6.0
2020-05-26,16,0,4.0
2020-05-27,12,0,11.0
2020-05-28,16,0,6.0
2020-05-29,12,0,6.0
2020-05-30,1,0,0.0
2020-05-31,12,0,0.0
2020-06-01,21,0,9.0
2020-06-02,13,0,4.0
2020-06-03,14,0,14.0
2020-06-04,19,0,11.0
2020-06-05,11,0,4.0
2020-06-06,2,0,0.0
2020-06-07,7,0,0.0
2020-06-08,4,0,5.0
2020-06-09,5,0,0.0
2020-06-10,12,0,7.0
2020-06-11,7,0,2.0
2020-06-12,3,0,6.0
2020-06-13,12,0,0.0
2020-06-14,13,0,0.0
2020-06-15,11,0,4.0
2020-06-16,5,0,5.0
2020-06-17,9,0,10.0
2020-06-18,5,0,3.0
2020-06-19,16,0,0.0
2020-06-20,20,0,0.0
2020-06-21,4,0,0.0
2020-06-22,9,0,7.0
2020-06-23,6,0,7.0
2020-06-24,6,0,10.0
2020-06-25,7,0,5.0
2020-06-26,0,0,5.0
2020-06-27,4,0,0.0
2020-06-28,2,0,0.0
2020-06-29,10,0,2.0
2020-06-30,8,0,6.0
2020-07-01,4,0,7.0
2020-07-02,8,0,2.0
2020-07-03,2,0,4.0
2020-07-04,2,0,2.0
2020-07-05,3,1,0.0
2020-07-06,13,0,4.0
2020-07-07,12,0,2.0
2020-07-08,8,0,7.0
2020-07-09,7,0,3.0
2020-07-10,3,0,6.0
2020-07-11,1,0,0.0
2020-07-12,1,6,0.0
2020-07-13,7,0,4.0
2020-07-14,6,0,5.0
2020-07-15,4,0,3.0
2020-07-16,4,0,6.0
2020-07-17,4,0,3.0
2020-07-18,5,2,0.0
2020-07-19,4,0,0.0
2020-07-20,6,1,7.0
2020-07-21,2,0,3.0
2020-07-22,7,0,8.0
2020-07-23,7,0,2.0
2020-07-24,4,0,2.0
2020-07-25,10,0,0.0
2020-07-26,6,1,0.0
2020-07-27,9,0,4.0
2020-07-28,7,3,6.0
2020-07-29,6,0,7.0
2020-07-30,10,0,4.0
2020-07-31,12,0,4.0
2020-08-01,4,1,2.0
2020-08-02,2,0,0.0
2020-08-03,7,0,2.0
2020-08-04,6,0,3.0
2020-08-05,3,0,7.0
2020-08-06,6,0,3.0
2020-08-07,6,0,4.0
2020-08-08,3,5,3.0
2020-08-09,0,1,0.0
2020-08-10,8,0,2.0
2020-08-11,4,1,6.0
2020-08-12,8,2,2.0
2020-08-13,2,0,5.0
2020-08-14,16,1,5.0
2020-08-15,5,1,0.0
2020-08-16,0,0,0.0
2020-08-17,11,0,2.0
2020-08-18,4,0,5.0
2020-08-19,8,0,2.0
2020-08-20,5,0,4.0
2020-08-21,3,0,2.0
2020-08-22,4,0,0.0
2020-08-23,12,0,0.0
2020-08-24,8,0,7.0
2020-08-25,11,0,2.0
2020-08-26,31,0,4.0
2020-08-27,2,0,2.0
2020-08-28,0,0,9.0
2020-08-29,2,1,0.0
2020-08-30,4,1,0.0
2020-08-31,6,2,6.0
2020-09-01,9,0,7.0
2020-09-02,11,0,7.0
2020-09-03,10,5,4.0
2020-09-04,7,7,3.0
2020-09-05,7,0,1.0
2020-09-06,6,0,0.0
2020-09-07,5,0,4.0
2020-09-08,12,0,0.0
2020-09-09,6,0,4.0
2020-09-10,4,0,5.0
2020-09-11,4,0,3.0
2020-09-12,1,0,0.0
2020-09-13,3,0,2.0
2020-09-14,4,0,5.0
2020-09-15,6,0,5.0
2020-09-16,10,0,4.0
2020-09-17,5,0,4.0
2020-09-18,1,1,1.0
2020-09-19,4,0,0.0
2020-09-20,5,0,0.0
2020-09-21,10,0,2.0
2020-09-22,18,0,5.0
2020-09-23,13,1,7.0
2020-09-24,10,0,3.0
2020-09-25,9,3,8.0
2020-09-26,5,0,0.0
2020-09-27,1,0,0.0
2020-09-28,3,1,1.0
2020-09-29,6,0,3.0
2020-09-30,4,0,5.0
2020-10-01,3,1,7.0
2020-10-02,69,5,2.0
2020-10-03,9,0,0.0
2020-10-04,2,0,0.0
2020-10-05,7,1,5.0
2020-10-06,10,2,7.0
2020-10-07,22,0,4.0
2020-10-08,3,1,4.0
2020-10-09,6,0,3.0
2020-10-10,1,0,0.0
2020-10-11,2,0,0.0
2020-10-12,2,0,3.0
2020-10-13,13,0,5.0
2020-10-14,7,1,10.0
2020-10-15,5,0,7.0
2020-10-16,5,0,3.0
2020-10-17,0,0,2.0
2020-10-18,2,2,2.0
2020-10-19,3,0,7.0
2020-10-20,1,0,3.0
2020-10-21,16,0,8.0
2020-10-22,11,0,4.0
2020-10-23,5,0,1.0
2020-10-24,4,0,0.0
2020-10-25,6,0,0.0
2020-10-26,8,0,6.0
2020-10-27,25,0,8.0
2020-10-28,13,0,7.0
2020-10-29,23,0,3.0
2020-10-30,118,0,7.0
2020-10-31,14,0,0.0
2020-11-01,17,0,0.0
2020-11-02,34,0,7.0
2020-11-03,21,0,6.0
2020-11-04,10,5,9.0
2020-11-05,13,1,4.0
2020-11-06,13,0,4.0
2020-11-07,6,0,1.0
2020-11-08,4,0,0.0
2020-11-09,32,1,2.0
2020-11-10,7,1,7.0
2020-11-11,4,1,8.0
2020-11-12,3,0,3.0
2020-11-13,4,2,4.0
2020-11-14,2,0,4.0
2020-11-15,5,0,0.0
2020-11-16,3,0,3.0
2020-11-17,9,0,1.0
2020-11-18,3,0,0.0
2020-11-19,6,0,3.0
2020-11-20,2,0,3.0
2020-11-21,3,0,1.0
2020-11-22,3,0,0.0
2020-11-23,2,0,0.0
2020-11-24,11,0,3.0
2020-11-25,18,0,4.0
2020-11-26,20,0,2.0
2020-11-27,9,0,3.0
2020-11-28,5,0,5.0
2020-11-29,1,0,0.0
2020-11-30,13,0,4.0
2020-12-01,11,0,2.0
2020-12-02,10,0,1.0
2020-12-03,12,0,2.0
2020-12-04,4,0,0.0
2020-12-05,1,0,0.0
2020-12-06,3,0,0.0
2020-12-07,3,0,4.0
2020-12-08,15,0,5.0
2020-12-09,22,0,1.0
2020-12-10,8,0,3.0
2020-12-11,13,0,4.0
2020-12-12,2,0,0.0
2020-12-13,6,4,0.0
2020-12-14,12,0,6.0
2020-12-15,9,0,8.0
2020-12-16,8,0,2.0
2020-12-17,14,4,3.0
2020-12-18,23,2,2.0
2020-12-19,3,0,0.0
2020-12-20,4,0,1.0
2020-12-21,1,0,5.0
2020-12-22,5,0,2.0
2020-12-23,7,0,6.0
2020-12-24,3,0,0.0
2020-12-25,4,0,0.0
2020-12-26,9,0,0.0
2020-12-27,7,0,0.0
2020-12-28,11,3,5.0
2020-12-29,39,4,5.0
2020-12-30,14,3,2.0
2020-12-31,4,0,2.0
2021-01-01,8,0,0.0
2021-01-02,4,0,2.0
2021-01-03,0,0,0.0
2021-01-04,4,0,7.0
2021-01-05,15,2,3.0
2021-01-06,11,0,3.0
2021-01-07,8,5,3.0
2021-01-08,19,1,0.0
2021-01-09,6,0,1.0
2021-01-10,2,0,0.0
2021-01-11,4,0,4.0
2021-01-12,11,0,8.0
2021-01-13,5,2,5.0
2021-01-14,4,0,43.0
2021-01-15,1,0,1.0
2021-01-16,11,0,2.0
2021-01-17,4,0,0.0
2021-01-18,9,0,5.0
2021-01-19,18,0,9.0
2021-01-20,15,0,5.0
2021-01-21,16,0,3.0
2021-01-22,19,0,3.0
2021-01-23,6,0,0.0
2021-01-24,14,0,0.0
2021-01-25,14,0,2.0
2021-01-26,7,0,3.0
2021-01-27,22,0,6.0
2021-01-28,12,0,4.0
2021-01-29,5,0,3.0
2021-01-30,3,0,0.0
2021-01-31,0,0,0.0
2021-02-01,8,0,4.0
2021-02-02,28,0,1.0
2021-02-03,9,0,2.0
2021-02-04,21,0,11.0
2021-02-05,23,0,3.0
2021-02-06,7,0,2.0
2021-02-07,5,0,0.0
2021-02-08,25,0,4.0
2021-02-09,16,0,2.0
2021-02-10,16,0,4.0
2021-02-11,16,0,7.0
2021-02-12,18,1,4.0
2021-02-13,6,0,1.0
2021-02-14,8,1,0.0
2021-02-15,17,0,3.0
2021-02-16,13,0,2.0
2021-02-17,11,1,2.0
2021-02-18,14,0,4.0
2021-02-19,9,0,5.0
2021-02-20,6,0,0.0
2021-02-21,4,0,0.0
2021-02-22,9,0,3.0
2021-02-23,14,0,6.0
2021-02-24,4,0,7.0
2021-02-25,13,0,3.0
2021-02-26,4,0,10.0
2021-02-27,2,0,0.0
2021-02-28,4,1,0.0
2021-03-01,12,1,3.0
2021-03-02,9,0,3.0
2021-03-03,15,0,7.0
2021-03-04,9,0,6.0
2021-03-05,14,1,3.0
2021-03-06,1,0,1.0
2021-03-07,12,0,0.0
2021-03-08,12,0,5.0
2021-03-09,7,0,6.0
2021-03-10,12,0,6.0
2021-03-11,4,0,3.0
2021-03-12,4,0,6.0
2021-03-13,0,0,0.0
2021-03-14,1,2,0.0
2021-03-15,11,1,6.0
2021-03-16,9,0,4.0
2021-03-17,2,0,5.0
2021-03-18,3,0,9.0
2021-03-19,5,1,8.0
2021-03-20,3,1,0.0
2021-03-21,4,0,0.0
2021-03-22,24,1,7.0
2021-03-23,11,0,6.0
2021-03-24,14,0,8.0
2021-03-25,11,1,7.0
2021-03-26,5,0,4.0
2021-03-27,2,0,0.0
2021-03-28,8,0,0.0
2021-03-29,4,0,4.0
2021-03-30,7,0,7.0
2021-03-31,8,0,4.0
2021-04-01,73,0,2.0
2021-04-02,11,0,3.0
2021-04-03,10,0,1.0
2021-04-04,1,0,0.0
2021-04-05,5,0,0.0
2021-04-06,8,0,9.0
2021-04-07,9,0,8.0
2021-04-08,18,0,4.0
2021-04-09,3,0,5.0
2021-04-10,5,0,1.0
2021-04-11,31,0,0.0
2021-04-12,26,0,3.0
2021-04-13,43,0,3.0
2021-04-14,19,0,7.0
2021-04-15,25,0,3.0
2021-04-16,5,0,4.0
2021-04-17,3,3,0.0
2021-04-18,3,0,0.0
2021-04-19,12,0,4.0
2021-04-20,16,0,5.0
2021-04-21,19,0,5.0
2021-04-22,13,0,4.0
2021-04-23,8,0,4.0
2021-04-24,9,0,0.0
2021-04-25,9,0,0.0
2021-04-26,10,0,2.0
2021-04-27,6,0,8.0
2021-04-28,17,0,5.0
2021-04-29,16,0,7.0
2021-04-30,13,0,4.0
2021-05-01,10,0,0.0
2021-05-02,19,0,0.0
2021-05-03,19,0,0.0
2021-05-04,13,0,8.0
2021-05-05,10,0,4.0
2021-05-06,13,0,6.0
2021-05-07,4,3,3.0
2021-05-08,18,1,0.0
2021-05-09,1,0,0.0
2021-05-10,16,0,0.0
2021-05-11,19,0,1.0
2021-05-12,15,0,12.0
2021-05-13,9,0,6.0
2021-05-14,9,0,4.0
2021-05-15,3,0,0.0
2021-05-16,3,0,0.0
2021-05-17,9,0,7.0
2021-05-18,9,0,7.0
2021-05-19,7,0,5.0
2021-05-20,0,0,6.0
2021-05-21,6,0,3.0
2021-05-22,4,0,0.0
2021-05-23,4,0,0.0
2021-05-24,11,0,4.0
2021-05-25,7,0,3.0
2021-05-26,7,0,7.0
2021-05-27,4,0,3.0
2021-05-28,6,0,6.0
2021-05-29,7,0,2.0
2021-05-30,9,0,0.0
2021-05-31,19,0,4.0
2021-06-01,12,0,5.0
2021-06-02,15,3,9.0
2021-06-03,18,0,6.0
2021-06-04,16,0,4.0
2021-06-05,6,0,3.0
2021-06-06,5,0,0.0
2021-06-07,8,0,10.0
2021-06-08,20,0,4.0
2021-06-09,10,0,3.0
2021-06-10,29,0,6.0
2021-06-11,14,0,2.0
2021-06-12,6,0,1.0
2021-06-13,5,0,0.0
2021-06-14,12,0,0.0
2021-06-15,20,0,2.0
2021-06-16,29,0,0.0
2021-06-17,26,0,0.0
2021-06-18,12,0,0.0
2021-06-19,2,0,0.0
2021-06-20,7,0,0.0
2021-06-21,7,0,3.0
2021-06-22,18,0,10.0
2021-06-23,25,0,7.0
2021-06-24,20,1,3.0
2021-06-25,27,1,1.0
2021-06-26,4,0,1.0
2021-06-27,14,0,0.0
2021-06-28,14,0,10.0
2021-06-29,15,0,9.0
2021-06-30,9,0,6.0
2021-07-01,11,0,10.0
2021-07-02,8,1,4.0
2021-07-03,5,0,0.0
2021-07-04,3,0,0.0
2021-07-05,8,0,7.0
2021-07-06,7,0,5.0
2021-07-07,13,0,6.0
2021-07-08,12,0,3.0
2021-07-09,3,0,4.0
2021-07-10,2,0,0.0
2021-07-11,1,0,0.0
2021-07-12,17,0,3.0
2021-07-13,23,0,8.0
2021-07-14,19,1,3.0
2021-07-15,7,0,6.0
2021-07-16,9,0,9.0
2021-07-17,0,0,0.0
2021-07-18,3,0,0.0
2021-07-19,9,0,7.0
2021-07-20,12,0,5.0
2021-07-21,16,0,2.0
2021-07-22,8,0,5.0
2021-07-23,13,0,7.0
2021-07-24,3,0,0.0
2021-07-25,3,0,0.0
2021-07-26,9,0,4.0
2021-07-27,13,0,6.0
2021-07-28,18,0,6.0
2021-07-29,21,0,7.0
2021-07-30,2,0,9.0
2021-07-31,0,0,0.0
2021-08-01,1,0,0.0
2021-08-02,3,0,9.0
2021-08-03,6,0,6.0
2021-08-04,12,0,6.0
2021-08-05,7,0,4.0
2021-08-06,16,0,5.0
2021-08-07,9,0,0.0
2021-08-08,3,0,0.0
2021-08-09,12,0,11.0
2021-08-10,11,0,2.0
2021-08-11,13,0,1.0
2021-08-12,6,0,0.0
2021-08-13,5,0,2.0
2021-08-14,1,0,0.0
2021-08-15,4,0,0.0
2021-08-16,9,0,0.0
2021-08-17,31,2,6.0
2021-08-18,33,0,0.0
2021-08-19,5,0,7.0
2021-08-20,7,0,3.0
2021-08-21,6,0,0.0
2021-08-22,7,0,0.0
2021-08-23,26,0,1.0
2021-08-24,18,0,3.0
2021-08-25,13,0,3.0
2021-08-26,19,0,3.0
2021-08-27,10,0,6.0
2021-08-28,13,0,0.0
2021-08-29,10,0,0.0
2021-08-30,3,0,4.0
2021-08-31,9,1,7.0
2021-09-01,1,0,9.0
2021-09-02,7,0,4.0
2021-09-03,3,0,3.0
2021-09-04,12,0,1.0
2021-09-05,4,0,0.0
2021-09-06,5,0,2.0
2021-09-07,6,0,4.0
2021-09-08,7,0,3.0
2021-09-09,8,0,1.0
2021-09-10,3,0,5.0
2021-09-11,3,0,0.0
2021-09-12,4,0,0.0
2021-09-13,6,0,2.0
2021-09-14,4,0,2.0
2021-09-15,19,0,0.0
2021-09-16,10,0,4.0
2021-09-17,10,0,8.0
2021-09-18,2,0,1.0
2021-09-19,11,0,0.0
2021-09-20,35,0,20.0
2021-09-21,18,0,8.0
2021-09-22,17,0,10.0
2021-09-23,6,0,2.0
2021-09-24,8,0,5.0
2021-09-25,0,0,0.0
2021-09-26,3,0,0.0
2021-09-27,9,0,5.0
2021-09-28,6,0,3.0
2021-09-29,4,0,5.0
2021-09-30,2,0,4.0
2021-10-01,11,0,6.0
2021-10-02,0,0,0.0
2021-10-03,5,0,0.0
2021-10-04,7,1,4.0
2021-10-05,8,0,7.0
2021-10-06,7,0,6.0
2021-10-07,3,0,1.0
2021-10-08,2,0,4.0
2021-10-09,3,0,0.0
2021-10-10,7,0,0.0
2021-10-11,15,0,5.0
2021-10-12,24,0,9.0
2021-10-13,19,0,2.0
2021-10-14,32,0,8.0
2021-10-15,11,0,5.0
2021-10-16,1,0,0.0
2021-10-17,2,0,0.0
2021-10-18,3,0,4.0
2021-10-19,4,0,2.0
2021-10-20,6,1,4.0
2021-10-21,9,0,7.0
2021-10-22,5,0,1.0
2021-10-23,6,0,0.0
2021-10-24,0,0,0.0
2021-10-25,7,0,3.0
2021-10-26,12,0,4.0
2021-10-27,16,0,3.0
2021-10-28,13,0,2.0
2021-10-29,14,0,1.0
2021-10-30,2,0,0.0
2021-10-31,0,0,0.0
2021-11-01,9,0,4.0
2021-11-02,10,1,6.0
2021-11-03,2,0,9.0
2021-11-04,5,0,7.0
2021-11-05,7,0,3.0
2021-11-06,9,0,0.0
2021-11-07,3,0,0.0
2021-11-08,4,0,3.0
2021-11-09,5,0,2.0
2021-11-10,4,0,2.0
2021-11-11,5,0,2.0
2021-11-12,6,0,4.0
2021-11-13,1,0,0.0
2021-11-14,4,0,0.0
2021-11-15,36,0,5.0
2021-11-16,6,0,3.0
2021-11-17,41,0,2.0
2021-11-18,12,0,3.0
2021-11-19,32,0,2.0
2021-11-20,2,0,0.0
2021-11-21,1,0,0.0
2021-11-22,20,0,4.0
2021-11-23,16,0,5.0
2021-11-24,15,0,6.0
2021-11-25,27,0,3.0
2021-11-26,12,0,5.0
2021-11-27,1,0,0.0
2021-11-28,0,0,0.0
2021-11-29,14,0,4.0
2021-11-30,13,0,3.0
2021-12-01,2,0,1.0
2021-12-02,8,0,8.0
2021-12-03,13,0,4.0
2021-12-04,11,0,1.0
2021-12-05,2,0,0.0
2021-12-06,12,0,2.0
2021-12-07,25,0,9.0
2021-12-08,27,0,7.0
2021-12-09,11,1,3.0
2021-12-10,11,0,6.0
2021-12-11,3,0,0.0
2021-12-12,7,0,0.0
2021-12-13,11,0,8.0
2021-12-14,18,0,5.0
2021-12-15,30,0,4.0
2021-12-16,16,0,4.0
2021-12-17,16,0,2.0
2021-12-18,1,0,0.0
2021-12-19,5,0,0.0
2021-12-20,16,0,5.0
2021-12-21,10,1,7.0
2021-12-22,8,0,5.0
2021-12-23,11,0,7.0
2021-12-24,4,0,1.0
2021-12-25,5,0,0.0
2021-12-26,8,0,0.0
2021-12-27,6,0,3.0
2021-12-28,6,0,4.0
2021-12-29,3,0,2.0
2021-12-30,2,0,7.0
2021-12-31,2,0,1.0
2022-01-01,3,0,0.0
2022-01-02,7,0,0.0
2022-01-03,20,0,2.0
2022-01-04,22,0,13.0
2022-01-05,22,0,5.0
2022-01-06,22,0,2.0
2022-01-07,16,0,6.0
2022-01-08,4,0,1.0
2022-01-09,5,0,0.0
2022-01-10,9,0,7.0
2022-01-11,15,0,4.0
2022-01-12,5,0,8.0
2022-01-13,1,0,10.0
2022-01-14,3,0,2.0
2022-01-15,0,0,0.0
2022-01-16,0,0,0.0
2022-01-17,5,0,3.0
2022-01-18,7,0,2.0
2022-01-19,1,0,3.0
2022-01-20,12,0,3.0
2022-01-21,10,0,3.0
2022-01-22,7,0,1.0
2022-01-23,0,0,0.0
2022-01-24,10,0,4.0
2022-01-25,8,0,5.0
2022-01-26,12,0,6.0
2022-01-27,7,0,3.0
2022-01-28,7,0,2.0
2022-01-29,3,0,3.0
2022-01-30,3,1,0.0
2022-01-31,1,0,1.0
2022-02-01,9,1,7.0
2022-02-02,6,17,4.0
2022-02-03,8,0,6.0
2022-02-04,1,0,1.0
2022-02-05,4,9,1.0
2022-02-06,7,0,0.0
2022-02-07,17,0,6.0
2022-02-08,16,0,3.0
2022-02-09,12,0,3.0
2022-02-10,14,1,3.0
2022-02-11,9,0,2.0
2022-02-12,16,0,1.0
2022-02-13,14,3,0.0
2022-02-14,18,0,5.0
2022-02-15,12,0,4.0
2022-02-16,10,4,4.0
2022-02-17,27,1,2.0
2022-02-18,11,2,3.0
2022-02-19,7,1,1.0
2022-02-20,4,0,0.0
2022-02-21,30,6,6.0
2022-02-22,15,0,5.0
2022-02-23,17,0,7.0
2022-02-24,19,8,3.0
2022-02-25,18,1,4.0
2022-02-26,0,3,2.0
2022-02-27,5,4,0.0
2022-02-28,18,2,1.0
2022-03-01,13,2,3.0
2022-03-02,8,1,6.0
2022-03-03,8,1,3.0
2022-03-04,15,3,4.0
2022-03-05,6,1,0.0
2022-03-06,3,0,0.0
2022-03-07,3,0,5.0
2022-03-08,16,0,6.0
2022-03-09,10,0,5.0
2022-03-10,7,0,2.0
2022-03-11,4,3,3.0
2022-03-12,3,1,0.0
2022-03-13,12,0,0.0
2022-03-14,20,0,4.0
2022-03-15,9,1,4.0
2022-03-16,10,0,6.0
2022-03-17,6,0,7.0
2022-03-18,7,0,3.0
2022-03-19,7,0,1.0
2022-03-20,9,0,0.0
2022-03-21,9,0,2.0
2022-03-22,1,0,5.0
2022-03-23,13,0,2.0
2022-03-24,7,0,3.0
2022-03-25,6,0,5.0
