,grafana/grafana,netdata/netdata,cacti/cacti
2018-01-12,4,5,8
2018-01-13,0,12,13
2018-01-14,2,17,25
2018-01-15,11,9,48
2018-01-16,31,0,17
2018-01-17,7,0,5
2018-01-18,20,9,1
2018-01-19,10,10,16
2018-01-20,3,23,18
2018-01-21,2,2,8
2018-01-22,13,6,3
2018-01-23,13,4,4
2018-01-24,18,3,3
2018-01-25,35,35,2
2018-01-26,19,4,0
2018-01-27,3,35,13
2018-01-28,1,4,16
2018-01-29,22,8,0
2018-01-30,45,9,1
2018-01-31,58,0,0
2018-02-01,41,5,0
2018-02-02,11,9,0
2018-02-03,6,2,13
2018-02-04,3,6,19
2018-02-05,41,0,8
2018-02-06,13,3,3
2018-02-07,8,0,17
2018-02-08,14,1,9
2018-02-09,17,0,18
2018-02-10,1,5,20
2018-02-11,0,6,20
2018-02-12,16,4,5
2018-02-13,6,2,6
2018-02-14,30,3,9
2018-02-15,21,0,10
2018-02-16,23,2,1
2018-02-17,2,9,8
2018-02-18,2,7,7
2018-02-19,13,10,13
2018-02-20,19,41,12
2018-02-21,29,5,0
2018-02-22,26,3,9
2018-02-23,6,11,7
2018-02-24,1,14,9
2018-02-25,1,24,14
2018-02-26,9,17,5
2018-02-27,13,3,6
2018-02-28,12,16,0
2018-03-01,8,7,0
2018-03-02,2,0,1
2018-03-03,4,0,10
2018-03-04,6,0,7
2018-03-05,6,14,0
2018-03-06,26,0,3
2018-03-07,39,6,3
2018-03-08,14,9,7
2018-03-09,9,1,3
2018-03-10,2,1,0
2018-03-11,1,21,1
2018-03-12,20,9,1
2018-03-13,37,14,3
2018-03-14,26,1,2
2018-03-15,22,0,1
2018-03-16,18,0,0
2018-03-17,1,0,6
2018-03-18,1,7,10
2018-03-19,29,6,5
2018-03-20,38,2,0
2018-03-21,11,1,9
2018-03-22,32,0,5
2018-03-23,38,0,1
2018-03-24,6,10,6
2018-03-25,2,1,2
2018-03-26,14,13,5
2018-03-27,21,7,0
2018-03-28,24,2,0
2018-03-29,6,5,2
2018-03-30,6,0,6
2018-03-31,0,1,0
2018-04-01,0,0,0
2018-04-02,5,2,0
2018-04-03,20,6,3
2018-04-04,19,0,3
2018-04-05,21,3,1
2018-04-06,11,0,7
2018-04-07,1,0,11
2018-04-08,6,0,15
2018-04-09,22,1,3
2018-04-10,24,3,0
2018-04-11,14,0,0
2018-04-12,19,0,1
2018-04-13,29,0,5
2018-04-14,5,2,4
2018-04-15,5,0,4
2018-04-16,56,7,0
2018-04-17,56,4,0
2018-04-18,22,6,0
2018-04-19,21,2,3
2018-04-20,19,2,0
2018-04-21,1,0,5
2018-04-22,5,2,10
2018-04-23,19,2,2
2018-04-24,16,1,8
2018-04-25,10,1,0
2018-04-26,11,6,1
2018-04-27,24,3,0
2018-04-28,2,0,6
2018-04-29,0,1,4
2018-04-30,12,4,3
2018-05-01,3,9,0
2018-05-02,19,14,0
2018-05-03,10,13,0
2018-05-04,4,0,0
2018-05-05,2,0,0
2018-05-06,1,0,8
2018-05-07,23,6,2
2018-05-08,38,6,6
2018-05-09,3,2,3
2018-05-10,2,12,19
2018-05-11,4,0,14
2018-05-12,1,0,5
2018-05-13,0,0,5
2018-05-14,8,1,1
2018-05-15,5,0,1
2018-05-16,10,0,0
2018-05-17,4,0,0
2018-05-18,11,2,0
2018-05-19,3,1,0
2018-05-20,2,0,0
2018-05-21,21,3,0
2018-05-22,2,2,0
2018-05-23,15,4,0
2018-05-24,11,0,0
2018-05-25,10,6,0
2018-05-26,3,8,0
2018-05-27,4,2,0
2018-05-28,23,5,0
2018-05-29,24,15,0
2018-05-30,18,1,2
2018-05-31,15,12,0
2018-06-01,8,43,0
2018-06-02,1,0,13
2018-06-03,0,0,5
2018-06-04,48,15,1
2018-06-05,19,8,0
2018-06-06,10,5,3
2018-06-07,15,3,0
2018-06-08,5,1,0
2018-06-09,2,0,6
2018-06-10,0,15,5
2018-06-11,1,20,0
2018-06-12,8,0,1
2018-06-13,11,2,0
2018-06-14,40,2,0
2018-06-15,38,2,0
2018-06-16,4,6,0
2018-06-17,0,2,4
2018-06-18,20,5,0
2018-06-19,18,3,0
2018-06-20,17,11,0
2018-06-21,12,13,0
2018-06-22,2,15,0
2018-06-23,1,3,0
2018-06-24,0,7,0
2018-06-25,22,11,0
2018-06-26,24,12,0
2018-06-27,6,5,0
2018-06-28,14,13,0
2018-06-29,23,1,0
2018-06-30,4,2,0
2018-07-01,6,8,0
2018-07-02,12,2,0
2018-07-03,8,9,0
2018-07-04,30,4,3
2018-07-05,8,3,0
2018-07-06,17,12,0
2018-07-07,9,8,0
2018-07-08,8,10,0
2018-07-09,23,3,0
2018-07-10,12,11,0
2018-07-11,23,4,3
2018-07-12,9,4,0
2018-07-13,10,1,0
2018-07-14,5,0,9
2018-07-15,13,0,5
2018-07-16,12,2,0
2018-07-17,11,4,0
2018-07-18,12,15,0
2018-07-19,0,0,1
2018-07-20,5,0,0
2018-07-21,2,0,9
2018-07-22,5,1,2
2018-07-23,24,1,5
2018-07-24,31,3,1
2018-07-25,16,7,3
2018-07-26,12,0,4
2018-07-27,36,4,9
2018-07-28,3,2,8
2018-07-29,4,0,18
2018-07-30,18,0,0
2018-07-31,10,0,5
2018-08-01,15,1,1
2018-08-02,39,8,3
2018-08-03,12,5,3
2018-08-04,0,0,0
2018-08-05,13,3,3
2018-08-06,21,1,7
2018-08-07,19,0,11
2018-08-08,20,0,6
2018-08-09,17,0,6
2018-08-10,13,0,1
2018-08-11,0,0,10
2018-08-12,4,2,1
2018-08-13,36,3,1
2018-08-14,49,4,3
2018-08-15,8,0,4
2018-08-16,8,0,7
2018-08-17,18,1,7
2018-08-18,8,0,23
2018-08-19,0,0,10
2018-08-20,11,0,7
2018-08-21,15,0,5
2018-08-22,4,1,2
2018-08-23,10,0,2
2018-08-24,8,0,4
2018-08-25,7,8,2
2018-08-26,5,0,9
2018-08-27,8,0,0
2018-08-28,9,0,1
2018-08-29,18,2,0
2018-08-30,33,0,3
2018-08-31,22,0,2
2018-09-01,1,0,2
2018-09-02,5,0,18
2018-09-03,20,0,6
2018-09-04,27,0,4
2018-09-05,29,3,0
2018-09-06,23,0,1
2018-09-07,15,0,4
2018-09-08,1,21,8
2018-09-09,0,6,2
2018-09-10,34,14,2
2018-09-11,25,9,0
2018-09-12,11,16,0
2018-09-13,26,5,2
2018-09-14,89,5,0
2018-09-15,5,0,3
2018-09-16,2,3,1
2018-09-17,31,14,3
2018-09-18,14,2,4
2018-09-19,14,2,3
2018-09-20,16,8,3
2018-09-21,22,5,6
2018-09-22,3,12,4
2018-09-23,4,7,22
2018-09-24,17,8,28
2018-09-25,27,2,9
2018-09-26,34,7,1
2018-09-27,60,8,3
2018-09-28,47,5,5
2018-09-29,1,4,2
2018-09-30,3,4,13
2018-10-01,25,5,6
2018-10-02,36,3,0
2018-10-03,43,2,0
2018-10-04,24,4,0
2018-10-05,16,1,0
2018-10-06,7,1,12
2018-10-07,1,0,14
2018-10-08,29,0,3
2018-10-09,20,0,15
2018-10-10,71,0,31
2018-10-11,51,4,14
2018-10-12,20,3,8
2018-10-13,11,2,9
2018-10-14,14,0,12
2018-10-15,24,2,2
2018-10-16,30,9,4
2018-10-17,38,8,1
2018-10-18,28,3,4
2018-10-19,26,2,3
2018-10-20,1,0,12
2018-10-21,1,0,11
2018-10-22,62,11,0
2018-10-23,31,5,5
2018-10-24,33,6,0
2018-10-25,27,9,0
2018-10-26,15,1,2
2018-10-27,9,4,1
2018-10-28,17,0,1
2018-10-29,27,3,3
2018-10-30,26,4,0
2018-10-31,41,5,0
2018-11-01,23,4,3
2018-11-02,9,8,0
2018-11-03,3,0,0
2018-11-04,3,3,0
2018-11-05,51,2,1
2018-11-06,54,2,6
2018-11-07,25,6,0
2018-11-08,17,6,0
2018-11-09,84,3,7
2018-11-10,4,5,8
2018-11-11,4,4,0
2018-11-12,22,12,3
2018-11-13,40,16,4
2018-11-14,37,4,1
2018-11-15,48,6,0
2018-11-16,33,4,1
2018-11-17,3,0,13
2018-11-18,2,3,31
2018-11-19,97,2,2
2018-11-20,42,1,0
2018-11-21,28,8,5
2018-11-22,20,10,1
2018-11-23,38,5,1
2018-11-24,1,2,0
2018-11-25,0,6,0
2018-11-26,15,9,2
2018-11-27,15,5,1
2018-11-28,15,10,0
2018-11-29,32,5,1
2018-11-30,53,13,1
2018-12-01,0,1,2
2018-12-02,0,6,0
2018-12-03,32,10,1
2018-12-04,51,8,0
2018-12-05,37,6,3
2018-12-06,33,8,0
2018-12-07,39,8,0
2018-12-08,7,2,2
2018-12-09,14,4,1
2018-12-10,34,2,0
2018-12-11,34,4,1
2018-12-12,32,9,0
2018-12-13,23,5,0
2018-12-14,36,3,0
2018-12-15,7,2,4
2018-12-16,7,1,10
2018-12-17,34,10,1
2018-12-18,53,8,4
2018-12-19,42,6,3
2018-12-20,10,5,2
2018-12-21,17,1,3
2018-12-22,7,0,0
2018-12-23,12,1,10
2018-12-24,4,1,5
2018-12-25,7,0,1
2018-12-26,2,1,0
2018-12-27,5,1,8
2018-12-28,2,9,1
2018-12-29,0,0,6
2018-12-30,1,4,7
2018-12-31,19,6,8
2019-01-01,4,1,1
2019-01-02,52,4,4
2019-01-03,18,9,7
2019-01-04,14,4,9
2019-01-05,5,2,3
2019-01-06,3,2,0
2019-01-07,59,2,11
2019-01-08,32,5,4
2019-01-09,55,4,0
2019-01-10,24,8,8
2019-01-11,29,2,9
2019-01-12,5,1,32
2019-01-13,8,1,5
2019-01-14,32,6,1
2019-01-15,38,5,8
2019-01-16,67,5,3
2019-01-17,46,8,2
2019-01-18,37,5,1
2019-01-19,5,3,22
2019-01-20,0,4,14
2019-01-21,33,3,1
2019-01-22,74,6,0
2019-01-23,48,5,2
2019-01-24,28,8,0
2019-01-25,25,0,5
2019-01-26,11,0,16
2019-01-27,3,3,8
2019-01-28,109,4,2
2019-01-29,65,8,0
2019-01-30,40,4,3
2019-01-31,36,4,5
2019-02-01,45,3,0
2019-02-02,8,3,8
2019-02-03,10,0,3
2019-02-04,56,6,1
2019-02-05,66,8,6
2019-02-06,42,7,3
2019-02-07,35,3,4
2019-02-08,19,5,5
2019-02-09,6,0,6
2019-02-10,7,0,4
2019-02-11,101,6,4
2019-02-12,56,3,2
2019-02-13,41,7,0
2019-02-14,29,3,2
2019-02-15,18,2,4
2019-02-16,16,1,0
2019-02-17,4,0,1
2019-02-18,38,7,2
2019-02-19,36,5,9
2019-02-20,17,11,4
2019-02-21,50,13,11
2019-02-22,12,6,1
2019-02-23,9,0,18
2019-02-24,5,3,6
2019-02-25,18,8,0
2019-02-26,7,3,7
2019-02-27,9,0,1
2019-02-28,3,8,13
2019-03-01,5,2,6
2019-03-02,10,0,4
2019-03-03,1,0,3
2019-03-04,25,7,3
2019-03-05,58,3,0
2019-03-06,73,4,0
2019-03-07,35,3,2
2019-03-08,48,3,3
2019-03-09,16,2,4
2019-03-10,15,4,14
2019-03-11,60,4,3
2019-03-12,51,5,1
2019-03-13,66,7,7
2019-03-14,59,5,0
2019-03-15,31,2,7
2019-03-16,1,1,8
2019-03-17,4,0,2
2019-03-18,23,4,3
2019-03-19,104,6,1
2019-03-20,49,0,0
2019-03-21,25,4,3
2019-03-22,38,3,2
2019-03-23,7,6,4
2019-03-24,11,3,6
2019-03-25,28,4,1
2019-03-26,10,3,6
2019-03-27,18,4,6
2019-03-28,13,2,3
2019-03-29,12,8,2
2019-03-30,2,10,2
2019-03-31,1,3,4
2019-04-01,3,8,0
2019-04-02,6,8,0
2019-04-03,12,9,0
2019-04-04,6,4,1
2019-04-05,7,6,0
2019-04-06,0,0,0
2019-04-07,6,0,0
2019-04-08,11,0,0
2019-04-09,12,3,0
2019-04-10,9,0,9
2019-04-11,9,6,1
2019-04-12,16,2,0
2019-04-13,0,2,0
2019-04-14,0,0,0
2019-04-15,17,2,0
2019-04-16,11,0,0
2019-04-17,10,7,5
2019-04-18,6,15,2
2019-04-19,6,0,0
2019-04-20,2,5,0
2019-04-21,1,0,0
2019-04-22,3,0,0
2019-04-23,8,2,7
2019-04-24,9,0,2
2019-04-25,10,2,2
2019-04-26,10,1,8
2019-04-27,1,3,5
2019-04-28,3,2,6
2019-04-29,9,2,7
2019-04-30,11,3,0
2019-05-01,7,1,0
2019-05-02,5,3,0
2019-05-03,14,3,0
2019-05-04,1,0,0
2019-05-05,0,1,4
2019-05-06,12,3,0
2019-05-07,15,2,0
2019-05-08,12,1,5
2019-05-09,13,1,1
2019-05-10,15,2,0
2019-05-11,1,2,28
2019-05-12,3,2,3
2019-05-13,11,7,1
2019-05-14,17,3,0
2019-05-15,9,7,0
2019-05-16,8,5,0
2019-05-17,5,6,0
2019-05-18,1,2,27
2019-05-19,0,7,1
2019-05-20,11,3,1
2019-05-21,15,4,0
2019-05-22,14,9,4
2019-05-23,9,10,1
2019-05-24,4,4,4
2019-05-25,2,0,1
2019-05-26,0,0,25
2019-05-27,15,9,1
2019-05-28,9,7,2
2019-05-29,7,2,2
2019-05-30,2,2,3
2019-05-31,2,7,0
2019-06-01,0,0,0
2019-06-02,0,0,1
2019-06-03,12,11,0
2019-06-04,8,10,0
2019-06-05,8,3,0
2019-06-06,6,4,0
2019-06-07,3,9,7
2019-06-08,0,0,1
2019-06-09,0,4,4
2019-06-10,8,2,4
2019-06-11,6,1,3
2019-06-12,10,1,0
2019-06-13,19,7,0
2019-06-14,4,3,0
2019-06-15,3,1,0
2019-06-16,0,0,0
2019-06-17,7,3,0
2019-06-18,16,3,0
2019-06-19,6,2,0
2019-06-20,4,5,0
2019-06-21,1,3,0
2019-06-22,2,0,32
2019-06-23,1,0,53
2019-06-24,10,5,4
2019-06-25,17,3,12
2019-06-26,12,1,0
2019-06-27,6,4,4
2019-06-28,8,3,3
2019-06-29,0,1,8
2019-06-30,0,2,11
2019-07-01,9,3,6
2019-07-02,8,2,3
2019-07-03,14,3,0
2019-07-04,7,4,0
2019-07-05,17,5,3
2019-07-06,4,2,7
2019-07-07,0,2,2
2019-07-08,7,8,2
2019-07-09,9,9,2
2019-07-10,12,20,1
2019-07-11,12,4,9
2019-07-12,6,4,5
2019-07-13,0,0,5
2019-07-14,1,0,1
2019-07-15,5,8,1
2019-07-16,9,6,1
2019-07-17,6,7,1
2019-07-18,8,3,0
2019-07-19,6,3,5
2019-07-20,3,0,1
2019-07-21,0,3,0
2019-07-22,4,5,0
2019-07-23,7,4,0
2019-07-24,13,2,5
2019-07-25,4,8,3
2019-07-26,5,4,0
2019-07-27,0,3,1
2019-07-28,2,2,0
2019-07-29,1,5,0
2019-07-30,4,1,0
2019-07-31,4,3,0
2019-08-01,4,1,5
2019-08-02,16,3,0
2019-08-03,8,0,0
2019-08-04,0,0,2
2019-08-05,6,0,0
2019-08-06,15,5,0
2019-08-07,11,2,0
2019-08-08,6,2,0
2019-08-09,7,10,0
2019-08-10,0,0,0
2019-08-11,0,0,11
2019-08-12,7,9,2
2019-08-13,7,4,0
2019-08-14,8,3,0
2019-08-15,6,9,0
2019-08-16,10,18,5
2019-08-17,0,0,0
2019-08-18,3,0,0
2019-08-19,5,2,1
2019-08-20,5,7,0
2019-08-21,6,5,2
2019-08-22,6,4,3
2019-08-23,5,3,0
2019-08-24,0,3,0
2019-08-25,2,4,1
2019-08-26,8,1,0
2019-08-27,3,5,0
2019-08-28,7,16,0
2019-08-29,7,12,4
2019-08-30,9,5,2
2019-08-31,0,5,1
2019-09-01,1,8,4
2019-09-02,9,11,1
2019-09-03,18,17,0
2019-09-04,11,7,0
2019-09-05,7,6,2
2019-09-06,3,4,2
2019-09-07,0,3,0
2019-09-08,1,3,7
2019-09-09,12,4,15
2019-09-10,8,3,0
2019-09-11,7,7,5
2019-09-12,17,14,2
2019-09-13,14,10,0
2019-09-14,0,4,0
2019-09-15,4,5,7
2019-09-16,13,10,2
2019-09-17,24,19,0
2019-09-18,8,11,2
2019-09-19,10,6,3
2019-09-20,15,13,0
2019-09-21,0,0,3
2019-09-22,1,12,11
2019-09-23,19,4,2
2019-09-24,18,17,1
2019-09-25,21,4,6
2019-09-26,7,0,10
2019-09-27,8,7,4
2019-09-28,1,6,9
2019-09-29,0,9,9
2019-09-30,15,5,0
2019-10-01,11,6,2
2019-10-02,14,7,2
2019-10-03,9,13,0
2019-10-04,4,6,1
2019-10-05,0,6,1
2019-10-06,0,8,0
2019-10-07,16,8,1
2019-10-08,25,7,0
2019-10-09,10,7,0
2019-10-10,6,11,0
2019-10-11,14,6,1
2019-10-12,3,5,6
2019-10-13,0,0,8
2019-10-14,8,9,0
2019-10-15,12,9,0
2019-10-16,13,10,1
2019-10-17,5,13,1
2019-10-18,5,10,0
2019-10-19,1,5,1
2019-10-20,0,1,0
2019-10-21,4,4,2
2019-10-22,21,4,0
2019-10-23,4,1,0
2019-10-24,4,3,0
2019-10-25,4,3,0
2019-10-26,1,0,0
2019-10-27,0,0,0
2019-10-28,2,3,0
2019-10-29,7,2,0
2019-10-30,4,7,0
2019-10-31,18,3,0
2019-11-01,17,7,0
2019-11-02,2,5,0
2019-11-03,0,5,0
2019-11-04,6,7,0
2019-11-05,7,8,0
2019-11-06,21,9,0
2019-11-07,20,7,0
2019-11-08,15,6,0
2019-11-09,0,5,24
2019-11-10,0,6,14
2019-11-11,12,7,0
2019-11-12,6,5,0
2019-11-13,11,2,0
2019-11-14,9,2,0
2019-11-15,8,1,0
2019-11-16,0,5,0
2019-11-17,1,1,2
2019-11-18,11,8,0
2019-11-19,11,5,0
2019-11-20,11,9,0
2019-11-21,23,9,0
2019-11-22,11,5,0
2019-11-23,2,4,0
2019-11-24,2,5,0
2019-11-25,14,7,0
2019-11-26,10,5,1
2019-11-27,15,11,4
2019-11-28,3,4,7
2019-11-29,4,1,11
2019-11-30,1,5,8
2019-12-01,2,5,6
2019-12-02,19,10,3
2019-12-03,11,7,0
2019-12-04,17,11,0
2019-12-05,14,6,0
2019-12-06,12,8,2
2019-12-07,0,7,2
2019-12-08,1,6,0
2019-12-09,14,9,0
2019-12-10,16,6,0
2019-12-11,12,5,1
2019-12-12,11,8,0
2019-12-13,15,10,0
2019-12-14,2,5,0
2019-12-15,0,6,0
2019-12-16,5,5,0
2019-12-17,5,15,2
2019-12-18,17,5,0
2019-12-19,8,8,3
2019-12-20,9,6,3
2019-12-21,1,6,0
2019-12-22,0,5,0
2019-12-23,13,6,0
2019-12-24,3,7,5
2019-12-25,1,5,0
2019-12-26,1,5,0
2019-12-27,2,6,1
2019-12-28,0,5,0
2019-12-29,1,6,0
2019-12-30,9,5,0
2019-12-31,4,6,1
2020-01-01,0,5,0
2020-01-02,6,8,1
2020-01-03,8,7,0
2020-01-04,1,3,7
2020-01-05,0,1,1
2020-01-06,7,3,0
2020-01-07,11,5,0
2020-01-08,6,10,2
2020-01-09,6,12,1
2020-01-10,16,6,0
2020-01-11,0,5,2
2020-01-12,1,5,6
2020-01-13,12,7,0
2020-01-14,9,11,0
2020-01-15,15,9,3
2020-01-16,14,13,4
2020-01-17,26,9,4
2020-01-18,1,2,3
2020-01-19,2,1,4
2020-01-20,14,3,3
2020-01-21,12,2,0
2020-01-22,10,7,1
2020-01-23,8,4,7
2020-01-24,13,8,1
2020-01-25,2,2,0
2020-01-26,1,1,0
2020-01-27,14,6,1
2020-01-28,17,6,0
2020-01-29,12,5,1
2020-01-30,23,6,0
2020-01-31,2,10,0
2020-02-01,0,1,4
2020-02-02,0,0,6
2020-02-03,7,12,0
2020-02-04,9,11,4
2020-02-05,7,8,0
2020-02-06,12,11,2
2020-02-07,3,9,0
2020-02-08,11,9,2
2020-02-09,16,4,0
2020-02-10,13,8,4
2020-02-11,22,10,0
2020-02-12,12,12,0
2020-02-13,19,10,0
2020-02-14,15,6,0
2020-02-15,2,5,0
2020-02-16,3,0,0
2020-02-17,11,7,0
2020-02-18,13,2,0
2020-02-19,18,6,0
2020-02-20,15,4,0
2020-02-21,3,8,4
2020-02-22,5,9,11
2020-02-23,0,5,11
2020-02-24,4,14,4
2020-02-25,10,7,0
2020-02-26,8,8,1
2020-02-27,5,8,2
2020-02-28,15,3,0
2020-02-29,1,0,0
2020-03-01,0,2,3
2020-03-02,7,6,0
2020-03-03,12,2,0
2020-03-04,12,6,2
2020-03-05,10,10,0
2020-03-06,10,16,2
2020-03-07,0,1,4
2020-03-08,0,0,13
2020-03-09,6,15,0
2020-03-10,23,10,3
2020-03-11,26,6,0
2020-03-12,10,14,6
2020-03-13,13,5,3
2020-03-14,1,7,12
2020-03-15,2,6,9
2020-03-16,19,7,1
2020-03-17,24,6,8
2020-03-18,19,6,1
2020-03-19,14,9,3
2020-03-20,14,5,1
2020-03-21,0,5,12
2020-03-22,0,6,16
2020-03-23,15,8,3
2020-03-24,26,6,6
2020-03-25,28,13,9
2020-03-26,21,11,1
2020-03-27,13,5,4
2020-03-28,5,4,5
2020-03-29,1,4,6
2020-03-30,17,16,2
2020-03-31,9,12,1
2020-04-01,22,8,1
2020-04-02,25,5,1
2020-04-03,17,18,2
2020-04-04,8,9,8
2020-04-05,4,0,9
2020-04-06,14,12,6
2020-04-07,24,2,2
2020-04-08,20,3,1
2020-04-09,26,4,3
2020-04-10,16,1,7
2020-04-11,6,0,1
2020-04-12,3,0,0
2020-04-13,6,8,0
2020-04-14,24,6,0
2020-04-15,22,9,1
2020-04-16,13,8,6
2020-04-17,13,8,2
2020-04-18,5,4,2
2020-04-19,5,4,5
2020-04-20,23,14,2
2020-04-21,23,6,0
2020-04-22,23,10,0
2020-04-23,25,4,3
2020-04-24,29,5,4
2020-04-25,13,4,6
2020-04-26,10,6,6
2020-04-27,47,6,0
2020-04-28,17,5,0
2020-04-29,21,5,3
2020-04-30,27,7,0
2020-05-01,14,4,0
2020-05-02,5,4,0
2020-05-03,3,4,5
2020-05-04,34,5,1
2020-05-05,35,4,4
2020-05-06,31,7,0
2020-05-07,24,7,0
2020-05-08,15,5,0
2020-05-09,5,4,0
2020-05-10,6,4,0
2020-05-11,36,14,2
2020-05-12,24,14,4
2020-05-13,34,13,0
2020-05-14,44,16,5
2020-05-15,14,10,0
2020-05-16,0,5,0
2020-05-17,1,4,0
2020-05-18,21,7,1
2020-05-19,15,15,2
2020-05-20,26,9,1
2020-05-21,11,13,5
2020-05-22,6,8,2
2020-05-23,1,5,1
2020-05-24,1,4,4
2020-05-25,21,10,0
2020-05-26,13,20,0
2020-05-27,9,8,0
2020-05-28,8,12,0
2020-05-29,8,7,3
2020-05-30,0,5,2
2020-05-31,2,4,3
2020-06-01,10,5,0
2020-06-02,9,6,0
2020-06-03,14,8,0
2020-06-04,10,8,2
2020-06-05,13,8,0
2020-06-06,0,4,0
2020-06-07,0,4,3
2020-06-08,15,11,1
2020-06-09,14,7,1
2020-06-10,9,8,0
2020-06-11,13,8,0
2020-06-12,1,12,0
2020-06-13,1,4,9
2020-06-14,0,4,2
2020-06-15,11,7,1
2020-06-16,18,11,3
2020-06-17,16,4,0
2020-06-18,9,5,3
2020-06-19,0,6,1
2020-06-20,0,5,2
2020-06-21,0,4,1
2020-06-22,16,7,1
2020-06-23,12,7,0
