,twbs/bootstrap,zurb/foundation-sites,primer/css
2015-08-04,0,8,0
2015-08-05,31,9,3
2015-08-06,9,11,0
2015-08-07,0,2,0
2015-08-08,8,0,0
2015-08-09,1,3,0
2015-08-10,44,13,0
2015-08-11,13,16,0
2015-08-12,0,23,0
2015-08-13,32,15,0
2015-08-14,9,8,0
2015-08-15,5,6,0
2015-08-16,0,0,0
2015-08-17,14,29,0
2015-08-18,37,25,0
2015-08-19,72,20,0
2015-08-20,44,12,0
2015-08-21,43,18,0
2015-08-22,7,3,0
2015-08-23,45,1,0
2015-08-24,25,6,0
2015-08-25,27,2,0
2015-08-26,25,11,0
2015-08-27,15,5,2
2015-08-28,2,0,0
2015-08-29,10,0,0
2015-08-30,2,0,0
2015-08-31,3,2,0
2015-09-01,6,17,0
2015-09-02,36,9,0
2015-09-03,9,5,0
2015-09-04,0,3,0
2015-09-05,14,1,0
2015-09-06,17,6,0
2015-09-07,3,0,0
2015-09-08,9,12,2
2015-09-09,4,6,1
2015-09-10,10,5,0
2015-09-11,3,3,15
2015-09-12,2,1,0
2015-09-13,1,0,0
2015-09-14,1,3,0
2015-09-15,2,5,0
2015-09-16,6,4,0
2015-09-17,1,2,0
2015-09-18,0,9,0
2015-09-19,3,0,0
2015-09-20,3,2,0
2015-09-21,1,3,0
2015-09-22,5,23,0
2015-09-23,4,30,0
2015-09-24,7,35,0
2015-09-25,9,31,2
2015-09-26,2,4,0
2015-09-27,6,3,0
2015-09-28,6,14,0
2015-09-29,5,12,2
2015-09-30,0,28,1
2015-10-01,10,9,0
2015-10-02,2,12,2
2015-10-03,0,3,0
2015-10-04,3,3,0
2015-10-05,0,10,0
2015-10-06,2,20,0
2015-10-07,7,4,0
2015-10-08,4,23,0
2015-10-09,3,43,0
2015-10-10,3,2,4
2015-10-11,5,1,0
2015-10-12,5,7,1
2015-10-13,11,23,2
2015-10-14,2,14,2
2015-10-15,3,3,0
2015-10-16,5,19,2
2015-10-17,4,0,0
2015-10-18,0,3,0
2015-10-19,4,22,7
2015-10-20,3,29,0
2015-10-21,2,32,1
2015-10-22,1,17,0
2015-10-23,10,6,0
2015-10-24,14,0,0
2015-10-25,4,14,0
2015-10-26,7,11,0
2015-10-27,14,7,0
2015-10-28,7,11,0
2015-10-29,9,2,0
2015-10-30,8,6,0
2015-10-31,3,0,0
2015-11-01,0,2,0
2015-11-02,5,14,1
2015-11-03,9,13,0
2015-11-04,2,30,0
2015-11-05,1,35,0
2015-11-06,1,30,0
2015-11-07,0,12,0
2015-11-08,0,9,0
2015-11-09,0,12,0
2015-11-10,0,23,0
2015-11-11,7,16,0
2015-11-12,6,16,0
2015-11-13,44,7,0
2015-11-14,1,14,0
2015-11-15,45,2,0
2015-11-16,11,26,6
2015-11-17,0,53,0
2015-11-18,0,31,0
2015-11-19,9,60,0
2015-11-20,0,50,0
2015-11-21,0,20,0
2015-11-22,0,4,0
2015-11-23,4,26,0
2015-11-24,3,42,0
2015-11-25,1,22,0
2015-11-26,5,5,0
2015-11-27,1,11,0
2015-11-28,1,3,0
2015-11-29,1,2,0
2015-11-30,35,29,0
2015-12-01,7,26,0
2015-12-02,2,26,0
2015-12-03,5,11,0
2015-12-04,8,9,0
2015-12-05,19,7,0
2015-12-06,9,2,0
2015-12-07,24,6,0
2015-12-08,78,9,7
2015-12-09,12,11,0
2015-12-10,4,17,0
2015-12-11,6,25,0
2015-12-12,5,11,0
2015-12-13,6,10,0
2015-12-14,1,18,0
2015-12-15,1,42,0
2015-12-16,2,28,0
2015-12-17,6,29,0
2015-12-18,1,28,0
2015-12-19,0,10,0
2015-12-20,3,2,0
2015-12-21,9,12,0
2015-12-22,3,21,0
2015-12-23,8,31,0
2015-12-24,26,1,0
2015-12-25,25,5,0
2015-12-26,9,1,0
2015-12-27,4,1,0
2015-12-28,0,1,0
2015-12-29,4,2,0
2015-12-30,2,5,0
2015-12-31,4,3,0
2016-01-01,5,1,0
2016-01-02,1,0,0
2016-01-03,0,0,0
2016-01-04,20,29,0
2016-01-05,4,15,0
2016-01-06,58,32,0
2016-01-07,22,9,0
2016-01-08,3,13,0
2016-01-09,13,0,0
2016-01-10,3,0,0
2016-01-11,16,7,0
2016-01-12,0,6,0
2016-01-13,7,20,0
2016-01-14,10,18,0
2016-01-15,6,19,0
2016-01-16,4,2,0
2016-01-17,16,0,0
2016-01-18,14,17,0
2016-01-19,7,33,2
2016-01-20,4,28,0
2016-01-21,11,12,1
2016-01-22,0,11,0
2016-01-23,6,9,0
2016-01-24,8,1,0
2016-01-25,5,14,0
2016-01-26,5,6,0
2016-01-27,3,2,0
2016-01-28,0,8,0
2016-01-29,1,2,0
2016-01-30,0,0,0
2016-01-31,1,0,0
2016-02-01,0,23,0
2016-02-02,0,21,1
2016-02-03,2,13,0
2016-02-04,15,21,0
2016-02-05,5,14,0
2016-02-06,61,2,0
2016-02-07,43,0,0
2016-02-08,28,8,0
2016-02-09,29,11,0
2016-02-10,0,10,0
2016-02-11,6,8,4
2016-02-12,0,4,1
2016-02-13,0,0,0
2016-02-14,5,1,0
2016-02-15,2,10,0
2016-02-16,33,16,9
2016-02-17,49,19,4
2016-02-18,6,22,1
2016-02-19,15,8,7
2016-02-20,0,1,0
2016-02-21,0,0,0
2016-02-22,0,1,0
2016-02-23,9,16,0
2016-02-24,1,24,0
2016-02-25,3,15,0
2016-02-26,2,19,0
2016-02-27,10,0,0
2016-02-28,11,3,0
2016-02-29,1,15,0
2016-03-01,1,23,0
2016-03-02,1,12,0
2016-03-03,4,7,0
2016-03-04,4,10,8
2016-03-05,2,0,0
2016-03-06,3,0,0
2016-03-07,15,2,0
2016-03-08,0,16,0
2016-03-09,0,2,0
2016-03-10,4,8,2
2016-03-11,6,12,1
2016-03-12,0,4,2
2016-03-13,1,2,2
2016-03-14,7,13,11
2016-03-15,2,4,0
2016-03-16,7,24,2
2016-03-17,1,8,4
2016-03-18,0,1,0
2016-03-19,2,1,1
2016-03-20,0,0,1
2016-03-21,0,1,3
2016-03-22,5,5,0
2016-03-23,0,3,0
2016-03-24,7,5,0
2016-03-25,0,0,0
2016-03-26,0,1,0
2016-03-27,2,6,0
2016-03-28,0,13,0
2016-03-29,0,4,1
2016-03-30,2,3,1
2016-03-31,2,0,2
2016-04-01,0,9,0
2016-04-02,3,4,0
2016-04-03,0,4,0
2016-04-04,3,5,0
2016-04-05,1,9,0
2016-04-06,7,6,0
2016-04-07,2,9,0
2016-04-08,0,15,0
2016-04-09,7,4,0
2016-04-10,5,0,0
2016-04-11,9,5,0
2016-04-12,2,13,0
2016-04-13,1,5,0
2016-04-14,3,4,0
2016-04-15,1,10,0
2016-04-16,0,1,0
2016-04-17,6,1,0
2016-04-18,1,4,0
2016-04-19,1,3,0
2016-04-20,0,3,0
2016-04-21,4,3,0
2016-04-22,0,5,0
2016-04-23,4,0,0
2016-04-24,2,3,0
2016-04-25,1,6,0
2016-04-26,0,16,0
2016-04-27,0,21,0
2016-04-28,2,12,0
2016-04-29,0,7,0
2016-04-30,0,9,0
2016-05-01,0,4,0
2016-05-02,0,2,3
2016-05-03,0,4,0
2016-05-04,0,13,0
2016-05-05,0,17,0
2016-05-06,1,3,0
2016-05-07,0,2,0
2016-05-08,32,2,0
2016-05-09,17,1,0
2016-05-10,3,10,1
2016-05-11,20,18,0
2016-05-12,20,6,0
2016-05-13,8,4,0
2016-05-14,3,0,0
2016-05-15,2,0,0
2016-05-16,4,4,0
2016-05-17,1,1,0
2016-05-18,1,12,0
2016-05-19,1,2,0
2016-05-20,3,1,0
2016-05-21,0,0,0
2016-05-22,2,3,0
2016-05-23,0,3,0
2016-05-24,0,0,0
2016-05-25,0,2,3
2016-05-26,6,5,1
2016-05-27,0,4,0
2016-05-28,2,1,3
2016-05-29,0,1,2
2016-05-30,2,1,0
2016-05-31,22,15,6
2016-06-01,0,4,1
2016-06-02,2,2,3
2016-06-03,4,3,2
2016-06-04,15,0,0
2016-06-05,9,0,0
2016-06-06,0,1,0
2016-06-07,0,2,0
2016-06-08,2,1,0
2016-06-09,1,2,2
2016-06-10,1,4,0
2016-06-11,0,0,0
2016-06-12,0,0,0
2016-06-13,6,0,0
2016-06-14,0,0,4
2016-06-15,0,0,0
2016-06-16,1,1,0
2016-06-17,0,3,0
2016-06-18,0,1,0
2016-06-19,0,1,0
2016-06-20,6,2,0
2016-06-21,0,1,0
2016-06-22,2,0,0
2016-06-23,0,2,0
2016-06-24,2,0,0
2016-06-25,0,0,0
2016-06-26,3,2,0
2016-06-27,3,0,0
2016-06-28,6,0,0
2016-06-29,7,3,0
2016-06-30,0,2,0
2016-07-01,0,6,0
2016-07-02,0,1,0
2016-07-03,0,0,0
2016-07-04,2,0,0
2016-07-05,1,2,4
2016-07-06,2,3,5
2016-07-07,0,4,0
2016-07-08,4,4,0
2016-07-09,1,0,0
2016-07-10,1,0,0
2016-07-11,0,17,0
2016-07-12,7,27,2
2016-07-13,1,4,0
2016-07-14,2,3,10
2016-07-15,0,1,0
2016-07-16,2,0,0
2016-07-17,2,0,0
2016-07-18,0,3,0
2016-07-19,1,5,0
2016-07-20,5,0,0
2016-07-21,1,1,0
2016-07-22,0,3,0
2016-07-23,0,1,0
2016-07-24,8,1,0
2016-07-25,3,1,0
2016-07-26,11,0,0
2016-07-27,14,1,0
2016-07-28,8,5,0
2016-07-29,0,5,0
2016-07-30,3,3,0
2016-07-31,0,0,0
2016-08-01,0,5,0
2016-08-02,9,8,0
2016-08-03,2,1,0
2016-08-04,3,1,0
2016-08-05,0,1,0
2016-08-06,1,2,0
2016-08-07,1,1,0
2016-08-08,0,0,0
2016-08-09,2,4,0
2016-08-10,0,0,0
2016-08-11,0,1,0
2016-08-12,0,1,0
2016-08-13,0,1,0
2016-08-14,0,5,0
2016-08-15,1,0,0
2016-08-16,0,5,0
2016-08-17,0,0,0
2016-08-18,1,5,0
2016-08-19,1,2,0
2016-08-20,2,0,0
2016-08-21,1,1,0
2016-08-22,13,0,0
2016-08-23,1,1,0
2016-08-24,0,1,0
2016-08-25,0,2,0
2016-08-26,0,0,4
2016-08-27,0,0,0
2016-08-28,0,0,0
2016-08-29,1,3,0
2016-08-30,0,2,1
2016-08-31,0,2,0
2016-09-01,0,0,0
2016-09-02,0,0,1
2016-09-03,0,0,0
2016-09-04,0,0,0
2016-09-05,18,0,0
2016-09-06,7,0,9
2016-09-07,2,0,0
2016-09-08,10,1,0
2016-09-09,8,3,0
2016-09-10,1,0,0
2016-09-11,0,0,0
2016-09-12,21,0,0
2016-09-13,1,15,1
2016-09-14,1,1,0
2016-09-15,4,0,0
2016-09-16,1,1,0
2016-09-17,0,0,0
2016-09-18,0,1,0
2016-09-19,0,0,0
2016-09-20,0,0,0
2016-09-21,0,1,0
2016-09-22,2,0,0
2016-09-23,1,1,0
2016-09-24,0,1,0
2016-09-25,0,0,0
2016-09-26,1,6,0
2016-09-27,0,10,0
2016-09-28,0,12,0
2016-09-29,0,10,0
2016-09-30,0,11,0
2016-10-01,0,2,0
2016-10-02,1,2,0
2016-10-03,24,8,0
2016-10-04,1,4,0
2016-10-05,0,15,0
2016-10-06,1,28,0
2016-10-07,3,10,0
2016-10-08,0,4,0
2016-10-09,41,2,0
2016-10-10,26,7,2
2016-10-11,3,2,3
2016-10-12,1,3,0
2016-10-13,2,11,0
2016-10-14,0,12,0
2016-10-15,3,1,0
2016-10-16,1,1,0
2016-10-17,8,2,0
2016-10-18,8,8,0
2016-10-19,23,0,0
2016-10-20,8,7,0
2016-10-21,0,27,0
2016-10-22,1,3,0
2016-10-23,0,1,0
2016-10-24,8,3,0
2016-10-25,13,7,0
2016-10-26,6,3,0
2016-10-27,26,4,2
2016-10-28,25,0,0
2016-10-29,2,3,0
2016-10-30,14,0,0
2016-10-31,1,21,2
2016-11-01,8,22,0
2016-11-02,0,6,0
2016-11-03,1,4,1
2016-11-04,2,9,0
2016-11-05,3,6,0
2016-11-06,2,1,0
2016-11-07,0,7,0
2016-11-08,3,14,6
2016-11-09,2,17,0
2016-11-10,3,8,0
2016-11-11,0,12,0
2016-11-12,1,14,0
2016-11-13,3,1,0
2016-11-14,0,8,0
2016-11-15,0,31,0
2016-11-16,1,22,0
2016-11-17,5,22,2
2016-11-18,0,7,0
2016-11-19,0,0,0
2016-11-20,0,4,0
2016-11-21,0,5,0
2016-11-22,0,1,0
2016-11-23,8,0,2
2016-11-24,3,4,0
2016-11-25,9,5,0
2016-11-26,45,0,0
2016-11-27,17,0,0
2016-11-28,24,10,2
2016-11-29,9,10,2
2016-11-30,4,31,0
2016-12-01,3,26,0
2016-12-02,7,5,0
2016-12-03,0,6,0
2016-12-04,0,7,0
2016-12-05,36,18,0
2016-12-06,2,21,0
2016-12-07,0,37,0
2016-12-08,5,11,0
2016-12-09,0,12,0
2016-12-10,0,0,0
2016-12-11,4,1,0
2016-12-12,1,8,1
2016-12-13,0,3,0
2016-12-14,0,9,0
2016-12-15,0,10,0
2016-12-16,0,3,0
2016-12-17,0,0,0
2016-12-18,0,3,0
2016-12-19,2,14,0
2016-12-20,16,14,0
2016-12-21,2,12,0
2016-12-22,68,5,0
2016-12-23,42,5,0
2016-12-24,30,3,0
2016-12-25,32,3,0
2016-12-26,6,1,0
2016-12-27,14,1,0
2016-12-28,45,1,0
2016-12-29,48,3,0
2016-12-30,0,2,0
2016-12-31,20,4,0
2017-01-01,7,0,5
2017-01-02,15,0,0
2017-01-03,6,13,6
2017-01-04,20,13,0
2017-01-05,7,5,0
2017-01-06,8,2,0
2017-01-07,0,0,0
2017-01-08,1,0,0
2017-01-09,0,3,0
2017-01-10,3,1,0
2017-01-11,3,2,0
2017-01-12,1,7,0
2017-01-13,0,12,0
2017-01-14,1,11,0
2017-01-15,7,4,0
2017-01-16,13,14,0
2017-01-17,0,22,0
2017-01-18,2,6,4
2017-01-19,0,7,2
2017-01-20,0,3,0
2017-01-21,13,1,0
2017-01-22,6,0,0
2017-01-23,3,8,0
2017-01-24,8,4,0
2017-01-25,2,7,0
2017-01-26,2,7,1
2017-01-27,0,4,0
2017-01-28,2,4,0
2017-01-29,0,9,0
2017-01-30,0,6,0
2017-01-31,0,22,0
2017-02-01,0,16,1
2017-02-02,0,23,0
2017-02-03,0,18,0
2017-02-04,3,11,0
2017-02-05,5,23,0
2017-02-06,0,21,0
2017-02-07,0,13,0
2017-02-08,4,13,0
2017-02-09,2,5,0
2017-02-10,0,5,0
2017-02-11,0,5,0
2017-02-12,2,15,0
2017-02-13,2,8,0
2017-02-14,0,4,0
2017-02-15,0,1,0
2017-02-16,0,1,0
2017-02-17,0,0,0
2017-02-18,0,2,0
2017-02-19,0,1,0
2017-02-20,0,3,0
2017-02-21,1,4,0
2017-02-22,1,6,0
2017-02-23,0,4,0
2017-02-24,0,16,0
2017-02-25,2,0,0
2017-02-26,2,0,0
2017-02-27,2,0,0
2017-02-28,0,10,0
2017-03-01,0,4,0
2017-03-02,1,1,0
2017-03-03,7,2,0
2017-03-04,2,1,4
2017-03-05,11,3,0
2017-03-06,0,2,0
2017-03-07,1,4,0
2017-03-08,2,3,0
2017-03-09,1,1,0
2017-03-10,0,4,0
2017-03-11,0,9,0
2017-03-12,2,10,0
2017-03-13,3,0,0
2017-03-14,0,2,0
2017-03-15,1,1,0
2017-03-16,0,2,0
2017-03-17,0,0,0
2017-03-18,10,1,0
2017-03-19,10,0,0
2017-03-20,19,6,0
2017-03-21,3,0,0
2017-03-22,2,0,0
2017-03-23,2,1,0
2017-03-24,16,1,0
2017-03-25,0,0,0
2017-03-26,16,0,0
2017-03-27,2,0,0
2017-03-28,11,1,0
2017-03-29,0,4,0
2017-03-30,1,0,0
2017-03-31,1,0,0
2017-04-01,0,0,0
2017-04-02,5,1,0
2017-04-03,2,15,0
2017-04-04,0,12,0
2017-04-05,0,5,0
2017-04-06,0,5,0
2017-04-07,3,8,0
2017-04-08,18,3,0
2017-04-09,16,1,0
2017-04-10,5,10,0
2017-04-11,3,2,0
2017-04-12,5,0,2
2017-04-13,3,3,0
2017-04-14,1,3,0
2017-04-15,0,0,0
2017-04-16,8,0,0
2017-04-17,1,10,0
2017-04-18,3,55,0
2017-04-19,2,20,0
2017-04-20,4,18,0
2017-04-21,1,6,0
2017-04-22,8,5,0
2017-04-23,0,0,0
2017-04-24,0,6,0
2017-04-25,1,13,0
2017-04-26,1,14,0
2017-04-27,3,4,0
2017-04-28,1,6,0
2017-04-29,3,0,0
2017-04-30,0,3,0
2017-05-01,1,0,0
2017-05-02,2,0,0
2017-05-03,0,2,0
2017-05-04,1,5,0
2017-05-05,3,10,0
2017-05-06,0,0,0
2017-05-07,0,1,0
2017-05-08,2,7,0
2017-05-09,1,1,0
2017-05-10,0,10,2
2017-05-11,0,17,6
2017-05-12,0,23,0
2017-05-13,0,32,0
2017-05-14,27,41,0
2017-05-15,0,74,0
2017-05-16,2,56,0
2017-05-17,3,12,0
2017-05-18,0,14,0
2017-05-19,0,10,0
2017-05-20,0,3,0
2017-05-21,0,13,0
2017-05-22,2,17,0
2017-05-23,2,11,0
2017-05-24,6,20,0
2017-05-25,1,28,0
2017-05-26,6,5,1
2017-05-27,18,6,0
2017-05-28,37,22,0
2017-05-29,18,6,0
2017-05-30,36,25,0
2017-05-31,10,82,0
2017-06-01,7,38,0
2017-06-02,1,9,0
2017-06-03,1,7,0
2017-06-04,3,5,6
2017-06-05,0,6,1
2017-06-06,6,3,0
2017-06-07,3,1,0
2017-06-08,0,8,4
2017-06-09,0,20,5
2017-06-10,6,0,10
2017-06-11,2,0,10
2017-06-12,0,6,32
2017-06-13,8,2,0
2017-06-14,13,7,3
2017-06-15,22,2,3
2017-06-16,4,11,0
2017-06-17,13,5,0
2017-06-18,16,0,0
2017-06-19,6,20,3
2017-06-20,0,17,0
2017-06-21,2,8,0
2017-06-22,1,45,14
2017-06-23,0,3,9
2017-06-24,0,5,0
2017-06-25,0,2,5
2017-06-26,18,27,1
2017-06-27,1,23,0
2017-06-28,6,16,7
2017-06-29,1,8,14
2017-06-30,39,12,0
2017-07-01,5,3,0
2017-07-02,26,2,0
2017-07-03,0,14,4
2017-07-04,9,6,0
2017-07-05,3,9,1
2017-07-06,1,12,0
2017-07-07,0,13,35
2017-07-08,2,7,2
2017-07-09,0,0,2
2017-07-10,4,0,6
2017-07-11,1,2,7
2017-07-12,2,6,33
2017-07-13,1,8,27
2017-07-14,4,8,11
2017-07-15,1,3,0
2017-07-16,7,1,0
2017-07-17,1,3,17
2017-07-18,2,2,5
2017-07-19,0,9,1
2017-07-20,0,2,17
2017-07-21,0,16,9
2017-07-22,0,1,0
2017-07-23,0,2,0
2017-07-24,0,3,18
2017-07-25,0,33,38
2017-07-26,0,2,19
2017-07-27,2,2,7
2017-07-28,3,4,9
2017-07-29,0,1,0
2017-07-30,8,0,0
2017-07-31,4,0,12
2017-08-01,0,11,0
2017-08-02,0,4,0
2017-08-03,0,5,3
2017-08-04,8,6,4
2017-08-05,0,4,0
2017-08-06,0,3,0
2017-08-07,5,6,0
2017-08-08,6,0,1
2017-08-09,8,1,16
2017-08-10,1,6,6
2017-08-11,78,2,11
2017-08-12,4,0,0
2017-08-13,19,0,2
2017-08-14,8,4,21
2017-08-15,23,0,4
2017-08-16,2,1,7
2017-08-17,5,3,5
2017-08-18,4,7,5
2017-08-19,1,0,1
2017-08-20,16,0,0
2017-08-21,4,2,3
2017-08-22,11,0,2
2017-08-23,3,1,1
2017-08-24,1,1,1
2017-08-25,6,2,0
2017-08-26,3,3,0
2017-08-27,1,1,0
2017-08-28,4,6,0
2017-08-29,7,6,0
2017-08-30,3,13,14
2017-08-31,6,4,5
2017-09-01,3,0,7
2017-09-02,7,0,12
2017-09-03,3,0,5
2017-09-04,14,1,0
2017-09-05,2,5,2
2017-09-06,14,0,13
2017-09-07,4,10,13
2017-09-08,3,9,14
2017-09-09,1,4,3
2017-09-10,11,1,0
2017-09-11,5,3,10
2017-09-12,6,2,19
2017-09-13,6,0,11
2017-09-14,1,3,2
2017-09-15,4,2,5
2017-09-16,0,1,5
2017-09-17,8,0,0
2017-09-18,0,7,0
2017-09-19,0,1,0
2017-09-20,1,0,7
2017-09-21,0,1,5
2017-09-22,0,2,16
2017-09-23,1,0,0
2017-09-24,2,0,0
2017-09-25,2,7,8
2017-09-26,21,3,7
2017-09-27,12,4,0
2017-09-28,2,0,0
2017-09-29,8,0,0
2017-09-30,2,0,0
2017-10-01,18,2,0
2017-10-02,12,1,1
2017-10-03,46,6,0
2017-10-04,36,9,1
2017-10-05,5,12,7
2017-10-06,5,0,0
2017-10-07,0,5,0
2017-10-08,6,0,0
2017-10-09,8,0,16
2017-10-10,6,3,5
2017-10-11,1,1,13
2017-10-12,1,3,8
2017-10-13,3,0,0
2017-10-14,1,0,0
2017-10-15,3,0,0
2017-10-16,7,2,2
2017-10-17,5,1,1
2017-10-18,17,0,0
2017-10-19,40,0,18
2017-10-20,12,0,4
2017-10-21,0,0,0
2017-10-22,31,0,0
2017-10-23,17,0,5
2017-10-24,2,0,12
2017-10-25,6,1,21
2017-10-26,1,0,1
2017-10-27,3,0,31
2017-10-28,2,0,1
2017-10-29,15,0,0
2017-10-30,12,0,0
2017-10-31,14,0,3
2017-11-01,1,2,11
2017-11-02,1,2,33
2017-11-03,8,0,14
2017-11-04,0,0,8
2017-11-05,0,0,0
2017-11-06,15,0,11
2017-11-07,8,0,24
2017-11-08,2,0,20
2017-11-09,6,0,7
2017-11-10,0,0,16
2017-11-11,3,0,0
2017-11-12,0,0,0
2017-11-13,2,0,8
2017-11-14,0,0,12
2017-11-15,6,0,20
2017-11-16,4,1,2
2017-11-17,1,0,13
2017-11-18,0,3,0
2017-11-19,2,1,0
2017-11-20,3,0,0
2017-11-21,0,0,0
2017-11-22,0,2,0
2017-11-23,3,0,0
2017-11-24,5,0,0
2017-11-25,10,0,0
2017-11-26,1,0,0
2017-11-27,3,0,0
2017-11-28,2,0,0
2017-11-29,2,0,0
2017-11-30,0,0,0
2017-12-01,2,0,2
2017-12-02,3,0,0
2017-12-03,0,0,0
2017-12-04,1,0,0
2017-12-05,1,0,0
2017-12-06,0,0,1
2017-12-07,1,0,3
2017-12-08,1,0,2
2017-12-09,0,0,0
2017-12-10,0,0,0
2017-12-11,1,1,6
2017-12-12,2,0,0
2017-12-13,0,0,0
2017-12-14,0,0,0
2017-12-15,0,1,0
2017-12-16,1,0,0
2017-12-17,1,0,0
2017-12-18,0,0,7
2017-12-19,0,0,1
2017-12-20,0,0,0
2017-12-21,0,1,0
2017-12-22,2,1,2
2017-12-23,13,4,0
2017-12-24,6,13,0
2017-12-25,0,8,0
2017-12-26,9,7,0
2017-12-27,15,3,0
2017-12-28,22,3,0
2017-12-29,1,0,0
2017-12-30,11,5,0
2017-12-31,16,3,0
2018-01-01,2,1,0
2018-01-02,7,7,0
2018-01-03,10,7,2
2018-01-04,2,3,1
2018-01-05,2,0,10
2018-01-06,1,10,1
2018-01-07,0,10,0
2018-01-08,1,2,0
2018-01-09,0,6,2
2018-01-10,1,6,2
2018-01-11,11,5,1
2018-01-12,1,2,6
2018-01-13,5,2,4
2018-01-14,6,3,0
2018-01-15,9,2,0
2018-01-16,7,6,1
2018-01-17,4,4,3
2018-01-18,9,7,1
2018-01-19,4,3,0
2018-01-20,5,5,0
2018-01-21,7,3,0
2018-01-22,4,5,0
2018-01-23,2,0,0
2018-01-24,0,3,0
2018-01-25,0,4,0
2018-01-26,0,0,0
2018-01-27,0,0,0
2018-01-28,1,6,0
2018-01-29,0,0,0
2018-01-30,3,4,0
2018-01-31,4,4,0
2018-02-01,0,3,0
2018-02-02,1,1,0
2018-02-03,3,9,0
2018-02-04,0,5,0
2018-02-05,1,3,0
2018-02-06,0,3,0
2018-02-07,1,0,1
2018-02-08,0,2,0
2018-02-09,1,1,0
2018-02-10,0,5,0
2018-02-11,9,6,0
2018-02-12,2,1,0
2018-02-13,1,1,0
2018-02-14,1,3,0
2018-02-15,0,6,0
2018-02-16,2,0,0
2018-02-17,0,8,0
2018-02-18,0,6,0
2018-02-19,6,0,0
2018-02-20,2,10,0
2018-02-21,1,22,0
2018-02-22,0,5,0
2018-02-23,0,3,0
