,commaai/openpilot,apolloauto/apollo,carla-simulator/carla
2018-01-21,0,1,0
2018-01-22,0,8,23
2018-01-23,0,15,15
2018-01-24,0,16,14
2018-01-25,0,10,4
2018-01-26,0,19,3
2018-01-27,0,4,0
2018-01-28,0,5,0
2018-01-29,0,6,5
2018-01-30,5,18,3
2018-01-31,1,18,4
2018-02-01,0,15,5
2018-02-02,0,14,11
2018-02-03,1,3,8
2018-02-04,0,4,0
2018-02-05,1,15,0
2018-02-06,6,11,1
2018-02-07,0,10,3
2018-02-08,0,18,2
2018-02-09,1,19,1
2018-02-10,1,10,0
2018-02-11,0,0,0
2018-02-12,0,9,4
2018-02-13,0,25,7
2018-02-14,0,14,2
2018-02-15,0,20,0
2018-02-16,0,8,2
2018-02-17,0,0,0
2018-02-18,0,0,0
2018-02-19,0,0,7
2018-02-20,0,3,8
2018-02-21,0,13,2
2018-02-22,0,25,3
2018-02-23,0,21,2
2018-02-24,0,17,12
2018-02-25,0,1,0
2018-02-26,1,24,13
2018-02-27,0,19,12
2018-02-28,2,42,5
2018-03-01,0,27,6
2018-03-02,0,37,5
2018-03-03,0,27,0
2018-03-04,0,3,0
2018-03-05,0,13,0
2018-03-06,0,41,4
2018-03-07,0,32,6
2018-03-08,1,38,0
2018-03-09,1,29,6
2018-03-10,0,16,0
2018-03-11,0,2,0
2018-03-12,0,10,9
2018-03-13,0,14,8
2018-03-14,0,21,4
2018-03-15,1,42,19
2018-03-16,0,22,2
2018-03-17,7,8,0
2018-03-18,5,5,0
2018-03-19,0,14,1
2018-03-20,1,28,8
2018-03-21,0,18,22
2018-03-22,2,24,7
2018-03-23,0,17,3
2018-03-24,0,4,6
2018-03-25,0,1,1
2018-03-26,0,9,9
2018-03-27,0,19,6
2018-03-28,0,14,1
2018-03-29,0,11,6
2018-03-30,0,14,0
2018-03-31,3,2,0
2018-04-01,0,2,0
2018-04-02,0,12,1
2018-04-03,0,15,11
2018-04-04,0,20,9
2018-04-05,0,29,9
2018-04-06,0,14,5
2018-04-07,0,3,1
2018-04-08,0,4,7
2018-04-09,0,12,15
2018-04-10,0,24,9
2018-04-11,0,24,4
2018-04-12,0,21,7
2018-04-13,1,20,4
2018-04-14,5,13,0
2018-04-15,0,1,0
2018-04-16,0,27,1
2018-04-17,0,31,10
2018-04-18,0,20,1
2018-04-19,0,7,6
2018-04-20,0,8,8
2018-04-21,0,1,0
2018-04-22,0,0,0
2018-04-23,0,3,6
2018-04-24,0,10,0
2018-04-25,0,21,0
2018-04-26,0,11,0
2018-04-27,0,7,0
2018-04-28,5,0,0
2018-04-29,0,1,0
2018-04-30,0,1,0
2018-05-01,1,2,0
2018-05-02,0,8,1
2018-05-03,0,6,0
2018-05-04,0,6,0
2018-05-05,0,1,0
2018-05-06,0,2,0
2018-05-07,0,7,1
2018-05-08,0,7,6
2018-05-09,0,11,0
2018-05-10,0,13,0
2018-05-11,0,16,0
2018-05-12,0,1,0
2018-05-13,0,0,0
2018-05-14,0,2,2
2018-05-15,0,8,0
2018-05-16,0,5,0
2018-05-17,0,4,3
2018-05-18,0,5,0
2018-05-19,0,0,0
2018-05-20,0,3,0
2018-05-21,0,3,0
2018-05-22,0,5,1
2018-05-23,8,4,3
2018-05-24,0,10,2
2018-05-25,0,3,0
2018-05-26,0,3,0
2018-05-27,0,0,0
2018-05-28,0,0,1
2018-05-29,0,6,2
2018-05-30,1,11,1
2018-05-31,1,11,0
2018-06-01,0,19,0
2018-06-02,0,7,0
2018-06-03,0,3,0
2018-06-04,1,12,0
2018-06-05,0,18,1
2018-06-06,1,20,3
2018-06-07,0,26,0
2018-06-08,0,2,4
2018-06-09,0,0,0
2018-06-10,0,1,0
2018-06-11,0,15,12
2018-06-12,0,28,4
2018-06-13,0,8,1
2018-06-14,0,24,1
2018-06-15,0,7,3
2018-06-16,0,4,0
2018-06-17,5,1,0
2018-06-18,1,3,1
2018-06-19,3,29,2
2018-06-20,0,26,0
2018-06-21,1,18,0
2018-06-22,0,7,0
2018-06-23,0,15,0
2018-06-24,0,8,0
2018-06-25,6,7,9
2018-06-26,0,18,5
2018-06-27,0,16,2
2018-06-28,1,17,2
2018-06-29,0,14,0
2018-06-30,0,1,0
2018-07-01,0,3,0
2018-07-02,0,8,2
2018-07-03,0,32,3
2018-07-04,0,12,3
2018-07-05,0,4,0
2018-07-06,1,11,3
2018-07-07,0,6,0
2018-07-08,0,4,0
2018-07-09,0,18,0
2018-07-10,0,11,2
2018-07-11,0,31,0
2018-07-12,0,21,0
2018-07-13,12,24,2
2018-07-14,1,3,0
2018-07-15,0,4,4
2018-07-16,1,2,1
2018-07-17,0,17,0
2018-07-18,0,11,0
2018-07-19,0,14,3
2018-07-20,2,12,0
2018-07-21,0,4,0
2018-07-22,0,0,0
2018-07-23,0,6,2
2018-07-24,0,35,3
2018-07-25,0,7,6
2018-07-26,0,8,13
2018-07-27,0,5,14
2018-07-28,0,8,11
2018-07-29,0,1,5
2018-07-30,0,8,15
2018-07-31,0,10,1
2018-08-01,0,11,11
2018-08-02,5,10,8
2018-08-03,1,5,1
