,cfengine/core,saltstack/salt,ansible/ansible
2020-11-22,0,0,0
2020-11-23,1,8,3
2020-11-24,3,16,0
2020-11-25,3,1,0
2020-11-26,5,0,0
2020-11-27,2,4,0
2020-11-28,0,0,0
2020-11-29,0,1,0
2020-11-30,5,15,5
2020-12-01,1,12,5
2020-12-02,0,5,6
2020-12-03,0,18,12
2020-12-04,0,9,4
2020-12-05,0,2,1
2020-12-06,0,12,0
2020-12-07,9,1,3
2020-12-08,8,0,10
2020-12-09,3,7,6
2020-12-10,5,63,2
2020-12-11,1,7,1
2020-12-12,0,1,0
2020-12-13,1,1,0
2020-12-14,1,3,3
2020-12-15,1,2,7
2020-12-16,6,21,2
2020-12-17,1,0,6
2020-12-18,1,1,9
2020-12-19,0,0,0
2020-12-20,1,0,0
2020-12-21,7,52,2
2020-12-22,3,0,1
2020-12-23,0,0,0
2020-12-24,0,0,0
2020-12-25,0,0,0
2020-12-26,0,4,0
2020-12-27,0,0,0
2020-12-28,0,6,0
2020-12-29,1,0,0
2020-12-30,0,2,0
2020-12-31,0,1,0
2021-01-01,0,0,0
2021-01-02,0,3,0
2021-01-03,0,1,0
2021-01-04,3,6,4
2021-01-05,3,63,5
2021-01-06,2,5,7
2021-01-07,2,11,8
2021-01-08,5,35,6
2021-01-09,2,3,0
2021-01-10,0,1,0
2021-01-11,7,8,6
2021-01-12,3,14,1
2021-01-13,2,32,6
2021-01-14,4,0,10
2021-01-15,1,14,1
2021-01-16,0,0,0
2021-01-17,0,2,0
2021-01-18,1,0,5
2021-01-19,1,46,2
2021-01-20,3,2,4
2021-01-21,6,1,4
2021-01-22,0,37,5
2021-01-23,0,4,1
2021-01-24,0,0,0
2021-01-25,8,4,4
2021-01-26,1,0,4
2021-01-27,3,9,7
2021-01-28,4,0,9
2021-01-29,10,5,0
2021-01-30,0,3,0
2021-01-31,0,0,0
2021-02-01,8,189,5
2021-02-02,6,27,8
2021-02-03,2,74,2
2021-02-04,2,20,7
2021-02-05,2,14,7
2021-02-06,0,0,0
2021-02-07,0,0,0
2021-02-08,1,7,1
2021-02-09,3,32,8
2021-02-10,2,46,4
2021-02-11,2,119,7
2021-02-12,3,10,13
2021-02-13,0,3,3
2021-02-14,0,0,0
2021-02-15,2,2,1
2021-02-16,1,35,1
2021-02-17,0,9,2
2021-02-18,0,15,8
2021-02-19,1,43,0
2021-02-20,0,6,0
2021-02-21,0,2,0
2021-02-22,0,36,1
2021-02-23,0,16,7
2021-02-24,13,56,2
2021-02-25,0,26,4
2021-02-26,2,41,1
2021-02-27,0,8,0
2021-02-28,0,0,1
2021-03-01,7,171,8
2021-03-02,4,16,8
2021-03-03,0,21,9
2021-03-04,6,14,2
2021-03-05,1,68,2
2021-03-06,0,4,0
2021-03-07,0,0,0
2021-03-08,3,0,1
2021-03-09,2,0,1
2021-03-10,10,1,2
2021-03-11,14,0,11
2021-03-12,2,0,2
2021-03-13,0,0,2
2021-03-14,0,0,0
2021-03-15,4,0,4
2021-03-16,0,8,2
2021-03-17,0,16,5
2021-03-18,1,2,10
2021-03-19,5,18,2
2021-03-20,0,0,3
2021-03-21,0,0,0
2021-03-22,4,7,1
2021-03-23,9,0,7
2021-03-24,1,2,6
2021-03-25,5,9,10
2021-03-26,2,1,4
2021-03-27,2,0,1
2021-03-28,0,0,1
2021-03-29,8,2,3
2021-03-30,4,19,8
2021-03-31,5,10,1
2021-04-01,0,14,2
2021-04-02,1,23,0
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,1,13,4
2021-04-06,2,10,10
2021-04-07,9,8,2
2021-04-08,2,3,6
2021-04-09,0,1,1
2021-04-10,0,0,4
2021-04-11,0,1,1
2021-04-12,0,0,6
2021-04-13,8,9,17
2021-04-14,2,1,1
2021-04-15,9,6,11
2021-04-16,3,3,9
2021-04-17,2,0,2
2021-04-18,1,0,0
2021-04-19,8,0,4
2021-04-20,5,0,19
2021-04-21,0,26,8
2021-04-22,0,4,5
2021-04-23,0,0,8
2021-04-24,0,0,0
2021-04-25,0,0,0
2021-04-26,1,3,6
2021-04-27,9,2,17
2021-04-28,2,6,15
2021-04-29,3,11,10
2021-04-30,1,12,7
2021-05-01,0,0,2
2021-05-02,0,0,0
2021-05-03,4,3,0
2021-05-04,3,3,11
2021-05-05,2,29,4
2021-05-06,10,4,16
2021-05-07,1,3,9
2021-05-08,0,0,1
2021-05-09,4,0,0
2021-05-10,3,0,6
2021-05-11,1,1,13
2021-05-12,11,9,6
2021-05-13,5,1,4
2021-05-14,3,1,7
2021-05-15,1,0,1
2021-05-16,0,0,0
2021-05-17,3,0,7
2021-05-18,4,1,9
2021-05-19,6,4,4
2021-05-20,11,0,2
2021-05-21,6,0,1
2021-05-22,0,0,0
2021-05-23,0,0,0
2021-05-24,2,1,6
2021-05-25,8,3,12
2021-05-26,11,6,4
2021-05-27,4,3,11
2021-05-28,11,5,0
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,11,4,2
2021-06-01,4,3,10
2021-06-02,3,9,2
2021-06-03,14,1,12
2021-06-04,11,4,8
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,1,0,3
2021-06-08,1,0,2
2021-06-09,2,3,4
2021-06-10,2,1,6
2021-06-11,3,0,5
2021-06-12,0,0,1
2021-06-13,0,0,0
2021-06-14,0,0,5
2021-06-15,1,2,3
2021-06-16,3,0,16
2021-06-17,3,0,4
2021-06-18,0,1,1
2021-06-19,0,0,1
2021-06-20,0,0,0
2021-06-21,0,4,3
2021-06-22,0,1,10
2021-06-23,14,7,6
2021-06-24,0,11,3
2021-06-25,1,3,3
2021-06-26,0,0,0
2021-06-27,0,0,0
2021-06-28,2,22,1
2021-06-29,1,2,3
2021-06-30,1,24,2
2021-07-01,4,0,1
2021-07-02,2,0,0
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,6,0,0
2021-07-06,0,33,3
2021-07-07,0,12,1
2021-07-08,0,4,5
2021-07-09,0,11,3
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,1,4,1
2021-07-13,1,16,0
2021-07-14,1,5,3
2021-07-15,0,3,4
2021-07-16,0,2,0
2021-07-17,0,0,0
2021-07-18,0,0,0
2021-07-19,0,11,1
2021-07-20,1,13,1
2021-07-21,0,23,5
2021-07-22,2,1,0
2021-07-23,2,63,1
2021-07-24,0,0,0
2021-07-25,0,0,0
2021-07-26,2,6,1
2021-07-27,1,3,0
2021-07-28,5,2,1
2021-07-29,3,13,6
2021-07-30,2,3,3
2021-07-31,0,0,0
2021-08-01,0,0,1
2021-08-02,3,13,1
2021-08-03,2,8,4
2021-08-04,4,15,3
2021-08-05,3,0,5
2021-08-06,0,4,3
2021-08-07,0,9,0
2021-08-08,0,0,0
2021-08-09,2,2,4
2021-08-10,3,7,3
2021-08-11,1,9,7
2021-08-12,0,8,13
2021-08-13,1,0,0
2021-08-14,0,1,0
2021-08-15,0,0,0
2021-08-16,2,8,1
2021-08-17,3,14,1
2021-08-18,3,6,0
2021-08-19,1,32,4
2021-08-20,4,0,3
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,2,1,1
2021-08-24,0,74,4
2021-08-25,1,4,3
2021-08-26,2,23,2
2021-08-27,1,15,2
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,1,5,7
2021-08-31,0,0,2
2021-09-01,0,1,8
2021-09-02,1,1,3
2021-09-03,1,2,2
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,0,0,0
2021-09-07,0,0,1
2021-09-08,0,11,0
2021-09-09,0,1,4
2021-09-10,0,1,4
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,0,2,1
2021-09-14,0,1,5
2021-09-15,0,8,0
2021-09-16,2,0,5
2021-09-17,0,0,9
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,1,5,2
2021-09-21,0,50,8
2021-09-22,3,6,5
2021-09-23,0,18,7
2021-09-24,2,31,22
2021-09-25,0,8,0
2021-09-26,0,42,0
2021-09-27,1,10,3
2021-09-28,0,0,3
2021-09-29,1,0,1
2021-09-30,0,1,11
2021-10-01,0,0,3
2021-10-02,0,0,0
2021-10-03,0,0,0
2021-10-04,0,0,5
2021-10-05,4,3,3
2021-10-06,0,0,3
2021-10-07,4,0,6
2021-10-08,1,2,8
2021-10-09,0,0,0
2021-10-10,0,0,0
2021-10-11,0,2,15
2021-10-12,0,1,11
2021-10-13,4,25,2
2021-10-14,2,2,13
2021-10-15,5,0,5
2021-10-16,0,0,0
2021-10-17,0,0,0
2021-10-18,0,0,5
2021-10-19,1,4,7
2021-10-20,4,10,2
2021-10-21,3,10,5
2021-10-22,1,33,0
2021-10-23,0,0,0
2021-10-24,0,0,0
2021-10-25,4,1,3
2021-10-26,8,1,5
2021-10-27,2,0,6
2021-10-28,4,4,2
2021-10-29,0,2,8
2021-10-30,0,0,0
2021-10-31,0,0,0
2021-11-01,0,0,7
2021-11-02,0,2,6
2021-11-03,1,1,3
2021-11-04,1,1,6
2021-11-05,2,0,1
2021-11-06,0,0,0
2021-11-07,0,0,0
2021-11-08,0,1,4
2021-11-09,0,19,7
2021-11-10,1,5,1
2021-11-11,1,3,5
2021-11-12,2,1,2
2021-11-13,0,0,1
2021-11-14,0,0,0
2021-11-15,0,5,5
2021-11-16,3,1,3
2021-11-17,0,2,2
2021-11-18,1,2,2
2021-11-19,6,0,3
2021-11-20,0,2,2
2021-11-21,0,0,0
2021-11-22,5,2,3
2021-11-23,0,3,1
2021-11-24,6,2,0
2021-11-25,1,0,0
2021-11-26,1,0,0
2021-11-27,0,0,0
2021-11-28,0,0,0
2021-11-29,0,2,2
2021-11-30,1,1,4
2021-12-01,2,3,2
2021-12-02,1,6,10
2021-12-03,1,1,0
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,2,0,2
2021-12-07,0,8,4
2021-12-08,0,13,6
2021-12-09,0,1,8
2021-12-10,1,2,6
2021-12-11,0,1,0
2021-12-12,0,0,0
2021-12-13,0,29,2
2021-12-14,0,13,10
2021-12-15,2,5,0
2021-12-16,0,28,0
2021-12-17,1,1,1
2021-12-18,0,0,0
2021-12-19,0,0,0
2021-12-20,0,0,6
2021-12-21,0,8,2
2021-12-22,0,3,1
2021-12-23,0,0,3
2021-12-24,0,0,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,0
2021-12-28,0,0,0
2021-12-29,1,0,1
2021-12-30,0,0,0
2021-12-31,0,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,1,0,0
2022-01-04,1,4,3
2022-01-05,1,0,4
2022-01-06,1,10,5
2022-01-07,7,0,12
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,1,10,5
2022-01-11,0,8,8
2022-01-12,1,1,6
2022-01-13,2,64,5
2022-01-14,2,8,2
2022-01-15,0,3,0
2022-01-16,0,0,0
2022-01-17,0,5,0
2022-01-18,3,9,6
2022-01-19,1,19,2
2022-01-20,0,15,2
2022-01-21,2,16,7
2022-01-22,0,0,0
2022-01-23,0,0,0
2022-01-24,1,0,4
2022-01-25,0,5,3
2022-01-26,5,6,9
2022-01-27,1,4,4
2022-01-28,0,5,5
2022-01-29,0,0,0
2022-01-30,0,0,0
2022-01-31,0,8,5
2022-02-01,0,6,4
2022-02-02,0,12,1
2022-02-03,0,5,18
2022-02-04,0,23,3
2022-02-05,0,0,0
2022-02-06,0,0,0
2022-02-07,1,7,9
2022-02-08,3,49,6
2022-02-09,1,10,2
2022-02-10,2,10,2
2022-02-11,0,9,5
2022-02-12,0,1,0
2022-02-13,0,1,0
2022-02-14,0,0,3
2022-02-15,2,13,3
2022-02-16,1,5,2
2022-02-17,0,0,8
2022-02-18,0,10,4
2022-02-19,0,0,0
2022-02-20,0,4,0
2022-02-21,2,0,1
2022-02-22,1,7,7
2022-02-23,1,31,11
2022-02-24,0,16,8
2022-02-25,1,17,2
2022-02-26,0,0,0
2022-02-27,0,4,0
2022-02-28,1,7,8
2022-03-01,0,3,2
2022-03-02,0,11,6
2022-03-03,6,0,6
2022-03-04,0,1,5
