,vercel/next.js,gatsbyjs/gatsby,phenomic/phenomic
2017-06-11,1,-0.9336896511999988,2
2017-06-12,3,-0.23245332480000003,5
2017-06-13,3,12.074539008,0
2017-06-14,1,1.759328665600001,0
2017-06-15,2,12.518631321600001,1
2017-06-16,8,11.677843148800001,0
2017-06-17,0,-3.2403490816000007,0
2017-06-18,0,-0.9948743680000018,0
2017-06-19,2,2.693553766399999,0
2017-06-20,3,7.474311577599999,0
2017-06-21,3,10.437648793600001,0
2017-06-22,3,4.2269262848,0
2017-06-23,8,6.791080448,0
2017-06-24,0,-0.5476346879999987,0
2017-06-25,1,-3.202042470400001,0
2017-06-26,5,2.149460275199999,0
2017-06-27,2,7.8564283392,0
2017-06-28,12,5.637646848000001,0
2017-06-29,7,5.402677248000001,0
2017-06-30,4,8.293630566400001,0
2017-07-01,9,11.6716601344,0
2017-07-02,7,9.5738110976,0
2017-07-03,5,-1.7100962816000012,0
2017-07-04,0,9.188298751999998,0
2017-07-05,2,-3.0139862016,0
2017-07-06,5,23.803755008,5
2017-07-07,3,-0.4731350015999993,0
2017-07-08,10,8.942919782399999,4
2017-07-09,16,6.2293804032,0
2017-07-10,1,1.4371214335999998,1
2017-07-11,1,2.537831935999999,5
2017-07-12,2,4.9924993024,5
2017-07-13,3,7.752395980799999,0
2017-07-14,2,-2.815529164799999,0
2017-07-15,4,-3.1254581248,0
2017-07-16,3,1.1480123392000001,0
2017-07-17,5,-1.937736089599999,0
2017-07-18,4,3.8336755712,0
2017-07-19,0,23.2194424832,0
2017-07-20,6,2.038446899200001,0
2017-07-21,1,-4.235338137600001,0
2017-07-22,1,-2.2476940288000007,0
2017-07-23,2,-1.4273988608000008,0
2017-07-24,9,-0.05250713600000023,0
2017-07-25,2,12.9629503488,0
2017-07-26,4,8.46146304,0
2017-07-27,2,12.874546688,0
2017-07-28,6,-1.492435455999999,0
2017-07-29,1,-3.331690803200001,0
2017-07-30,2,-1.9171328000000014,0
2017-07-31,1,-1.3725619200000005,0
2017-08-01,1,16.934980608,0
2017-08-02,0,14.5335484416,0
2017-08-03,1,-0.9566928895999993,0
2017-08-04,0,0.1540698111999994,0
2017-08-05,0,7.0136701952,0
2017-08-06,1,-3.7079254016000003,0
2017-08-07,3,1.9870975999999985,0
2017-08-08,1,7.765091839999999,0
2017-08-09,8,3.5591255040000007,30
2017-08-10,3,10.688476364800001,7
2017-08-11,0,7.444748902400001,0
2017-08-12,1,-4.583308800000001,0
2017-08-13,3,-2.398029721600001,0
2017-08-14,1,18.378159615999998,3
2017-08-15,1,4.869476352000001,0
2017-08-16,6,0.49532323839999925,0
2017-08-17,1,1.532472831999999,1
2017-08-18,2,3.9561659392,2
2017-08-19,2,3.7660565504000005,0
2017-08-20,0,-0.18156820480000047,0
2017-08-21,1,-1.3345024000000008,0
2017-08-22,0,5.30195456,0
2017-08-23,1,13.382006272000002,0
2017-08-24,3,10.488180736,0
2017-08-25,0,4.8780180479999995,0
2017-08-26,0,-4.571570176000001,0
2017-08-27,2,-2.495560396800001,0
2017-08-28,2,23.3170470912,0
2017-08-29,0,9.7838163968,1
2017-08-30,6,3.854197145599999,0
2017-08-31,3,14.7443223552,0
2017-09-01,3,3.0074075136000005,0
2017-09-02,0,3.4130826239999994,0
2017-09-03,0,0.060010495999998525,0
2017-09-04,1,4.122611199999999,32
2017-09-05,2,0.8864716800000005,5
2017-09-06,0,-3.5575403519999993,1
2017-09-07,0,0.9319668736,2
2017-09-08,7,-0.0020541439999988143,2
2017-09-09,1,12.339963392000001,0
2017-09-10,1,3.266073088000001,0
2017-09-11,0,1.8614795263999997,7
2017-09-12,2,3.362109952,0
2017-09-13,0,0.3095482368,0
2017-09-14,1,7.933311487999999,1
2017-09-15,0,6.762228224,14
2017-09-16,0,6.280560844799999,9
2017-09-17,1,-3.9810137088,0
2017-09-18,0,15.8249007104,0
2017-09-19,1,1.0065692672000006,1
2017-09-20,0,17.364898816,0
2017-09-21,0,-0.2908944384000005,0
2017-09-22,0,5.672359628799999,1
2017-09-23,1,-1.5870858240000008,0
2017-09-24,0,-3.1831050240000005,0
2017-09-25,0,11.990196736,0
2017-09-26,1,15.777240064,11
2017-09-27,9,-6.264968499199999,3
2017-09-28,4,11.9685856256,5
2017-09-29,0,4.990863769600001,0
2017-09-30,2,-0.49897738239999967,2
2017-10-01,0,0.715420159999999,0
2017-10-02,1,7.2130418687999995,0
2017-10-03,2,0.22899763200000045,3
2017-10-04,2,0.049482854400000775,0
2017-10-05,4,8.655880192,5
2017-10-06,2,-1.5369420799999993,1
2017-10-07,3,18.705900544000002,0
2017-10-08,3,-0.5451832319999994,0
2017-10-09,8,4.419381350399998,1
2017-10-10,2,5.3211561984,0
2017-10-11,4,-1.8944133120000002,4
2017-10-12,0,22.471651942399998,2
2017-10-13,2,8.352988876800001,0
2017-10-14,4,-1.2262313984000013,0
2017-10-15,5,3.7278313471999995,0
2017-10-16,6,8.7358601216,7
2017-10-17,3,10.006953472,1
2017-10-18,0,12.2511423488,0
2017-10-19,6,3.308920422399999,3
2017-10-20,3,12.4582356992,0
2017-10-21,3,-5.8755814399999995,0
2017-10-22,3,-1.767806976000001,0
2017-10-23,7,2.1564241919999994,0
2017-10-24,0,13.0234257408,2
2017-10-25,0,14.923865804800002,0
2017-10-26,1,11.404259328000002,0
2017-10-27,1,4.1194928128,0
2017-10-28,17,-3.706736640000001,0
2017-10-29,0,-3.599409459200001,0
2017-10-30,4,7.743740825599999,0
2017-10-31,3,16.2984712192,0
2017-11-01,1,20.853101056,1
2017-11-02,1,9.452266393600002,0
2017-11-03,0,3.208582655999999,0
2017-11-04,6,3.7200734207999995,0
2017-11-05,6,-5.532146278400001,0
2017-11-06,3,5.7749460991999975,0
2017-11-07,0,9.85676288,0
2017-11-08,1,-2.374083583999999,0
2017-11-09,1,23.425387008,0
2017-11-10,0,3.399466803200003,10
2017-11-11,1,-4.7562043392,0
2017-11-12,0,-3.2992031744000014,0
2017-11-13,6,17.845154815999997,0
2017-11-14,0,1.4651781120000003,2
2017-11-15,5,0.7694941183999999,0
2017-11-16,4,1.5549917183999993,0
2017-11-17,1,3.959501004800001,0
2017-11-18,0,-1.2977840127999989,0
2017-11-19,0,-0.10687856640000071,0
2017-11-20,1,5.314314649599999,0
2017-11-21,0,2.472734720000001,0
2017-11-22,0,-2.4388305919999995,0
2017-11-23,8,-1.2411312128,0
2017-11-24,0,0.18009804800000007,0
2017-11-25,1,-0.7845237759999996,1
2017-11-26,0,-0.5005959167999998,0
2017-11-27,0,18.6776548352,0
2017-11-28,2,23.9561137152,13
2017-11-29,0,0.6952399872000008,0
2017-11-30,0,0.16522444799999825,0
2017-12-01,0,-3.6393267200000015,0
2017-12-02,7,-2.2243717120000013,1
2017-12-03,5,12.3755754496,0
2017-12-04,6,-2.06590208,4
2017-12-05,5,-1.5584250880000003,1
2017-12-06,2,8.090668646400001,4
2017-12-07,4,-3.1952771071999986,1
2017-12-08,7,-1.4443973632000002,0
2017-12-09,2,3.0869780479999998,0
2017-12-10,1,5.56063232,0
2017-12-11,1,-2.2310702079999993,0
2017-12-12,0,3.8234389504,0
2017-12-13,3,21.3210063872,0
2017-12-14,3,14.506309529600001,5
2017-12-15,0,2.5348392959999995,4
2017-12-16,0,5.117291519999998,2
2017-12-17,0,2.243482111999999,6
2017-12-18,3,1.8559366143999991,1
2017-12-19,2,5.305098547199998,0
2017-12-20,0,2.948346879999999,6
2017-12-21,0,9.185782272,3
2017-12-22,1,3.0964702208000014,0
2017-12-23,0,-0.12276121599999978,0
2017-12-24,1,-3.0261851136000004,3
2017-12-25,0,0.1696209919999998,0
2017-12-26,1,-1.6617218047999998,0
2017-12-27,3,0.9129450496000002,0
2017-12-28,2,-0.1945598975999996,1
2017-12-29,1,1.081345331200001,0
2017-12-30,0,0.02801786880000079,0
2017-12-31,0,0.3266367488000004,0
2018-01-01,1,2.4555971584,0
2018-01-02,0,10.109630976,0
2018-01-03,2,0.3481070592000006,0
2018-01-04,0,-1.7696957440000007,0
