,python/cpython,ruby/ruby,nodejs/node
2018-03-14,1,5,7
2018-03-15,0,17,28
2018-03-16,0,12,7
2018-03-17,2,14,3
2018-03-18,6,4,13
2018-03-19,2,13,4
2018-03-20,3,3,10
2018-03-21,7,9,13
2018-03-22,4,10,12
2018-03-23,6,2,11
2018-03-24,5,4,14
2018-03-25,9,4,32
2018-03-26,11,12,15
2018-03-27,3,3,15
2018-03-28,9,27,21
2018-03-29,2,6,12
2018-03-30,2,6,13
2018-03-31,2,8,5
2018-04-01,1,6,8
2018-04-02,3,5,9
2018-04-03,4,18,12
2018-04-04,5,15,23
2018-04-05,6,7,12
2018-04-06,4,5,15
2018-04-07,4,4,12
2018-04-08,2,10,6
2018-04-09,6,7,41
2018-04-10,2,3,4
2018-04-11,2,1,23
2018-04-12,0,9,25
2018-04-13,2,5,16
2018-04-14,2,14,27
2018-04-15,4,0,6
2018-04-16,4,6,24
2018-04-17,9,19,12
2018-04-18,2,1,9
2018-04-19,4,19,15
2018-04-20,8,9,15
2018-04-21,1,16,5
2018-04-22,1,12,25
2018-04-23,5,8,26
2018-04-24,0,3,6
2018-04-25,7,6,13
2018-04-26,1,6,22
2018-04-27,4,11,12
2018-04-28,1,20,10
2018-04-29,6,4,17
2018-04-30,10,9,10
2018-05-01,4,6,4
2018-05-02,5,12,10
2018-05-03,0,5,23
2018-05-04,2,7,7
2018-05-05,1,1,10
2018-05-06,2,2,10
2018-05-07,0,9,23
2018-05-08,4,9,13
2018-05-09,6,24,17
2018-05-10,2,8,30
2018-05-11,2,9,6
2018-05-12,0,8,5
2018-05-13,2,3,7
2018-05-14,15,9,28
2018-05-15,12,17,7
2018-05-16,16,9,16
2018-05-17,15,8,13
2018-05-18,4,8,43
2018-05-19,3,4,12
2018-05-20,15,5,10
2018-05-21,4,10,8
2018-05-22,10,9,15
2018-05-23,6,6,10
2018-05-24,8,5,9
2018-05-25,2,0,11
2018-05-26,6,0,7
2018-05-27,0,5,2
2018-05-28,17,6,7
2018-05-29,16,10,5
2018-05-30,10,7,11
2018-05-31,10,8,10
2018-06-01,11,8,41
2018-06-02,6,13,14
2018-06-03,4,4,7
2018-06-04,14,2,6
2018-06-05,13,17,4
2018-06-06,9,11,30
2018-06-07,10,11,28
2018-06-08,23,9,5
2018-06-09,7,3,8
2018-06-10,12,7,6
2018-06-11,14,9,12
2018-06-12,9,6,6
2018-06-13,3,15,22
2018-06-14,5,7,15
2018-06-15,12,8,8
2018-06-16,8,4,11
2018-06-17,0,11,4
2018-06-18,4,4,5
2018-06-19,11,6,4
2018-06-20,8,10,14
2018-06-21,5,1,9
2018-06-22,5,13,12
2018-06-23,6,11,0
2018-06-24,4,9,15
2018-06-25,4,8,21
2018-06-26,4,3,7
2018-06-27,15,20,12
2018-06-28,6,10,6
2018-06-29,6,10,7
2018-06-30,5,10,6
2018-07-01,1,6,2
2018-07-02,2,8,4
2018-07-03,4,15,5
2018-07-04,9,9,9
2018-07-05,8,9,6
2018-07-06,12,8,7
2018-07-07,14,7,2
2018-07-08,3,30,2
2018-07-09,10,15,5
2018-07-10,7,21,16
2018-07-11,12,11,2
2018-07-12,2,6,7
2018-07-13,2,2,15
2018-07-14,1,4,11
2018-07-15,0,6,17
2018-07-16,5,8,16
2018-07-17,4,11,4
2018-07-18,3,4,19
2018-07-19,2,3,9
2018-07-20,4,7,7
2018-07-21,10,4,3
2018-07-22,3,6,9
2018-07-23,11,8,5
2018-07-24,8,14,6
2018-07-25,10,21,7
2018-07-26,10,11,23
2018-07-27,4,12,9
2018-07-28,9,12,8
2018-07-29,6,15,9
2018-07-30,6,19,1
2018-07-31,8,16,7
2018-08-01,8,2,25
2018-08-02,6,9,6
2018-08-03,12,16,7
2018-08-04,0,7,7
2018-08-05,2,11,8
2018-08-06,5,6,4
2018-08-07,5,16,8
2018-08-08,2,15,9
2018-08-09,4,20,10
2018-08-10,2,22,15
2018-08-11,7,33,3
2018-08-12,6,13,24
2018-08-13,1,27,9
2018-08-14,2,10,15
2018-08-15,3,18,11
2018-08-16,3,17,14
2018-08-17,5,20,4
2018-08-18,1,32,8
2018-08-19,5,12,7
2018-08-20,2,10,12
2018-08-21,2,15,8
2018-08-22,5,11,11
2018-08-23,5,12,15
2018-08-24,10,5,22
2018-08-25,12,10,4
2018-08-26,2,3,6
2018-08-27,7,30,13
2018-08-28,6,6,6
2018-08-29,12,5,13
2018-08-30,2,3,7
2018-08-31,6,6,18
2018-09-01,3,7,1
2018-09-02,2,4,25
2018-09-03,6,2,16
2018-09-04,5,12,11
2018-09-05,1,13,21
2018-09-06,2,1,5
2018-09-07,15,8,39
2018-09-08,2,3,4
2018-09-09,0,9,8
2018-09-10,13,5,3
2018-09-11,31,14,12
2018-09-12,20,18,10
2018-09-13,16,13,10
2018-09-14,26,8,13
2018-09-15,3,10,4
2018-09-16,2,9,4
2018-09-17,17,2,29
2018-09-18,14,11,11
2018-09-19,9,9,15
2018-09-20,7,12,12
2018-09-21,9,12,10
2018-09-22,6,6,16
2018-09-23,6,1,5
2018-09-24,11,12,13
2018-09-25,16,17,15
2018-09-26,4,16,11
2018-09-27,6,5,17
2018-09-28,4,8,6
2018-09-29,5,13,1
2018-09-30,3,2,7
2018-10-01,4,4,18
2018-10-02,7,7,21
2018-10-03,3,11,12
2018-10-04,5,6,29
2018-10-05,10,6,14
2018-10-06,5,4,11
2018-10-07,1,21,9
2018-10-08,10,22,11
2018-10-09,7,8,23
2018-10-10,5,9,17
2018-10-11,4,18,13
2018-10-12,10,29,21
2018-10-13,7,25,29
2018-10-14,6,10,23
2018-10-15,6,7,115
2018-10-16,4,16,9
2018-10-17,4,14,6
2018-10-18,6,18,11
2018-10-19,21,28,13
2018-10-20,15,69,6
2018-10-21,8,36,9
2018-10-22,3,18,7
2018-10-23,11,30,16
2018-10-24,8,17,32
2018-10-25,11,5,10
2018-10-26,17,18,3
2018-10-27,5,17,4
2018-10-28,18,25,11
2018-10-29,13,11,7
2018-10-30,10,25,14
2018-10-31,8,16,9
2018-11-01,7,19,5
2018-11-02,4,14,22
2018-11-03,3,12,3
2018-11-04,11,19,20
2018-11-05,5,15,5
2018-11-06,9,26,31
2018-11-07,20,26,13
2018-11-08,3,23,25
2018-11-09,10,14,19
2018-11-10,4,9,32
2018-11-11,7,12,19
2018-11-12,9,17,17
2018-11-13,11,27,26
2018-11-14,7,15,12
2018-11-15,4,16,13
2018-11-16,7,26,16
2018-11-17,3,2,13
2018-11-18,2,19,13
2018-11-19,1,23,25
2018-11-20,9,81,23
2018-11-21,6,11,24
2018-11-22,11,23,18
2018-11-23,13,11,13
2018-11-24,1,20,11
2018-11-25,4,14,14
2018-11-26,18,34,9
2018-11-27,14,41,4
2018-11-28,7,28,40
2018-11-29,7,18,19
2018-11-30,11,8,7
2018-12-01,3,12,22
2018-12-02,1,16,1
2018-12-03,7,36,21
2018-12-04,8,29,17
2018-12-05,18,26,17
2018-12-06,10,33,18
2018-12-07,10,13,16
2018-12-08,2,12,9
2018-12-09,5,7,5
2018-12-10,10,18,9
2018-12-11,12,23,17
2018-12-12,5,33,3
2018-12-13,1,14,7
2018-12-14,10,14,18
2018-12-15,0,7,19
2018-12-16,3,9,4
2018-12-17,14,9,13
2018-12-18,10,18,14
2018-12-19,8,9,8
2018-12-20,11,17,17
2018-12-21,4,15,15
2018-12-22,4,10,1
2018-12-23,6,20,4
2018-12-24,8,14,8
2018-12-25,5,19,4
2018-12-26,7,16,14
2018-12-27,4,17,12
2018-12-28,7,24,7
2018-12-29,6,24,11
2018-12-30,5,14,4
2018-12-31,13,11,22
2019-01-01,0,14,2
2019-01-02,8,5,11
2019-01-03,3,10,3
2019-01-04,1,18,5
2019-01-05,1,13,8
2019-01-06,4,9,10
2019-01-07,3,6,15
2019-01-08,8,9,8
2019-01-09,6,10,12
2019-01-10,7,17,22
2019-01-11,6,5,22
2019-01-12,8,5,5
2019-01-13,3,8,3
2019-01-14,2,8,12
2019-01-15,9,7,5
2019-01-16,3,5,12
2019-01-17,6,8,9
2019-01-18,10,7,16
2019-01-19,0,6,1
2019-01-20,2,11,6
2019-01-21,5,11,12
2019-01-22,5,8,22
2019-01-23,6,3,17
2019-01-24,3,6,13
2019-01-25,5,4,11
2019-01-26,2,2,5
2019-01-27,2,5,13
2019-01-28,2,5,16
2019-01-29,2,0,20
2019-01-30,5,8,23
2019-01-31,6,9,14
2019-02-01,10,11,22
2019-02-02,9,9,5
2019-02-03,6,3,8
2019-02-04,5,7,11
2019-02-05,6,9,18
2019-02-06,1,2,31
2019-02-07,5,17,12
2019-02-08,4,7,25
2019-02-09,4,3,16
2019-02-10,5,4,5
2019-02-11,4,6,13
2019-02-12,4,4,15
2019-02-13,6,14,13
2019-02-14,7,6,14
2019-02-15,8,2,11
2019-02-16,8,2,6
2019-02-17,3,1,16
2019-02-18,5,6,18
2019-02-19,11,5,11
2019-02-20,4,12,15
2019-02-21,12,10,14
2019-02-22,5,9,9
2019-02-23,5,5,3
2019-02-24,10,3,2
2019-02-25,15,0,9
2019-02-26,7,2,12
2019-02-27,5,6,6
2019-02-28,4,7,26
2019-03-01,21,8,33
2019-03-02,2,0,12
2019-03-03,6,4,13
2019-03-04,8,2,32
2019-03-05,13,4,37
2019-03-06,9,9,23
2019-03-07,9,3,10
2019-03-08,5,2,27
2019-03-09,7,6,12
2019-03-10,6,2,13
2019-03-11,4,13,16
2019-03-12,10,4,20
2019-03-13,7,2,18
2019-03-14,6,13,23
2019-03-15,10,5,12
2019-03-16,8,6,8
2019-03-17,3,13,5
2019-03-18,14,14,32
2019-03-19,18,4,10
2019-03-20,12,13,7
2019-03-21,7,12,29
2019-03-22,9,5,16
2019-03-23,7,2,15
2019-03-24,5,2,25
2019-03-25,16,3,8
2019-03-26,13,0,15
2019-03-27,17,6,25
2019-03-28,12,13,44
2019-03-29,7,18,13
2019-03-30,9,4,23
2019-03-31,4,4,6
2019-04-01,7,12,13
2019-04-02,8,13,18
2019-04-03,1,9,30
2019-04-04,2,10,23
2019-04-05,6,13,11
2019-04-06,3,9,5
2019-04-07,4,3,7
2019-04-08,7,7,14
2019-04-09,15,17,7
2019-04-10,6,21,12
2019-04-11,11,3,14
2019-04-12,19,2,9
2019-04-13,7,5,3
2019-04-14,5,31,5
2019-04-15,11,5,14
