,grafana/grafana,getsentry/sentry,elastic/kibana
2013-11-10,0,1,0
2013-11-11,0,0,0
2013-11-12,1,0,2
2013-11-13,1,1,4
2013-11-14,2,4,2
2013-11-15,7,0,1
2013-11-16,0,10,0
2013-11-17,0,10,0
2013-11-18,0,2,6
2013-11-19,4,0,2
2013-11-20,0,0,1
2013-11-21,0,0,12
2013-11-22,0,0,0
2013-11-23,1,2,1
2013-11-24,0,0,0
2013-11-25,1,0,0
2013-11-26,2,8,0
2013-11-27,0,0,4
2013-11-28,0,2,3
2013-11-29,2,2,0
2013-11-30,0,12,0
2013-12-01,0,1,0
2013-12-02,6,9,7
2013-12-03,12,13,0
2013-12-04,7,0,0
2013-12-05,2,2,4
2013-12-06,6,0,0
2013-12-07,2,0,0
2013-12-08,4,0,0
2013-12-09,5,0,0
2013-12-10,5,1,0
2013-12-11,4,1,0
2013-12-12,5,2,2
2013-12-13,4,4,1
2013-12-14,0,0,0
2013-12-15,3,0,0
2013-12-16,3,17,0
2013-12-17,4,0,5
2013-12-18,0,0,7
2013-12-19,2,0,2
2013-12-20,6,0,0
2013-12-21,1,2,0
2013-12-22,4,0,0
2013-12-23,7,0,13
2013-12-24,11,1,0
2013-12-25,4,5,2
2013-12-26,10,0,0
2013-12-27,7,1,0
2013-12-28,5,11,0
2013-12-29,12,11,2
2013-12-30,6,1,8
2013-12-31,2,6,0
2014-01-01,5,0,0
2014-01-02,2,0,1
2014-01-03,10,1,0
2014-01-04,2,5,0
2014-01-05,1,2,5
2014-01-06,7,5,17
2014-01-07,3,1,5
2014-01-08,2,5,4
2014-01-09,0,2,6
2014-01-10,1,1,8
2014-01-11,1,0,0
2014-01-12,5,0,2
2014-01-13,1,11,2
2014-01-14,3,3,0
2014-01-15,1,0,0
2014-01-16,0,3,0
2014-01-17,0,2,0
2014-01-18,0,0,0
2014-01-19,5,37,0
2014-01-20,16,3,2
2014-01-21,6,1,6
2014-01-22,4,0,28
2014-01-23,11,0,11
2014-01-24,6,0,7
2014-01-25,1,1,1
2014-01-26,0,0,10
2014-01-27,4,0,14
2014-01-28,1,10,14
2014-01-29,2,5,6
2014-01-30,0,2,3
2014-01-31,1,0,3
2014-02-01,16,0,0
2014-02-02,1,0,3
2014-02-03,0,1,4
2014-02-04,0,8,5
2014-02-05,18,2,10
2014-02-06,5,3,11
2014-02-07,7,3,0
2014-02-08,8,1,0
2014-02-09,7,0,3
2014-02-10,4,0,3
2014-02-11,6,1,4
2014-02-12,9,0,5
2014-02-13,6,3,6
2014-02-14,3,6,11
2014-02-15,7,0,0
2014-02-16,0,1,1
2014-02-17,1,0,4
2014-02-18,4,2,21
2014-02-19,3,0,7
2014-02-20,3,3,0
2014-02-21,5,0,0
2014-02-22,0,0,4
2014-02-23,2,4,0
2014-02-24,3,0,40
2014-02-25,5,3,26
2014-02-26,9,0,22
2014-02-27,5,0,24
2014-02-28,4,3,30
2014-03-01,2,0,0
2014-03-02,4,0,0
2014-03-03,2,0,22
2014-03-04,5,2,16
2014-03-05,5,0,10
2014-03-06,2,1,51
2014-03-07,6,9,28
2014-03-08,2,4,2
2014-03-09,2,0,0
2014-03-10,4,7,2
2014-03-11,3,1,21
2014-03-12,2,1,36
2014-03-13,0,1,13
2014-03-14,0,1,2
2014-03-15,0,0,0
2014-03-16,1,0,0
2014-03-17,3,2,2
2014-03-18,6,29,7
2014-03-19,5,0,12
2014-03-20,0,0,0
2014-03-21,0,1,4
2014-03-22,0,0,0
2014-03-23,6,0,0
2014-03-24,5,6,25
2014-03-25,0,2,8
2014-03-26,13,0,8
2014-03-27,6,0,10
2014-03-28,3,0,3
2014-03-29,2,0,1
2014-03-30,3,0,0
2014-03-31,4,0,2
2014-04-01,4,2,2
2014-04-02,4,0,4
2014-04-03,4,0,20
2014-04-04,2,2,6
2014-04-05,8,3,0
2014-04-06,6,0,0
2014-04-07,3,0,18
2014-04-08,3,6,8
2014-04-09,2,3,12
2014-04-10,5,1,24
2014-04-11,3,2,56
2014-04-12,0,3,2
2014-04-13,2,0,14
2014-04-14,2,4,4
2014-04-15,2,3,16
2014-04-16,3,0,18
2014-04-17,4,0,44
2014-04-18,1,1,14
2014-04-19,0,0,0
2014-04-20,2,8,0
2014-04-21,7,0,22
2014-04-22,3,12,0
2014-04-23,2,1,2
2014-04-24,1,1,13
2014-04-25,3,2,18
2014-04-26,0,0,10
2014-04-27,3,5,0
2014-04-28,3,10,27
2014-04-29,0,20,62
2014-04-30,7,4,22
2014-05-01,2,23,9
2014-05-02,0,8,34
2014-05-03,2,6,0
2014-05-04,0,27,0
2014-05-05,1,0,1
2014-05-06,4,11,12
2014-05-07,0,19,12
2014-05-08,0,10,0
2014-05-09,5,1,2
2014-05-10,0,7,0
2014-05-11,0,1,0
2014-05-12,0,0,16
2014-05-13,2,3,12
2014-05-14,0,2,22
2014-05-15,3,0,6
2014-05-16,0,1,12
2014-05-17,0,3,0
2014-05-18,0,18,0
2014-05-19,5,0,5
2014-05-20,16,29,7
2014-05-21,0,20,16
2014-05-22,3,4,28
2014-05-23,6,16,9
2014-05-24,0,3,0
2014-05-25,4,2,9
2014-05-26,1,0,4
2014-05-27,6,0,56
2014-05-28,0,0,60
2014-05-29,0,17,33
2014-05-30,5,1,41
2014-05-31,7,6,26
2014-06-01,1,3,0
2014-06-02,5,7,53
2014-06-03,6,14,33
2014-06-04,1,18,35
2014-06-05,0,41,38
2014-06-06,14,1,20
2014-06-07,7,8,0
2014-06-08,6,2,10
2014-06-09,2,0,9
2014-06-10,1,16,10
2014-06-11,4,16,14
2014-06-12,4,15,28
2014-06-13,2,1,8
2014-06-14,7,17,2
2014-06-15,0,0,0
2014-06-16,3,0,24
2014-06-17,2,17,22
2014-06-18,1,7,60
2014-06-19,1,1,82
2014-06-20,8,5,58
2014-06-21,6,0,0
2014-06-22,9,0,4
2014-06-23,0,0,8
2014-06-24,2,1,7
2014-06-25,2,0,5
2014-06-26,1,4,4
2014-06-27,4,0,0
2014-06-28,0,0,0
2014-06-29,0,2,0
2014-06-30,10,0,8
2014-07-01,2,0,2
2014-07-02,4,0,4
2014-07-03,5,0,2
2014-07-04,1,0,0
2014-07-05,0,0,0
2014-07-06,0,0,0
2014-07-07,1,0,4
2014-07-08,1,1,0
2014-07-09,0,11,0
2014-07-10,0,1,2
2014-07-11,0,0,16
2014-07-12,0,0,0
2014-07-13,5,0,0
2014-07-14,5,2,0
2014-07-15,3,5,8
2014-07-16,5,0,9
2014-07-17,2,1,4
2014-07-18,1,7,24
2014-07-19,3,0,0
2014-07-20,4,5,0
2014-07-21,2,0,10
2014-07-22,1,6,48
2014-07-23,5,9,36
2014-07-24,0,19,8
2014-07-25,4,8,8
2014-07-26,0,13,0
2014-07-27,0,0,0
2014-07-28,6,3,0
2014-07-29,5,4,10
2014-07-30,6,2,8
2014-07-31,17,10,6
2014-08-01,4,0,14
2014-08-02,0,7,2
2014-08-03,4,0,0
2014-08-04,3,0,28
2014-08-05,5,0,26
2014-08-06,10,17,36
2014-08-07,16,13,46
2014-08-08,15,1,6
2014-08-09,7,0,0
2014-08-10,11,10,20
2014-08-11,25,12,22
2014-08-12,13,16,38
2014-08-13,14,0,122
2014-08-14,9,2,81
2014-08-15,12,2,64
2014-08-16,9,0,18
2014-08-17,3,3,9
2014-08-18,6,3,25
2014-08-19,5,9,27
2014-08-20,11,4,27
2014-08-21,14,14,29
2014-08-22,10,5,31
2014-08-23,2,3,0
2014-08-24,3,6,0
2014-08-25,8,5,13
2014-08-26,13,15,17
2014-08-27,6,6,28
2014-08-28,3,0,27
2014-08-29,7,0,9
2014-08-30,0,1,1
2014-08-31,0,0,4
2014-09-01,3,7,3
2014-09-02,5,7,44
2014-09-03,11,4,23
2014-09-04,10,2,47
2014-09-05,10,1,8
2014-09-06,5,0,0
2014-09-07,1,0,0
2014-09-08,2,3,34
2014-09-09,14,10,7
2014-09-10,5,0,6
2014-09-11,10,5,26
2014-09-12,2,8,15
2014-09-13,7,0,2
2014-09-14,0,0,0
2014-09-15,2,0,13
2014-09-16,9,23,17
2014-09-17,15,7,20
2014-09-18,11,3,43
2014-09-19,8,11,32
2014-09-20,13,4,9
2014-09-21,6,0,0
2014-09-22,9,6,22
2014-09-23,7,1,5
2014-09-24,19,2,72
2014-09-25,2,0,31
2014-09-26,0,3,53
2014-09-27,1,9,3
2014-09-28,0,13,0
2014-09-29,8,0,16
2014-09-30,19,24,18
2014-10-01,18,30,33
2014-10-02,15,0,32
2014-10-03,3,0,56
2014-10-04,1,0,6
2014-10-05,6,3,0
2014-10-06,7,0,4
2014-10-07,10,0,5
2014-10-08,4,0,29
2014-10-09,4,2,27
2014-10-10,5,7,31
2014-10-11,2,0,0
2014-10-12,1,21,0
2014-10-13,4,7,6
2014-10-14,1,24,14
2014-10-15,10,8,34
2014-10-16,3,10,2
2014-10-17,2,6,27
2014-10-18,1,0,1
2014-10-19,3,5,0
2014-10-20,4,29,40
2014-10-21,0,0,19
2014-10-22,1,2,15
2014-10-23,4,8,13
2014-10-24,6,1,17
2014-10-25,1,0,0
2014-10-26,1,0,0
2014-10-27,1,6,30
2014-10-28,7,7,63
2014-10-29,2,9,17
2014-10-30,1,13,14
2014-10-31,0,1,24
2014-11-01,0,1,1
2014-11-02,2,17,0
2014-11-03,2,0,34
2014-11-04,0,1,37
2014-11-05,0,2,38
2014-11-06,9,5,26
2014-11-07,8,9,36
2014-11-08,6,0,0
2014-11-09,1,0,2
2014-11-10,3,0,25
2014-11-11,13,1,24
2014-11-12,9,0,26
2014-11-13,4,0,26
2014-11-14,14,0,19
2014-11-15,1,0,13
2014-11-16,0,0,3
2014-11-17,7,7,31
2014-11-18,3,13,46
2014-11-19,6,7,24
2014-11-20,9,11,23
2014-11-21,8,5,23
2014-11-22,1,9,6
2014-11-23,1,17,0
2014-11-24,6,0,15
2014-11-25,1,2,75
2014-11-26,5,15,6
2014-11-27,9,1,2
2014-11-28,4,5,0
2014-11-29,0,7,2
2014-11-30,0,4,0
2014-12-01,2,6,23
2014-12-02,6,4,29
2014-12-03,0,10,35
2014-12-04,1,14,52
2014-12-05,0,15,46
2014-12-06,0,5,11
2014-12-07,0,1,0
2014-12-08,1,0,39
2014-12-09,2,9,33
2014-12-10,2,26,40
2014-12-11,6,10,30
2014-12-12,0,32,48
2014-12-13,0,10,11
2014-12-14,0,10,1
2014-12-15,18,50,17
2014-12-16,8,112,22
2014-12-17,6,13,29
2014-12-18,5,49,53
2014-12-19,11,30,49
2014-12-20,0,16,6
2014-12-21,0,5,0
2014-12-22,1,15,20
2014-12-23,2,11,10
2014-12-24,1,8,13
2014-12-25,0,1,0
2014-12-26,3,0,8
2014-12-27,0,13,0
2014-12-28,4,2,0
2014-12-29,6,6,33
2014-12-30,17,21,50
2014-12-31,11,32,4
2015-01-01,4,0,0
2015-01-02,0,54,8
2015-01-03,0,12,1
2015-01-04,18,6,16
2015-01-05,14,8,66
2015-01-06,12,2,36
2015-01-07,5,2,31
2015-01-08,16,7,23
2015-01-09,7,14,42
2015-01-10,1,2,0
2015-01-11,4,0,2
2015-01-12,17,21,15
2015-01-13,2,18,20
2015-01-14,12,24,13
2015-01-15,9,31,15
2015-01-16,24,26,36
2015-01-17,6,0,4
2015-01-18,6,0,1
2015-01-19,8,11,31
2015-01-20,11,24,24
2015-01-21,13,16,35
2015-01-22,2,15,26
2015-01-23,3,27,19
2015-01-24,0,12,4
2015-01-25,2,2,1
2015-01-26,10,8,12
2015-01-27,11,14,12
2015-01-28,14,1,25
2015-01-29,6,10,22
2015-01-30,8,12,26
2015-01-31,1,11,25
2015-02-01,8,9,0
2015-02-02,13,7,40
2015-02-03,18,16,40
2015-02-04,19,21,25
2015-02-05,15,44,56
2015-02-06,15,43,42
2015-02-07,11,1,8
2015-02-08,6,2,0
2015-02-09,4,23,22
2015-02-10,6,8,37
2015-02-11,8,24,49
2015-02-12,8,35,12
2015-02-13,10,35,14
2015-02-14,3,8,0
2015-02-15,17,1,0
2015-02-16,4,11,2
2015-02-17,3,10,11
2015-02-18,11,39,43
2015-02-19,3,20,15
2015-02-20,8,26,18
2015-02-21,2,10,1
2015-02-22,6,7,0
2015-02-23,18,22,10
2015-02-24,6,39,14
2015-02-25,8,14,11
2015-02-26,9,26,13
2015-02-27,2,15,19
2015-02-28,17,4,3
2015-03-01,3,2,1
2015-03-02,6,18,25
2015-03-03,26,34,15
2015-03-04,8,32,19
2015-03-05,16,7,6
2015-03-06,4,26,25
2015-03-07,22,14,4
2015-03-08,0,2,1
2015-03-09,3,8,4
2015-03-10,19,27,2
2015-03-11,12,12,7
2015-03-12,13,6,1
2015-03-13,8,7,2
2015-03-14,4,0,1
2015-03-15,0,0,42
2015-03-16,0,0,7
2015-03-17,13,0,26
2015-03-18,6,3,6
2015-03-19,5,3,4
2015-03-20,11,11,5
2015-03-21,9,14,2
2015-03-22,8,2,0
2015-03-23,8,43,24
2015-03-24,12,9,17
2015-03-25,24,6,14
2015-03-26,14,16,12
2015-03-27,9,7,13
2015-03-28,10,2,1
2015-03-29,20,6,0
2015-03-30,16,4,14
2015-03-31,10,13,15
2015-04-01,9,5,15
2015-04-02,8,6,14
2015-04-03,0,11,40
2015-04-04,2,3,1
2015-04-05,0,1,0
2015-04-06,5,16,16
2015-04-07,9,16,23
2015-04-08,5,10,32
2015-04-09,5,24,41
2015-04-10,11,3,21
2015-04-11,0,1,0
2015-04-12,20,1,0
2015-04-13,10,41,21
2015-04-14,5,29,21
2015-04-15,16,19,21
2015-04-16,3,7,11
2015-04-17,1,59,24
2015-04-18,0,1,1
2015-04-19,14,0,0
2015-04-20,25,27,15
2015-04-21,11,46,26
2015-04-22,15,57,20
2015-04-23,11,16,38
2015-04-24,6,22,40
2015-04-25,7,1,7
2015-04-26,9,1,0
2015-04-27,14,23,21
2015-04-28,13,29,38
2015-04-29,31,27,31
2015-04-30,9,16,26
2015-05-01,11,3,53
2015-05-02,6,0,0
2015-05-03,1,0,0
2015-05-04,5,15,31
2015-05-05,14,3,35
2015-05-06,6,1,30
2015-05-07,8,3,26
2015-05-08,5,1,30
2015-05-09,7,4,1
2015-05-10,2,5,5
2015-05-11,5,31,22
2015-05-12,4,39,24
2015-05-13,10,8,9
2015-05-14,5,5,8
2015-05-15,5,0,20
2015-05-16,4,0,2
2015-05-17,3,2,0
2015-05-18,12,6,34
2015-05-19,7,6,22
2015-05-20,6,6,14
2015-05-21,5,1,22
2015-05-22,2,4,19
2015-05-23,1,0,4
2015-05-24,0,0,0
2015-05-25,8,0,1
2015-05-26,2,4,18
2015-05-27,5,10,14
2015-05-28,3,26,23
2015-05-29,4,21,6
2015-05-30,0,30,9
2015-05-31,0,20,0
2015-06-01,9,8,10
2015-06-02,11,22,32
2015-06-03,24,51,39
2015-06-04,6,23,21
2015-06-05,5,12,37
2015-06-06,1,11,1
2015-06-07,0,1,0
2015-06-08,6,34,8
2015-06-09,4,33,13
2015-06-10,6,25,25
2015-06-11,6,11,19
2015-06-12,3,4,25
2015-06-13,11,0,10
2015-06-14,2,0,1
2015-06-15,2,7,34
2015-06-16,0,26,16
2015-06-17,1,0,23
2015-06-18,4,7,7
2015-06-19,8,3,11
2015-06-20,0,0,3
2015-06-21,0,0,1
2015-06-22,10,12,19
2015-06-23,1,1,13
2015-06-24,2,19,10
2015-06-25,3,11,30
2015-06-26,13,3,33
2015-06-27,1,16,0
2015-06-28,1,11,0
2015-06-29,10,38,7
2015-06-30,11,13,9
2015-07-01,1,28,5
2015-07-02,3,27,2
2015-07-03,4,2,0
2015-07-04,2,0,0
2015-07-05,0,0,1
2015-07-06,11,3,3
2015-07-07,7,14,6
2015-07-08,18,7,10
2015-07-09,8,15,22
2015-07-10,12,6,25
2015-07-11,0,0,0
2015-07-12,1,1,3
2015-07-13,6,23,15
2015-07-14,5,3,24
2015-07-15,11,31,26
2015-07-16,6,48,33
2015-07-17,10,34,6
2015-07-18,7,23,0
2015-07-19,1,13,3
2015-07-20,10,19,3
2015-07-21,11,7,3
