,rust-lang/rust,golang/go,nim-lang/Nim
2022-11-19,105,13,0
2022-11-20,106,0,0
2022-11-21,130,20,5
2022-11-22,80,18,9
2022-11-23,90,14,1
2022-11-24,86,3,4
2022-11-25,170,0,3
2022-11-26,80,0,6
2022-11-27,88,0,2
2022-11-28,100,11,4
2022-11-29,100,5,10
2022-11-30,65,7,3
2022-12-01,90,18,8
2022-12-02,87,14,2
2022-12-03,75,1,1
2022-12-04,54,0,2
2022-12-05,53,8,8
2022-12-06,106,9,8
2022-12-07,60,11,1
2022-12-08,59,8,8
2022-12-09,83,3,4
2022-12-10,60,1,5
2022-12-11,68,1,3
2022-12-12,68,6,9
2022-12-13,110,3,6
2022-12-14,112,6,0
2022-12-15,88,2,4
2022-12-16,70,4,7
2022-12-17,79,1,4
2022-12-18,53,0,1
2022-12-19,53,1,2
2022-12-20,91,0,4
2022-12-21,59,6,2
2022-12-22,74,6,9
2022-12-23,60,2,6
2022-12-24,42,0,1
2022-12-25,44,0,0
2022-12-26,22,0,2
2022-12-27,67,1,4
2022-12-28,110,1,7
2022-12-29,67,2,4
2022-12-30,52,0,1
2022-12-31,54,0,0
2023-01-01,39,0,2
2023-01-02,87,0,3
2023-01-03,66,3,1
2023-01-04,80,4,2
2023-01-05,56,2,0
2023-01-06,62,3,1
2023-01-07,53,0,0
2023-01-08,37,0,4
2023-01-09,172,7,1
2023-01-10,52,3,0
2023-01-11,133,3,2
2023-01-12,131,0,1
2023-01-13,106,3,1
2023-01-14,131,0,1
2023-01-15,49,0,0
2023-01-16,65,1,0
2023-01-17,100,42,2
2023-01-18,72,7,8
2023-01-19,76,19,1
2023-01-20,84,38,2
2023-01-21,83,3,1
2023-01-22,54,0,0
2023-01-23,100,12,0
2023-01-24,50,20,3
2023-01-25,64,16,2
2023-01-26,81,22,3
2023-01-27,151,14,3
2023-01-28,77,6,0
2023-01-29,57,1,1
2023-01-30,91,25,0
2023-01-31,95,31,2
2023-02-01,72,14,4
2023-02-02,73,17,2
2023-02-03,80,7,0
2023-02-04,30,9,0
2023-02-05,61,0,0
2023-02-06,65,15,0
2023-02-07,72,8,1
2023-02-08,52,10,2
2023-02-09,84,13,3
2023-02-10,89,20,0
2023-02-11,53,2,0
2023-02-12,56,0,1
2023-02-13,90,8,0
2023-02-14,139,8,5
2023-02-15,86,7,2
2023-02-16,95,8,4
2023-02-17,75,10,2
2023-02-18,98,1,0
2023-02-19,73,1,1
2023-02-20,93,1,1
2023-02-21,91,8,9
2023-02-22,83,14,5
2023-02-23,66,18,0
2023-02-24,42,12,4
2023-02-25,79,3,1
2023-02-26,82,0,4
2023-02-27,64,34,0
2023-02-28,79,26,2
2023-03-01,126,23,6
2023-03-02,66,10,7
2023-03-03,93,5,3
2023-03-04,80,1,3
2023-03-05,84,0,2
2023-03-06,75,13,4
2023-03-07,60,12,2
2023-03-08,98,5,1
2023-03-09,97,13,1
2023-03-10,104,25,3
2023-03-11,75,1,0
2023-03-12,78,0,3
2023-03-13,76,16,2
2023-03-14,87,11,0
2023-03-15,87,24,0
2023-03-16,86,17,3
2023-03-17,88,12,2
2023-03-18,47,4,0
2023-03-19,59,0,1
2023-03-20,70,8,11
2023-03-21,92,20,2
2023-03-22,91,21,1
2023-03-23,79,5,1
2023-03-24,75,20,0
2023-03-25,63,2,0
2023-03-26,61,0,0
2023-03-27,84,12,2
2023-03-28,81,16,5
2023-03-29,99,24,2
2023-03-30,105,12,4
2023-03-31,50,18,2
2023-04-01,33,0,2
2023-04-02,34,0,1
2023-04-03,105,7,2
2023-04-04,115,21,2
2023-04-05,91,16,0
2023-04-06,112,16,3
2023-04-07,70,20,1
2023-04-08,48,3,2
2023-04-09,85,0,0
2023-04-10,64,17,1
2023-04-11,101,30,7
2023-04-12,108,16,1
2023-04-13,99,16,4
2023-04-14,104,19,4
2023-04-15,47,0,0
2023-04-16,111,0,0
2023-04-17,90,11,10
2023-04-18,60,22,2
2023-04-19,83,12,5
2023-04-20,104,18,1
2023-04-21,94,24,7
2023-04-22,101,1,1
2023-04-23,70,0,3
2023-04-24,90,14,4
2023-04-25,93,9,1
2023-04-26,101,8,4
2023-04-27,109,8,0
2023-04-28,92,18,3
2023-04-29,95,0,3
2023-04-30,56,2,0
2023-05-01,64,7,1
2023-05-02,150,17,6
2023-05-03,68,20,4
2023-05-04,67,23,6
2023-05-05,120,23,4
2023-05-06,118,0,8
2023-05-07,64,0,2
2023-05-08,83,11,5
2023-05-09,70,16,4
2023-05-10,67,26,2
2023-05-11,72,28,12
2023-05-12,74,39,6
2023-05-13,63,1,0
2023-05-14,57,0,2
2023-05-15,79,9,2
2023-05-16,72,21,2
2023-05-17,54,29,2
2023-05-18,102,22,0
2023-05-19,39,45,4
2023-05-20,62,8,4
2023-05-21,44,0,3
2023-05-22,64,26,3
2023-05-23,75,57,5
2023-05-24,75,63,7
2023-05-25,105,29,3
2023-05-26,119,19,8
2023-05-27,46,3,11
2023-05-28,51,0,6
2023-05-29,66,0,4
2023-05-30,72,21,8
2023-05-31,80,27,4
2023-06-01,100,28,4
2023-06-02,105,10,2
2023-06-03,61,3,5
2023-06-04,53,1,7
2023-06-05,116,10,3
2023-06-06,67,23,8
2023-06-07,73,12,8
2023-06-08,76,11,8
2023-06-09,66,8,8
2023-06-10,72,2,4
2023-06-11,62,4,3
2023-06-12,108,12,3
2023-06-13,84,16,8
2023-06-14,102,9,2
2023-06-15,78,9,4
2023-06-16,81,16,9
2023-06-17,73,1,2
2023-06-18,58,0,1
2023-06-19,125,1,1
2023-06-20,107,9,3
2023-06-21,111,8,6
2023-06-22,85,5,2
2023-06-23,77,6,0
2023-06-24,55,2,3
2023-06-25,61,0,3
2023-06-26,62,7,2
2023-06-27,113,6,10
2023-06-28,101,3,3
2023-06-29,93,9,3
2023-06-30,99,1,3
2023-07-01,61,0,2
2023-07-02,72,0,3
2023-07-03,112,0,2
2023-07-04,67,3,2
2023-07-05,100,4,1
2023-07-06,69,6,3
2023-07-07,89,5,4
2023-07-08,83,0,0
2023-07-09,41,0,0
2023-07-10,103,4,3
2023-07-11,53,8,1
2023-07-12,81,6,0
2023-07-13,84,4,0
2023-07-14,92,3,3
2023-07-15,33,0,0
2023-07-16,74,0,2
2023-07-17,76,4,0
2023-07-18,84,10,2
2023-07-19,80,2,5
2023-07-20,96,32,2
2023-07-21,103,23,1
2023-07-22,94,0,8
2023-07-23,38,0,3
2023-07-24,100,5,2
2023-07-25,94,7,2
2023-07-26,83,14,1
2023-07-27,90,13,2
2023-07-28,78,8,0
2023-07-29,73,1,2
2023-07-30,103,0,2
2023-07-31,131,32,5
2023-08-01,87,16,3
2023-08-02,109,10,3
2023-08-03,96,19,3
2023-08-04,99,8,8
2023-08-05,70,3,4
2023-08-06,73,0,9
2023-08-07,88,39,5
2023-08-08,96,9,8
2023-08-09,73,11,12
2023-08-10,53,17,9
2023-08-11,72,16,8
2023-08-12,40,2,4
2023-08-13,49,0,0
2023-08-14,89,13,4
2023-08-15,98,22,4
