,twbs/bootstrap,mui/material-ui,ant-design/ant-design
2015-12-25,25,10,29
2015-12-26,9,12,1
2015-12-27,4,0,22
2015-12-28,0,9,33
2015-12-29,4,14,18
2015-12-30,2,22,19
2015-12-31,4,10,17
2016-01-01,5,5,34
2016-01-02,1,8,9
2016-01-03,0,8,2
2016-01-04,20,8,7
2016-01-05,4,12,6
2016-01-06,58,19,15
2016-01-07,22,8,21
2016-01-08,3,8,8
2016-01-09,13,15,4
2016-01-10,3,8,7
2016-01-11,16,24,25
2016-01-12,0,12,15
2016-01-13,7,12,29
2016-01-14,10,13,32
2016-01-15,6,7,19
2016-01-16,4,11,4
2016-01-17,16,8,7
2016-01-18,14,16,7
2016-01-19,7,6,27
2016-01-20,4,12,23
2016-01-21,11,8,14
2016-01-22,0,8,15
2016-01-23,6,13,10
2016-01-24,8,6,3
2016-01-25,5,14,15
2016-01-26,5,10,29
2016-01-27,3,17,17
2016-01-28,0,15,19
2016-01-29,1,7,4
2016-01-30,0,8,10
2016-01-31,1,1,0
2016-02-01,0,13,30
2016-02-02,0,4,17
2016-02-03,2,18,14
2016-02-04,15,14,1
2016-02-05,5,22,1
2016-02-06,61,15,1
2016-02-07,43,19,0
2016-02-08,28,45,0
2016-02-09,29,17,0
2016-02-10,0,26,0
2016-02-11,6,28,3
2016-02-12,0,27,0
2016-02-13,0,10,0
2016-02-14,5,13,2
2016-02-15,2,12,1
2016-02-16,33,7,4
2016-02-17,49,11,12
2016-02-18,6,6,10
2016-02-19,15,14,13
2016-02-20,0,7,4
2016-02-21,0,14,8
2016-02-22,0,15,26
2016-02-23,9,11,15
2016-02-24,1,20,16
2016-02-25,3,3,15
2016-02-26,2,20,7
2016-02-27,10,14,1
2016-02-28,11,23,0
2016-02-29,1,7,5
2016-03-01,1,11,6
2016-03-02,1,22,25
2016-03-03,4,14,15
2016-03-04,4,6,12
2016-03-05,2,10,7
2016-03-06,3,7,5
2016-03-07,15,13,17
2016-03-08,0,12,10
2016-03-09,0,5,23
2016-03-10,4,13,81
2016-03-11,6,5,23
2016-03-12,0,13,2
2016-03-13,1,7,8
2016-03-14,7,3,30
2016-03-15,2,5,23
2016-03-16,7,11,19
2016-03-17,1,14,9
2016-03-18,0,8,14
2016-03-19,2,4,2
2016-03-20,0,0,5
2016-03-21,0,5,13
2016-03-22,5,8,19
2016-03-23,0,2,20
2016-03-24,7,14,11
2016-03-25,0,9,33
2016-03-26,0,2,1
2016-03-27,2,3,3
2016-03-28,0,7,30
2016-03-29,0,23,29
2016-03-30,2,4,47
2016-03-31,2,6,25
2016-04-01,0,9,25
2016-04-02,3,10,0
2016-04-03,0,2,4
2016-04-04,3,1,2
2016-04-05,1,4,25
2016-04-06,7,1,30
2016-04-07,2,2,31
2016-04-08,0,6,12
2016-04-09,7,4,4
2016-04-10,5,6,10
2016-04-11,9,11,20
2016-04-12,2,13,18
2016-04-13,1,7,29
2016-04-14,3,8,19
2016-04-15,1,11,21
2016-04-16,0,5,4
2016-04-17,6,4,5
2016-04-18,1,5,13
2016-04-19,1,5,9
2016-04-20,0,5,9
2016-04-21,4,9,11
2016-04-22,0,7,10
2016-04-23,4,3,2
2016-04-24,2,3,3
2016-04-25,1,1,14
2016-04-26,0,2,9
2016-04-27,0,6,24
2016-04-28,2,10,15
2016-04-29,0,2,17
2016-04-30,0,9,1
2016-05-01,0,6,0
2016-05-02,0,7,0
2016-05-03,0,11,5
2016-05-04,0,11,3
2016-05-05,0,5,15
2016-05-06,1,12,14
2016-05-07,0,16,8
2016-05-08,32,11,8
2016-05-09,17,3,17
2016-05-10,3,4,30
2016-05-11,20,3,33
2016-05-12,20,5,12
2016-05-13,8,5,12
2016-05-14,3,1,3
2016-05-15,2,3,15
2016-05-16,4,0,26
2016-05-17,1,4,11
2016-05-18,1,1,22
2016-05-19,1,5,18
2016-05-20,3,5,9
2016-05-21,0,3,6
2016-05-22,2,5,1
2016-05-23,0,0,23
2016-05-24,0,3,8
2016-05-25,0,5,7
2016-05-26,6,3,24
2016-05-27,0,7,44
2016-05-28,2,3,5
2016-05-29,0,1,0
2016-05-30,2,0,1
2016-05-31,22,11,5
2016-06-01,0,6,11
2016-06-02,2,2,24
2016-06-03,4,4,15
2016-06-04,15,7,0
2016-06-05,9,2,0
2016-06-06,0,4,11
2016-06-07,0,1,2
2016-06-08,2,5,2
2016-06-09,1,7,2
2016-06-10,1,1,6
2016-06-11,0,5,7
2016-06-12,0,6,9
2016-06-13,6,2,14
2016-06-14,0,6,7
2016-06-15,0,3,21
2016-06-16,1,3,16
2016-06-17,0,2,7
2016-06-18,0,2,3
2016-06-19,0,1,8
2016-06-20,6,0,6
2016-06-21,0,1,9
2016-06-22,2,0,15
2016-06-23,0,0,15
2016-06-24,2,2,13
2016-06-25,0,1,1
2016-06-26,3,5,5
2016-06-27,3,7,17
2016-06-28,6,9,14
2016-06-29,7,0,6
2016-06-30,0,0,1
2016-07-01,0,3,3
2016-07-02,0,3,0
2016-07-03,0,9,0
2016-07-04,2,9,15
2016-07-05,1,3,8
2016-07-06,2,2,10
2016-07-07,0,2,19
2016-07-08,4,1,16
2016-07-09,1,13,19
2016-07-10,1,19,6
2016-07-11,0,6,12
2016-07-12,7,0,7
2016-07-13,1,6,9
2016-07-14,2,2,1
2016-07-15,0,0,9
2016-07-16,2,1,3
2016-07-17,2,4,5
2016-07-18,0,3,10
2016-07-19,1,3,8
2016-07-20,5,0,4
2016-07-21,1,1,29
2016-07-22,0,15,4
2016-07-23,0,4,2
2016-07-24,8,8,13
2016-07-25,3,0,22
2016-07-26,11,0,19
2016-07-27,14,2,8
2016-07-28,8,2,1
2016-07-29,0,0,16
2016-07-30,3,0,5
2016-07-31,0,0,3
2016-08-01,0,7,9
2016-08-02,9,6,11
2016-08-03,2,0,19
2016-08-04,3,0,13
2016-08-05,0,0,7
2016-08-06,1,6,4
2016-08-07,1,2,2
2016-08-08,0,1,11
2016-08-09,2,0,2
2016-08-10,0,3,7
2016-08-11,0,0,7
2016-08-12,0,1,4
2016-08-13,0,12,1
2016-08-14,0,3,5
2016-08-15,1,3,6
2016-08-16,0,1,5
2016-08-17,0,0,16
2016-08-18,1,0,7
2016-08-19,1,0,4
2016-08-20,2,0,10
2016-08-21,1,0,0
2016-08-22,13,0,6
2016-08-23,1,0,6
2016-08-24,0,2,6
2016-08-25,0,0,7
2016-08-26,0,0,8
2016-08-27,0,5,0
2016-08-28,0,8,5
2016-08-29,1,0,8
2016-08-30,0,0,3
2016-08-31,0,5,7
2016-09-01,0,0,16
2016-09-02,0,0,2
2016-09-03,0,3,0
2016-09-04,0,1,0
2016-09-05,18,0,0
2016-09-06,7,0,0
2016-09-07,2,0,1
2016-09-08,10,1,16
2016-09-09,8,0,9
2016-09-10,1,0,24
2016-09-11,0,0,3
2016-09-12,21,0,12
2016-09-13,1,0,12
2016-09-14,1,0,22
2016-09-15,4,0,0
2016-09-16,1,0,1
2016-09-17,0,1,0
2016-09-18,0,0,24
2016-09-19,0,0,21
2016-09-20,0,0,9
2016-09-21,0,0,14
2016-09-22,2,0,9
2016-09-23,1,0,13
2016-09-24,0,0,0
2016-09-25,0,3,0
2016-09-26,1,0,14
2016-09-27,0,0,10
2016-09-28,0,1,16
2016-09-29,0,2,32
2016-09-30,0,0,23
2016-10-01,0,2,11
2016-10-02,1,9,19
2016-10-03,24,6,0
2016-10-04,1,0,0
2016-10-05,0,0,0
2016-10-06,1,0,11
2016-10-07,3,0,19
2016-10-08,0,2,10
2016-10-09,41,4,6
2016-10-10,26,2,13
2016-10-11,3,0,4
2016-10-12,1,0,11
2016-10-13,2,0,11
2016-10-14,0,0,19
2016-10-15,3,0,7
2016-10-16,1,4,3
2016-10-17,8,0,8
2016-10-18,8,1,12
2016-10-19,23,0,11
2016-10-20,8,0,19
2016-10-21,0,0,18
2016-10-22,1,0,3
2016-10-23,0,0,0
2016-10-24,8,0,9
2016-10-25,13,2,3
2016-10-26,6,0,11
2016-10-27,26,0,10
2016-10-28,25,0,17
2016-10-29,2,0,3
2016-10-30,14,0,5
2016-10-31,1,2,16
2016-11-01,8,1,13
2016-11-02,0,0,20
2016-11-03,1,0,11
2016-11-04,2,0,9
2016-11-05,3,3,5
2016-11-06,2,2,12
2016-11-07,0,0,20
2016-11-08,3,1,17
2016-11-09,2,1,27
2016-11-10,3,1,12
2016-11-11,0,0,20
2016-11-12,1,3,0
2016-11-13,3,1,8
2016-11-14,0,2,22
2016-11-15,0,1,24
2016-11-16,1,1,10
2016-11-17,5,0,9
2016-11-18,0,0,18
2016-11-19,0,8,2
2016-11-20,0,0,3
2016-11-21,0,1,16
2016-11-22,0,12,22
2016-11-23,8,10,25
2016-11-24,3,7,13
2016-11-25,9,0,9
2016-11-26,45,8,9
2016-11-27,17,7,0
2016-11-28,24,5,6
2016-11-29,9,1,10
2016-11-30,4,3,6
2016-12-01,3,3,8
2016-12-02,7,6,14
2016-12-03,0,0,18
2016-12-04,0,2,18
2016-12-05,36,1,10
2016-12-06,2,2,11
2016-12-07,0,0,9
2016-12-08,5,0,6
2016-12-09,0,1,7
2016-12-10,0,3,2
2016-12-11,4,1,6
2016-12-12,1,4,3
2016-12-13,0,4,8
2016-12-14,0,3,11
2016-12-15,0,1,9
2016-12-16,0,0,10
2016-12-17,0,0,0
2016-12-18,0,5,1
2016-12-19,2,1,11
2016-12-20,16,1,10
2016-12-21,2,1,4
2016-12-22,68,0,10
2016-12-23,42,0,2
2016-12-24,30,2,2
2016-12-25,32,5,5
2016-12-26,6,2,4
2016-12-27,14,1,8
2016-12-28,45,1,4
2016-12-29,48,0,2
2016-12-30,0,1,16
2016-12-31,20,1,6
2017-01-01,7,2,6
2017-01-02,15,2,4
2017-01-03,6,2,7
2017-01-04,20,2,10
2017-01-05,7,2,13
2017-01-06,8,13,6
2017-01-07,0,5,8
2017-01-08,1,0,14
2017-01-09,0,1,29
2017-01-10,3,2,9
2017-01-11,3,7,10
2017-01-12,1,6,8
2017-01-13,0,6,14
2017-01-14,1,2,12
2017-01-15,7,2,6
2017-01-16,13,0,9
2017-01-17,0,0,7
2017-01-18,2,1,0
2017-01-19,0,3,14
2017-01-20,0,4,16
2017-01-21,13,0,3
2017-01-22,6,1,12
2017-01-23,3,6,13
2017-01-24,8,4,9
2017-01-25,2,0,9
2017-01-26,2,0,8
2017-01-27,0,0,11
2017-01-28,2,1,0
2017-01-29,0,13,0
2017-01-30,0,1,9
2017-01-31,0,4,13
2017-02-01,0,3,1
2017-02-02,0,1,0
2017-02-03,0,0,5
2017-02-04,3,0,5
2017-02-05,5,0,1
2017-02-06,0,6,7
2017-02-07,0,10,13
2017-02-08,4,0,13
2017-02-09,2,6,16
2017-02-10,0,9,12
2017-02-11,0,15,0
2017-02-12,2,4,0
2017-02-13,2,2,16
2017-02-14,0,8,7
2017-02-15,0,11,15
2017-02-16,0,4,21
2017-02-17,0,3,13
2017-02-18,0,1,9
2017-02-19,0,2,20
2017-02-20,0,0,42
2017-02-21,1,0,21
2017-02-22,1,3,20
2017-02-23,0,1,16
2017-02-24,0,0,22
2017-02-25,2,7,9
2017-02-26,2,7,12
2017-02-27,2,3,20
2017-02-28,0,2,17
2017-03-01,0,4,14
2017-03-02,1,2,21
2017-03-03,7,3,11
2017-03-04,2,0,0
2017-03-05,11,3,13
2017-03-06,0,0,22
2017-03-07,1,0,9
2017-03-08,2,2,13
2017-03-09,1,2,10
2017-03-10,0,0,22
2017-03-11,0,6,3
2017-03-12,2,5,2
2017-03-13,3,2,13
2017-03-14,0,0,12
2017-03-15,1,0,5
2017-03-16,0,0,11
2017-03-17,0,0,15
2017-03-18,10,5,13
2017-03-19,10,12,10
2017-03-20,19,3,12
2017-03-21,3,6,12
2017-03-22,2,0,9
2017-03-23,2,1,8
2017-03-24,16,0,18
2017-03-25,0,6,2
2017-03-26,16,2,1
2017-03-27,2,3,53
2017-03-28,11,5,18
2017-03-29,0,3,11
2017-03-30,1,4,12
2017-03-31,1,1,7
2017-04-01,0,8,16
2017-04-02,5,5,10
2017-04-03,2,0,2
2017-04-04,0,2,4
2017-04-05,0,4,17
2017-04-06,0,7,8
2017-04-07,3,1,5
2017-04-08,18,9,4
2017-04-09,16,0,3
2017-04-10,5,4,14
2017-04-11,3,2,10
2017-04-12,5,1,21
2017-04-13,3,8,19
2017-04-14,1,5,4
2017-04-15,0,1,8
2017-04-16,8,7,1
2017-04-17,1,1,2
2017-04-18,3,2,0
2017-04-19,2,2,7
2017-04-20,4,0,3
2017-04-21,1,0,4
2017-04-22,8,5,17
2017-04-23,0,5,1
2017-04-24,0,10,5
2017-04-25,1,2,5
2017-04-26,1,0,8
2017-04-27,3,1,10
2017-04-28,1,0,12
2017-04-29,3,2,0
2017-04-30,0,4,7
2017-05-01,1,3,10
2017-05-02,2,13,10
2017-05-03,0,9,14
2017-05-04,1,14,6
2017-05-05,3,5,9
2017-05-06,0,3,2
2017-05-07,0,2,0
2017-05-08,2,8,5
2017-05-09,1,8,4
2017-05-10,0,7,4
2017-05-11,0,9,10
2017-05-12,0,0,1
2017-05-13,0,5,4
2017-05-14,27,2,3
2017-05-15,0,0,15
2017-05-16,2,4,6
2017-05-17,3,1,8
2017-05-18,0,1,9
2017-05-19,0,5,4
2017-05-20,0,1,0
2017-05-21,0,0,0
2017-05-22,2,2,9
2017-05-23,2,17,10
2017-05-24,6,7,8
2017-05-25,1,5,4
2017-05-26,6,2,1
2017-05-27,18,7,11
2017-05-28,37,2,7
2017-05-29,18,2,5
2017-05-30,36,4,1
2017-05-31,10,3,8
2017-06-01,7,8,13
2017-06-02,1,2,14
2017-06-03,1,3,0
2017-06-04,3,0,0
2017-06-05,0,2,8
2017-06-06,6,4,11
2017-06-07,3,2,6
2017-06-08,0,6,6
2017-06-09,0,0,21
2017-06-10,6,0,1
2017-06-11,2,2,2
2017-06-12,0,7,7
2017-06-13,8,1,9
2017-06-14,13,5,3
2017-06-15,22,4,17
2017-06-16,4,0,5
2017-06-17,13,4,1
2017-06-18,16,1,2
2017-06-19,6,13,9
2017-06-20,0,1,6
2017-06-21,2,4,6
2017-06-22,1,0,2
2017-06-23,0,10,11
2017-06-24,0,5,2
2017-06-25,0,5,5
2017-06-26,18,0,11
2017-06-27,1,5,8
2017-06-28,6,2,10
2017-06-29,1,0,4
2017-06-30,39,10,18
2017-07-01,5,0,5
2017-07-02,26,0,2
2017-07-03,0,8,7
2017-07-04,9,3,10
2017-07-05,3,3,2
2017-07-06,1,15,6
2017-07-07,0,11,15
2017-07-08,2,8,6
2017-07-09,0,2,0
2017-07-10,4,6,2
2017-07-11,1,1,6
2017-07-12,2,1,11
2017-07-13,1,3,6
2017-07-14,4,3,21
2017-07-15,1,0,5
2017-07-16,7,0,7
2017-07-17,1,0,16
2017-07-18,2,5,3
2017-07-19,0,6,9
2017-07-20,0,4,5
2017-07-21,0,2,5
2017-07-22,0,6,10
2017-07-23,0,6,2
2017-07-24,0,9,10
2017-07-25,0,2,10
2017-07-26,0,3,2
2017-07-27,2,3,5
2017-07-28,3,2,6
2017-07-29,0,14,7
2017-07-30,8,3,10
2017-07-31,4,3,8
2017-08-01,0,8,9
2017-08-02,0,6,6
2017-08-03,0,4,7
2017-08-04,8,2,13
2017-08-05,0,5,2
2017-08-06,0,0,5
2017-08-07,5,6,29
2017-08-08,6,3,10
2017-08-09,8,4,12
2017-08-10,1,4,10
2017-08-11,78,4,20
2017-08-12,4,5,5
2017-08-13,19,0,1
2017-08-14,8,0,10
2017-08-15,23,5,18
2017-08-16,2,5,15
2017-08-17,5,2,14
2017-08-18,4,15,11
2017-08-19,1,4,4
2017-08-20,16,6,2
2017-08-21,4,0,8
2017-08-22,11,1,3
2017-08-23,3,6,14
2017-08-24,1,8,7
2017-08-25,6,4,9
2017-08-26,3,4,0
2017-08-27,1,0,16
2017-08-28,4,5,0
2017-08-29,7,3,13
2017-08-30,3,9,10
2017-08-31,6,10,7
2017-09-01,3,4,9
2017-09-02,7,5,0
2017-09-03,3,0,5
2017-09-04,14,7,8
2017-09-05,2,4,13
2017-09-06,14,4,24
2017-09-07,4,6,3
2017-09-08,3,9,25
2017-09-09,1,6,2
2017-09-10,11,9,6
2017-09-11,5,6,12
2017-09-12,6,8,7
2017-09-13,6,12,8
2017-09-14,1,6,1
2017-09-15,4,4,21
2017-09-16,0,6,11
2017-09-17,8,8,4
2017-09-18,0,11,12
2017-09-19,0,3,6
2017-09-20,1,10,6
2017-09-21,0,6,14
2017-09-22,0,8,19
2017-09-23,1,11,13
2017-09-24,2,15,0
2017-09-25,2,10,34
2017-09-26,21,8,4
2017-09-27,12,5,15
2017-09-28,2,12,7
2017-09-29,8,7,8
2017-09-30,2,9,4
2017-10-01,18,18,2
2017-10-02,12,6,0
2017-10-03,46,5,2
2017-10-04,36,9,0
2017-10-05,5,6,0
2017-10-06,5,4,5
2017-10-07,0,8,2
2017-10-08,6,8,4
2017-10-09,8,8,21
2017-10-10,6,12,18
2017-10-11,1,5,16
2017-10-12,1,8,13
2017-10-13,3,9,2
2017-10-14,1,3,4
2017-10-15,3,11,1
2017-10-16,7,8,14
2017-10-17,5,7,17
2017-10-18,17,4,15
2017-10-19,40,5,14
2017-10-20,12,3,9
2017-10-21,0,8,2
2017-10-22,31,11,5
2017-10-23,17,9,12
2017-10-24,2,14,15
2017-10-25,6,14,8
2017-10-26,1,12,16
2017-10-27,3,12,10
2017-10-28,2,21,9
2017-10-29,15,6,2
2017-10-30,12,17,2
2017-10-31,14,18,20
2017-11-01,1,17,13
2017-11-02,1,10,1
2017-11-03,8,4,8
2017-11-04,0,17,1
2017-11-05,0,8,0
2017-11-06,15,13,10
2017-11-07,8,11,8
2017-11-08,2,11,5
2017-11-09,6,6,17
2017-11-10,0,9,7
2017-11-11,3,2,1
2017-11-12,0,9,6
2017-11-13,2,17,7
2017-11-14,0,10,3
2017-11-15,6,13,4
2017-11-16,4,4,3
2017-11-17,1,14,15
2017-11-18,0,24,8
2017-11-19,2,7,13
2017-11-20,3,11,15
2017-11-21,0,6,30
2017-11-22,0,6,26
2017-11-23,3,1,0
2017-11-24,5,2,4
2017-11-25,10,12,0
2017-11-26,1,3,2
2017-11-27,3,18,14
2017-11-28,2,6,11
2017-11-29,2,5,12
2017-11-30,0,9,6
2017-12-01,2,9,17
2017-12-02,3,10,4
2017-12-03,0,7,6
2017-12-04,1,7,30
2017-12-05,1,12,13
2017-12-06,0,20,6
2017-12-07,1,3,7
2017-12-08,1,6,8
2017-12-09,0,6,0
2017-12-10,0,3,7
2017-12-11,1,3,8
2017-12-12,2,2,1
2017-12-13,0,13,9
2017-12-14,0,7,1
2017-12-15,0,8,9
2017-12-16,1,13,10
2017-12-17,1,17,6
2017-12-18,0,22,6
2017-12-19,0,8,5
2017-12-20,0,12,3
2017-12-21,0,8,8
2017-12-22,2,24,14
2017-12-23,13,17,3
2017-12-24,6,3,1
2017-12-25,0,0,3
2017-12-26,9,26,3
2017-12-27,15,25,8
2017-12-28,22,7,14
2017-12-29,1,9,10
2017-12-30,11,29,2
2017-12-31,16,6,2
2018-01-01,2,19,6
2018-01-02,7,14,2
2018-01-03,10,3,3
2018-01-04,2,9,5
2018-01-05,2,13,119
2018-01-06,1,16,5
2018-01-07,0,12,4
2018-01-08,1,2,19
2018-01-09,0,14,18
2018-01-10,1,13,14
2018-01-11,11,9,9
2018-01-12,1,8,15
2018-01-13,5,7,13
2018-01-14,6,12,1
2018-01-15,9,10,3
2018-01-16,7,13,0
2018-01-17,4,4,2
2018-01-18,9,6,8
2018-01-19,4,7,7
2018-01-20,5,2,8
2018-01-21,7,9,2
2018-01-22,4,19,2
2018-01-23,2,7,8
2018-01-24,0,6,12
2018-01-25,0,10,4
2018-01-26,0,10,8
2018-01-27,0,12,5
2018-01-28,1,1,4
2018-01-29,0,9,5
2018-01-30,3,24,6
2018-01-31,4,11,8
2018-02-01,0,5,5
2018-02-02,1,2,7
2018-02-03,3,8,1
2018-02-04,0,9,16
2018-02-05,1,14,1
2018-02-06,0,5,1
2018-02-07,1,8,5
2018-02-08,0,3,12
2018-02-09,1,3,10
2018-02-10,0,13,0
2018-02-11,9,8,15
2018-02-12,2,13,3
2018-02-13,1,5,3
2018-02-14,1,6,3
2018-02-15,0,7,1
2018-02-16,2,6,1
2018-02-17,0,11,0
2018-02-18,0,3,0
2018-02-19,6,8,0
2018-02-20,2,18,0
2018-02-21,1,8,1
2018-02-22,0,8,3
2018-02-23,0,10,0
2018-02-24,8,5,5
2018-02-25,1,11,2
2018-02-26,0,9,3
2018-02-27,0,3,5
2018-02-28,0,6,3
2018-03-01,1,14,2
2018-03-02,1,6,12
2018-03-03,4,10,3
2018-03-04,2,4,0
2018-03-05,2,14,3
2018-03-06,1,15,8
2018-03-07,0,12,4
2018-03-08,3,10,6
2018-03-09,0,10,9
2018-03-10,0,17,4
2018-03-11,0,7,2
2018-03-12,14,15,10
2018-03-13,8,6,4
2018-03-14,3,11,7
2018-03-15,1,13,7
2018-03-16,2,9,1
2018-03-17,1,22,2
2018-03-18,0,14,4
2018-03-19,0,6,5
2018-03-20,2,5,0
2018-03-21,11,8,8
2018-03-22,0,9,2
2018-03-23,0,2,9
2018-03-24,0,5,6
2018-03-25,0,7,3
2018-03-26,1,21,10
2018-03-27,1,13,3
2018-03-28,0,7,2
2018-03-29,1,10,9
2018-03-30,5,10,5
2018-03-31,3,4,1
2018-04-01,15,11,7
2018-04-02,7,6,1
2018-04-03,0,12,4
2018-04-04,0,14,7
2018-04-05,4,8,0
2018-04-06,0,8,0
2018-04-07,1,22,1
2018-04-08,1,3,3
2018-04-09,2,14,1
2018-04-10,4,16,2
2018-04-11,1,9,7
2018-04-12,3,4,1
2018-04-13,1,3,5
2018-04-14,1,12,2
2018-04-15,1,9,10
2018-04-16,5,6,8
2018-04-17,3,3,7
2018-04-18,0,5,4
2018-04-19,1,0,24
2018-04-20,0,7,5
2018-04-21,0,4,1
2018-04-22,1,6,9
2018-04-23,0,14,6
2018-04-24,6,3,3
2018-04-25,0,6,3
2018-04-26,1,5,2
2018-04-27,2,9,7
2018-04-28,0,7,8
2018-04-29,2,4,4
2018-04-30,3,3,1
2018-05-01,1,10,6
2018-05-02,0,4,4
2018-05-03,0,6,6
2018-05-04,0,5,8
2018-05-05,0,5,2
2018-05-06,0,11,3
2018-05-07,1,5,5
2018-05-08,0,8,4
2018-05-09,0,6,6
2018-05-10,0,9,8
2018-05-11,2,7,1
2018-05-12,0,18,2
2018-05-13,0,21,3
2018-05-14,0,5,7
2018-05-15,2,26,5
2018-05-16,0,2,1
2018-05-17,0,17,9
2018-05-18,1,11,7
2018-05-19,0,10,4
2018-05-20,1,6,4
2018-05-21,0,10,15
2018-05-22,7,4,17
2018-05-23,4,1,8
2018-05-24,0,8,2
2018-05-25,0,8,20
2018-05-26,0,7,6
2018-05-27,1,6,1
2018-05-28,0,4,8
2018-05-29,0,14,7
2018-05-30,0,8,3
2018-05-31,3,8,1
2018-06-01,7,8,2
2018-06-02,1,10,13
2018-06-03,2,5,4
2018-06-04,0,6,4
2018-06-05,2,8,1
2018-06-06,0,7,11
2018-06-07,1,5,4
2018-06-08,0,27,15
2018-06-09,0,8,2
2018-06-10,0,6,3
2018-06-11,2,14,1
2018-06-12,0,9,11
