,gohugoio/hugo,hexojs/hexo,sphinx-doc/sphinx
2017-11-03,0,0,0
2017-11-04,2,0,0
2017-11-05,2,0,1
2017-11-06,2,1,1
2017-11-07,3,0,2
2017-11-08,0,1,0
2017-11-09,1,3,0
2017-11-10,0,2,0
2017-11-11,2,0,15
2017-11-12,0,0,4
2017-11-13,0,0,0
2017-11-14,0,0,0
2017-11-15,1,10,0
2017-11-16,4,2,2
2017-11-17,6,0,1
2017-11-18,2,1,0
2017-11-19,3,0,0
2017-11-20,8,0,1
2017-11-21,0,1,0
2017-11-22,0,3,0
2017-11-23,0,0,0
2017-11-24,1,0,0
2017-11-25,1,0,1
2017-11-26,0,0,8
2017-11-27,7,0,4
2017-11-28,1,0,0
2017-11-29,0,0,1
2017-11-30,1,0,0
2017-12-01,1,0,1
2017-12-02,2,0,2
2017-12-03,0,0,3
2017-12-04,0,3,2
2017-12-05,1,2,1
2017-12-06,2,0,3
2017-12-07,2,0,0
2017-12-08,0,0,0
2017-12-09,0,0,0
2017-12-10,0,0,11
2017-12-11,0,3,7
2017-12-12,0,0,15
2017-12-13,0,0,8
2017-12-14,0,0,28
2017-12-15,1,0,10
2017-12-16,3,1,19
2017-12-17,1,0,9
2017-12-18,0,0,11
2017-12-19,0,0,18
2017-12-20,0,2,23
2017-12-21,0,0,15
2017-12-22,0,0,0
2017-12-23,0,0,1
2017-12-24,0,0,5
2017-12-25,0,0,2
2017-12-26,0,0,0
2017-12-27,1,0,3
2017-12-28,5,0,10
2017-12-29,4,0,14
2017-12-30,2,0,2
2017-12-31,5,0,6
2018-01-01,3,0,12
2018-01-02,6,0,0
2018-01-03,8,0,6
2018-01-04,0,1,0
2018-01-05,0,1,8
2018-01-06,5,5,13
2018-01-07,2,4,7
2018-01-08,6,0,27
2018-01-09,0,0,5
2018-01-10,4,0,4
2018-01-11,10,0,9
2018-01-12,5,0,3
2018-01-13,1,0,30
2018-01-14,4,6,19
2018-01-15,3,2,16
2018-01-16,0,4,2
2018-01-17,5,0,2
2018-01-18,6,0,1
2018-01-19,2,0,10
2018-01-20,0,0,36
2018-01-21,1,0,25
2018-01-22,9,0,0
2018-01-23,4,0,1
2018-01-24,6,0,22
2018-01-25,5,1,4
2018-01-26,6,0,1
2018-01-27,4,0,11
2018-01-28,4,0,20
2018-01-29,5,0,18
2018-01-30,5,0,18
2018-01-31,10,2,11
2018-02-01,0,0,3
2018-02-02,2,0,9
2018-02-03,0,1,8
2018-02-04,0,2,20
2018-02-05,12,0,6
2018-02-06,0,0,7
2018-02-07,1,0,12
2018-02-08,1,0,7
2018-02-09,4,0,3
2018-02-10,3,1,12
2018-02-11,0,0,11
2018-02-12,8,0,14
2018-02-13,2,1,11
2018-02-14,1,1,4
2018-02-15,11,0,4
2018-02-16,3,0,17
2018-02-17,2,0,10
2018-02-18,1,0,19
2018-02-19,1,2,27
2018-02-20,0,0,9
2018-02-21,8,6,3
2018-02-22,3,0,15
2018-02-23,0,2,11
2018-02-24,0,0,11
2018-02-25,2,0,11
2018-02-26,2,0,3
2018-02-27,10,2,1
2018-02-28,0,3,5
2018-03-01,1,0,11
2018-03-02,0,0,11
2018-03-03,0,0,14
2018-03-04,0,0,0
2018-03-05,0,0,2
2018-03-06,0,0,4
2018-03-07,5,0,7
2018-03-08,0,0,3
2018-03-09,2,0,0
2018-03-10,1,1,0
2018-03-11,6,2,3
2018-03-12,2,2,1
2018-03-13,0,0,10
2018-03-14,1,0,5
2018-03-15,1,0,2
2018-03-16,6,0,3
2018-03-17,2,0,7
2018-03-18,2,0,16
2018-03-19,1,0,12
2018-03-20,5,0,14
2018-03-21,1,0,13
2018-03-22,0,0,1
2018-03-23,0,8,9
2018-03-24,1,1,0
2018-03-25,0,1,4
2018-03-26,3,0,2
2018-03-27,0,0,18
2018-03-28,0,0,4
2018-03-29,0,3,19
2018-03-30,1,5,11
2018-03-31,1,0,0
2018-04-01,1,1,4
2018-04-02,12,0,9
2018-04-03,0,0,0
2018-04-04,1,0,0
2018-04-05,12,4,0
2018-04-06,5,1,5
2018-04-07,5,0,1
2018-04-08,1,0,13
2018-04-09,8,1,1
2018-04-10,0,2,1
2018-04-11,24,0,3
2018-04-12,2,0,5
2018-04-13,1,1,0
2018-04-14,2,0,23
2018-04-15,10,0,10
2018-04-16,9,0,1
2018-04-17,8,0,0
2018-04-18,0,2,1
2018-04-19,5,0,1
2018-04-20,0,3,13
2018-04-21,4,0,17
2018-04-22,6,0,19
2018-04-23,7,0,8
2018-04-24,0,0,3
2018-04-25,6,1,9
2018-04-26,0,1,0
2018-04-27,0,0,0
2018-04-28,0,0,6
2018-04-29,1,0,9
2018-04-30,6,2,7
2018-05-01,1,0,11
2018-05-02,0,0,5
2018-05-03,1,0,23
2018-05-04,3,0,0
2018-05-05,1,1,1
2018-05-06,0,0,5
2018-05-07,0,0,4
2018-05-08,1,0,2
2018-05-09,7,0,3
2018-05-10,0,0,8
2018-05-11,0,0,6
2018-05-12,1,0,19
2018-05-13,0,0,9
2018-05-14,3,0,3
2018-05-15,0,0,5
2018-05-16,0,0,5
2018-05-17,0,0,0
2018-05-18,0,0,3
2018-05-19,0,0,17
2018-05-20,2,0,4
2018-05-21,7,0,14
2018-05-22,4,0,10
2018-05-23,6,0,12
2018-05-24,3,0,10
2018-05-25,16,0,2
2018-05-26,2,0,4
2018-05-27,3,0,0
2018-05-28,1,0,12
2018-05-29,2,0,0
2018-05-30,2,0,0
2018-05-31,1,0,1
2018-06-01,0,0,3
2018-06-02,0,0,0
2018-06-03,3,0,0
2018-06-04,2,0,0
2018-06-05,2,0,12
2018-06-06,0,0,9
2018-06-07,0,0,13
2018-06-08,0,0,17
2018-06-09,2,0,17
2018-06-10,2,0,5
2018-06-11,6,0,2
2018-06-12,8,0,0
2018-06-13,7,0,18
2018-06-14,4,0,2
2018-06-15,1,0,5
2018-06-16,0,0,7
2018-06-17,0,0,11
2018-06-18,0,0,1
2018-06-19,0,0,15
2018-06-20,0,0,12
2018-06-21,0,0,9
2018-06-22,0,0,0
2018-06-23,2,0,1
2018-06-24,0,0,0
2018-06-25,2,0,8
2018-06-26,2,0,0
2018-06-27,0,0,0
2018-06-28,9,0,0
2018-06-29,1,0,2
2018-06-30,2,0,3
2018-07-01,1,0,1
2018-07-02,2,0,0
2018-07-03,0,0,4
2018-07-04,0,0,3
2018-07-05,0,0,0
2018-07-06,5,0,0
2018-07-07,1,0,0
2018-07-08,2,0,2
2018-07-09,19,0,1
2018-07-10,4,0,1
2018-07-11,2,0,3
2018-07-12,5,0,6
2018-07-13,6,0,2
2018-07-14,1,0,3
2018-07-15,1,0,24
2018-07-16,2,0,30
2018-07-17,4,0,12
2018-07-18,7,0,7
2018-07-19,14,0,3
2018-07-20,3,0,1
2018-07-21,4,0,10
2018-07-22,5,0,14
2018-07-23,2,0,5
2018-07-24,1,0,7
2018-07-25,5,0,2
2018-07-26,0,0,0
2018-07-27,0,0,0
2018-07-28,0,0,16
2018-07-29,1,0,16
2018-07-30,0,0,9
2018-07-31,6,0,18
2018-08-01,8,0,6
2018-08-02,0,0,2
2018-08-03,0,0,3
2018-08-04,0,0,13
2018-08-05,2,0,6
2018-08-06,9,0,6
2018-08-07,1,0,6
2018-08-08,3,0,2
2018-08-09,1,0,4
2018-08-10,0,0,6
2018-08-11,3,0,8
2018-08-12,1,0,0
2018-08-13,1,0,14
2018-08-14,6,0,7
2018-08-15,2,0,5
2018-08-16,6,0,14
2018-08-17,12,0,11
2018-08-18,3,2,11
2018-08-19,1,0,11
2018-08-20,6,0,4
2018-08-21,0,0,1
2018-08-22,1,0,17
2018-08-23,1,0,0
2018-08-24,3,0,5
2018-08-25,4,0,10
2018-08-26,2,0,15
2018-08-27,0,0,2
2018-08-28,9,0,7
2018-08-29,6,0,10
2018-08-30,9,0,3
2018-08-31,1,0,0
2018-09-01,0,0,2
2018-09-02,1,0,12
2018-09-03,2,0,6
2018-09-04,0,0,0
2018-09-05,0,0,16
2018-09-06,2,0,6
2018-09-07,20,0,4
2018-09-08,3,0,4
2018-09-09,0,0,13
2018-09-10,1,0,11
2018-09-11,2,0,4
2018-09-12,2,0,4
2018-09-13,1,0,6
2018-09-14,8,0,3
2018-09-15,0,0,2
2018-09-16,0,0,9
2018-09-17,0,0,0
2018-09-18,1,0,16
2018-09-19,0,0,1
2018-09-20,0,0,12
2018-09-21,7,0,4
2018-09-22,1,0,27
2018-09-23,6,0,12
2018-09-24,10,0,18
2018-09-25,6,0,1
2018-09-26,2,0,0
2018-09-27,0,0,0
2018-09-28,0,0,0
2018-09-29,0,0,3
2018-09-30,0,0,0
2018-10-01,4,1,3
2018-10-02,2,1,1
2018-10-03,11,0,0
2018-10-04,0,0,0
2018-10-05,0,0,2
2018-10-06,1,0,5
2018-10-07,1,0,9
2018-10-08,1,0,0
2018-10-09,1,0,0
2018-10-10,8,0,2
2018-10-11,10,1,2
2018-10-12,1,2,3
2018-10-13,0,0,0
2018-10-14,0,1,5
2018-10-15,1,2,6
2018-10-16,7,6,19
2018-10-17,3,3,8
2018-10-18,0,2,0
2018-10-19,0,1,0
2018-10-20,0,0,0
2018-10-21,1,0,0
2018-10-22,14,2,2
2018-10-23,5,10,5
2018-10-24,7,11,3
2018-10-25,0,8,8
2018-10-26,8,0,1
2018-10-27,3,1,0
2018-10-28,3,3,7
2018-10-29,13,0,2
2018-10-30,2,0,2
2018-10-31,1,0,11
2018-11-01,7,0,8
2018-11-02,6,2,2
2018-11-03,2,2,1
2018-11-04,1,2,4
2018-11-05,2,10,5
2018-11-06,5,7,6
2018-11-07,10,8,2
2018-11-08,0,0,5
2018-11-09,3,0,3
2018-11-10,0,0,0
2018-11-11,0,0,16
2018-11-12,0,0,11
2018-11-13,6,0,17
2018-11-14,7,0,9
2018-11-15,2,0,1
2018-11-16,0,4,12
2018-11-17,0,1,2
2018-11-18,1,1,4
2018-11-19,0,7,0
2018-11-20,0,2,14
2018-11-21,0,0,13
2018-11-22,0,3,4
2018-11-23,1,2,11
2018-11-24,2,0,8
2018-11-25,0,0,2
2018-11-26,0,0,0
2018-11-27,9,0,11
2018-11-28,8,0,5
2018-11-29,1,0,13
2018-11-30,1,0,8
2018-12-01,0,0,14
2018-12-02,0,0,18
2018-12-03,0,0,24
2018-12-04,2,0,14
2018-12-05,0,0,5
2018-12-06,3,0,0
2018-12-07,2,0,12
2018-12-08,0,0,5
2018-12-09,0,0,12
2018-12-10,1,0,12
2018-12-11,1,0,13
2018-12-12,4,1,11
2018-12-13,0,0,3
2018-12-14,1,0,7
2018-12-15,0,0,45
2018-12-16,0,0,39
2018-12-17,4,0,32
2018-12-18,0,0,18
2018-12-19,4,0,5
2018-12-20,4,0,13
2018-12-21,6,0,3
2018-12-22,0,0,5
2018-12-23,9,0,31
2018-12-24,5,1,7
2018-12-25,0,0,8
2018-12-26,4,0,3
2018-12-27,3,0,2
2018-12-28,1,1,3
2018-12-29,1,0,2
2018-12-30,3,0,0
2018-12-31,0,0,0
2019-01-01,0,1,0
2019-01-02,3,0,11
2019-01-03,0,0,13
2019-01-04,0,0,10
2019-01-05,0,0,4
2019-01-06,0,0,10
2019-01-07,0,1,16
2019-01-08,1,0,9
2019-01-09,0,0,1
2019-01-10,2,0,10
2019-01-11,0,0,0
2019-01-12,0,0,28
2019-01-13,1,0,36
2019-01-14,0,0,4
2019-01-15,0,0,0
2019-01-16,0,0,0
2019-01-17,0,0,10
2019-01-18,0,0,1
2019-01-19,0,0,6
2019-01-20,2,0,9
2019-01-21,0,0,6
2019-01-22,0,0,4
2019-01-23,0,1,0
2019-01-24,0,1,4
2019-01-25,1,0,1
2019-01-26,0,0,2
2019-01-27,0,1,5
2019-01-28,0,0,1
2019-01-29,2,0,1
2019-01-30,1,0,0
2019-01-31,2,0,0
2019-02-01,16,0,6
2019-02-02,3,0,0
2019-02-03,0,0,32
2019-02-04,0,0,3
2019-02-05,0,0,15
2019-02-06,1,0,6
2019-02-07,0,0,6
2019-02-08,0,0,7
2019-02-09,0,0,17
2019-02-10,0,0,9
2019-02-11,0,0,42
2019-02-12,0,0,0
2019-02-13,0,1,12
2019-02-14,0,0,5
2019-02-15,0,0,13
2019-02-16,0,0,16
2019-02-17,0,0,15
2019-02-18,0,0,1
2019-02-19,1,0,0
2019-02-20,0,0,1
2019-02-21,0,0,0
2019-02-22,1,0,2
2019-02-23,0,0,2
2019-02-24,0,0,15
2019-02-25,0,0,5
2019-02-26,1,0,4
2019-02-27,0,0,21
2019-02-28,0,0,4
2019-03-01,0,0,1
2019-03-02,1,0,14
2019-03-03,0,0,9
2019-03-04,1,1,0
2019-03-05,1,0,4
2019-03-06,2,0,7
2019-03-07,1,0,8
2019-03-08,0,0,7
2019-03-09,0,0,20
2019-03-10,0,0,18
2019-03-11,0,0,3
2019-03-12,1,0,0
2019-03-13,1,0,1
2019-03-14,1,0,1
2019-03-15,0,0,0
2019-03-16,1,2,2
2019-03-17,1,0,11
2019-03-18,1,0,8
2019-03-19,0,0,1
2019-03-20,0,0,3
2019-03-21,0,0,0
2019-03-22,0,0,0
2019-03-23,2,0,13
2019-03-24,2,1,4
2019-03-25,2,0,4
2019-03-26,8,0,0
2019-03-27,0,0,3
2019-03-28,4,0,7
2019-03-29,0,0,9
2019-03-30,2,1,7
2019-03-31,0,0,20
2019-04-01,2,0,1
2019-04-02,5,0,0
2019-04-03,0,0,2
2019-04-04,3,0,18
2019-04-05,10,0,0
2019-04-06,1,0,12
2019-04-07,2,0,15
2019-04-08,6,0,3
2019-04-09,4,0,0
2019-04-10,1,0,0
2019-04-11,0,1,0
2019-04-12,9,0,3
2019-04-13,2,0,18
2019-04-14,0,0,20
2019-04-15,4,0,7
2019-04-16,1,0,4
2019-04-17,7,0,2
2019-04-18,3,0,0
2019-04-19,4,0,2
2019-04-20,9,0,0
2019-04-21,0,0,0
2019-04-22,1,0,6
2019-04-23,2,0,7
2019-04-24,2,0,3
2019-04-25,5,0,4
2019-04-26,0,0,0
2019-04-27,2,0,0
2019-04-28,0,0,1
2019-04-29,1,0,0
2019-04-30,0,0,0
2019-05-01,3,0,0
2019-05-02,9,0,3
2019-05-03,4,0,4
2019-05-04,2,0,6
2019-05-05,0,0,0
2019-05-06,2,0,10
2019-05-07,0,0,0
2019-05-08,0,0,0
2019-05-09,1,0,0
2019-05-10,0,0,0
2019-05-11,0,0,0
2019-05-12,0,0,18
2019-05-13,0,0,15
2019-05-14,0,0,13
2019-05-15,1,0,2
2019-05-16,0,0,6
2019-05-17,1,0,0
2019-05-18,7,0,2
2019-05-19,0,0,9
2019-05-20,0,0,0
2019-05-21,0,0,2
2019-05-22,0,0,1
2019-05-23,1,0,2
2019-05-24,2,0,3
2019-05-25,3,1,6
2019-05-26,1,0,8
2019-05-27,0,0,0
2019-05-28,1,0,6
2019-05-29,1,0,12
2019-05-30,3,0,7
2019-05-31,3,0,4
2019-06-01,0,0,13
2019-06-02,1,3,31
2019-06-03,0,0,26
2019-06-04,0,2,12
2019-06-05,0,0,10
2019-06-06,0,1,1
2019-06-07,1,0,2
2019-06-08,2,0,11
2019-06-09,2,0,12
2019-06-10,2,0,31
2019-06-11,0,0,0
2019-06-12,2,0,0
2019-06-13,0,2,9
2019-06-14,0,0,1
2019-06-15,0,0,12
2019-06-16,1,3,5
2019-06-17,0,0,8
2019-06-18,0,1,11
2019-06-19,1,0,9
2019-06-20,0,0,0
2019-06-21,0,0,10
2019-06-22,0,0,2
2019-06-23,0,0,1
2019-06-24,0,0,0
2019-06-25,0,0,0
2019-06-26,4,0,0
2019-06-27,0,0,0
2019-06-28,0,0,8
2019-06-29,0,0,27
2019-06-30,0,0,26
2019-07-01,0,2,0
2019-07-02,0,0,0
2019-07-03,0,0,6
2019-07-04,0,1,7
2019-07-05,0,0,0
2019-07-06,0,1,32
2019-07-07,1,0,10
2019-07-08,0,0,7
2019-07-09,1,3,0
2019-07-10,2,1,2
2019-07-11,0,0,0
2019-07-12,0,0,1
2019-07-13,0,2,16
2019-07-14,0,2,0
2019-07-15,3,3,0
2019-07-16,2,0,0
2019-07-17,1,0,0
2019-07-18,0,0,0
2019-07-19,1,1,0
2019-07-20,1,1,0
2019-07-21,0,0,0
2019-07-22,2,3,0
2019-07-23,0,0,0
2019-07-24,9,0,0
2019-07-25,8,0,0
2019-07-26,3,0,0
2019-07-27,0,2,0
2019-07-28,9,0,0
2019-07-29,2,1,0
2019-07-30,9,1,1
2019-07-31,11,0,0
2019-08-01,7,0,29
2019-08-02,0,0,6
2019-08-03,0,1,1
2019-08-04,0,0,2
2019-08-05,2,0,0
2019-08-06,1,4,1
2019-08-07,0,3,0
2019-08-08,2,0,1
2019-08-09,4,0,0
2019-08-10,4,2,0
2019-08-11,0,0,0
2019-08-12,1,0,0
2019-08-13,5,0,0
2019-08-14,5,0,0
2019-08-15,12,2,0
2019-08-16,2,1,5
2019-08-17,11,0,8
2019-08-18,0,1,13
2019-08-19,0,2,0
2019-08-20,0,1,12
2019-08-21,0,2,0
2019-08-22,1,4,0
2019-08-23,2,0,0
2019-08-24,1,0,0
2019-08-25,0,0,0
2019-08-26,1,4,0
2019-08-27,0,1,0
2019-08-28,1,0,0
2019-08-29,0,2,0
2019-08-30,1,3,0
2019-08-31,3,2,0
2019-09-01,3,0,1
2019-09-02,3,5,2
2019-09-03,7,1,1
2019-09-04,8,0,0
2019-09-05,2,0,5
2019-09-06,7,1,2
2019-09-07,0,0,0
2019-09-08,0,0,0
2019-09-09,0,0,0
2019-09-10,0,3,0
2019-09-11,0,0,0
2019-09-12,2,0,0
2019-09-13,5,0,0
2019-09-14,0,0,2
2019-09-15,0,12,0
2019-09-16,0,3,0
2019-09-17,0,3,0
2019-09-18,0,1,0
2019-09-19,6,0,0
2019-09-20,0,7,0
2019-09-21,3,2,0
2019-09-22,0,0,0
2019-09-23,0,0,0
2019-09-24,0,0,0
2019-09-25,2,31,0
2019-09-26,0,0,0
2019-09-27,0,2,0
2019-09-28,0,0,0
2019-09-29,1,1,0
2019-09-30,1,1,0
2019-10-01,0,3,1
2019-10-02,0,4,0
2019-10-03,2,0,0
2019-10-04,1,2,0
2019-10-05,3,0,0
2019-10-06,1,1,12
2019-10-07,3,11,3
2019-10-08,0,1,1
2019-10-09,3,1,0
2019-10-10,3,1,1
2019-10-11,4,0,0
2019-10-12,2,3,13
2019-10-13,2,2,1
2019-10-14,1,3,6
2019-10-15,0,1,0
2019-10-16,1,3,0
2019-10-17,0,8,0
2019-10-18,0,11,0
2019-10-19,0,1,2
2019-10-20,1,3,16
2019-10-21,14,2,0
2019-10-22,0,3,1
2019-10-23,1,2,1
2019-10-24,1,3,0
2019-10-25,0,0,0
2019-10-26,0,5,15
2019-10-27,0,22,0
2019-10-28,1,9,4
2019-10-29,0,0,1
2019-10-30,1,0,0
2019-10-31,6,1,3
2019-11-01,3,0,1
2019-11-02,0,14,0
2019-11-03,1,0,0
2019-11-04,3,4,2
2019-11-05,1,4,5
2019-11-06,3,1,2
2019-11-07,0,0,2
2019-11-08,1,1,0
2019-11-09,0,6,0
2019-11-10,2,1,2
2019-11-11,6,0,0
2019-11-12,0,0,5
2019-11-13,0,0,0
2019-11-14,2,0,5
2019-11-15,0,0,8
2019-11-16,0,0,18
2019-11-17,1,1,8
2019-11-18,1,8,6
2019-11-19,0,2,0
2019-11-20,0,0,13
2019-11-21,2,1,0
2019-11-22,2,2,2
2019-11-23,3,0,0
2019-11-24,3,0,0
2019-11-25,15,0,12
2019-11-26,7,0,7
2019-11-27,7,0,2
2019-11-28,0,3,3
2019-11-29,8,2,0
2019-11-30,0,4,8
2019-12-01,1,4,11
2019-12-02,2,0,7
2019-12-03,0,1,0
2019-12-04,0,0,1
2019-12-05,0,0,0
2019-12-06,0,2,2
2019-12-07,0,0,3
2019-12-08,0,0,4
2019-12-09,0,4,4
2019-12-10,1,8,0
2019-12-11,7,4,0
2019-12-12,6,10,1
2019-12-13,0,9,3
2019-12-14,1,2,14
2019-12-15,2,5,28
2019-12-16,0,6,1
2019-12-17,0,1,0
2019-12-18,5,13,0
2019-12-19,6,4,0
2019-12-20,2,13,0
2019-12-21,3,3,8
2019-12-22,4,1,19
2019-12-23,5,0,0
2019-12-24,0,6,24
2019-12-25,0,4,17
2019-12-26,0,0,7
2019-12-27,0,3,8
2019-12-28,1,1,3
2019-12-29,0,0,6
2019-12-30,1,4,2
2019-12-31,0,21,0
2020-01-01,5,7,12
2020-01-02,0,5,4
2020-01-03,0,1,2
2020-01-04,2,1,6
2020-01-05,12,3,0
2020-01-06,0,0,1
2020-01-07,8,5,4
2020-01-08,0,2,13
2020-01-09,0,1,1
2020-01-10,0,4,10
2020-01-11,0,1,6
2020-01-12,0,0,0
2020-01-13,2,5,7
2020-01-14,1,1,0
2020-01-15,3,0,0
2020-01-16,1,1,1
2020-01-17,0,0,2
2020-01-18,1,0,1
2020-01-19,1,0,13
2020-01-20,0,0,3
2020-01-21,1,4,1
2020-01-22,2,0,6
2020-01-23,17,0,3
2020-01-24,0,0,1
2020-01-25,0,0,14
2020-01-26,1,0,2
2020-01-27,6,1,0
2020-01-28,0,0,1
2020-01-29,2,0,1
2020-01-30,3,0,18
2020-01-31,5,2,1
2020-02-01,1,1,13
2020-02-02,0,0,8
2020-02-03,1,0,2
2020-02-04,6,0,5
2020-02-05,0,0,3
2020-02-06,3,0,2
2020-02-07,0,0,8
2020-02-08,0,12,7
2020-02-09,6,2,19
2020-02-10,2,0,4
2020-02-11,0,0,14
2020-02-12,2,0,4
2020-02-13,0,0,6
2020-02-14,2,0,8
2020-02-15,1,0,3
2020-02-16,0,1,36
2020-02-17,3,0,13
2020-02-18,12,0,8
2020-02-19,10,0,1
2020-02-20,8,0,2
2020-02-21,6,1,4
2020-02-22,3,3,45
2020-02-23,4,3,29
2020-02-24,1,12,9
2020-02-25,1,11,1
2020-02-26,1,0,1
2020-02-27,2,2,1
2020-02-28,1,0,1
2020-02-29,2,0,24
2020-03-01,0,5,10
2020-03-02,5,0,2
2020-03-03,11,5,4
2020-03-04,0,0,2
2020-03-05,0,0,23
2020-03-06,0,1,18
2020-03-07,0,0,30
2020-03-08,2,0,27
2020-03-09,12,0,16
2020-03-10,3,3,3
2020-03-11,2,0,6
2020-03-12,1,2,2
2020-03-13,0,0,2
2020-03-14,0,1,25
2020-03-15,4,0,28
2020-03-16,2,0,9
2020-03-17,1,1,13
2020-03-18,0,0,10
2020-03-19,2,0,4
2020-03-20,7,0,8
2020-03-21,9,0,18
2020-03-22,4,0,26
2020-03-23,1,0,1
2020-03-24,10,0,13
2020-03-25,0,0,10
2020-03-26,1,0,0
2020-03-27,0,0,0
2020-03-28,1,0,17
2020-03-29,0,0,17
2020-03-30,0,3,5
2020-03-31,2,0,3
2020-04-01,0,2,0
2020-04-02,1,0,2
2020-04-03,0,0,0
2020-04-04,1,0,2
2020-04-05,2,0,15
2020-04-06,0,0,0
2020-04-07,7,0,3
2020-04-08,1,0,10
2020-04-09,1,0,15
2020-04-10,8,0,8
2020-04-11,0,1,2
2020-04-12,1,1,17
2020-04-13,2,0,18
2020-04-14,0,0,6
2020-04-15,0,0,7
2020-04-16,0,0,9
2020-04-17,1,0,9
2020-04-18,1,0,10
2020-04-19,0,0,29
2020-04-20,1,0,5
2020-04-21,5,0,9
2020-04-22,4,1,11
2020-04-23,3,0,16
2020-04-24,4,0,10
2020-04-25,0,1,7
2020-04-26,0,7,10
2020-04-27,2,3,24
2020-04-28,1,2,6
2020-04-29,2,0,6
2020-04-30,0,1,8
2020-05-01,1,0,9
2020-05-02,1,0,15
2020-05-03,1,0,25
2020-05-04,0,0,7
2020-05-05,0,0,5
2020-05-06,7,1,10
2020-05-07,1,0,5
2020-05-08,0,0,1
2020-05-09,1,0,19
2020-05-10,0,0,9
2020-05-11,0,0,1
2020-05-12,2,0,7
2020-05-13,0,0,4
2020-05-14,2,0,5
2020-05-15,2,0,1
2020-05-16,2,0,25
2020-05-17,0,0,13
2020-05-18,9,1,0
2020-05-19,0,0,0
2020-05-20,0,4,9
2020-05-21,0,4,6
2020-05-22,1,0,16
2020-05-23,1,0,8
2020-05-24,5,0,3
2020-05-25,5,0,0
2020-05-26,0,0,10
2020-05-27,2,0,7
2020-05-28,1,0,6
2020-05-29,2,1,10
2020-05-30,0,4,18
2020-05-31,8,1,18
2020-06-01,0,0,1
2020-06-02,3,1,16
2020-06-03,0,0,15
2020-06-04,0,0,8
2020-06-05,1,2,9
2020-06-06,1,0,5
2020-06-07,0,0,3
2020-06-08,0,2,9
2020-06-09,0,0,1
2020-06-10,0,0,3
2020-06-11,1,0,7
2020-06-12,3,0,8
2020-06-13,0,1,8
2020-06-14,2,1,17
2020-06-15,3,1,0
2020-06-16,3,2,3
2020-06-17,1,0,6
2020-06-18,1,0,1
2020-06-19,2,0,1
2020-06-20,1,10,3
2020-06-21,0,4,5
2020-06-22,0,2,0
2020-06-23,8,4,0
2020-06-24,0,1,0
2020-06-25,4,1,3
2020-06-26,2,2,6
2020-06-27,1,0,3
2020-06-28,0,1,10
2020-06-29,1,4,3
2020-06-30,1,9,6
2020-07-01,1,0,0
2020-07-02,3,1,3
2020-07-03,2,0,4
2020-07-04,1,2,22
2020-07-05,1,2,24
2020-07-06,1,4,4
2020-07-07,2,2,4
2020-07-08,0,1,6
2020-07-09,0,2,4
