,sveltejs/svelte,facebook/react,angular/angular
2017-05-06,20,1,4.0
2017-05-07,5,0,1.0
2017-05-08,0,0,9.0
2017-05-09,0,5,14.0
2017-05-10,1,2,14.0
2017-05-11,0,8,14.0
2017-05-12,0,2,10.0
2017-05-13,0,0,0.0
2017-05-14,0,0,3.0
2017-05-15,0,0,4.0
2017-05-16,0,1,9.0
2017-05-17,0,2,7.0
2017-05-18,0,4,20.0
2017-05-19,2,1,14.0
2017-05-20,0,2,1.0
2017-05-21,9,3,1.0
2017-05-22,4,3,8.0
2017-05-23,0,3,14.0
2017-05-24,0,3,4.0
2017-05-25,1,8,5.0
2017-05-26,1,9,20.0
2017-05-27,16,0,3.0
2017-05-28,13,0,0.0
2017-05-29,1,1,0.0
2017-05-30,0,7,9.0
2017-05-31,0,2,11.0
2017-06-01,17,4,9.0
2017-06-02,0,4,3.0
2017-06-03,15,0,2.0
2017-06-04,0,1,1.0
2017-06-05,0,9,5.0
2017-06-06,1,9,12.0
2017-06-07,0,3,11.0
2017-06-08,0,4,20.0
2017-06-09,3,13,24.0
2017-06-10,0,2,10.0
2017-06-11,13,1,2.0
2017-06-12,3,0,12.0
2017-06-13,6,5,20.0
2017-06-14,3,7,6.0
2017-06-15,6,2,9.0
2017-06-16,2,3,14.0
2017-06-17,10,0,0.0
2017-06-18,7,0,0.0
2017-06-19,0,7,8.0
2017-06-20,0,1,10.0
2017-06-21,0,3,11.0
2017-06-22,0,1,14.0
2017-06-23,17,2,45.0
2017-06-24,3,0,1.0
2017-06-25,27,1,0.0
2017-06-26,7,6,6.0
2017-06-27,2,6,5.0
2017-06-28,1,4,0.0
2017-06-29,0,2,10.0
2017-06-30,1,2,5.0
2017-07-01,9,8,4.0
2017-07-02,2,2,0.0
2017-07-03,6,0,4.0
2017-07-04,1,2,0.0
2017-07-05,3,1,9.0
2017-07-06,3,1,11.0
2017-07-07,6,1,29.0
2017-07-08,10,0,4.0
2017-07-09,0,2,0.0
2017-07-10,5,1,7.0
2017-07-11,8,4,40.0
2017-07-12,0,5,0.0
2017-07-13,0,9,21.0
2017-07-14,0,2,12.0
2017-07-15,0,0,3.0
2017-07-16,0,0,0.0
2017-07-17,0,1,11.0
2017-07-18,0,3,26.0
2017-07-19,0,7,6.0
2017-07-20,0,3,21.0
2017-07-21,0,5,8.0
2017-07-22,5,0,0.0
2017-07-23,0,0,0.0
2017-07-24,8,2,0.0
2017-07-25,9,2,8.0
2017-07-26,2,16,8.0
2017-07-27,3,12,4.0
2017-07-28,2,1,19.0
2017-07-29,14,0,0.0
2017-07-30,23,0,0.0
2017-07-31,0,4,8.0
2017-08-01,0,6,2.0
2017-08-02,0,16,18.0
2017-08-03,0,8,8.0
2017-08-04,16,7,8.0
2017-08-05,10,1,0.0
2017-08-06,8,0,0.0
2017-08-07,0,3,9.0
2017-08-08,0,5,3.0
2017-08-09,2,5,10.0
2017-08-10,0,3,2.0
2017-08-11,0,1,4.0
2017-08-12,0,3,0.0
2017-08-13,8,3,0.0
2017-08-14,20,2,1.0
2017-08-15,4,2,16.0
2017-08-16,8,4,17.0
2017-08-17,1,4,9.0
2017-08-18,0,1,11.0
2017-08-19,0,0,10.0
2017-08-20,2,0,0.0
2017-08-21,0,2,7.0
2017-08-22,0,2,12.0
2017-08-23,0,2,4.0
2017-08-24,2,2,2.0
2017-08-25,7,10,1.0
2017-08-26,5,4,0.0
2017-08-27,1,0,0.0
2017-08-28,6,8,15.0
2017-08-29,11,2,9.0
2017-08-30,15,4,8.0
2017-08-31,4,6,28.0
2017-09-01,5,6,12.0
2017-09-02,7,1,5.0
2017-09-03,33,0,0.0
2017-09-04,0,0,0.0
2017-09-05,3,3,16.0
2017-09-06,0,9,5.0
2017-09-07,4,4,7.0
2017-09-08,5,6,11.0
2017-09-09,4,1,0.0
2017-09-10,9,5,0.0
2017-09-11,1,6,0.0
2017-09-12,9,3,11.0
2017-09-13,3,3,4.0
2017-09-14,0,11,5.0
2017-09-15,0,0,1.0
2017-09-16,14,0,0.0
2017-09-17,14,0,0.0
2017-09-18,8,0,0.0
2017-09-19,18,1,9.0
2017-09-20,9,0,15.0
2017-09-21,1,0,19.0
2017-09-22,3,2,10.0
2017-09-23,4,0,0.0
2017-09-24,0,1,0.0
2017-09-25,0,4,17.0
2017-09-26,0,22,12.0
2017-09-27,3,14,6.0
2017-09-28,0,12,22.0
2017-09-29,0,7,2.0
2017-09-30,0,10,0.0
2017-10-01,0,4,0.0
2017-10-02,0,32,7.0
2017-10-03,0,11,6.0
2017-10-04,4,7,12.0
2017-10-05,1,4,2.0
2017-10-06,0,7,23.0
2017-10-07,0,2,6.0
2017-10-08,0,0,0.0
2017-10-09,0,2,14.0
2017-10-10,3,17,7.0
2017-10-11,1,7,12.0
2017-10-12,0,2,7.0
2017-10-13,0,2,13.0
2017-10-14,0,3,1.0
2017-10-15,2,0,0.0
2017-10-16,0,6,2.0
2017-10-17,4,10,10.0
2017-10-18,4,13,18.0
2017-10-19,0,7,3.0
2017-10-20,4,12,5.0
2017-10-21,0,2,0.0
2017-10-22,0,1,0.0
2017-10-23,0,5,7.0
2017-10-24,3,5,11.0
2017-10-25,5,10,4.0
2017-10-26,0,10,7.0
2017-10-27,0,1,2.0
2017-10-28,6,3,5.0
2017-10-29,0,0,0.0
2017-10-30,0,1,1.0
2017-10-31,0,9,12.0
2017-11-01,0,4,46.0
2017-11-02,0,15,25.0
2017-11-03,0,11,17.0
2017-11-04,0,7,0.0
2017-11-05,0,3,0.0
2017-11-06,1,10,12.0
2017-11-07,0,11,0.0
2017-11-08,0,7,4.0
2017-11-09,1,7,1.0
2017-11-10,0,8,16.0
2017-11-11,0,0,0.0
2017-11-12,12,2,0.0
2017-11-13,1,9,0.0
2017-11-14,1,0,20.0
2017-11-15,0,4,4.0
2017-11-16,1,2,18.0
2017-11-17,0,4,3.0
2017-11-18,10,1,0.0
2017-11-19,2,5,0.0
2017-11-20,0,5,0.0
2017-11-21,3,3,7.0
2017-11-22,1,6,16.0
2017-11-23,10,4,0.0
2017-11-24,12,3,0.0
2017-11-25,19,4,0.0
2017-11-26,0,2,0.0
2017-11-27,13,7,10.0
2017-11-28,0,15,3.0
2017-11-29,1,14,19.0
2017-11-30,0,16,2.0
2017-12-01,0,6,11.0
2017-12-02,0,3,0.0
2017-12-03,28,0,0.0
2017-12-04,3,5,1.0
2017-12-05,9,6,1.0
2017-12-06,0,3,16.0
2017-12-07,5,9,5.0
2017-12-08,0,6,22.0
2017-12-09,2,1,0.0
2017-12-10,10,4,0.0
2017-12-11,5,3,7.0
2017-12-12,5,3,8.0
2017-12-13,22,2,3.0
2017-12-14,6,1,6.0
2017-12-15,1,1,8.0
2017-12-16,6,0,0.0
2017-12-17,0,0,0.0
2017-12-18,2,4,4.0
2017-12-19,1,1,7.0
2017-12-20,0,0,10.0
2017-12-21,2,0,3.0
2017-12-22,0,1,42.0
2017-12-23,0,4,4.0
2017-12-24,21,7,0.0
2017-12-25,0,0,0.0
2017-12-26,0,0,0.0
2017-12-27,0,0,8.0
2017-12-28,0,0,0.0
2017-12-29,0,0,0.0
2017-12-30,14,0,0.0
2017-12-31,0,0,0.0
2018-01-01,0,0,0.0
2018-01-02,4,3,2.0
2018-01-03,0,5,0.0
2018-01-04,0,4,11.0
2018-01-05,9,15,11.0
2018-01-06,3,0,0.0
2018-01-07,0,4,0.0
2018-01-08,6,1,6.0
2018-01-09,2,6,7.0
2018-01-10,0,1,24.0
2018-01-11,10,5,14.0
2018-01-12,1,1,14.0
2018-01-13,3,0,0.0
2018-01-14,5,1,0.0
2018-01-15,0,1,0.0
2018-01-16,1,0,4.0
2018-01-17,2,1,11.0
2018-01-18,6,3,9.0
2018-01-19,4,2,22.0
2018-01-20,4,0,5.0
2018-01-21,1,0,0.0
2018-01-22,0,2,4.0
2018-01-23,0,4,11.0
2018-01-24,1,1,17.0
2018-01-25,2,4,16.0
2018-01-26,13,1,18.0
2018-01-27,0,1,10.0
2018-01-28,0,0,0.0
2018-01-29,0,1,5.0
2018-01-30,0,5,12.0
2018-01-31,0,3,12.0
2018-02-01,0,2,5.0
2018-02-02,2,3,13.0
2018-02-03,4,0,0.0
2018-02-04,5,2,0.0
2018-02-05,0,5,11.0
2018-02-06,0,4,5.0
2018-02-07,7,3,28.0
2018-02-08,5,3,13.0
2018-02-09,16,1,10.0
2018-02-10,8,3,6.0
2018-02-11,28,2,0.0
2018-02-12,0,7,14.0
2018-02-13,0,1,11.0
2018-02-14,0,0,13.0
2018-02-15,1,2,14.0
2018-02-16,1,4,7.0
2018-02-17,0,0,3.0
2018-02-18,2,0,17.0
2018-02-19,0,1,7.0
2018-02-20,0,0,10.0
2018-02-21,1,3,7.0
2018-02-22,0,2,14.0
2018-02-23,11,0,11.0
2018-02-24,13,1,1.0
2018-02-25,10,0,5.0
2018-02-26,0,1,7.0
2018-02-27,0,5,11.0
2018-02-28,0,2,21.0
2018-03-01,0,0,10.0
2018-03-02,3,0,4.0
2018-03-03,0,2,0.0
2018-03-04,1,2,0.0
2018-03-05,8,0,12.0
2018-03-06,13,0,12.0
2018-03-07,5,1,7.0
2018-03-08,8,0,14.0
2018-03-09,5,0,8.0
2018-03-10,0,0,1.0
2018-03-11,0,0,0.0
2018-03-12,8,4,16.0
2018-03-13,4,2,4.0
2018-03-14,1,8,17.0
2018-03-15,14,2,12.0
2018-03-16,9,3,25.0
2018-03-17,1,0,2.0
2018-03-18,14,0,11.0
2018-03-19,4,0,4.0
2018-03-20,1,2,15.0
2018-03-21,3,7,12.0
2018-03-22,0,10,14.0
2018-03-23,5,4,25.0
2018-03-24,13,1,0.0
2018-03-25,0,0,0.0
2018-03-26,2,3,2.0
2018-03-27,11,3,10.0
2018-03-28,8,7,11.0
2018-03-29,5,16,7.0
2018-03-30,15,1,24.0
2018-03-31,7,0,3.0
2018-04-01,13,2,0.0
2018-04-02,1,3,10.0
2018-04-03,4,7,11.0
2018-04-04,16,10,17.0
2018-04-05,0,1,37.0
2018-04-06,0,2,7.0
2018-04-07,0,1,1.0
2018-04-08,2,4,0.0
2018-04-09,0,2,8.0
2018-04-10,0,11,12.0
2018-04-11,2,2,11.0
2018-04-12,4,1,14.0
2018-04-13,9,0,39.0
2018-04-14,6,0,7.0
2018-04-15,35,0,1.0
2018-04-16,18,11,8.0
2018-04-17,9,1,44.0
2018-04-18,10,3,1.0
2018-04-19,5,2,7.0
2018-04-20,6,0,2.0
2018-04-21,0,1,2.0
2018-04-22,19,1,2.0
2018-04-23,7,3,6.0
2018-04-24,10,3,8.0
2018-04-25,16,0,5.0
2018-04-26,0,3,3.0
2018-04-27,10,0,9.0
2018-04-28,37,2,0.0
2018-04-29,36,0,0.0
2018-04-30,20,2,0.0
2018-05-01,8,3,5.0
2018-05-02,8,1,15.0
2018-05-03,13,0,9.0
2018-05-04,5,0,8.0
2018-05-05,20,0,4.0
2018-05-06,12,0,0.0
2018-05-07,1,0,0.0
2018-05-08,1,2,4.0
2018-05-09,0,1,11.0
2018-05-10,5,1,10.0
2018-05-11,3,4,10.0
2018-05-12,7,1,0.0
2018-05-13,16,1,0.0
2018-05-14,7,11,5.0
2018-05-15,4,21,7.0
2018-05-16,8,6,9.0
2018-05-17,10,9,0.0
2018-05-18,0,6,0.0
2018-05-19,0,2,0.0
2018-05-20,0,3,0.0
2018-05-21,0,6,11.0
2018-05-22,0,6,9.0
2018-05-23,0,5,0.0
2018-05-24,7,7,0.0
2018-05-25,9,2,12.0
2018-05-26,1,2,0.0
2018-05-27,3,0,0.0
2018-05-28,8,2,0.0
2018-05-29,0,5,18.0
2018-05-30,1,6,30.0
2018-05-31,0,2,17.0
2018-06-01,0,0,5.0
2018-06-02,0,0,1.0
2018-06-03,0,0,3.0
2018-06-04,0,0,7.0
2018-06-05,2,1,9.0
2018-06-06,7,1,32.0
2018-06-07,1,1,7.0
2018-06-08,3,2,11.0
2018-06-09,0,2,1.0
2018-06-10,0,0,0.0
2018-06-11,0,10,8.0
2018-06-12,0,1,4.0
2018-06-13,0,10,38.0
2018-06-14,0,4,10.0
2018-06-15,0,3,1.0
2018-06-16,0,0,0.0
2018-06-17,0,0,0.0
2018-06-18,0,0,1.0
2018-06-19,0,5,7.0
2018-06-20,3,4,9.0
2018-06-21,0,2,5.0
2018-06-22,5,2,0.0
2018-06-23,3,0,0.0
2018-06-24,0,1,0.0
2018-06-25,1,0,18.0
2018-06-26,0,4,9.0
2018-06-27,0,4,16.0
2018-06-28,0,0,18.0
2018-06-29,8,2,4.0
2018-06-30,0,1,0.0
2018-07-01,3,0,0.0
2018-07-02,0,0,6.0
2018-07-03,0,1,9.0
2018-07-04,0,5,0.0
2018-07-05,0,3,0.0
2018-07-06,2,6,26.0
2018-07-07,0,2,0.0
2018-07-08,2,0,0.0
2018-07-09,5,3,5.0
2018-07-10,1,1,10.0
2018-07-11,1,6,13.0
2018-07-12,0,4,22.0
2018-07-13,0,2,4.0
2018-07-14,0,0,0.0
2018-07-15,4,0,0.0
2018-07-16,0,4,2.0
2018-07-17,4,8,3.0
2018-07-18,0,4,2.0
2018-07-19,0,5,2.0
2018-07-20,0,2,43.0
2018-07-21,3,0,0.0
2018-07-22,0,1,0.0
2018-07-23,4,0,11.0
2018-07-24,5,2,10.0
2018-07-25,3,2,12.0
2018-07-26,1,0,8.0
2018-07-27,0,2,17.0
2018-07-28,0,0,18.0
2018-07-29,0,0,0.0
2018-07-30,0,0,11.0
2018-07-31,0,0,11.0
2018-08-01,7,11,24.0
2018-08-02,1,11,13.0
2018-08-03,0,12,16.0
2018-08-04,20,0,1.0
2018-08-05,12,2,3.0
2018-08-06,0,0,20.0
2018-08-07,0,4,9.0
2018-08-08,8,2,13.0
2018-08-09,4,4,9.0
2018-08-10,1,3,5.0
2018-08-11,13,0,1.0
2018-08-12,3,2,0.0
2018-08-13,3,6,0.0
2018-08-14,1,7,26.0
2018-08-15,5,5,2.0
2018-08-16,0,11,20.0
2018-08-17,0,4,7.0
2018-08-18,0,3,0.0
2018-08-19,0,0,0.0
2018-08-20,0,10,7.0
2018-08-21,7,3,5.0
2018-08-22,2,3,29.0
2018-08-23,11,0,9.0
2018-08-24,16,0,4.0
2018-08-25,15,1,0.0
2018-08-26,1,1,0.0
2018-08-27,1,3,25.0
2018-08-28,6,3,9.0
2018-08-29,0,3,6.0
2018-08-30,0,2,1.0
2018-08-31,0,6,34.0
2018-09-01,0,4,0.0
2018-09-02,0,0,0.0
2018-09-03,0,12,0.0
2018-09-04,0,10,6.0
2018-09-05,0,4,18.0
2018-09-06,6,15,6.0
2018-09-07,0,4,6.0
2018-09-08,0,2,0.0
2018-09-09,0,1,0.0
2018-09-10,0,7,6.0
2018-09-11,0,2,13.0
2018-09-12,0,6,1.0
2018-09-13,2,7,2.0
2018-09-14,0,6,2.0
2018-09-15,5,2,0.0
2018-09-16,0,0,0.0
2018-09-17,0,5,4.0
2018-09-18,0,11,15.0
2018-09-19,3,4,17.0
2018-09-20,0,0,4.0
2018-09-21,0,0,21.0
2018-09-22,0,0,2.0
2018-09-23,0,1,0.0
2018-09-24,1,0,20.0
2018-09-25,0,6,3.0
2018-09-26,8,4,48.0
2018-09-27,3,2,30.0
2018-09-28,0,2,5.0
2018-09-29,0,0,0.0
2018-09-30,1,0,0.0
2018-10-01,0,2,23.0
2018-10-02,0,1,1.0
2018-10-03,0,2,3.0
2018-10-04,0,9,19.0
2018-10-05,0,1,17.0
2018-10-06,0,0,0.0
2018-10-07,0,0,0.0
2018-10-08,0,0,17.0
2018-10-09,0,2,7.0
2018-10-10,0,7,18.0
2018-10-11,0,2,24.0
2018-10-12,0,8,15.0
2018-10-13,0,0,0.0
2018-10-14,0,1,0.0
2018-10-15,1,1,11.0
2018-10-16,0,1,8.0
2018-10-17,10,1,29.0
2018-10-18,0,4,14.0
2018-10-19,3,8,36.0
2018-10-20,6,11,17.0
2018-10-21,0,5,2.0
2018-10-22,0,1,3.0
2018-10-23,2,23,28.0
2018-10-24,7,2,14.0
2018-10-25,0,0,6.0
2018-10-26,0,0,33.0
2018-10-27,13,3,0.0
2018-10-28,25,0,0.0
2018-10-29,4,23,16.0
2018-10-30,2,3,15.0
2018-10-31,0,3,17.0
2018-11-01,0,2,40.0
2018-11-02,0,5,14.0
2018-11-03,0,0,0.0
2018-11-04,5,0,0.0
2018-11-05,1,9,8.0
2018-11-06,1,9,6.0
2018-11-07,0,15,7.0
2018-11-08,1,4,10.0
2018-11-09,1,14,10.0
2018-11-10,0,2,0.0
2018-11-11,0,0,0.0
2018-11-12,0,1,9.0
2018-11-13,1,4,14.0
2018-11-14,1,3,10.0
2018-11-15,0,1,1.0
2018-11-16,0,1,10.0
2018-11-17,0,0,5.0
2018-11-18,0,0,0.0
2018-11-19,0,5,3.0
2018-11-20,3,2,11.0
2018-11-21,0,0,9.0
2018-11-22,0,5,0.0
2018-11-23,0,3,0.0
2018-11-24,0,1,0.0
2018-11-25,0,0,0.0
2018-11-26,0,2,10.0
2018-11-27,0,4,23.0
2018-11-28,0,2,9.0
2018-11-29,0,1,2.0
2018-11-30,0,3,56.0
2018-12-01,0,1,1.0
2018-12-02,1,2,0.0
2018-12-03,0,3,14.0
2018-12-04,0,2,12.0
2018-12-05,0,2,52.0
2018-12-06,0,2,31.0
2018-12-07,0,2,16.0
2018-12-08,2,0,0.0
2018-12-09,1,0,0.0
2018-12-10,0,0,6.0
2018-12-11,0,0,12.0
2018-12-12,0,2,10.0
2018-12-13,0,2,16.0
2018-12-14,0,2,26.0
2018-12-15,8,0,0.0
2018-12-16,4,0,0.0
2018-12-17,2,0,14.0
2018-12-18,0,3,26.0
2018-12-19,0,0,7.0
2018-12-20,0,3,13.0
2018-12-21,1,0,8.0
2018-12-22,13,0,0.0
2018-12-23,37,0,0.0
2018-12-24,21,0,0.0
2018-12-25,9,1,0.0
2018-12-26,8,0,8.0
2018-12-27,1,0,0.0
2018-12-28,7,0,0.0
2018-12-29,19,0,0.0
2018-12-30,1,0,0.0
2018-12-31,14,0,0.0
2019-01-01,21,0,0.0
2019-01-02,6,1,0.0
2019-01-03,10,0,16.0
2019-01-04,4,0,14.0
2019-01-05,14,0,3.0
2019-01-06,0,0,3.0
2019-01-07,0,1,31.0
2019-01-08,0,2,16.0
2019-01-09,5,1,34.0
2019-01-10,3,2,22.0
2019-01-11,5,0,36.0
2019-01-12,1,1,5.0
2019-01-13,12,0,0.0
2019-01-14,5,2,27.0
2019-01-15,4,5,22.0
2019-01-16,4,2,8.0
2019-01-17,2,5,14.0
2019-01-18,1,10,10.0
2019-01-19,12,1,0.0
2019-01-20,2,0,0.0
2019-01-21,0,10,0.0
2019-01-22,0,3,43.0
2019-01-23,1,11,20.0
2019-01-24,0,4,8.0
2019-01-25,2,2,19.0
2019-01-26,10,0,0.0
2019-01-27,7,3,0.0
2019-01-28,0,2,21.0
2019-01-29,6,3,26.0
2019-01-30,24,9,17.0
2019-01-31,3,8,8.0
2019-02-01,2,3,6.0
2019-02-02,0,1,3.0
2019-02-03,5,0,0.0
2019-02-04,6,5,19.0
2019-02-05,3,10,22.0
2019-02-06,4,14,32.0
2019-02-07,12,2,18.0
2019-02-08,2,6,22.0
2019-02-09,4,2,3.0
2019-02-10,1,2,0.0
2019-02-11,0,3,25.0
2019-02-12,0,3,11.0
2019-02-13,0,11,45.0
2019-02-14,3,17,29.0
2019-02-15,1,4,2.0
2019-02-16,0,3,0.0
2019-02-17,24,1,8.0
2019-02-18,9,0,0.0
2019-02-19,9,10,27.0
2019-02-20,12,6,23.0
2019-02-21,1,21,17.0
2019-02-22,11,8,40.0
2019-02-23,3,4,2.0
2019-02-24,2,1,1.0
2019-02-25,3,5,12.0
2019-02-26,1,3,10.0
2019-02-27,3,10,21.0
2019-02-28,3,14,19.0
2019-03-01,1,8,11.0
2019-03-02,5,0,2.0
2019-03-03,1,3,0.0
2019-03-04,0,3,17.0
2019-03-05,3,4,16.0
2019-03-06,2,5,19.0
2019-03-07,10,10,27.0
2019-03-08,3,0,13.0
2019-03-09,13,5,2.0
2019-03-10,35,2,0.0
2019-03-11,6,9,10.0
2019-03-12,1,1,26.0
2019-03-13,0,5,14.0
2019-03-14,0,4,27.0
2019-03-15,12,12,12.0
2019-03-16,39,5,0.0
2019-03-17,24,4,0.0
2019-03-18,28,14,16.0
2019-03-19,6,7,19.0
2019-03-20,6,8,50.0
2019-03-21,3,6,25.0
2019-03-22,0,8,12.0
2019-03-23,1,0,0.0
2019-03-24,1,5,0.0
2019-03-25,27,4,7.0
2019-03-26,7,6,10.0
2019-03-27,6,4,31.0
2019-03-28,10,5,12.0
2019-03-29,12,8,20.0
2019-03-30,7,6,0.0
2019-03-31,0,0,0.0
2019-04-01,1,12,30.0
2019-04-02,5,12,29.0
2019-04-03,1,20,11.0
2019-04-04,0,34,16.0
2019-04-05,0,20,4.0
2019-04-06,10,11,0.0
2019-04-07,20,27,0.0
2019-04-08,7,30,16.0
2019-04-09,22,22,9.0
2019-04-10,0,52,15.0
2019-04-11,5,12,16.0
2019-04-12,7,45,6.0
2019-04-13,14,20,3.0
2019-04-14,29,2,0.0
2019-04-15,24,11,16.0
2019-04-16,11,18,10.0
2019-04-17,9,12,17.0
2019-04-18,12,21,6.0
2019-04-19,8,24,34.0
2019-04-20,29,15,4.0
2019-04-21,44,7,0.0
2019-04-22,46,19,15.0
2019-04-23,21,13,20.0
2019-04-24,8,21,26.0
2019-04-25,24,27,44.0
2019-04-26,14,14,38.0
2019-04-27,4,0,1.0
2019-04-28,7,8,0.0
2019-04-29,5,5,27.0
2019-04-30,4,16,6.0
2019-05-01,8,20,7.0
2019-05-02,11,6,1.0
2019-05-03,1,16,0.0
2019-05-04,40,3,0.0
2019-05-05,8,2,0.0
2019-05-06,15,9,11.0
2019-05-07,2,7,12.0
2019-05-08,3,14,19.0
2019-05-09,7,9,14.0
2019-05-10,1,14,12.0
2019-05-11,2,0,0.0
2019-05-12,27,3,0.0
2019-05-13,2,14,13.0
2019-05-14,2,4,19.0
2019-05-15,22,5,11.0
2019-05-16,11,8,43.0
2019-05-17,8,3,23.0
2019-05-18,2,1,0.0
2019-05-19,2,0,0.0
2019-05-20,3,10,8.0
2019-05-21,18,7,23.0
2019-05-22,5,26,23.0
2019-05-23,0,23,20.0
2019-05-24,4,8,16.0
2019-05-25,4,2,0.0
2019-05-26,23,3,0.0
2019-05-27,30,1,0.0
2019-05-28,12,10,7.0
2019-05-29,3,10,2.0
2019-05-30,5,8,31.0
2019-05-31,0,9,16.0
2019-06-01,3,9,0.0
2019-06-02,5,8,0.0
2019-06-03,7,16,10.0
2019-06-04,5,12,10.0
2019-06-05,5,11,5.0
2019-06-06,15,3,11.0
2019-06-07,5,8,7.0
2019-06-08,0,9,0.0
2019-06-09,20,11,0.0
2019-06-10,10,8,2.0
2019-06-11,0,4,29.0
2019-06-12,4,12,3.0
2019-06-13,4,4,3.0
2019-06-14,1,6,25.0
2019-06-15,1,4,0.0
2019-06-16,24,0,0.0
2019-06-17,0,7,5.0
2019-06-18,3,12,15.0
2019-06-19,5,11,16.0
2019-06-20,0,8,9.0
2019-06-21,4,8,21.0
2019-06-22,3,8,0.0
2019-06-23,9,0,0.0
2019-06-24,27,9,5.0
2019-06-25,29,3,35.0
2019-06-26,9,4,26.0
2019-06-27,7,3,18.0
2019-06-28,9,2,8.0
2019-06-29,10,0,0.0
2019-06-30,10,0,0.0
2019-07-01,15,5,11.0
2019-07-02,12,5,13.0
2019-07-03,10,4,3.0
