,fastify/fastify,koajs/koa,nestjs/nest
2017-06-17,0,0,0
2017-06-18,1,0,0
2017-06-19,3,0,0
2017-06-20,0,6,0
2017-06-21,0,0,0
2017-06-22,2,0,0
2017-06-23,7,0,0
2017-06-24,0,0,4
2017-06-25,7,0,2
2017-06-26,3,0,0
2017-06-27,7,0,0
2017-06-28,0,0,0
2017-06-29,2,0,0
2017-06-30,1,0,0
2017-07-01,0,0,0
2017-07-02,4,0,0
2017-07-03,2,0,0
2017-07-04,1,0,0
2017-07-05,1,0,0
2017-07-06,0,0,0
2017-07-07,0,1,0
2017-07-08,0,0,0
2017-07-09,0,0,0
2017-07-10,2,0,0
2017-07-11,5,0,0
2017-07-12,0,0,0
2017-07-13,13,1,0
2017-07-14,0,0,0
2017-07-15,0,0,0
2017-07-16,0,1,1
2017-07-17,0,0,0
2017-07-18,2,0,0
2017-07-19,3,1,0
2017-07-20,4,0,0
2017-07-21,3,2,0
2017-07-22,4,0,0
2017-07-23,2,0,9
2017-07-24,8,0,0
2017-07-25,0,0,0
2017-07-26,4,0,0
2017-07-27,0,0,0
2017-07-28,5,0,0
2017-07-29,0,0,0
2017-07-30,0,0,0
2017-07-31,0,0,0
2017-08-01,0,0,0
2017-08-02,0,0,0
2017-08-03,5,1,0
2017-08-04,2,0,0
2017-08-05,7,0,0
2017-08-06,0,0,0
2017-08-07,0,0,0
2017-08-08,0,0,0
2017-08-09,0,0,0
2017-08-10,0,0,0
2017-08-11,0,0,0
2017-08-12,0,0,0
2017-08-13,2,0,0
2017-08-14,0,0,0
2017-08-15,1,0,3
2017-08-16,3,0,1
2017-08-17,2,1,0
2017-08-18,1,0,0
2017-08-19,0,0,0
2017-08-20,2,0,0
2017-08-21,1,0,0
2017-08-22,2,0,0
2017-08-23,0,0,0
2017-08-24,7,0,0
2017-08-25,4,0,0
2017-08-26,0,0,0
2017-08-27,1,0,0
2017-08-28,0,0,0
2017-08-29,0,0,6
2017-08-30,0,0,0
2017-08-31,2,0,0
2017-09-01,2,0,0
2017-09-02,0,0,0
2017-09-03,0,0,0
2017-09-04,3,0,0
2017-09-05,1,0,3
2017-09-06,9,0,0
2017-09-07,3,0,0
2017-09-08,6,0,0
2017-09-09,5,0,0
2017-09-10,17,0,0
2017-09-11,2,1,0
2017-09-12,20,1,8
2017-09-13,19,1,3
2017-09-14,13,0,1
2017-09-15,5,0,0
2017-09-16,5,0,0
2017-09-17,6,0,0
2017-09-18,9,0,0
2017-09-19,23,1,0
2017-09-20,13,0,4
2017-09-21,24,0,3
2017-09-22,8,0,0
2017-09-23,19,0,1
2017-09-24,3,0,0
2017-09-25,11,0,2
2017-09-26,0,5,4
2017-09-27,4,1,0
2017-09-28,8,0,4
2017-09-29,3,0,0
2017-09-30,2,0,9
2017-10-01,12,0,2
2017-10-02,0,0,0
2017-10-03,2,0,0
2017-10-04,1,0,0
2017-10-05,0,0,1
2017-10-06,20,0,0
2017-10-07,2,0,4
2017-10-08,1,0,0
2017-10-09,3,0,1
2017-10-10,3,0,0
2017-10-11,8,0,1
2017-10-12,20,0,0
2017-10-13,4,0,0
2017-10-14,2,0,0
2017-10-15,5,0,0
2017-10-16,3,0,2
2017-10-17,17,0,0
2017-10-18,3,1,0
2017-10-19,19,0,0
2017-10-20,0,0,0
2017-10-21,1,0,0
2017-10-22,1,0,1
2017-10-23,2,0,0
2017-10-24,3,0,0
2017-10-25,2,0,1
2017-10-26,11,0,0
2017-10-27,4,0,0
2017-10-28,4,0,2
2017-10-29,9,0,0
2017-10-30,12,0,5
2017-10-31,18,0,0
2017-11-01,19,0,3
2017-11-02,5,0,5
2017-11-03,16,1,12
2017-11-04,6,0,0
2017-11-05,1,0,0
2017-11-06,2,8,0
2017-11-07,7,0,0
2017-11-08,2,0,0
2017-11-09,3,0,1
2017-11-10,9,0,1
2017-11-11,7,0,5
2017-11-12,3,1,2
2017-11-13,7,0,2
2017-11-14,21,0,3
2017-11-15,7,0,2
2017-11-16,5,0,0
2017-11-17,13,0,6
2017-11-18,0,0,0
2017-11-19,1,0,1
2017-11-20,3,0,0
2017-11-21,0,0,14
2017-11-22,3,0,17
2017-11-23,1,0,8
2017-11-24,6,0,1
2017-11-25,6,0,8
2017-11-26,0,0,0
2017-11-27,3,0,6
2017-11-28,0,0,0
2017-11-29,0,0,3
2017-11-30,0,0,1
2017-12-01,7,0,0
2017-12-02,1,0,0
2017-12-03,2,0,0
2017-12-04,0,0,0
2017-12-05,15,0,0
2017-12-06,8,0,0
2017-12-07,0,0,1
2017-12-08,0,0,0
2017-12-09,0,0,0
2017-12-10,0,0,1
2017-12-11,2,0,0
2017-12-12,1,0,0
2017-12-13,0,0,0
2017-12-14,9,0,0
2017-12-15,2,0,14
2017-12-16,0,0,0
2017-12-17,2,0,0
2017-12-18,11,0,0
2017-12-19,4,0,0
2017-12-20,10,0,1
2017-12-21,9,0,8
2017-12-22,13,0,3
2017-12-23,5,0,3
2017-12-24,0,4,0
2017-12-25,0,0,0
2017-12-26,0,0,0
2017-12-27,1,0,0
2017-12-28,14,0,0
2017-12-29,18,0,0
2017-12-30,14,0,5
2017-12-31,5,0,1
2018-01-01,4,0,0
2018-01-02,3,0,7
2018-01-03,13,0,0
2018-01-04,11,0,1
2018-01-05,17,0,3
2018-01-06,3,0,2
2018-01-07,8,0,0
2018-01-08,4,0,3
2018-01-09,9,0,1
2018-01-10,4,0,0
2018-01-11,11,0,3
2018-01-12,14,0,2
2018-01-13,2,0,2
2018-01-14,9,0,0
2018-01-15,7,0,0
2018-01-16,5,0,1
2018-01-17,20,0,0
2018-01-18,1,0,0
2018-01-19,8,0,0
2018-01-20,8,0,0
2018-01-21,11,0,6
2018-01-22,6,0,0
2018-01-23,5,0,1
2018-01-24,2,0,1
2018-01-25,2,0,0
2018-01-26,0,0,0
2018-01-27,0,0,0
2018-01-28,0,0,0
2018-01-29,4,0,2
2018-01-30,3,0,4
2018-01-31,4,3,3
2018-02-01,6,0,0
2018-02-02,5,0,0
2018-02-03,0,0,5
2018-02-04,1,0,6
2018-02-05,3,0,20
2018-02-06,2,1,1
2018-02-07,5,0,0
2018-02-08,0,0,0
2018-02-09,1,1,2
2018-02-10,1,0,0
2018-02-11,1,2,16
2018-02-12,0,0,2
2018-02-13,4,0,1
2018-02-14,0,0,0
2018-02-15,1,0,9
2018-02-16,4,1,11
2018-02-17,1,0,1
2018-02-18,0,0,7
2018-02-19,1,1,0
2018-02-20,2,0,1
2018-02-21,0,0,5
2018-02-22,0,0,0
2018-02-23,0,0,0
2018-02-24,1,0,3
2018-02-25,1,0,1
2018-02-26,1,0,0
2018-02-27,1,0,3
2018-02-28,4,0,2
2018-03-01,4,0,7
2018-03-02,1,0,8
2018-03-03,1,0,1
2018-03-04,3,0,1
2018-03-05,1,0,0
2018-03-06,2,0,1
2018-03-07,4,0,1
