,apache/echarts,highcharts/highcharts,plotly/plotly.js
2017-11-04,2.0,4,0
2017-11-05,5.0,6,0
2017-11-06,9.0,7,1
2017-11-07,2.0,4,0
2017-11-08,9.0,7,1
2017-11-09,3.0,8,0
2017-11-10,10.0,11,0
2017-11-11,1.0,2,0
2017-11-12,4.0,0,0
2017-11-13,3.0,5,4
2017-11-14,1.0,8,6
2017-11-15,3.0,15,15
2017-11-16,2.0,5,12
2017-11-17,1.0,0,8
2017-11-18,0.0,0,0
2017-11-19,0.0,0,0
2017-11-20,1.0,6,6
2017-11-21,0.0,4,2
2017-11-22,0.0,5,3
2017-11-23,1.0,2,2
2017-11-24,1.0,0,4
2017-11-25,0.0,0,0
2017-11-26,0.0,0,0
2017-11-27,5.0,9,8
2017-11-28,7.0,1,6
2017-11-29,6.0,3,1
2017-11-30,1.0,0,0
2017-12-01,2.0,2,1
2017-12-02,3.0,0,0
2017-12-03,0.0,0,0
2017-12-04,5.0,10,1
2017-12-05,3.0,25,1
2017-12-06,7.0,11,1
2017-12-07,2.0,15,11
2017-12-08,5.0,5,14
2017-12-09,4.0,0,1
2017-12-10,0.0,0,0
2017-12-11,3.0,8,19
2017-12-12,1.0,12,1
2017-12-13,0.0,1,0
2017-12-14,6.0,15,0
2017-12-15,4.0,13,17
2017-12-16,0.0,0,1
2017-12-17,0.0,0,0
2017-12-18,2.0,10,13
2017-12-19,19.0,16,8
2017-12-20,10.0,11,6
2017-12-21,12.0,7,1
2017-12-22,1.0,12,6
2017-12-23,0.0,0,1
2017-12-24,1.0,0,0
2017-12-25,4.0,0,0
2017-12-26,17.0,0,0
2017-12-27,17.0,0,1
2017-12-28,16.0,0,4
2017-12-29,12.0,0,9
2017-12-30,9.0,0,7
2017-12-31,14.0,0,0
2018-01-01,1.0,0,0
2018-01-02,7.0,12,0
2018-01-03,1.0,1,6
2018-01-04,16.0,2,10
2018-01-05,5.0,5,1
2018-01-06,2.0,0,0
2018-01-07,0.0,1,1
2018-01-08,8.0,7,4
2018-01-09,12.0,8,4
2018-01-10,6.0,11,10
2018-01-11,19.0,2,21
2018-01-12,26.0,9,4
2018-01-13,24.0,0,0
2018-01-14,11.0,0,0
2018-01-15,22.0,13,11
2018-01-16,2.0,4,6
2018-01-17,9.0,2,35
2018-01-18,2.0,0,27
2018-01-19,1.0,1,9
2018-01-20,0.0,0,1
2018-01-21,0.0,0,1
2018-01-22,1.0,5,11
2018-01-23,5.0,14,12
2018-01-24,2.0,10,10
2018-01-25,0.0,16,9
2018-01-26,0.0,23,6
2018-01-27,0.0,0,1
2018-01-28,1.0,6,0
2018-01-29,4.0,12,11
2018-01-30,6.0,12,23
2018-01-31,4.0,17,9
2018-02-01,1.0,18,17
2018-02-02,0.0,5,20
2018-02-03,0.0,0,0
2018-02-04,0.0,0,11
2018-02-05,0.0,8,12
2018-02-06,0.0,0,14
2018-02-07,1.0,0,5
2018-02-08,2.0,3,29
2018-02-09,2.0,26,10
2018-02-10,1.0,3,0
2018-02-11,1.0,0,0
2018-02-12,4.0,10,14
2018-02-13,2.0,16,4
2018-02-14,3.0,16,5
2018-02-15,0.0,8,3
2018-02-16,0.0,13,22
2018-02-17,0.0,9,6
2018-02-18,0.0,4,0
2018-02-19,0.0,5,14
2018-02-20,0.0,17,14
2018-02-21,2.0,3,5
2018-02-22,2.0,3,2
2018-02-23,1.0,2,7
2018-02-24,2.0,10,0
2018-02-25,3.0,6,4
2018-02-26,11.0,6,11
2018-02-27,5.0,19,12
2018-02-28,6.0,6,29
2018-03-01,5.0,5,22
2018-03-02,2.0,33,17
2018-03-03,0.0,0,1
2018-03-04,0.0,0,0
2018-03-05,4.0,12,26
2018-03-06,5.0,14,16
2018-03-07,4.0,12,22
2018-03-08,2.0,18,8
2018-03-09,4.0,17,10
2018-03-10,0.0,0,0
2018-03-11,0.0,0,0
2018-03-12,7.0,22,5
2018-03-13,0.0,24,5
2018-03-14,2.0,15,6
2018-03-15,0.0,22,11
2018-03-16,3.0,30,4
2018-03-17,0.0,0,1
2018-03-18,0.0,0,0
2018-03-19,1.0,9,7
2018-03-20,4.0,20,5
2018-03-21,2.0,9,2
2018-03-22,0.0,29,3
2018-03-23,3.0,9,6
2018-03-24,1.0,0,0
2018-03-25,3.0,0,0
2018-03-26,1.0,7,12
2018-03-27,0.0,11,16
2018-03-28,1.0,0,29
2018-03-29,5.0,0,16
2018-03-30,1.0,0,13
2018-03-31,0.0,0,0
2018-04-01,0.0,0,0
2018-04-02,2.0,0,2
2018-04-03,5.0,40,1
2018-04-04,2.0,7,8
2018-04-05,2.0,8,15
2018-04-06,0.0,10,18
2018-04-07,0.0,0,0
2018-04-08,3.0,0,0
2018-04-09,1.0,9,11
2018-04-10,1.0,1,11
2018-04-11,4.0,9,17
2018-04-12,0.0,2,9
2018-04-13,7.0,9,13
2018-04-14,0.0,0,0
2018-04-15,0.0,0,0
2018-04-16,6.0,38,29
2018-04-17,3.0,9,29
2018-04-18,10.0,14,7
2018-04-19,1.0,8,6
2018-04-20,5.0,46,1
2018-04-21,2.0,0,0
2018-04-22,3.0,0,8
2018-04-23,3.0,0,0
2018-04-24,3.0,4,10
2018-04-25,1.0,8,4
2018-04-26,4.0,3,20
2018-04-27,5.0,3,10
2018-04-28,4.0,0,0
2018-04-29,2.0,0,1
2018-04-30,0.0,3,20
2018-05-01,0.0,0,21
2018-05-02,7.0,11,10
2018-05-03,2.0,6,6
2018-05-04,5.0,15,0
2018-05-05,0.0,0,0
2018-05-06,4.0,0,1
2018-05-07,3.0,13,1
2018-05-08,1.0,16,1
2018-05-09,0.0,0,14
2018-05-10,0.0,1,6
2018-05-11,0.0,0,10
2018-05-12,0.0,0,0
2018-05-13,0.0,0,0
2018-05-14,1.0,2,6
2018-05-15,0.0,2,3
2018-05-16,0.0,1,10
2018-05-17,0.0,0,14
2018-05-18,0.0,0,12
2018-05-19,0.0,0,0
2018-05-20,0.0,0,0
2018-05-21,7.0,0,5
2018-05-22,0.0,0,19
2018-05-23,0.0,0,24
2018-05-24,0.0,7,9
2018-05-25,0.0,1,6
2018-05-26,0.0,0,0
2018-05-27,0.0,0,0
2018-05-28,1.0,6,7
2018-05-29,8.0,16,11
2018-05-30,1.0,6,14
2018-05-31,0.0,6,7
2018-06-01,0.0,12,9
2018-06-02,0.0,0,1
2018-06-03,0.0,0,0
2018-06-04,0.0,8,10
2018-06-05,0.0,2,12
2018-06-06,0.0,2,13
2018-06-07,1.0,0,9
2018-06-08,0.0,4,6
2018-06-09,0.0,0,0
2018-06-10,0.0,0,0
2018-06-11,0.0,10,23
2018-06-12,1.0,11,3
2018-06-13,9.0,8,3
2018-06-14,1.0,10,2
2018-06-15,0.0,9,9
2018-06-16,0.0,0,0
2018-06-17,0.0,0,0
2018-06-18,1.0,12,9
2018-06-19,2.0,11,6
2018-06-20,1.0,5,8
2018-06-21,2.0,3,15
2018-06-22,0.0,8,0
2018-06-23,0.0,0,0
2018-06-24,0.0,2,0
2018-06-25,2.0,3,0
2018-06-26,0.0,18,5
2018-06-27,0.0,8,28
2018-06-28,0.0,12,14
2018-06-29,0.0,3,11
2018-06-30,0.0,0,0
2018-07-01,0.0,0,1
2018-07-02,0.0,5,1
2018-07-03,2.0,5,11
2018-07-04,0.0,15,12
2018-07-05,0.0,5,21
2018-07-06,0.0,12,8
2018-07-07,0.0,5,0
2018-07-08,0.0,3,1
2018-07-09,0.0,24,10
2018-07-10,0.0,3,5
2018-07-11,1.0,1,7
2018-07-12,0.0,4,5
2018-07-13,0.0,7,7
2018-07-14,0.0,0,0
2018-07-15,0.0,0,0
2018-07-16,0.0,2,5
2018-07-17,0.0,9,2
2018-07-18,0.0,15,15
2018-07-19,0.0,3,4
2018-07-20,0.0,3,8
2018-07-21,0.0,0,0
2018-07-22,0.0,0,0
2018-07-23,0.0,12,3
2018-07-24,0.0,11,3
2018-07-25,0.0,14,2
2018-07-26,2.0,4,4
2018-07-27,2.0,7,4
2018-07-28,0.0,0,0
2018-07-29,2.0,0,0
2018-07-30,0.0,13,4
2018-07-31,0.0,43,19
2018-08-01,0.0,17,6
2018-08-02,0.0,17,8
2018-08-03,0.0,5,6
2018-08-04,0.0,0,1
2018-08-05,0.0,0,0
2018-08-06,0.0,3,2
2018-08-07,1.0,24,5
2018-08-08,0.0,7,5
2018-08-09,2.0,9,13
2018-08-10,3.0,9,7
2018-08-11,0.0,0,0
2018-08-12,0.0,0,0
2018-08-13,1.0,6,10
2018-08-14,0.0,8,10
2018-08-15,3.0,35,16
2018-08-16,1.0,39,23
2018-08-17,0.0,17,29
2018-08-18,0.0,0,0
2018-08-19,0.0,0,0
2018-08-20,0.0,13,11
2018-08-21,0.0,12,30
2018-08-22,0.0,35,16
2018-08-23,0.0,17,16
2018-08-24,0.0,17,9
2018-08-25,1.0,0,0
2018-08-26,2.0,0,0
2018-08-27,3.0,27,13
2018-08-28,0.0,9,5
2018-08-29,0.0,24,18
2018-08-30,0.0,15,12
2018-08-31,0.0,12,9
2018-09-01,0.0,0,12
2018-09-02,0.0,0,0
2018-09-03,20.0,34,0
2018-09-04,15.0,5,11
2018-09-05,6.0,33,20
2018-09-06,2.0,29,9
2018-09-07,1.0,30,29
2018-09-08,0.0,2,2
2018-09-09,5.0,0,0
2018-09-10,5.0,24,23
2018-09-11,4.0,7,18
2018-09-12,4.0,6,9
2018-09-13,1.0,26,7
2018-09-14,3.0,32,12
2018-09-15,0.0,0,7
2018-09-16,0.0,0,2
2018-09-17,0.0,18,13
2018-09-18,0.0,7,8
2018-09-19,2.0,86,4
2018-09-20,0.0,11,5
2018-09-21,18.0,6,9
2018-09-22,0.0,0,2
2018-09-23,0.0,0,0
2018-09-24,0.0,5,11
2018-09-25,0.0,13,10
2018-09-26,1.0,85,3
2018-09-27,0.0,29,5
2018-09-28,0.0,9,21
2018-09-29,0.0,0,0
2018-09-30,0.0,2,18
2018-10-01,0.0,7,9
2018-10-02,0.0,15,22
2018-10-03,0.0,10,17
2018-10-04,0.0,7,20
2018-10-05,0.0,12,20
2018-10-06,0.0,0,2
2018-10-07,0.0,0,2
2018-10-08,4.0,26,7
2018-10-09,0.0,15,8
2018-10-10,5.0,12,15
2018-10-11,6.0,7,11
2018-10-12,2.0,11,21
2018-10-13,0.0,0,3
2018-10-14,0.0,6,3
2018-10-15,19.0,35,14
2018-10-16,6.0,23,9
2018-10-17,8.0,16,11
2018-10-18,4.0,50,12
2018-10-19,1.0,16,21
2018-10-20,0.0,1,3
2018-10-21,0.0,1,3
2018-10-22,2.0,7,18
2018-10-23,1.0,1,23
2018-10-24,1.0,7,33
2018-10-25,0.0,3,19
2018-10-26,1.0,7,25
2018-10-27,0.0,0,0
2018-10-28,0.0,0,2
2018-10-29,5.0,21,26
2018-10-30,2.0,6,17
2018-10-31,1.0,16,20
2018-11-01,0.0,8,16
2018-11-02,0.0,5,9
2018-11-03,0.0,0,0
2018-11-04,5.0,0,12
2018-11-05,0.0,5,18
2018-11-06,0.0,5,26
2018-11-07,0.0,60,14
2018-11-08,0.0,5,20
2018-11-09,0.0,10,23
2018-11-10,0.0,0,5
2018-11-11,0.0,0,3
2018-11-12,2.0,17,23
2018-11-13,0.0,2,23
2018-11-14,0.0,0,5
2018-11-15,6.0,1,3
2018-11-16,0.0,3,21
2018-11-17,2.0,0,7
2018-11-18,0.0,0,4
2018-11-19,0.0,60,23
2018-11-20,2.0,12,18
2018-11-21,0.0,35,47
2018-11-22,0.0,11,16
2018-11-23,0.0,17,31
2018-11-24,0.0,0,6
2018-11-25,0.0,2,1
2018-11-26,0.0,13,30
2018-11-27,1.0,46,10
2018-11-28,0.0,13,8
2018-11-29,3.0,69,16
2018-11-30,0.0,24,23
2018-12-01,0.0,0,0
2018-12-02,1.0,2,2
2018-12-03,4.0,38,7
2018-12-04,7.0,133,1
2018-12-05,0.0,14,17
2018-12-06,0.0,9,21
2018-12-07,0.0,34,15
2018-12-08,0.0,33,2
2018-12-09,0.0,8,0
2018-12-10,0.0,44,0
2018-12-11,2.0,3,19
2018-12-12,0.0,22,21
2018-12-13,3.0,8,13
2018-12-14,1.0,4,4
2018-12-15,0.0,0,1
2018-12-16,0.0,0,6
2018-12-17,1.0,54,32
2018-12-18,1.0,6,8
2018-12-19,2.0,18,15
2018-12-20,2.0,15,4
2018-12-21,0.0,23,37
2018-12-22,0.0,0,2
2018-12-23,0.0,0,0
2018-12-24,0.0,2,5
2018-12-25,0.0,0,0
2018-12-26,0.0,0,5
2018-12-27,2.0,0,2
2018-12-28,2.0,0,0
2018-12-29,1.0,0,0
2018-12-30,0.0,0,0
2018-12-31,1.0,0,5
2019-01-01,3.0,0,7
2019-01-02,5.0,0,12
2019-01-03,4.0,11,16
2019-01-04,3.0,17,14
2019-01-05,0.0,0,0
2019-01-06,0.0,0,2
2019-01-07,0.0,37,20
2019-01-08,0.0,11,43
2019-01-09,3.0,18,16
2019-01-10,3.0,13,17
2019-01-11,0.0,24,5
2019-01-12,10.0,5,5
2019-01-13,1.0,3,8
2019-01-14,1.0,6,36
2019-01-15,0.0,3,21
2019-01-16,1.0,18,25
2019-01-17,2.0,16,18
2019-01-18,0.0,20,32
2019-01-19,0.0,0,0
2019-01-20,0.0,0,8
2019-01-21,0.0,11,25
2019-01-22,0.0,7,14
2019-01-23,15.0,16,14
2019-01-24,6.0,1,8
2019-01-25,0.0,24,6
2019-01-26,0.0,0,0
2019-01-27,0.0,0,0
2019-01-28,10.0,22,7
2019-01-29,0.0,23,11
2019-01-30,0.0,4,3
2019-01-31,3.0,0,8
2019-02-01,0.0,7,16
2019-02-02,0.0,2,0
2019-02-03,0.0,1,0
2019-02-04,0.0,19,12
2019-02-05,0.0,19,13
2019-02-06,0.0,14,11
2019-02-07,0.0,2,7
2019-02-08,0.0,15,6
2019-02-09,0.0,0,0
2019-02-10,0.0,0,4
2019-02-11,0.0,17,21
2019-02-12,0.0,11,26
2019-02-13,0.0,8,13
2019-02-14,8.0,12,13
2019-02-15,5.0,13,20
2019-02-16,0.0,0,1
2019-02-17,0.0,0,0
2019-02-18,1.0,0,21
2019-02-19,3.0,6,21
2019-02-20,0.0,6,17
2019-02-21,1.0,6,10
2019-02-22,0.0,5,0
2019-02-23,0.0,1,0
2019-02-24,1.0,0,0
2019-02-25,6.0,1,14
2019-02-26,1.0,11,16
2019-02-27,2.0,26,10
2019-02-28,2.0,18,5
2019-03-01,0.0,13,14
2019-03-02,0.0,0,2
2019-03-03,0.0,0,4
2019-03-04,2.0,21,16
2019-03-05,1.0,14,16
2019-03-06,2.0,42,9
2019-03-07,0.0,30,9
2019-03-08,1.0,9,9
2019-03-09,2.0,0,0
2019-03-10,0.0,1,0
2019-03-11,2.0,13,1
2019-03-12,2.0,16,11
2019-03-13,0.0,8,10
2019-03-14,0.0,18,2
2019-03-15,0.0,8,2
2019-03-16,0.0,0,1
2019-03-17,0.0,1,0
2019-03-18,5.0,31,11
2019-03-19,1.0,12,14
2019-03-20,0.0,20,16
2019-03-21,1.0,21,6
2019-03-22,0.0,38,16
2019-03-23,0.0,0,1
2019-03-24,0.0,0,2
2019-03-25,2.0,20,21
2019-03-26,1.0,18,16
2019-03-27,0.0,17,15
2019-03-28,1.0,21,30
2019-03-29,2.0,13,14
2019-03-30,0.0,0,0
2019-03-31,0.0,0,1
2019-04-01,0.0,16,20
2019-04-02,1.0,3,18
2019-04-03,0.0,8,9
2019-04-04,1.0,14,19
2019-04-05,0.0,3,14
2019-04-06,0.0,0,1
2019-04-07,0.0,0,0
2019-04-08,0.0,23,24
2019-04-09,2.0,20,13
2019-04-10,2.0,11,7
2019-04-11,2.0,17,12
2019-04-12,3.0,0,2
2019-04-13,0.0,0,0
2019-04-14,0.0,0,0
2019-04-15,1.0,3,7
2019-04-16,0.0,0,4
2019-04-17,0.0,0,13
2019-04-18,1.0,0,9
2019-04-19,0.0,0,4
2019-04-20,0.0,0,0
2019-04-21,0.0,0,0
2019-04-22,3.0,0,1
2019-04-23,1.0,45,2
2019-04-24,0.0,10,18
2019-04-25,0.0,19,8
2019-04-26,0.0,12,6
2019-04-27,0.0,0,0
2019-04-28,0.0,0,0
2019-04-29,0.0,7,17
2019-04-30,0.0,2,23
2019-05-01,0.0,0,13
2019-05-02,0.0,3,8
2019-05-03,0.0,6,3
2019-05-04,0.0,0,2
2019-05-05,3.0,0,1
2019-05-06,4.0,21,11
2019-05-07,3.0,17,16
2019-05-08,0.0,5,23
2019-05-09,1.0,21,7
2019-05-10,0.0,5,1
2019-05-11,1.0,1,0
2019-05-12,0.0,0,0
2019-05-13,2.0,6,15
2019-05-14,1.0,0,9
2019-05-15,2.0,6,13
2019-05-16,0.0,25,11
2019-05-17,2.0,1,19
2019-05-18,0.0,0,1
2019-05-19,0.0,0,0
2019-05-20,0.0,13,13
2019-05-21,1.0,10,23
2019-05-22,8.0,21,25
2019-05-23,0.0,6,14
2019-05-24,0.0,15,10
2019-05-25,0.0,0,0
2019-05-26,0.0,0,0
2019-05-27,0.0,7,7
2019-05-28,1.0,9,8
2019-05-29,2.0,8,4
2019-05-30,7.0,0,3
2019-05-31,0.0,5,7
2019-06-01,0.0,0,0
2019-06-02,0.0,0,0
2019-06-03,0.0,12,1
2019-06-04,3.0,12,1
2019-06-05,0.0,9,5
2019-06-06,0.0,15,0
2019-06-07,0.0,21,0
2019-06-08,0.0,0,0
2019-06-09,0.0,2,1
2019-06-10,1.0,0,1
2019-06-11,1.0,18,17
2019-06-12,0.0,10,0
2019-06-13,0.0,2,7
2019-06-14,0.0,3,71
2019-06-15,0.0,0,0
2019-06-16,0.0,0,0
2019-06-17,2.0,19,21
2019-06-18,3.0,11,5
2019-06-19,1.0,35,2
2019-06-20,4.0,5,3
2019-06-21,0.0,6,6
2019-06-22,0.0,0,0
2019-06-23,0.0,0,0
2019-06-24,1.0,19,0
2019-06-25,2.0,47,9
2019-06-26,6.0,50,28
2019-06-27,2.0,11,12
2019-06-28,3.0,72,14
2019-06-29,0.0,0,0
2019-06-30,0.0,1,0
2019-07-01,0.0,42,1
2019-07-02,0.0,28,21
2019-07-03,0.0,16,18
2019-07-04,0.0,8,6
2019-07-05,0.0,12,12
2019-07-06,0.0,0,0
2019-07-07,0.0,0,0
2019-07-08,0.0,17,6
2019-07-09,3.0,7,0
2019-07-10,0.0,11,0
2019-07-11,1.0,3,8
2019-07-12,0.0,18,6
2019-07-13,0.0,0,0
2019-07-14,0.0,0,0
2019-07-15,2.0,7,4
2019-07-16,0.0,5,1
2019-07-17,0.0,10,7
2019-07-18,0.0,9,16
2019-07-19,0.0,0,14
2019-07-20,0.0,0,1
2019-07-21,0.0,0,0
2019-07-22,0.0,2,15
2019-07-23,0.0,23,15
2019-07-24,1.0,10,6
2019-07-25,0.0,5,3
2019-07-26,0.0,0,7
2019-07-27,0.0,0,3
2019-07-28,0.0,0,0
2019-07-29,0.0,5,4
2019-07-30,0.0,36,6
2019-07-31,2.0,19,11
2019-08-01,0.0,12,3
2019-08-02,2.0,12,16
2019-08-03,0.0,0,4
2019-08-04,0.0,0,0
2019-08-05,0.0,11,1
2019-08-06,0.0,10,6
2019-08-07,0.0,13,6
2019-08-08,0.0,8,2
2019-08-09,0.0,14,0
2019-08-10,0.0,0,0
2019-08-11,0.0,1,0
2019-08-12,0.0,11,0
2019-08-13,0.0,6,15
2019-08-14,0.0,54,8
2019-08-15,0.0,25,0
2019-08-16,0.0,7,0
2019-08-17,0.0,0,0
2019-08-18,0.0,0,0
2019-08-19,5.0,10,2
2019-08-20,1.0,9,5
2019-08-21,1.0,11,5
2019-08-22,2.0,2,3
2019-08-23,0.0,30,0
2019-08-24,0.0,0,0
2019-08-25,0.0,0,0
2019-08-26,2.0,19,1
2019-08-27,2.0,8,5
2019-08-28,6.0,16,7
2019-08-29,2.0,14,0
2019-08-30,6.0,7,15
