,gitlabhq/gitlabhq,gogs/gogs,gitbucket/gitbucket
2014-05-21,4,2,0
2014-05-22,29,1,0
2014-05-23,30,0,0
2014-05-24,10,6,0
2014-05-25,0,0,1
2014-05-26,34,9,0
2014-05-27,26,0,0
2014-05-28,29,4,1
2014-05-29,38,1,0
2014-05-30,14,5,1
2014-05-31,6,1,5
2014-06-01,1,5,5
2014-06-02,18,1,6
2014-06-03,52,4,0
2014-06-04,29,1,1
2014-06-05,26,1,4
2014-06-06,21,3,3
2014-06-07,10,1,3
2014-06-08,3,4,0
2014-06-09,4,0,4
2014-06-10,41,1,2
2014-06-11,27,2,0
2014-06-12,17,6,0
2014-06-13,24,1,0
2014-06-14,29,0,5
2014-06-15,4,0,6
2014-06-16,11,0,2
2014-06-17,16,1,0
2014-06-18,18,0,0
2014-06-19,12,1,2
2014-06-20,13,2,2
2014-06-21,3,3,0
2014-06-22,4,5,2
2014-06-23,26,6,1
2014-06-24,45,6,1
2014-06-25,25,10,1
2014-06-26,35,1,1
2014-06-27,5,3,0
2014-06-28,0,12,3
2014-06-29,0,4,6
2014-06-30,22,2,5
2014-07-01,16,0,0
2014-07-02,22,1,0
2014-07-03,21,0,0
2014-07-04,21,9,0
2014-07-05,5,5,4
2014-07-06,0,3,9
2014-07-07,9,2,0
2014-07-08,9,0,2
2014-07-09,17,0,0
2014-07-10,20,0,0
2014-07-11,17,0,0
2014-07-12,0,4,2
2014-07-13,3,0,10
2014-07-14,10,0,1
2014-07-15,16,1,0
2014-07-16,18,1,2
2014-07-17,17,0,0
2014-07-18,4,2,0
2014-07-19,2,0,0
2014-07-20,2,1,1
2014-07-21,12,1,0
2014-07-22,9,18,2
2014-07-23,21,4,3
2014-07-24,8,26,0
2014-07-25,12,24,2
2014-07-26,4,15,3
2014-07-27,6,3,4
2014-07-28,15,4,6
2014-07-29,22,0,6
2014-07-30,21,1,1
2014-07-31,26,1,2
2014-08-01,9,5,1
2014-08-02,2,1,1
2014-08-03,7,0,7
2014-08-04,12,4,4
2014-08-05,2,1,2
2014-08-06,14,2,0
2014-08-07,7,7,1
2014-08-08,0,2,0
2014-08-09,6,3,2
2014-08-10,3,3,1
2014-08-11,28,1,4
2014-08-12,7,0,2
2014-08-13,32,1,7
2014-08-14,5,10,5
2014-08-15,19,2,1
2014-08-16,3,2,1
2014-08-17,5,0,2
2014-08-18,14,0,0
2014-08-19,12,0,0
2014-08-20,19,1,1
2014-08-21,22,0,1
2014-08-22,17,0,2
2014-08-23,22,5,1
2014-08-24,5,3,4
2014-08-25,15,7,1
2014-08-26,24,4,0
2014-08-27,26,2,0
2014-08-28,22,2,0
2014-08-29,30,8,0
2014-08-30,6,10,0
2014-08-31,5,29,4
2014-09-01,35,4,1
2014-09-02,25,16,2
2014-09-03,17,9,0
2014-09-04,21,5,2
2014-09-05,15,8,0
2014-09-06,8,0,0
2014-09-07,3,5,0
2014-09-08,48,5,0
2014-09-09,26,7,1
2014-09-10,22,3,1
2014-09-11,24,0,0
2014-09-12,29,4,1
2014-09-13,2,4,1
2014-09-14,11,3,3
2014-09-15,14,3,4
2014-09-16,8,12,0
2014-09-17,12,10,0
2014-09-18,14,3,0
2014-09-19,25,1,4
2014-09-20,8,3,2
2014-09-21,8,5,0
2014-09-22,36,9,9
2014-09-23,24,15,8
2014-09-24,27,3,4
2014-09-25,35,6,3
2014-09-26,26,9,0
2014-09-27,6,4,3
2014-09-28,6,18,4
2014-09-29,38,10,6
2014-09-30,46,3,2
2014-10-01,32,5,0
2014-10-02,42,0,0
2014-10-03,33,3,2
2014-10-04,5,9,2
2014-10-05,9,6,15
2014-10-06,31,4,4
2014-10-07,30,1,1
2014-10-08,24,5,0
2014-10-09,13,4,1
2014-10-10,20,6,0
2014-10-11,1,7,2
2014-10-12,11,5,3
2014-10-13,26,10,0
2014-10-14,29,6,0
2014-10-15,30,4,0
2014-10-16,13,0,2
2014-10-17,15,0,0
2014-10-18,17,2,4
2014-10-19,5,6,2
2014-10-20,27,2,0
2014-10-21,54,1,0
2014-10-22,20,2,0
2014-10-23,22,0,0
2014-10-24,19,3,0
2014-10-25,3,1,0
2014-10-26,1,0,0
2014-10-27,25,1,0
2014-10-28,25,2,0
2014-10-29,24,0,1
2014-10-30,36,1,0
2014-10-31,12,1,5
2014-11-01,4,2,0
2014-11-02,4,5,7
2014-11-03,9,0,1
2014-11-04,10,10,1
2014-11-05,30,0,0
2014-11-06,10,1,1
2014-11-07,5,6,1
2014-11-08,2,0,3
2014-11-09,3,0,0
2014-11-10,9,2,1
2014-11-11,17,2,3
2014-11-12,17,1,0
2014-11-13,8,3,0
2014-11-14,14,3,0
2014-11-15,2,0,1
2014-11-16,2,2,2
2014-11-17,6,10,1
2014-11-18,17,2,1
2014-11-19,7,6,0
2014-11-20,12,2,0
2014-11-21,4,4,0
2014-11-22,0,1,10
2014-11-23,7,1,4
2014-11-24,14,7,1
2014-11-25,3,0,0
2014-11-26,7,2,1
2014-11-27,7,2,3
2014-11-28,5,6,0
2014-11-29,7,3,0
2014-11-30,10,7,0
2014-12-01,17,2,0
2014-12-02,27,6,0
2014-12-03,22,1,0
2014-12-04,31,2,1
2014-12-05,22,11,0
2014-12-06,1,0,0
2014-12-07,7,5,0
2014-12-08,19,1,0
2014-12-09,4,1,0
2014-12-10,4,7,0
2014-12-11,10,4,0
2014-12-12,10,1,1
2014-12-13,2,2,0
2014-12-14,7,3,0
2014-12-15,24,2,0
2014-12-16,9,1,0
2014-12-17,14,6,0
2014-12-18,6,8,0
2014-12-19,2,6,1
2014-12-20,17,1,0
2014-12-21,2,7,2
2014-12-22,16,9,2
2014-12-23,25,0,0
2014-12-24,18,2,0
2014-12-25,17,0,0
2014-12-26,22,0,1
2014-12-27,9,6,2
2014-12-28,13,3,4
2014-12-29,45,6,3
2014-12-30,25,0,5
2014-12-31,2,7,1
2015-01-01,6,0,3
2015-01-02,1,11,3
2015-01-03,4,2,1
2015-01-04,1,0,4
2015-01-05,8,3,1
2015-01-06,21,1,2
2015-01-07,15,0,6
2015-01-08,11,1,1
2015-01-09,2,2,3
2015-01-10,8,0,2
2015-01-11,20,0,0
2015-01-12,12,0,1
2015-01-13,30,0,0
2015-01-14,8,0,1
2015-01-15,49,1,0
2015-01-16,12,0,0
2015-01-17,17,5,7
2015-01-18,22,5,2
2015-01-19,25,0,0
2015-01-20,14,3,4
2015-01-21,21,0,1
2015-01-22,31,8,1
2015-01-23,24,1,0
2015-01-24,19,0,2
2015-01-25,14,0,2
2015-01-26,21,1,0
2015-01-27,36,1,2
2015-01-28,26,0,0
2015-01-29,26,0,6
2015-01-30,25,2,2
2015-01-31,1,8,2
2015-02-01,1,12,3
2015-02-02,12,3,0
2015-02-03,56,11,0
2015-02-04,29,6,1
2015-02-05,25,17,0
2015-02-06,23,2,2
2015-02-07,17,13,5
2015-02-08,12,5,4
2015-02-09,18,13,1
2015-02-10,6,0,0
2015-02-11,17,8,1
