,highcharts/highcharts,apache/echarts,plotly/plotly.js
2022-03-27,0,3.0,0
2022-03-28,7,6.0,0
2022-03-29,4,3.0,0
2022-03-30,28,3.0,0
2022-03-31,4,0.0,0
2022-04-01,5,8.0,4
2022-04-02,0,0.0,0
2022-04-03,0,0.0,0
2022-04-04,6,0.0,0
2022-04-05,3,2.0,0
2022-04-06,3,0.0,2
2022-04-07,0,0.0,22
2022-04-08,18,1.0,0
2022-04-09,0,2.0,0
2022-04-10,0,0.0,0
2022-04-11,5,5.0,0
2022-04-12,3,3.0,0
2022-04-13,4,5.0,0
2022-04-14,2,5.0,2
2022-04-15,0,3.0,0
2022-04-16,0,1.0,0
2022-04-17,0,1.0,0
2022-04-18,0,0.0,0
2022-04-19,7,0.0,0
2022-04-20,20,0.0,5
2022-04-21,6,7.0,3
2022-04-22,15,3.0,6
2022-04-23,0,0.0,0
2022-04-24,0,1.0,0
2022-04-25,16,0.0,7
2022-04-26,10,5.0,4
2022-04-27,22,4.0,1
2022-04-28,10,2.0,1
2022-04-29,5,2.0,2
2022-04-30,0,0.0,1
2022-05-01,0,1.0,0
2022-05-02,5,2.0,10
2022-05-03,4,1.0,0
2022-05-04,0,3.0,3
2022-05-05,1,2.0,3
2022-05-06,13,0.0,17
2022-05-07,0,0.0,0
2022-05-08,1,0.0,0
2022-05-09,4,0.0,19
2022-05-10,5,0.0,0
2022-05-11,19,2.0,3
2022-05-12,6,1.0,2
2022-05-13,9,0.0,2
2022-05-14,3,0.0,5
2022-05-15,5,0.0,0
2022-05-16,9,1.0,0
2022-05-17,1,0.0,0
2022-05-18,21,1.0,0
2022-05-19,5,1.0,2
2022-05-20,24,5.0,1
2022-05-21,0,1.0,0
2022-05-22,0,0.0,0
2022-05-23,9,2.0,1
2022-05-24,4,5.0,2
2022-05-25,1,3.0,3
2022-05-26,2,1.0,6
2022-05-27,2,1.0,2
2022-05-28,0,3.0,0
2022-05-29,0,0.0,0
2022-05-30,16,0.0,2
2022-05-31,4,0.0,3
2022-06-01,5,0.0,7
2022-06-02,1,0.0,0
2022-06-03,10,3.0,0
2022-06-04,0,1.0,0
2022-06-05,0,0.0,0
2022-06-06,1,0.0,0
2022-06-07,9,6.0,0
2022-06-08,0,3.0,0
2022-06-09,0,5.0,11
2022-06-10,1,0.0,5
2022-06-11,0,0.0,0
2022-06-12,1,0.0,0
2022-06-13,13,6.0,0
2022-06-14,4,5.0,10
2022-06-15,11,2.0,8
2022-06-16,7,1.0,1
2022-06-17,10,1.0,0
2022-06-18,1,1.0,0
2022-06-19,0,3.0,0
2022-06-20,2,3.0,4
2022-06-21,17,1.0,5
2022-06-22,7,0.0,22
2022-06-23,16,0.0,0
2022-06-24,14,0.0,4
2022-06-25,2,0.0,0
2022-06-26,2,0.0,0
2022-06-27,9,0.0,7
2022-06-28,0,0.0,4
2022-06-29,0,0.0,1
2022-06-30,2,0.0,3
2022-07-01,0,0.0,2
2022-07-02,0,0.0,0
2022-07-03,0,0.0,0
2022-07-04,27,4.0,0
2022-07-05,9,3.0,20
2022-07-06,17,1.0,13
2022-07-07,5,1.0,13
2022-07-08,34,1.0,26
2022-07-09,14,0.0,2
2022-07-10,1,1.0,0
2022-07-11,9,4.0,9
2022-07-12,10,3.0,12
2022-07-13,6,1.0,3
2022-07-14,17,2.0,16
2022-07-15,2,3.0,14
2022-07-16,0,0.0,0
2022-07-17,0,0.0,0
2022-07-18,5,2.0,6
2022-07-19,6,3.0,0
2022-07-20,2,2.0,2
2022-07-21,2,1.0,2
2022-07-22,0,5.0,0
2022-07-23,0,1.0,0
2022-07-24,0,0.0,0
2022-07-25,2,3.0,6
2022-07-26,2,2.0,4
2022-07-27,4,0.0,1
2022-07-28,1,4.0,5
2022-07-29,0,1.0,0
2022-07-30,0,1.0,0
2022-07-31,0,0.0,0
2022-08-01,4,4.0,0
2022-08-02,2,1.0,3
2022-08-03,0,0.0,0
2022-08-04,35,7.0,0
2022-08-05,70,3.0,0
2022-08-06,0,3.0,0
2022-08-07,0,0.0,0
2022-08-08,14,2.0,2
2022-08-09,5,5.0,2
2022-08-10,12,0.0,4
2022-08-11,24,0.0,6
2022-08-12,2,0.0,3
2022-08-13,0,0.0,0
2022-08-14,0,2.0,0
2022-08-15,13,3.0,0
2022-08-16,19,3.0,3
2022-08-17,2,1.0,0
2022-08-18,19,1.0,0
2022-08-19,7,0.0,7
2022-08-20,0,0.0,0
2022-08-21,0,1.0,0
2022-08-22,5,7.0,1
2022-08-23,15,1.0,0
2022-08-24,17,0.0,0
2022-08-25,9,1.0,2
2022-08-26,4,1.0,3
2022-08-27,0,1.0,0
2022-08-28,0,0.0,0
2022-08-29,16,3.0,0
2022-08-30,6,2.0,3
2022-08-31,6,1.0,2
2022-09-01,4,3.0,5
2022-09-02,19,9.0,10
2022-09-03,0,1.0,0
2022-09-04,0,0.0,0
2022-09-05,0,2.0,0
2022-09-06,26,2.0,4
2022-09-07,31,0.0,6
2022-09-08,8,0.0,4
2022-09-09,2,0.0,0
2022-09-10,0,0.0,0
2022-09-11,0,0.0,0
2022-09-12,14,0.0,1
2022-09-13,15,4.0,0
2022-09-14,4,2.0,0
2022-09-15,3,0.0,3
2022-09-16,0,0.0,1
2022-09-17,0,0.0,1
2022-09-18,0,0.0,0
2022-09-19,11,0.0,9
2022-09-20,7,0.0,2
2022-09-21,23,0.0,2
2022-09-22,8,5.0,6
2022-09-23,9,2.0,9
2022-09-24,0,2.0,0
2022-09-25,3,6.0,0
2022-09-26,12,2.0,0
2022-09-27,3,1.0,0
2022-09-28,6,1.0,0
2022-09-29,5,4.0,4
2022-09-30,10,0.0,0
2022-10-01,0,0.0,0
2022-10-02,0,0.0,0
2022-10-03,6,0.0,4
2022-10-04,5,0.0,4
2022-10-05,17,1.0,6
2022-10-06,29,0.0,12
2022-10-07,10,0.0,3
2022-10-08,0,5.0,0
2022-10-09,0,0.0,0
2022-10-10,3,0.0,0
2022-10-11,2,2.0,3
2022-10-12,2,0.0,1
2022-10-13,1,0.0,6
2022-10-14,3,2.0,14
2022-10-15,0,8.0,0
2022-10-16,0,10.0,0
2022-10-17,4,8.0,0
2022-10-18,13,5.0,0
2022-10-19,0,1.0,1
2022-10-20,1,6.0,0
2022-10-21,0,5.0,17
2022-10-22,0,2.0,1
2022-10-23,0,0.0,0
2022-10-24,3,2.0,4
2022-10-25,4,3.0,0
2022-10-26,17,0.0,0
2022-10-27,13,2.0,1
2022-10-28,9,0.0,0
2022-10-29,1,1.0,0
2022-10-30,1,1.0,0
2022-10-31,23,4.0,1
2022-11-01,13,1.0,6
2022-11-02,14,2.0,2
2022-11-03,16,0.0,2
2022-11-04,10,2.0,3
2022-11-05,2,1.0,0
2022-11-06,0,3.0,1
2022-11-07,7,2.0,2
2022-11-08,11,3.0,4
2022-11-09,6,3.0,8
2022-11-10,7,6.0,5
2022-11-11,37,2.0,10
2022-11-12,0,1.0,4
2022-11-13,0,2.0,0
2022-11-14,13,2.0,14
2022-11-15,10,4.0,0
2022-11-16,14,0.0,6
2022-11-17,14,3.0,5
2022-11-18,18,0.0,0
2022-11-19,0,0.0,0
2022-11-20,0,0.0,0
2022-11-21,13,2.0,1
2022-11-22,19,0.0,0
2022-11-23,10,0.0,0
2022-11-24,17,0.0,2
2022-11-25,8,7.0,0
2022-11-26,4,0.0,1
2022-11-27,0,0.0,0
2022-11-28,20,1.0,0
2022-11-29,24,4.0,0
2022-11-30,16,4.0,1
2022-12-01,29,3.0,6
2022-12-02,18,1.0,14
2022-12-03,0,0.0,0
2022-12-04,0,0.0,2
2022-12-05,21,1.0,2
2022-12-06,29,0.0,3
2022-12-07,7,1.0,3
2022-12-08,5,2.0,0
2022-12-09,24,2.0,4
2022-12-10,7,1.0,0
2022-12-11,0,0.0,0
2022-12-12,40,3.0,3
2022-12-13,15,0.0,3
2022-12-14,21,2.0,6
2022-12-15,11,1.0,5
2022-12-16,21,1.0,5
2022-12-17,0,0.0,0
2022-12-18,0,0.0,0
2022-12-19,26,0.0,2
2022-12-20,94,1.0,10
2022-12-21,56,0.0,20
2022-12-22,12,0.0,8
2022-12-23,9,0.0,8
2022-12-24,2,0.0,1
2022-12-25,0,1.0,0
2022-12-26,0,1.0,2
2022-12-27,6,1.0,0
2022-12-28,7,1.0,0
2022-12-29,17,0.0,0
2022-12-30,11,0.0,0
2022-12-31,0,2.0,0
2023-01-01,0,0.0,0
2023-01-02,18,0.0,0
2023-01-03,27,0.0,13
2023-01-04,54,0.0,5
2023-01-05,35,0.0,1
2023-01-06,13,1.0,1
2023-01-07,1,0.0,1
2023-01-08,0,0.0,2
2023-01-09,16,0.0,4
2023-01-10,19,0.0,2
2023-01-11,16,0.0,8
2023-01-12,29,0.0,8
2023-01-13,26,0.0,0
2023-01-14,3,0.0,0
2023-01-15,2,0.0,0
2023-01-16,52,0.0,0
2023-01-17,48,0.0,2
2023-01-18,29,0.0,8
2023-01-19,31,0.0,5
2023-01-20,22,0.0,0
2023-01-21,0,0.0,0
2023-01-22,0,0.0,0
2023-01-23,32,1.0,0
2023-01-24,48,0.0,4
2023-01-25,45,0.0,0
2023-01-26,31,0.0,1
2023-01-27,30,0.0,0
2023-01-28,1,0.0,0
2023-01-29,1,0.0,1
2023-01-30,38,0.0,5
2023-01-31,28,0.0,0
2023-02-01,29,1.0,12
2023-02-02,23,3.0,6
2023-02-03,22,0.0,7
2023-02-04,1,1.0,0
2023-02-05,0,1.0,0
2023-02-06,32,0.0,10
2023-02-07,27,0.0,6
2023-02-08,22,0.0,2
2023-02-09,19,0.0,8
2023-02-10,8,0.0,7
2023-02-11,2,0.0,0
2023-02-12,0,1.0,0
2023-02-13,25,0.0,3
2023-02-14,20,0.0,2
2023-02-15,24,1.0,13
2023-02-16,17,2.0,6
2023-02-17,15,1.0,12
2023-02-18,1,1.0,1
2023-02-19,0,0.0,0
2023-02-20,12,0.0,35
2023-02-21,23,1.0,5
2023-02-22,17,1.0,0
2023-02-23,20,2.0,7
2023-02-24,18,1.0,22
2023-02-25,3,1.0,1
2023-02-26,1,0.0,0
2023-02-27,54,2.0,8
2023-02-28,34,0.0,10
2023-03-01,24,0.0,20
2023-03-02,17,0.0,8
2023-03-03,37,2.0,1
2023-03-04,1,0.0,0
2023-03-05,1,1.0,0
2023-03-06,38,5.0,26
2023-03-07,31,2.0,9
2023-03-08,20,1.0,13
2023-03-09,24,1.0,30
2023-03-10,34,0.0,31
2023-03-11,8,0.0,2
2023-03-12,1,0.0,0
2023-03-13,46,0.0,24
2023-03-14,35,2.0,8
2023-03-15,11,1.0,18
2023-03-16,18,0.0,0
2023-03-17,18,0.0,6
2023-03-18,2,0.0,0
2023-03-19,1,0.0,0
2023-03-20,36,0.0,0
2023-03-21,50,1.0,11
2023-03-22,26,0.0,1
2023-03-23,24,6.0,0
2023-03-24,16,2.0,1
2023-03-25,4,0.0,0
2023-03-26,0,0.0,0
2023-03-27,21,5.0,0
2023-03-28,25,1.0,4
2023-03-29,22,0.0,9
2023-03-30,19,0.0,0
2023-03-31,25,4.0,6
2023-04-01,1,0.0,0
2023-04-02,1,0.0,0
2023-04-03,23,5.0,3
2023-04-04,10,0.0,0
2023-04-05,4,0.0,0
2023-04-06,2,0.0,0
2023-04-07,6,0.0,1
2023-04-08,0,0.0,1
2023-04-09,0,0.0,0
2023-04-10,0,0.0,5
2023-04-11,39,1.0,0
2023-04-12,21,0.0,3
2023-04-13,24,1.0,2
2023-04-14,9,0.0,9
2023-04-15,2,0.0,3
2023-04-16,10,0.0,1
2023-04-17,40,1.0,11
2023-04-18,50,2.0,1
2023-04-19,43,4.0,0
2023-04-20,22,4.0,1
2023-04-21,26,3.0,3
2023-04-22,6,0.0,0
2023-04-23,6,1.0,0
2023-04-24,54,0.0,3
2023-04-25,35,4.0,5
2023-04-26,24,0.0,9
2023-04-27,13,1.0,11
2023-04-28,15,1.0,1
2023-04-29,1,0.0,0
2023-04-30,0,0.0,0
2023-05-01,1,0.0,3
2023-05-02,29,0.0,13
2023-05-03,15,0.0,2
2023-05-04,10,1.0,0
2023-05-05,6,0.0,3
2023-05-06,0,1.0,0
2023-05-07,1,0.0,0
2023-05-08,17,0.0,7
2023-05-09,28,0.0,1
2023-05-10,23,0.0,4
2023-05-11,18,2.0,5
2023-05-12,16,0.0,31
2023-05-13,1,0.0,2
2023-05-14,2,2.0,4
2023-05-15,19,2.0,4
2023-05-16,28,0.0,0
2023-05-17,12,0.0,8
2023-05-18,7,0.0,5
2023-05-19,7,0.0,6
2023-05-20,0,0.0,0
2023-05-21,0,0.0,0
2023-05-22,58,0.0,0
2023-05-23,37,1.0,2
2023-05-24,52,1.0,4
2023-05-25,15,0.0,1
2023-05-26,38,0.0,1
2023-05-27,1,0.0,0
2023-05-28,0,0.0,0
2023-05-29,4,0.0,4
2023-05-30,19,0.0,6
2023-05-31,18,1.0,8
2023-06-01,11,0.0,7
2023-06-02,13,0.0,7
2023-06-03,2,0.0,3
2023-06-04,0,0.0,0
2023-06-05,23,0.0,6
2023-06-06,16,0.0,8
2023-06-07,31,3.0,6
2023-06-08,7,6.0,2
2023-06-09,3,0.0,5
2023-06-10,1,0.0,0
2023-06-11,1,0.0,0
2023-06-12,9,0.0,2
2023-06-13,12,3.0,0
2023-06-14,16,2.0,0
2023-06-15,34,0.0,0
2023-06-16,33,0.0,0
2023-06-17,1,0.0,0
2023-06-18,1,0.0,0
2023-06-19,20,0.0,0
2023-06-20,39,0.0,0
2023-06-21,9,0.0,2
2023-06-22,34,0.0,0
2023-06-23,37,0.0,1
2023-06-24,0,0.0,0
2023-06-25,1,0.0,0
2023-06-26,35,4.0,0
2023-06-27,22,6.0,3
2023-06-28,43,1.0,10
2023-06-29,52,8.0,7
2023-06-30,40,0.0,4
2023-07-01,0,3.0,0
2023-07-02,5,0.0,0
2023-07-03,252,2.0,0
2023-07-04,40,3.0,8
2023-07-05,50,6.0,15
2023-07-06,42,0.0,3
2023-07-07,23,2.0,5
2023-07-08,0,0.0,0
2023-07-09,0,4.0,0
2023-07-10,30,1.0,2
2023-07-11,12,0.0,0
2023-07-12,12,0.0,0
2023-07-13,12,2.0,0
2023-07-14,22,0.0,0
2023-07-15,0,0.0,0
2023-07-16,0,0.0,0
2023-07-17,21,0.0,7
2023-07-18,12,3.0,12
2023-07-19,22,1.0,4
2023-07-20,3,0.0,3
2023-07-21,3,0.0,2
2023-07-22,0,0.0,0
2023-07-23,0,1.0,0
2023-07-24,15,0.0,4
2023-07-25,8,0.0,11
2023-07-26,7,0.0,1
2023-07-27,11,0.0,0
2023-07-28,4,0.0,4
2023-07-29,3,0.0,0
2023-07-30,0,0.0,0
2023-07-31,17,0.0,5
2023-08-01,23,0.0,3
2023-08-02,9,2.0,8
2023-08-03,16,0.0,0
2023-08-04,16,1.0,0
2023-08-05,0,1.0,2
2023-08-06,0,0.0,0
2023-08-07,15,0.0,0
2023-08-08,5,0.0,1
2023-08-09,19,0.0,0
2023-08-10,21,0.0,2
2023-08-11,14,0.0,14
2023-08-12,0,0.0,3
2023-08-13,0,0.0,0
2023-08-14,23,0.0,0
2023-08-15,3,0.0,7
2023-08-16,40,0.0,7
2023-08-17,38,0.0,2
2023-08-18,21,0.0,6
2023-08-19,0,0.0,0
2023-08-20,0,0.0,6
2023-08-21,52,0.0,2
2023-08-22,44,0.0,7
2023-08-23,34,1.0,1
2023-08-24,206,0.0,4
2023-08-25,24,0.0,0
2023-08-26,0,0.0,0
2023-08-27,1,0.0,0
2023-08-28,64,0.0,0
2023-08-29,32,1.0,1
2023-08-30,51,1.0,0
2023-08-31,68,0.0,3
2023-09-01,27,0.0,2
2023-09-02,0,1.0,1
2023-09-03,6,1.0,0
2023-09-04,45,0.0,0
2023-09-05,33,0.0,0
2023-09-06,27,0.0,0
2023-09-07,25,0.0,0
2023-09-08,21,0.0,0
2023-09-09,0,5.0,0
2023-09-10,0,1.0,0
2023-09-11,23,1.0,1
2023-09-12,30,2.0,0
2023-09-13,18,1.0,1
2023-09-14,25,0.0,3
2023-09-15,12,2.0,4
2023-09-16,0,0.0,0
2023-09-17,0,0.0,8
2023-09-18,25,0.0,0
2023-09-19,23,2.0,2
2023-09-20,28,0.0,0
2023-09-21,43,0.0,1
2023-09-22,16,2.0,10
2023-09-23,0,0.0,0
2023-09-24,0,0.0,0
2023-09-25,5,0.0,1
2023-09-26,20,3.0,0
2023-09-27,10,1.0,1
2023-09-28,28,0.0,1
2023-09-29,3,0.0,0
2023-09-30,5,0.0,3
2023-10-01,7,0.0,0
2023-10-02,15,0.0,0
2023-10-03,35,1.0,2
2023-10-04,17,1.0,14
2023-10-05,29,0.0,0
2023-10-06,51,1.0,0
2023-10-07,1,0.0,0
2023-10-08,9,2.0,0
2023-10-09,14,0.0,0
2023-10-10,6,0.0,1
2023-10-11,19,0.0,0
2023-10-12,30,1.0,0
2023-10-13,35,0.0,1
2023-10-14,0,0.0,0
2023-10-15,0,0.0,0
2023-10-16,34,0.0,1
2023-10-17,5,1.0,0
2023-10-18,16,2.0,4
2023-10-19,20,0.0,3
2023-10-20,49,3.0,6
2023-10-21,0,0.0,0
2023-10-22,1,0.0,0
2023-10-23,34,1.0,0
2023-10-24,11,2.0,2
2023-10-25,14,1.0,0
2023-10-26,23,0.0,2
2023-10-27,6,1.0,0
2023-10-28,7,0.0,0
2023-10-29,0,0.0,0
2023-10-30,12,0.0,1
2023-10-31,57,0.0,3
2023-11-01,20,1.0,0
2023-11-02,21,0.0,2
2023-11-03,30,0.0,0
2023-11-04,5,0.0,0
2023-11-05,0,0.0,0
2023-11-06,21,2.0,0
2023-11-07,19,0.0,5
2023-11-08,32,2.0,8
2023-11-09,12,0.0,6
2023-11-10,37,0.0,5
2023-11-11,1,0.0,0
2023-11-12,1,0.0,0
2023-11-13,20,0.0,2
2023-11-14,14,0.0,2
2023-11-15,34,0.0,0
2023-11-16,16,3.0,0
2023-11-17,11,0.0,0
2023-11-18,8,0.0,2
2023-11-19,1,0.0,0
2023-11-20,12,0.0,1
2023-11-21,6,0.0,0
2023-11-22,12,0.0,7
2023-11-23,34,0.0,6
2023-11-24,9,0.0,6
2023-11-25,0,1.0,1
2023-11-26,0,0.0,0
2023-11-27,8,1.0,4
2023-11-28,45,0.0,6
2023-11-29,25,0.0,2
2023-11-30,13,2.0,0
2023-12-01,7,0.0,1
2023-12-02,0,0.0,0
2023-12-03,1,0.0,0
2023-12-04,19,1.0,0
2023-12-05,36,1.0,5
2023-12-06,15,0.0,0
2023-12-07,53,0.0,1
2023-12-08,20,0.0,5
2023-12-09,13,0.0,0
2023-12-10,0,0.0,1
2023-12-11,16,0.0,0
2023-12-12,34,0.0,1
2023-12-13,15,0.0,2
2023-12-14,39,0.0,1
2023-12-15,12,0.0,11
2023-12-16,0,0.0,2
2023-12-17,1,0.0,0
2023-12-18,14,0.0,0
2023-12-19,6,0.0,1
2023-12-20,39,2.0,0
2023-12-21,5,0.0,0
2023-12-22,11,0.0,0
2023-12-23,0,0.0,0
2023-12-24,0,0.0,0
2023-12-25,0,0.0,2
2023-12-26,0,1.0,0
2023-12-27,9,0.0,1
2023-12-28,5,1.0,0
2023-12-29,4,2.0,0
2023-12-30,0,0.0,5
2023-12-31,0,5.0,0
2024-01-01,0,2.0,0
2024-01-02,13,2.0,8
2024-01-03,15,2.0,7
2024-01-04,36,2.0,3
2024-01-05,11,1.0,10
2024-01-06,2,2.0,13
2024-01-07,4,2.0,0
2024-01-08,31,2.0,4
2024-01-09,17,0.0,6
2024-01-10,29,0.0,3
2024-01-11,58,0.0,3
2024-01-12,49,2.0,2
2024-01-13,8,0.0,0
2024-01-14,9,0.0,0
