,statsmodels/statsmodels,scikit-learn/scikit-learn,mlpack/mlpack
2010-04-17,6,0,0
2010-04-18,3,0,0
2010-04-19,2,9,0
2010-04-20,1,15,4
2010-04-21,1,16,3
2010-04-22,1,13,0
2010-04-23,0,7,0
2010-04-24,14,0,2
2010-04-25,1,1,2
2010-04-26,1,1,0
2010-04-27,0,0,1
2010-04-28,0,2,11
2010-04-29,0,7,3
2010-04-30,0,4,1
2010-05-01,0,0,0
2010-05-02,11,0,0
2010-05-03,12,10,3
2010-05-04,13,10,3
2010-05-05,0,8,1
2010-05-06,0,11,4
2010-05-07,0,23,1
2010-05-08,0,1,0
2010-05-09,0,6,2
2010-05-10,7,4,0
2010-05-11,0,0,3
2010-05-12,2,6,5
2010-05-13,0,2,2
2010-05-14,0,1,5
2010-05-15,4,1,1
2010-05-16,4,0,0
2010-05-17,3,6,3
2010-05-18,5,2,0
2010-05-19,1,0,0
2010-05-20,6,3,2
2010-05-21,6,0,1
2010-05-22,7,0,0
2010-05-23,0,0,0
2010-05-24,0,3,12
2010-05-25,0,1,12
2010-05-26,0,4,5
2010-05-27,1,19,2
2010-05-28,3,5,2
2010-05-29,0,6,0
2010-05-30,0,2,0
2010-05-31,3,2,0
2010-06-01,0,2,6
2010-06-02,0,7,1
2010-06-03,0,3,8
2010-06-04,2,3,0
2010-06-05,0,0,2
2010-06-06,0,0,1
2010-06-07,2,2,1
2010-06-08,5,0,6
2010-06-09,8,3,8
2010-06-10,4,10,0
2010-06-11,0,1,0
2010-06-12,2,0,0
2010-06-13,0,0,0
2010-06-14,6,2,1
2010-06-15,3,3,1
2010-06-16,8,13,4
2010-06-17,4,6,4
2010-06-18,3,3,14
2010-06-19,0,0,0
2010-06-20,0,0,1
2010-06-21,4,7,3
2010-06-22,6,11,5
2010-06-23,0,14,13
2010-06-24,0,0,2
2010-06-25,1,8,3
2010-06-26,0,13,0
2010-06-27,1,2,0
2010-06-28,3,7,0
2010-06-29,2,0,0
2010-06-30,7,0,1
2010-07-01,3,2,0
2010-07-02,0,1,0
2010-07-03,0,5,0
2010-07-04,0,9,0
2010-07-05,0,1,0
2010-07-06,0,11,0
2010-07-07,5,9,2
2010-07-08,2,3,0
2010-07-09,4,0,1
2010-07-10,0,6,0
2010-07-11,0,0,0
2010-07-12,2,0,0
2010-07-13,4,1,2
2010-07-14,5,2,2
2010-07-15,1,3,1
2010-07-16,13,42,1
2010-07-17,0,3,0
2010-07-18,0,6,0
2010-07-19,3,2,0
2010-07-20,2,5,0
2010-07-21,2,1,0
2010-07-22,1,2,0
2010-07-23,6,1,0
2010-07-24,0,2,0
2010-07-25,0,0,0
2010-07-26,2,14,0
2010-07-27,0,74,3
2010-07-28,0,18,0
2010-07-29,1,4,0
2010-07-30,0,4,0
2010-07-31,2,8,0
2010-08-01,0,6,0
2010-08-02,1,1,0
2010-08-03,4,0,0
2010-08-04,0,4,0
2010-08-05,0,4,4
2010-08-06,2,4,0
2010-08-07,0,1,1
2010-08-08,0,17,1
2010-08-09,1,0,4
2010-08-10,0,0,2
2010-08-11,0,4,5
2010-08-12,0,1,7
2010-08-13,3,16,3
2010-08-14,0,1,3
2010-08-15,0,2,5
2010-08-16,4,5,7
2010-08-17,2,13,4
2010-08-18,2,38,1
2010-08-19,1,17,5
2010-08-20,0,22,1
2010-08-21,0,3,0
2010-08-22,0,11,0
2010-08-23,0,9,0
2010-08-24,0,3,3
2010-08-25,1,8,3
2010-08-26,0,10,3
2010-08-27,3,16,2
2010-08-28,0,0,0
2010-08-29,0,0,0
2010-08-30,0,6,0
2010-08-31,1,20,0
2010-09-01,3,8,0
2010-09-02,1,8,1
2010-09-03,0,14,0
2010-09-04,0,6,0
2010-09-05,0,10,0
2010-09-06,0,24,0
2010-09-07,2,8,0
2010-09-08,2,54,2
2010-09-09,0,61,0
2010-09-10,0,11,0
2010-09-11,7,23,0
2010-09-12,5,1,0
2010-09-13,6,3,2
2010-09-14,0,29,0
2010-09-15,9,12,1
2010-09-16,1,19,2
2010-09-17,4,7,0
2010-09-18,0,2,0
2010-09-19,7,1,1
2010-09-20,2,6,0
2010-09-21,1,4,0
2010-09-22,5,1,2
2010-09-23,2,0,0
2010-09-24,10,0,1
2010-09-25,0,0,0
2010-09-26,0,0,0
2010-09-27,0,8,0
2010-09-28,2,10,0
2010-09-29,4,12,1
2010-09-30,3,7,2
2010-10-01,3,17,1
2010-10-02,0,0,2
2010-10-03,3,0,9
2010-10-04,4,12,5
2010-10-05,0,11,9
2010-10-06,2,19,3
2010-10-07,6,4,3
2010-10-08,4,7,4
2010-10-09,1,0,7
2010-10-10,6,0,0
2010-10-11,11,10,10
2010-10-12,4,7,3
2010-10-13,5,5,3
2010-10-14,3,4,8
2010-10-15,6,2,6
2010-10-16,9,0,4
2010-10-17,8,0,10
2010-10-18,1,10,8
2010-10-19,0,8,7
2010-10-20,1,21,12
2010-10-21,0,25,4
2010-10-22,0,10,3
2010-10-23,0,2,2
2010-10-24,9,24,2
2010-10-25,0,21,2
2010-10-26,0,15,7
2010-10-27,0,5,14
2010-10-28,0,3,7
2010-10-29,9,1,3
2010-10-30,5,4,8
2010-10-31,1,16,10
2010-11-01,0,49,27
2010-11-02,0,8,6
2010-11-03,0,15,3
2010-11-04,2,13,1
2010-11-05,0,8,0
2010-11-06,0,4,1
2010-11-07,0,30,3
2010-11-08,1,4,1
2010-11-09,3,7,5
2010-11-10,5,5,4
2010-11-11,0,4,0
2010-11-12,6,23,1
2010-11-13,12,19,2
2010-11-14,4,15,0
2010-11-15,1,15,10
2010-11-16,6,10,3
2010-11-17,13,7,4
2010-11-18,1,4,11
2010-11-19,2,9,10
2010-11-20,12,3,9
2010-11-21,3,3,1
2010-11-22,9,25,5
2010-11-23,8,11,1
2010-11-24,5,12,0
2010-11-25,5,16,8
2010-11-26,0,9,7
2010-11-27,23,14,1
2010-11-28,2,10,0
2010-11-29,5,7,6
2010-11-30,7,7,4
2010-12-01,1,17,3
2010-12-02,1,5,5
2010-12-03,3,8,6
2010-12-04,1,2,4
2010-12-05,3,5,13
2010-12-06,7,5,17
2010-12-07,1,12,5
2010-12-08,2,8,3
2010-12-09,5,11,1
2010-12-10,1,20,10
2010-12-11,0,3,9
2010-12-12,0,19,7
2010-12-13,0,11,3
2010-12-14,1,14,8
2010-12-15,0,2,3
2010-12-16,0,11,4
2010-12-17,0,7,1
2010-12-18,0,1,0
2010-12-19,1,0,4
2010-12-20,1,0,7
2010-12-21,0,3,4
2010-12-22,1,0,6
2010-12-23,0,0,9
2010-12-24,1,0,2
2010-12-25,0,0,0
2010-12-26,1,0,1
2010-12-27,2,0,2
2010-12-28,2,0,3
2010-12-29,0,0,7
2010-12-30,0,2,8
2010-12-31,9,0,7
2011-01-01,4,0,0
2011-01-02,1,5,0
2011-01-03,5,1,4
2011-01-04,6,1,9
