,etcd-io/etcd,hashicorp/consul,apache/zookeeper
2018-03-26,2.8163466508187507,4,3
2018-03-27,19.974043918296875,16,0
2018-03-28,-3.61793654682344,6,0
2018-03-29,2.964070095998439,11,0
2018-03-30,23.040977233601563,6,0
2018-03-31,-9.943210307757814,2,0
2018-04-01,5.1743737236734395,0,0
2018-04-02,23.047352064353127,3,0
2018-04-03,7.196382807421875,5,0
2018-04-04,5.073555679476563,2,0
2018-04-05,22.852830321817187,2,0
2018-04-06,-6.921430327789064,9,1
2018-04-07,-7.246956024049998,0,0
2018-04-08,-2.8717147872843736,2,0
2018-04-09,49.448665592860934,2,0
2018-04-10,-12.265009169781255,4,0
2018-04-11,19.966251555201563,9,0
2018-04-12,36.54812274657656,5,0
2018-04-13,-5.063921929990627,13,0
2018-04-14,-11.809054505807808,0,0
2018-04-15,-7.586875885643748,0,0
2018-04-16,-3.8278507967624984,3,2
2018-04-17,52.188785013707815,6,1
2018-04-18,-16.59591528193125,12,0
2018-04-19,-3.367304269348434,3,0
2018-04-20,19.66912355671875,4,0
2018-04-21,-12.359513943639065,2,0
2018-04-22,-4.390771424004686,0,0
2018-04-23,1.3120933335359384,3,1
2018-04-24,2.913266099485937,11,2
2018-04-25,25.365399297893745,2,1
2018-04-26,8.347249148667185,0,1
2018-04-27,8.541526905225002,4,1
2018-04-28,-10.54819144456875,0,0
2018-04-29,-4.100030493535936,0,0
2018-04-30,19.601013376984376,0,1
2018-05-01,16.71341371168906,0,0
2018-05-02,10.947425703976563,2,0
2018-05-03,-7.4315297580984385,0,0
2018-05-04,7.499317316453126,3,0
2018-05-05,-0.7178974957031254,0,0
2018-05-06,-6.781465962673437,0,0
2018-05-07,-2.674074688015624,4,0
2018-05-08,2.065864396157812,6,1
2018-05-09,17.35026150098906,3,2
2018-05-10,-7.284594535912502,22,3
2018-05-11,-3.7050705944328115,38,0
2018-05-12,-2.0427587576484374,3,0
2018-05-13,-1.405559545117188,0,0
2018-05-14,14.0916833578875,1,0
2018-05-15,-4.129281448015626,2,0
2018-05-16,6.610649391689063,11,1
2018-05-17,15.88221460800781,0,0
2018-05-18,14.091934105345311,0,0
2018-05-19,-9.735049663232813,1,0
2018-05-20,-4.240395687499998,0,0
2018-05-21,18.31262778125,4,1
2018-05-22,0.7553842122656231,3,1
2018-05-23,28.58529387099219,3,2
2018-05-24,-10.742298314123438,5,0
2018-05-25,1.189242423092189,7,0
2018-05-26,-5.404043783500001,0,0
2018-05-27,-1.779402953621875,0,0
2018-05-28,-2.94932676125,1,0
2018-05-29,12.001182546671874,0,1
2018-05-30,0.2415862024703106,2,2
2018-05-31,9.698900222857812,5,2
2018-06-01,-4.420429165945313,13,0
2018-06-02,-3.2225579725734366,0,0
2018-06-03,-1.8625170701281246,0,0
2018-06-04,0.7691345782359373,6,0
2018-06-05,13.471337666034374,4,0
2018-06-06,1.5686097477812488,0,0
2018-06-07,7.608608356646875,0,0
2018-06-08,4.350485938384375,4,1
2018-06-09,-5.560299218790625,0,0
2018-06-10,-2.564669801465624,0,0
2018-06-11,7.327880765,7,0
2018-06-12,-0.9373465772812501,27,0
2018-06-13,31.1804086558,7,0
2018-06-14,-4.825684125851563,316,0
2018-06-15,45.314860268682814,9,2
2018-06-16,-18.06773787645,1,0
2018-06-17,-7.976547644828121,0,0
2018-06-18,4.268915948750002,26,0
2018-06-19,-2.047303347140625,7,0
2018-06-20,-2.708009714392187,26,1
2018-06-21,-0.5090846259796886,11,0
2018-06-22,-0.2914946647750014,10,0
2018-06-23,-2.70176268819219,0,0
2018-06-24,-1.6244479673718757,0,0
2018-06-25,-0.6357503269828124,245,1
2018-06-26,5.525070479109375,31,1
2018-06-27,1.817324528842187,7,0
2018-06-28,-1.0428014952125002,7,0
2018-06-29,1.7913312019875003,7,0
2018-06-30,-1.5723553899953127,7,0
2018-07-01,-0.7542217396984372,6,0
2018-07-02,3.522771325,11,0
2018-07-03,5.4429251574999995,18,0
2018-07-04,-0.8035310080937506,10,2
2018-07-05,11.193192792290626,5,0
2018-07-06,-3.814232190946875,12,0
2018-07-07,-2.245232063529687,2,0
2018-07-08,-1.300740439698437,0,0
2018-07-09,5.1201518675,18,0
2018-07-10,1.5307047416874995,17,4
2018-07-11,-1.365756680290625,14,2
2018-07-12,-1.4735627474109374,44,0
2018-07-13,-0.8364964181687504,10,2
2018-07-14,-0.5909325887921878,0,0
2018-07-15,-0.3123120882328125,0,0
2018-07-16,-0.23658734250000002,5,1
2018-07-17,1.8056297419062497,4,1
2018-07-18,0.2360353797906246,11,1
2018-07-19,6.419789630303125,5,4
2018-07-20,7.662416586767187,7,1
2018-07-21,3.125175,0,0
2018-07-22,-0.6661029999999997,0,0
2018-07-23,8.412580525000001,2,0
2018-07-24,5.29763784,4,0
2018-07-25,-5.125516744781249,17,0
2018-07-26,-0.44158233448124884,13,0
2018-07-27,1.796792544407812,2,5
2018-07-28,3.4050576859640618,0,3
2018-07-29,-1.1961349584375007,0,0
2018-07-30,-2.132377679176562,11,1
2018-07-31,-1.192057361620313,1,0
2018-08-01,-0.8336024382171883,0,1
2018-08-02,1.4744813701718749,6,0
2018-08-03,-0.9067082035312501,1,1
2018-08-04,-0.4609790610281251,0,0
2018-08-05,-0.30650850102500027,0,0
2018-08-06,9.806421087071875,2,3
2018-08-07,1.9133926735343745,3,0
2018-08-08,3.4034382750000005,3,2
2018-08-09,-0.9579145474999997,2,0
2018-08-10,9.03912156646875,4,0
2018-08-11,-2.3921818264656256,0,0
2018-08-12,-2.496384874999999,0,0
2018-08-13,0.5708764500000005,0,0
2018-08-14,0.3865332885937496,7,1
2018-08-15,3.4072291663437495,2,0
2018-08-16,-0.3456219017578128,6,0
2018-08-17,1.307329350821875,5,3
2018-08-18,1.2130092416124998,0,0
2018-08-19,-0.8219857040921876,0,0
2018-08-20,-0.13406934896562483,2,0
2018-08-21,-0.94950029353125,0,1
2018-08-22,1.425583396253125,0,0
2018-08-23,3.9968692047062495,2,0
2018-08-24,-1.0062676584453127,4,0
2018-08-25,1.8713300894875,0,0
2018-08-26,-1.5134435262453128,0,0
2018-08-27,-0.7103372302140623,5,0
2018-08-28,2.5567143950015625,6,0
2018-08-29,35.78188997676719,6,1
2018-08-30,-6.653981414781251,2,0
2018-08-31,-3.7588502715437473,1,0
2018-09-01,-1.5876531041796862,0,0
2018-09-02,-2.7438868135296874,0,0
2018-09-03,0.25994542280156274,0,1
2018-09-04,1.1338100162500002,4,1
2018-09-05,-2.1152190915468756,5,3
2018-09-06,6.737022646223436,6,0
2018-09-07,-1.3252711459421889,8,2
2018-09-08,-1.7575130471953122,1,0
2018-09-09,-0.8806427349968747,0,0
2018-09-10,0.42477603853437507,4,2
2018-09-11,-0.7067122547812501,9,1
2018-09-12,2.5745156232374997,12,2
2018-09-13,2.8015298453015625,19,0
2018-09-14,1.2799092183749998,2,3
2018-09-15,-0.6686409893937499,0,0
2018-09-16,-0.023935188965624743,0,0
2018-09-17,1.1477319762500002,3,1
2018-09-18,-0.08958780426562507,1,0
2018-09-19,3.137598065517188,0,0
2018-09-20,1.3128154172031248,4,0
2018-09-21,7.326044959489062,3,0
2018-09-22,-3.496804939478125,0,2
2018-09-23,0.5639837947859381,0,0
2018-09-24,1.5344759600015627,3,0
2018-09-25,0.2819591794859375,2,0
2018-09-26,-1.49019747573125,4,0
2018-09-27,-0.8123148640453124,0,0
2018-09-28,1.4284927330218748,1,1
2018-09-29,9.000311834410937,0,0
2018-09-30,-3.499448354095313,0,0
2018-10-01,2.6958130202187505,13,1
2018-10-02,5.0119634757375,6,0
2018-10-03,-1.053569173229688,4,0
2018-10-04,2.0560689485343757,4,1
2018-10-05,-1.2578731724999996,4,2
2018-10-06,-1.4603446710312498,0,0
2018-10-07,3.0895758058781246,0,0
2018-10-08,9.145780235171875,5,2
2018-10-09,1.8781869916874996,3,0
2018-10-10,4.480771082209375,25,0
2018-10-11,-0.07109728366093737,22,0
2018-10-12,-0.06729946727812486,0,2
2018-10-13,-2.5272315696968746,0,0
2018-10-14,2.601876504267188,0,0
2018-10-15,1.8113659466874998,0,1
2018-10-16,-2.3883365798531253,1,1
2018-10-17,-0.23662023615468764,1,0
2018-10-18,0.9471641039781247,1,1
2018-10-19,-1.2135769941750003,29,1
2018-10-20,-0.583468253228125,0,0
2018-10-21,-0.3688652846984375,0,0
2018-10-22,7.7506187879374995,1,0
2018-10-23,-2.600561882493751,0,0
2018-10-24,2.0401473483187504,11,1
2018-10-25,3.570208735734375,5,0
2018-10-26,-1.1816368467640626,8,0
2018-10-27,-0.2684288264656247,0,0
2018-10-28,-0.009234399999999754,0,0
2018-10-29,0.09386855999999999,5,0
2018-10-30,-0.8501200716250004,3,0
2018-10-31,6.4836738103875,8,0
2018-11-01,-2.3950801315468757,1,0
2018-11-02,-0.9672547097765622,3,0
2018-11-03,-0.5722521691796875,0,0
2018-11-04,-0.35283576624843754,0,0
2018-11-05,-0.25645915374843753,4,2
2018-11-06,-0.19242616749843755,4,1
2018-11-07,-0.14628432948281256,10,2
2018-11-08,-0.11113701735937531,3,0
2018-11-09,3.9049161073703123,4,0
2018-11-10,0.7999999999999998,3,0
2018-11-11,1.9800000000000002,0,0
2018-11-12,1.6520000000000001,4,1
2018-11-13,-1.4946499999999998,8,0
2018-11-14,2.3072940000000006,4,0
2018-11-15,5.6484485499999995,7,0
2018-11-16,-0.7470390700000005,9,0
2018-11-17,-1.7739247520624994,0,2
2018-11-18,-0.9597889952124998,0,0
2018-11-19,-0.6209670480125,1,0
2018-11-20,3.553410272504687,5,0
2018-11-21,-1.5200285984484379,0,1
2018-11-22,-0.6468927915468748,0,1
2018-11-23,1.572198195442187,0,1
2018-11-24,1.112512673839062,0,0
2018-11-25,-0.9560478264656249,0,0
2018-11-26,0.5778765500000003,7,0
2018-11-27,-0.575154095,4,4
2018-11-28,1.6917276329375,1,1
2018-11-29,-0.8198358779312501,7,0
2018-11-30,-0.33463877249999985,1,0
2018-12-01,-0.21838823103125005,1,0
2018-12-02,-0.16252612249687515,0,0
2018-12-03,4.894435399784375,0,0
2018-12-04,-1.5624384417656252,2,0
2018-12-05,5.423502039267188,2,0
2018-12-06,8.87074656646875,3,1
2018-12-07,-4.157979326465625,5,1
2018-12-08,-1.660601249999999,2,0
2018-12-09,-1.0118793124999996,0,1
2018-12-10,1.28510463125,0,1
2018-12-11,-1.1459915088281254,3,2
2018-12-12,0.3522498038359376,13,0
2018-12-13,-0.7227903118437502,0,0
2018-12-14,-0.44146936381875057,0,0
2018-12-15,0.7316419544390623,0,1
2018-12-16,-0.38672422500000003,0,0
2018-12-17,6.8273652025,4,0
2018-12-18,-0.21453429603125063,1,0
2018-12-19,-1.4212866002156246,4,0
2018-12-20,-0.6720969667656247,3,4
2018-12-21,1.5629982242671876,0,0
2018-12-22,-0.90732402375,0,0
2018-12-23,-0.4482832542656249,0,1
2018-12-24,2.6881539455171874,0,0
2018-12-25,-1.1293765648593754,0,0
2018-12-26,-0.5012778261609375,0,0
2018-12-27,-0.25222855146562495,0,0
2018-12-28,1.8415979525,0,0
2018-12-29,-0.7209141835312501,0,0
2018-12-30,0.6929905860343751,0,0
2018-12-31,-0.47587182125,0,0
2019-01-01,1.767044849703125,0,0
2019-01-02,0.2403092603015624,0,4
2019-01-03,2.403275775,7,3
2019-01-04,0.8083652025000001,15,0
2019-01-05,0.8901407039687501,0,0
2019-01-06,-1.1342271002156248,0,0
2019-01-07,3.458353808234375,13,4
2019-01-08,10.436735426767187,11,1
2019-01-09,2.71968120521875,2,1
2019-01-10,-3.80391758948125,14,0
2019-01-11,1.2446601639703134,4,0
2019-01-12,-2.027749220729688,0,0
2019-01-13,-1.1048242099968748,0,0
2019-01-14,7.2310919785343755,2,5
2019-01-15,-1.9744476895625005,4,0
2019-01-16,-0.6067159203687502,6,2
2019-01-17,0.7750194363468745,2,0
2019-01-18,-0.23775571387968775,4,2
2019-01-19,-0.8950546502968749,1,0
2019-01-20,-0.5208798896984375,0,0
2019-01-21,3.6555156975000003,0,0
2019-01-22,5.531145129624999,16,1
2019-01-23,-2.7397832713781254,18,1
2019-01-24,2.936344460001563,5,1
2019-01-25,-0.8414441205140626,9,2
2019-01-26,-1.1630620432312497,0,0
2019-01-27,-0.6577486132328123,0,0
2019-01-28,-0.4589451324999999,17,0
2019-01-29,-0.3552512833125002,7,5
2019-01-30,1.7116856297093745,3,4
2019-01-31,-0.7941938501296878,1,4
2019-02-01,1.7075358591874998,6,0
2019-02-02,2.210789630303125,0,1
2019-02-03,-0.2039084132328126,0,0
