,electron/electron,AvaloniaUI/Avalonia,nwjs/nw.js
2018-05-18,12,16,1.9395383739687502
2018-05-19,0,1,-0.24903120507187504
2018-05-20,0,4,-0.11632402499999998
2018-05-21,15,7,-0.07918739249999998
2018-05-22,3,4,0.9395383739687502
2018-05-23,14,7,3.850968794928125
2018-05-24,13,14,-0.4713240250000003
2018-05-25,6,11,-0.2306873925000001
2018-05-26,0,4,-0.15379912603124996
2018-05-27,0,22,-0.1155644550718746
2018-05-28,1,13,-0.07762901249999975
2018-05-29,24,12,-0.06374174624999981
2018-05-30,2,4,2.946056901984375
2018-05-31,2,12,-0.34667210459843767
2018-06-01,2,10,-0.16859541014375
2018-06-02,1,4,-0.08550000000000006
2018-06-03,1,0,-0.06198749999999977
2018-06-04,0,5,0.9516497500000002
2018-06-05,0,11,1.8605139625
2018-06-06,0,18,-0.2782810887500001
2018-06-07,2,8,-0.147204939046875
2018-06-08,0,3,1.8971409423921877
2018-06-09,0,4,-0.25744174999999997
2018-06-10,1,10,-0.13539551249999993
2018-06-11,2,2,-0.09441772124999993
2018-06-12,1,1,-0.07308070551562476
2018-06-13,2,8,-0.059768978567187325
2018-06-14,5,8,5.956878269928125
2018-06-15,2,1,-0.6221873925000004
2018-06-16,5,7,0.7108633739687499
2018-06-17,7,17,0.7122022949281248
2018-06-18,16,4,-0.26897499999999963
2018-06-19,234,9,-0.17020049999999975
2018-06-20,16,20,-0.12813457499999972
2018-06-21,12,8,0.8966585725000004
2018-06-22,11,16,-0.18668864059374984
2018-06-23,1,8,-0.11964882396562482
2018-06-24,0,2,0.950837990734375
2018-06-25,1,11,1.8613703344484376
2018-06-26,8,16,-0.26951560253593765
2018-06-27,12,5,-0.13166201250000004
2018-06-28,7,9,1.9112438037500001
2018-06-29,8,30,-0.26701006301562497
2018-06-30,1,12,-0.1437943650359374
2018-07-01,0,0,-0.09441772124999993
2018-07-02,1,3,0.9269192944843753
2018-07-03,3,19,-0.15976897856718741
2018-07-04,0,8,-0.0881217300718749
2018-07-05,1,4,0.9493126075
2018-07-06,9,3,-0.13979912603124997
2018-07-07,0,5,-0.07791445507187494
2018-07-08,0,1,-0.041662012499999984
2018-07-09,4,8,1.96824380375
2018-07-10,13,8,-0.2256850630156251
2018-07-11,15,3,0.8884391349640625
2018-07-12,16,0,3.83190630375
2018-07-13,11,0,-0.4958933130156252
2018-07-14,1,2,-0.24913235253593752
2018-07-15,1,1,-0.16098652499999994
2018-07-16,11,2,-0.12095414249999958
2018-07-17,13,6,1.9032343614687504
2018-07-18,7,13,-0.28053945132187497
2018-07-19,11,25,-0.1439430980156249
2018-07-20,12,35,-0.10367210459843743
2018-07-21,1,12,-0.07492041014374975
2018-07-22,0,7,-0.032233499999999894
2018-07-23,3,7,0.973675975
2018-07-24,4,3,-0.12218739250000002
2018-07-25,13,5,1.93586337396875
2018-07-26,5,12,-0.24529770507187515
2018-07-27,6,3,0.8893375
2018-07-28,0,1,-0.1731167500000001
2018-07-29,0,0,-0.09948701249999983
2018-07-30,13,2,-0.07182719624999988
2018-07-31,7,2,-0.056554838015624824
2018-08-01,8,10,-0.04670299503593736
2018-08-02,1,6,1.9677013614687502
2018-08-03,9,12,-0.2278914013218751
2018-08-04,1,0,-0.09956831301562505
2018-08-05,0,4,-0.06539885253593752
2018-08-06,1,1,-0.04132499999999985
2018-08-07,1,0,-0.032233499999999894
2018-08-08,3,0,-0.02632402499999992
2018-08-09,4,0,-0.022187392499999934
2018-08-10,8,0,-0.01913662603124995
2018-08-11,2,2,0.983202294928125
2018-08-12,3,1,-0.10000000000000009
2018-08-13,8,18,0.955
2018-08-14,8,13,-0.12850000000000011
2018-08-15,7,3,-0.06566249999999996
2018-08-16,26,8,2.95538325
2018-08-17,21,9,-0.33382451250000017
2018-08-18,2,5,0.83778955375
2018-08-19,8,1,-0.2082303255156251
2018-08-20,6,4,1.8735199512140628
2018-08-21,11,2,-0.286418563015625
2018-08-22,4,5,-0.15854739003593737
2018-08-23,5,0,-0.10639783874999989
2018-08-24,10,2,-0.08319195154687473
2018-08-25,1,6,6.9314762461421875
2018-08-26,2,2,-0.7358923380156255
2018-08-27,8,7,0.6544137549640623
2018-08-28,9,5,0.6813633739687498
2018-08-29,7,4,-0.30643520507187455
2018-08-30,1,4,1.8136827500000003
2018-08-31,10,1,3.6587034125
2018-09-01,2,10,-0.6044351237500001
2018-09-02,1,8,-0.3332569536093749
2018-09-03,2,7,0.7616273234984378
2018-09-04,5,6,0.7644544907343753
2018-09-05,7,13,2.7462418094484375
2018-09-06,6,31,-0.45673429503593754
2018-09-07,7,15,-0.24767391103124986
2018-09-08,1,35,-0.17735020713437477
2018-09-09,5,13,-0.12486167264374959
2018-09-10,8,7,-0.07260595874999977
2018-09-11,53,9,2.939851953234375
2018-09-12,19,15,1.6487517456984373
2018-09-13,15,10,-0.3721037915828127
2018-09-14,15,9,-0.20069655760781258
2018-09-15,4,15,-0.11898749999999982
2018-09-16,1,16,-0.08967524999999969
2018-09-17,4,2,-0.07171953749999978
2018-09-18,7,6,1.9403948862500002
2018-09-19,15,0,0.7491076684531249
2018-09-20,15,0,-0.23433318363906253
2018-09-21,17,1,-0.11879770507187504
2018-09-22,2,0,-0.06982499999999987
2018-09-23,1,19,-0.05289599999999982
2018-09-24,7,24,-0.04244077499999987
2018-09-25,7,1,5.964650595
2018-09-26,7,5,1.3697696777187496
2018-09-27,8,6,0.5036339819124998
2018-09-28,37,7,1.6306011474640623
2018-09-29,25,5,-0.42597499999999977
2018-09-30,1,2,-0.25652549999999963
2018-10-01,8,10,-0.18886807499999964
2018-10-02,12,11,-0.15032795249999953
2018-10-03,61,13,2.8750072169062504
2018-10-04,22,42,0.593052537503125
2018-10-05,15,2,-0.28355341058750005
2018-10-06,8,4,-0.15803547856718753
2018-10-07,1,9,-0.10728520507187475
2018-10-08,4,10,-0.06901274999999976
2018-10-09,93,18,-0.055602787499999834
2018-10-10,30,10,-0.04644310124999986
2018-10-11,10,13,0.9602013647031251
2018-10-12,6,7,1.8652351293765626
2018-10-13,7,4,-0.2533988525359377
2018-10-14,2,0,0.8815
2018-10-15,1,9,1.8223375
2018-10-16,6,17,3.69755825
2018-10-17,8,17,2.4361044874999997
2018-10-18,9,12,0.40491977874999974
2018-10-19,14,1,1.561802544484375
2018-10-20,0,2,-0.4860809910671873
2018-10-21,1,36,-0.2991699263218745
2018-10-22,6,15,0.7895834944843754
2018-10-23,8,30,0.7311619489328129
2018-10-24,9,17,2.721252441615625
2018-10-25,7,12,1.526781929559375
2018-10-26,5,57,-0.44111476312343756
2018-10-27,0,15,2.7601852714328126
2018-10-28,0,28,-0.46506396757187496
2018-10-29,4,56,0.7510690412500003
2018-10-30,5,22,0.7221184532343752
2018-10-31,8,9,-0.2845597793015622
2018-11-01,4,0,1.8188585659171879
2018-11-02,3,20,0.6670182788609376
2018-11-03,0,4,0.7231419561781252
2018-11-04,0,3,-0.259983701546875
2018-11-05,6,5,1.8357227336421877
2018-11-06,9,9,-0.302058009265625
2018-11-07,4,14,0.8289295594484377
2018-11-08,14,16,1.7831349924640625
2018-11-09,5,7,-0.3297173347812499
2018-11-10,3,8,1.8118067856625002
2018-11-11,0,9,-0.32195369055156253
2018-11-12,6,8,1.8219720049640626
2018-11-13,3,3,0.6784678614687499
2018-11-14,6,18,-0.2855404263218748
2018-11-15,3,6,2.8340107944843753
2018-11-16,1,8,3.5763154964328123
2018-11-17,1,20,10.373118902428125
2018-11-18,0,10,0.572922598968749
2018-11-19,7,29,-0.9231346100718753
2018-11-20,8,9,0.4352694277187502
2018-11-21,8,2,2.485393444412501
2018-11-22,1,6,1.3420627587140632
2018-11-23,0,6,-0.6135953615468746
2018-11-24,0,8,-0.40798699342031197
2018-11-25,1,7,3.703861504184376
2018-11-26,3,5,1.3856387335734377
2018-11-27,9,4,-0.479610938821875
2018-11-28,12,10,2.726826573234375
2018-11-29,6,2,3.5010588159171876
2018-11-30,7,7,2.3148748163609376
2018-12-01,1,17,1.3328207449281249
2018-12-02,1,5,0.41831369000000007
2018-12-03,72,0,-0.4669608945624996
2018-12-04,11,4,-0.3206725736749994
2018-12-05,8,7,2.7790979061781256
2018-12-06,3,6,-0.46546176154687474
2018-12-07,2,8,-0.2741916734203122
2018-12-08,0,10,-0.1831497541906248
2018-12-09,0,9,3.882585620110938
2018-12-10,5,15,0.5252837319124999
2018-12-11,6,2,2.6721151099640625
2018-12-12,3,1,-0.4922810887500003
2018-12-13,5,4,0.7251450609531253
2018-12-14,5,1,1.7041739423921878
2018-12-15,0,1,-0.3757522999999998
2018-12-16,0,2,-0.22438704749999977
2018-12-17,5,2,-0.16651548581249973
2018-12-18,5,0,1.8661134380906255
2018-12-19,7,0,1.7175006959171877
2018-12-20,4,1,0.6473857211421874
2018-12-21,1,8,3.721244294484375
2018-12-22,1,0,3.429139521432812
2018-12-23,0,0,1.3011437949281248
2018-12-24,0,0,3.4267799749999996
2018-12-25,0,0,-0.7512781675
2018-12-26,0,0,1.5613969689687504
2018-12-27,0,1,4.480531922646875
2018-12-28,1,3,3.1717276469125
2018-12-29,0,5,1.1361620854015624
2018-12-30,0,2,-0.7105291047062499
2018-12-31,0,4,-0.43665282117499943
2019-01-01,0,0,-0.30162873213437424
2019-01-02,2,1,2.7726151348562507
2019-01-03,4,3,3.54051334271875
2019-01-04,11,0,3.32966191985
2019-01-05,2,4,0.23204509275781227
2019-01-06,0,4,2.491280463825
2019-01-07,11,0,0.39320204492812505
2019-01-08,10,2,3.5498969625000005
2019-01-09,8,13,1.29844136125
2019-01-10,11,17,4.387667975953125
2019-01-11,8,5,-0.8940193571703126
2019-01-12,5,5,0.4967848540437505
2019-01-13,0,4,1.5621011755906253
2019-01-14,1,4,0.518608462167188
2019-01-15,4,8,1.5954525693765629
2019-01-16,3,21,7.542667940401563
2019-01-17,5,18,0.9158577325749997
2019-01-18,11,25,1.2523027173499999
2019-01-19,0,12,4.345146266070312
2019-01-20,2,2,-0.8894512180156247
2019-01-21,5,4,2.482787800182813
2019-01-22,74,0,1.3300919894125003
2019-01-23,6,7,0.3868449264328131
2019-01-24,4,9,-0.4979393766968746
2019-01-25,5,5,1.6616875986812507
2019-01-26,1,7,-0.40957806235312466
2019-01-27,0,2,-0.24702130764999958
2019-01-28,2,0,-0.1747161264296872
2019-01-29,5,4,0.8946206559531253
2019-01-30,8,3,-0.18766037988906234
2019-01-31,10,2,3.9023099569125
2019-02-01,7,8,-0.45908624503593776
2019-02-02,0,1,-0.21979912603125001
2019-02-03,0,1,-0.146914455071875
2019-02-04,7,1,-0.09581201249999965
2019-02-05,11,0,-0.07556069624999975
2019-02-06,17,0,-0.06221636301562482
2019-02-07,10,4,0.9472263624640627
2019-02-08,13,0,1.8617267479375
2019-02-09,1,4,-0.2785954101437501
2019-02-10,1,6,-0.11850000000000009
2019-02-11,16,2,-0.07766249999999997
2019-02-12,11,4,-0.05744174999999979
2019-02-13,14,7,-0.04539551249999985
2019-02-14,67,7,0.9625822787500001
2019-02-15,5,15,0.868244294484375
2019-02-16,2,0,-0.17253547856718754
2019-02-17,1,9,-0.09029770507187501
2019-02-18,5,4,1.9508375
2019-02-19,6,18,0.7632207499999999
2019-02-20,2,6,-0.21927876250000006
2019-02-21,3,13,0.87374429125
2019-02-22,0,11,-0.1904870092656249
2019-02-23,2,4,-0.11586316555156231
2019-02-24,0,0,-0.07933962753593737
2019-02-25,3,1,1.9439880950000001
2019-02-26,12,10,-0.24634707228125002
2019-02-27,11,2,0.8704719694125
2019-02-28,4,3,0.8235074512140624
2019-03-01,5,11,3.804106686984375
2019-03-02,1,16,0.4858676474640622
2019-03-03,0,0,-0.3554865250000001
2019-03-04,1,7,1.7820333575
