,godotengine/godot,MonoGame/MonoGame,4ian/GDevelop
2017-10-10,20,0,0
2017-10-11,28,0,0
2017-10-12,17,2,3
2017-10-13,28,4,0
2017-10-14,29,0,1
2017-10-15,33,8,8
2017-10-16,17,0,0
2017-10-17,18,0,1
2017-10-18,11,0,1
2017-10-19,12,0,0
2017-10-20,40,0,0
2017-10-21,37,0,3
2017-10-22,47,0,14
2017-10-23,34,0,0
2017-10-24,19,0,4
2017-10-25,13,0,0
2017-10-26,12,1,2
2017-10-27,19,0,0
2017-10-28,13,0,3
2017-10-29,26,0,0
2017-10-30,28,2,0
2017-10-31,29,0,2
2017-11-01,17,0,3
2017-11-02,8,1,6
2017-11-03,11,0,1
2017-11-04,16,0,0
2017-11-05,16,0,5
2017-11-06,15,0,2
2017-11-07,12,0,3
2017-11-08,20,1,4
2017-11-09,28,1,2
2017-11-10,36,1,0
2017-11-11,14,1,3
2017-11-12,29,0,6
2017-11-13,43,0,0
2017-11-14,17,1,2
2017-11-15,18,1,2
2017-11-16,28,1,1
2017-11-17,22,0,0
2017-11-18,14,0,2
2017-11-19,64,0,9
2017-11-20,71,0,1
2017-11-21,39,3,2
2017-11-22,22,1,1
2017-11-23,13,4,0
2017-11-24,34,2,3
2017-11-25,26,0,0
2017-11-26,44,2,1
2017-11-27,17,2,5
2017-11-28,15,2,1
2017-11-29,18,0,0
2017-11-30,14,0,0
2017-12-01,17,1,0
2017-12-02,6,0,0
2017-12-03,10,1,3
2017-12-04,23,1,2
2017-12-05,25,0,2
2017-12-06,56,0,4
2017-12-07,35,0,0
2017-12-08,22,0,0
2017-12-09,66,0,6
2017-12-10,50,0,2
2017-12-11,24,0,1
2017-12-12,13,1,2
2017-12-13,18,1,0
2017-12-14,25,1,0
2017-12-15,46,0,3
2017-12-16,46,0,10
2017-12-17,56,0,3
2017-12-18,19,0,0
2017-12-19,26,0,1
2017-12-20,24,0,3
2017-12-21,17,0,0
2017-12-22,15,0,1
2017-12-23,15,0,9
2017-12-24,14,1,13
2017-12-25,26,0,5
2017-12-26,24,0,3
2017-12-27,25,0,0
2017-12-28,11,0,0
2017-12-29,12,1,0
2017-12-30,8,0,0
2017-12-31,16,0,0
2018-01-01,18,0,0
2018-01-02,10,0,0
2018-01-03,49,0,0
2018-01-04,57,0,3
2018-01-05,30,1,1
2018-01-06,39,0,2
2018-01-07,32,0,1
2018-01-08,40,0,0
2018-01-09,21,0,19
2018-01-10,25,2,2
2018-01-11,36,0,0
2018-01-12,37,2,0
2018-01-13,34,0,2
2018-01-14,17,0,1
2018-01-15,19,1,0
2018-01-16,12,0,5
2018-01-17,8,0,5
2018-01-18,41,0,5
2018-01-19,17,0,0
2018-01-20,17,2,8
2018-01-21,14,0,3
2018-01-22,19,0,6
2018-01-23,7,0,0
2018-01-24,22,0,1
2018-01-25,16,0,0
2018-01-26,10,0,0
2018-01-27,12,1,5
2018-01-28,3,1,1
2018-01-29,5,0,1
2018-01-30,21,6,2
2018-01-31,18,0,0
2018-02-01,21,0,0
2018-02-02,10,0,0
2018-02-03,11,0,8
2018-02-04,6,0,2
2018-02-05,12,0,1
2018-02-06,4,0,1
2018-02-07,7,0,0
2018-02-08,2,1,0
2018-02-09,4,0,0
2018-02-10,2,0,2
2018-02-11,4,0,6
2018-02-12,11,4,0
2018-02-13,29,0,2
2018-02-14,59,4,0
2018-02-15,15,0,2
2018-02-16,17,5,0
2018-02-17,22,0,9
2018-02-18,14,0,4
2018-02-19,54,0,0
2018-02-20,26,1,1
2018-02-21,30,38,0
2018-02-22,27,0,0
2018-02-23,12,9,3
2018-02-24,25,2,4
2018-02-25,12,0,14
2018-02-26,7,2,0
2018-02-27,18,0,9
2018-02-28,10,0,1
2018-03-01,25,3,0
2018-03-02,28,0,0
2018-03-03,20,7,0
2018-03-04,12,1,0
2018-03-05,9,0,0
2018-03-06,17,5,0
2018-03-07,11,1,0
2018-03-08,4,1,0
2018-03-09,10,1,0
2018-03-10,12,1,6
2018-03-11,8,2,5
2018-03-12,2,0,1
2018-03-13,68,0,0
2018-03-14,11,1,0
2018-03-15,30,2,1
2018-03-16,11,0,0
2018-03-17,7,0,2
2018-03-18,12,4,0
2018-03-19,12,5,0
2018-03-20,12,0,0
2018-03-21,13,0,0
2018-03-22,6,4,0
2018-03-23,21,2,0
2018-03-24,8,0,0
2018-03-25,2,0,2
2018-03-26,8,0,0
2018-03-27,11,3,0
2018-03-28,14,1,0
2018-03-29,9,0,5
2018-03-30,16,2,9
2018-03-31,2,0,6
2018-04-01,3,0,4
2018-04-02,6,0,3
2018-04-03,38,0,6
2018-04-04,24,0,8
2018-04-05,9,0,1
2018-04-06,12,0,0
2018-04-07,19,1,0
2018-04-08,27,0,6
2018-04-09,23,0,1
2018-04-10,23,0,3
2018-04-11,11,0,0
2018-04-12,22,0,0
2018-04-13,10,0,12
2018-04-14,3,0,1
2018-04-15,9,2,3
2018-04-16,17,0,1
2018-04-17,7,0,0
2018-04-18,23,0,0
2018-04-19,11,0,0
2018-04-20,7,0,1
2018-04-21,6,0,0
2018-04-22,7,0,0
2018-04-23,7,0,10
2018-04-24,8,0,15
2018-04-25,5,1,4
2018-04-26,6,0,5
2018-04-27,9,0,4
2018-04-28,13,0,2
2018-04-29,14,0,0
2018-04-30,26,0,3
2018-05-01,29,0,0
2018-05-02,22,0,6
2018-05-03,21,0,0
2018-05-04,17,0,5
2018-05-05,17,0,2
2018-05-06,6,2,0
2018-05-07,57,0,0
2018-05-08,42,1,0
2018-05-09,21,1,2
2018-05-10,23,0,0
2018-05-11,25,0,1
2018-05-12,17,1,0
2018-05-13,18,2,0
2018-05-14,14,1,0
2018-05-15,20,2,0
2018-05-16,44,1,0
2018-05-17,26,0,0
2018-05-18,18,0,0
2018-05-19,6,0,0
2018-05-20,5,0,0
2018-05-21,13,0,2
2018-05-22,5,0,2
2018-05-23,17,0,4
2018-05-24,8,0,2
2018-05-25,21,0,9
2018-05-26,23,0,4
2018-05-27,12,0,14
2018-05-28,17,0,5
2018-05-29,15,0,5
2018-05-30,17,0,0
2018-05-31,10,1,0
2018-06-01,6,0,0
2018-06-02,0,0,0
2018-06-03,6,0,0
2018-06-04,1,0,1
2018-06-05,19,1,0
2018-06-06,9,6,0
2018-06-07,23,0,0
2018-06-08,16,0,0
2018-06-09,7,0,1
2018-06-10,6,1,4
2018-06-11,8,1,8
2018-06-12,7,0,4
2018-06-13,23,1,1
2018-06-14,5,0,2
2018-06-15,18,0,0
2018-06-16,3,0,7
2018-06-17,1,0,5
2018-06-18,23,3,2
2018-06-19,6,0,0
2018-06-20,7,0,2
2018-06-21,7,0,1
2018-06-22,9,0,0
2018-06-23,4,0,15
2018-06-24,4,1,1
2018-06-25,19,0,4
2018-06-26,13,0,0
2018-06-27,10,0,1
2018-06-28,7,3,4
2018-06-29,5,0,1
2018-06-30,6,1,0
2018-07-01,17,0,1
2018-07-02,10,8,0
2018-07-03,47,8,3
2018-07-04,35,0,4
2018-07-05,11,0,1
2018-07-06,2,0,2
2018-07-07,4,0,0
2018-07-08,6,1,2
2018-07-09,7,0,1
