,apolloauto/apollo,commaai/openpilot,carla-simulator/carla
2022-01-01,-0.17692313600000006,5,0
2022-01-02,-0.13723607040000002,8,0
2022-01-03,-0.07807487999999999,11,0
2022-01-04,-0.06383769599999997,40,0
2022-01-05,-0.053550182399999986,13,0
2022-01-06,-0.012798156799999997,8,0
2022-01-07,0.0,8,0
2022-01-08,0.0,2,0
2022-01-09,0.0,2,0
2022-01-10,0.0,16,0
2022-01-11,0.0,7,7
2022-01-12,0.0,11,0
2022-01-13,0.0,13,0
2022-01-14,1.0,22,0
2022-01-15,-0.3999999999999999,3,0
2022-01-16,-0.12,2,0
2022-01-17,-0.064,8,0
2022-01-18,-0.04160000000000005,9,0
2022-01-19,-0.029952000000000017,8,0
2022-01-20,-0.022963200000000007,6,0
2022-01-21,-0.018370559999999994,5,0
2022-01-22,-0.015155711999999993,6,0
2022-01-23,-0.012798156799999997,0,0
2022-01-24,0.0,7,0
2022-01-25,0.0,12,0
2022-01-26,0.0,8,0
2022-01-27,0.0,16,0
2022-01-28,0.0,15,0
2022-01-29,0.0,3,0
2022-01-30,0.0,7,0
2022-01-31,0.0,5,0
2022-02-01,0.0,4,0
2022-02-02,0.0,2,0
2022-02-03,0.0,5,7
2022-02-04,0.0,1,0
2022-02-05,0.0,5,0
2022-02-06,0.0,5,0
2022-02-07,0.0,4,0
2022-02-08,0.0,4,16
2022-02-09,0.0,6,0
2022-02-10,0.0,9,0
2022-02-11,0.0,11,0
2022-02-12,0.0,1,0
2022-02-13,0.0,1,0
2022-02-14,1.0,3,0
2022-02-15,-0.3999999999999999,5,0
2022-02-16,-0.12,6,0
2022-02-17,0.9359999999999999,4,0
2022-02-18,2.5584000000000002,2,3
2022-02-19,-1.3499519999999998,4,0
2022-02-20,-0.4469632,5,0
2022-02-21,5.74802944,9,0
2022-02-22,-0.5699077119999996,10,0
2022-02-23,2.3543826432,13,0
2022-02-24,-2.31126016,4,0
2022-02-25,0.07213260799999976,3,0
2022-02-26,-0.9771772928000001,1,0
2022-02-27,1.4775223295999997,2,0
2022-02-28,-1.13995776,8,0
2022-03-01,0.4988718080000001,2,0
2022-03-02,-0.7385346047999999,8,0
2022-03-03,-0.31238236160000005,5,1
2022-03-04,-0.19346718720000003,1,0
2022-03-05,-0.10268211200000005,3,0
2022-03-06,0.9205087232,1,0
2022-03-07,1.5467253760000002,9,1
2022-03-08,-0.9639668735999998,5,1
2022-03-09,1.680844288,5,0
2022-03-10,-0.9823981567999999,3,15
2022-03-11,0.6468479999999999,6,0
2022-03-12,0.38913280000000006,2,0
2022-03-13,4.33250304,2,0
2022-03-14,-1.2958008319999994,14,0
2022-03-15,5.8053640192,2,0
2022-03-16,-2.3738894335999996,6,2
2022-03-17,-1.5952266240000001,10,0
2022-03-18,-0.8262900736000002,7,0
2022-03-19,0.46650572799999956,4,0
2022-03-20,0.20596613119999996,3,0
2022-03-21,0.18235832320000012,4,0
2022-03-22,2.185296384,7,0
2022-03-23,-1.5628587007999997,6,0
2022-03-24,2.3997051903999997,3,0
2022-03-25,-1.4993133567999997,8,0
2022-03-26,0.4439142399999998,8,0
2022-03-27,-0.738345472,4,0
2022-03-28,0.6399859711999999,5,2
2022-03-29,-0.6369215488,2,0
2022-03-30,0.7112451071999999,11,0
2022-03-31,0.41254184960000007,6,3
2022-04-01,-0.6300303359999999,9,0
2022-04-02,-0.2707170304,3,0
2022-04-03,-0.14371891200000003,1,0
2022-04-04,-0.10272071680000006,6,1
2022-04-05,-0.06807091200000001,19,5
2022-04-06,3.9458680832,12,2
2022-04-07,2.3664737280000003,13,0
2022-04-08,-1.1079538687999997,2,0
2022-04-09,-1.1487981567999999,2,0
2022-04-10,-0.5424000000000002,1,0
2022-04-11,-0.35020800000000024,7,0
2022-04-12,0.7467391999999999,6,2
2022-04-13,3.4047129600000003,8,1
2022-04-14,-1.8770682879999996,6,5
2022-04-15,-0.6741860352,7,0
2022-04-16,-0.3639483392,4,0
2022-04-17,-0.2091501568000002,0,0
2022-04-18,-0.14277120000000007,8,0
2022-04-19,0.88977664,18,0
2022-04-20,1.511362048,19,1
2022-04-21,2.0065789952,8,0
2022-04-22,-1.5551926271999998,8,0
2022-04-23,0.47039999999999993,2,0
2022-04-24,4.294848,4,0
2022-04-25,0.6723328000000004,7,0
2022-04-26,-0.018152959999999663,9,16
2022-04-27,3.357613568,13,1
2022-04-28,-0.7681732607999998,7,0
2022-04-29,-1.8965866496000001,16,1
2022-04-30,-0.9046370304000002,4,0
2022-05-01,-0.5718021120000003,0,0
2022-05-02,0.5774252031999998,9,1
2022-05-03,0.27908096000000016,10,0
2022-05-04,0.27351490560000014,12,1
2022-05-05,0.2778840064000001,6,4
2022-05-06,-0.7199022079999999,15,0
2022-05-07,-0.28114831360000003,5,0
2022-05-08,-0.15851520000000008,1,0
2022-05-09,0.8871142399999999,9,1
2022-05-10,3.513558528,6,0
2022-05-11,1.2107123712000003,5,0
2022-05-12,-1.7903244287999998,20,0
2022-05-13,-0.6855538688,16,3
2022-05-14,-0.4011501568000002,5,0
2022-05-15,-0.26757120000000023,4,0
2022-05-16,0.79992064,20,1
2022-05-17,0.4424724480000001,14,3
2022-05-18,6.3514673152,13,1
2022-05-19,-1.0806597631999995,8,0
2022-05-20,-1.7839944703999997,7,0
2022-05-21,1.240448,3,0
2022-05-22,1.7278847999999998,1,0
2022-05-23,-0.7741977599999998,8,0
2022-05-24,0.857827328,11,1
2022-05-25,0.6023258112000001,9,0
2022-05-26,-1.4443332608,5,2
2022-05-27,-0.6652809216,6,0
2022-05-28,-0.3723790336000001,1,0
2022-05-29,-0.2514903040000001,0,0
2022-05-30,-0.19526440960000002,6,0
2022-05-31,-0.13621770239999997,3,0
2022-06-01,-0.07985070079999998,8,2
2022-06-02,0.9440922624,12,1
2022-06-03,1.5744036864000002,19,1
2022-06-04,2.08,6,0
2022-06-05,-0.5039999999999998,0,0
2022-06-06,0.07040000000000002,4,0
2022-06-07,4.174848,5,0
2022-06-08,-0.39166719999999966,9,0
2022-06-09,-0.65975296,11,0
2022-06-10,-0.15233843200000008,10,0
2022-06-11,-1.0071364608000002,10,0
2022-06-12,3.4706427904,8,0
2022-06-13,1.0477592576000003,14,0
2022-06-14,-0.9172850687999996,7,0
2022-06-15,1.8057669632,17,0
2022-06-16,1.1859640320000002,11,0
2022-06-17,-1.9277305856,11,0
2022-06-18,-0.8032626688000001,0,0
2022-06-19,-0.5019219968000002,8,0
2022-06-20,3.646646272,6,0
2022-06-21,-0.8737759231999997,14,40
2022-06-22,3.9424485376000002,13,1
2022-06-23,-1.4893769727999997,3,0
2022-06-24,-1.3142616064000001,8,0
2022-06-25,-0.6398024704000002,1,0
2022-06-26,-0.3938048000000003,0,0
2022-06-27,7.71219456,10,0
2022-06-28,1.5762385920000006,11,0
2022-06-29,3.8588356608000005,5,0
2022-06-30,0.9810527232000013,20,0
2022-07-01,-0.5719464959999998,12,3
2022-07-02,0.29158584320000003,2,0
2022-07-03,2.4953344,0,0
2022-07-04,0.76855552,3,0
2022-07-05,6.9595991040000005,6,0
2022-07-06,-3.4362297343999995,11,1
2022-07-07,5.115320832,19,0
2022-07-08,-4.6855269376,25,0
2022-07-09,-0.9031936000000005,9,0
2022-07-10,-0.5622872064000002,0,0
2022-07-11,-0.3299912704000003,6,0
2022-07-12,0.8221383680000001,13,8
2022-07-13,2.5512035328000002,19,0
2022-07-14,2.7191905280000004,9,0
2022-07-15,0.1506427904000005,4,0
2022-07-16,5.6871289856,0,0
2022-07-17,5.837206528,0,0
2022-07-18,-3.5720588287999995,2,0
2022-07-19,5.0568922112,20,1
2022-07-20,-4.734063820799999,8,1
2022-07-21,0.009422438399999455,16,13
2022-07-22,5.9394915328,10,10
2022-07-23,-3.3187584,5,0
2022-07-24,5.8831118336,2,0
2022-07-25,-0.3895890943999998,15,10
2022-07-26,-1.321961472,4,0
2022-07-27,0.7340155904000003,5,13
2022-07-28,9.6184160256,7,1
2022-07-29,-1.894255103999999,3,3
2022-07-30,-3.7839261696,0,0
2022-07-31,-1.7890622464000001,4,0
2022-08-01,5.901491507199999,6,2
2022-08-02,13.4055371776,13,0
2022-08-03,5.828017868800002,5,0
2022-08-04,1.5286370304000023,6,0
2022-08-05,0.6470547456000002,7,0
2022-08-06,-6.4270647296000005,2,0
2022-08-07,-2.903519027200001,1,0
2022-08-08,2.133703679999999,7,0
2022-08-09,6.027805696,2,0
2022-08-10,1.846329958400001,1,0
2022-08-11,-4.9331598335999995,6,0
2022-08-12,-2.0600957952,13,0
2022-08-13,-1.1914352640000003,6,0
2022-08-14,0.24499394559999954,2,0
2022-08-15,2.1101849599999998,6,0
2022-08-16,3.2932997120000005,11,2
2022-08-17,-1.7401879551999997,8,2
2022-08-18,-1.4548733952,13,0
2022-08-19,0.3156609023999999,12,0
2022-08-20,3.2151807999999997,7,0
2022-08-21,-1.9986201599999998,3,0
2022-08-22,0.24096460799999997,2,0
2022-08-23,7.1293187072,12,0
2022-08-24,-3.6488955903999996,7,0
2022-08-25,-0.24591769600000002,10,0
2022-08-26,-1.0766215168,8,2
2022-08-27,-0.5713899520000003,3,0
2022-08-28,-0.4000002048000001,1,0
2022-08-29,6.7051312128,11,1
2022-08-30,-0.9920721919999993,7,1
2022-08-31,9.2029929472,11,0
2022-09-01,-0.20875581439999813,7,0
2022-09-02,-3.7543557119999997,10,0
2022-09-03,-1.6096621568000002,1,0
