,seleniumhq/selenium,DevExpress/testcafe,cypress-io/cypress
2015-08-03,5,4,10
2015-08-04,1,2,10
2015-08-05,1,1,7
2015-08-06,6,3,16
2015-08-07,0,2,25
2015-08-08,0,0,5
2015-08-09,0,0,0
2015-08-10,1,0,9
2015-08-11,6,1,9
2015-08-12,0,0,0
2015-08-13,0,0,10
2015-08-14,0,0,7
2015-08-15,0,0,7
2015-08-16,0,0,2
2015-08-17,4,2,5
2015-08-18,1,0,2
2015-08-19,0,0,0
2015-08-20,0,1,14
2015-08-21,0,0,35
2015-08-22,4,0,2
2015-08-23,1,0,4
2015-08-24,1,1,11
2015-08-25,0,2,8
2015-08-26,1,2,0
2015-08-27,3,0,7
2015-08-28,6,0,15
2015-08-29,1,0,0
2015-08-30,3,0,0
2015-08-31,10,0,0
2015-09-01,3,3,0
2015-09-02,1,2,0
2015-09-03,2,2,0
2015-09-04,7,2,0
2015-09-05,1,0,0
2015-09-06,2,0,0
2015-09-07,2,0,0
2015-09-08,6,0,6
2015-09-09,6,0,5
2015-09-10,1,1,6
2015-09-11,1,1,11
2015-09-12,0,0,11
2015-09-13,1,0,4
2015-09-14,4,0,15
2015-09-15,21,0,5
2015-09-16,5,2,12
2015-09-17,16,0,3
2015-09-18,9,0,0
2015-09-19,4,0,3
2015-09-20,2,0,11
2015-09-21,8,0,6
2015-09-22,6,4,0
2015-09-23,0,4,4
2015-09-24,4,2,0
2015-09-25,0,0,4
2015-09-26,0,0,7
2015-09-27,5,0,14
2015-09-28,2,2,0
2015-09-29,3,2,0
2015-09-30,6,2,0
2015-10-01,7,2,7
2015-10-02,9,1,19
2015-10-03,3,0,8
2015-10-04,0,0,12
2015-10-05,15,6,11
2015-10-06,5,6,2
2015-10-07,22,0,4
2015-10-08,13,1,4
2015-10-09,6,1,4
2015-10-10,3,0,1
2015-10-11,4,0,3
2015-10-12,6,2,3
2015-10-13,16,4,0
2015-10-14,6,2,0
2015-10-15,7,2,1
2015-10-16,4,1,0
2015-10-17,0,0,0
2015-10-18,14,0,0
2015-10-19,4,1,1
2015-10-20,1,0,0
2015-10-21,1,2,8
2015-10-22,1,0,1
2015-10-23,1,2,3
2015-10-24,0,0,9
2015-10-25,0,0,1
2015-10-26,0,0,19
2015-10-27,0,1,0
2015-10-28,2,1,0
2015-10-29,1,4,12
2015-10-30,2,5,3
2015-10-31,0,0,0
2015-11-01,0,0,9
2015-11-02,7,0,7
2015-11-03,9,7,0
2015-11-04,5,0,4
2015-11-05,2,0,2
2015-11-06,2,1,0
2015-11-07,0,0,3
2015-11-08,0,0,0
2015-11-09,1,13,2
2015-11-10,0,6,10
2015-11-11,1,3,2
2015-11-12,1,4,0
2015-11-13,0,3,0
2015-11-14,2,0,0
2015-11-15,0,0,0
2015-11-16,1,0,0
2015-11-17,3,2,1
2015-11-18,24,0,1
2015-11-19,1,0,4
2015-11-20,0,2,2
2015-11-21,1,0,2
2015-11-22,0,0,0
2015-11-23,1,4,6
2015-11-24,4,0,0
2015-11-25,4,1,0
2015-11-26,0,3,0
2015-11-27,0,12,0
2015-11-28,3,0,4
2015-11-29,14,0,4
2015-11-30,1,2,13
2015-12-01,3,4,5
2015-12-02,0,2,5
2015-12-03,2,2,1
2015-12-04,1,2,0
2015-12-05,1,0,0
2015-12-06,0,0,0
2015-12-07,1,2,10
2015-12-08,2,0,0
2015-12-09,3,3,19
2015-12-10,4,5,2
2015-12-11,10,2,4
2015-12-12,0,0,4
2015-12-13,0,0,0
2015-12-14,0,4,0
2015-12-15,3,3,0
2015-12-16,0,5,0
2015-12-17,3,0,0
2015-12-18,0,1,2
2015-12-19,0,0,1
2015-12-20,0,0,8
2015-12-21,5,5,5
2015-12-22,1,0,1
2015-12-23,0,2,1
2015-12-24,0,0,3
2015-12-25,0,4,3
2015-12-26,1,0,7
2015-12-27,3,0,0
2015-12-28,1,0,0
2015-12-29,0,0,0
2015-12-30,0,3,9
2015-12-31,0,0,12
2016-01-01,0,0,1
2016-01-02,0,0,0
2016-01-03,0,0,0
2016-01-04,0,0,3
2016-01-05,2,0,0
2016-01-06,5,0,2
2016-01-07,5,0,1
2016-01-08,5,0,0
2016-01-09,0,0,3
2016-01-10,0,0,0
2016-01-11,1,4,6
2016-01-12,5,3,14
2016-01-13,7,4,8
2016-01-14,6,3,19
2016-01-15,3,3,12
2016-01-16,3,0,21
2016-01-17,1,0,7
2016-01-18,5,2,9
2016-01-19,13,2,3
2016-01-20,5,0,27
2016-01-21,3,0,21
2016-01-22,11,3,3
2016-01-23,1,0,8
2016-01-24,1,0,2
2016-01-25,18,3,28
2016-01-26,6,5,12
2016-01-27,15,3,5
2016-01-28,15,0,11
2016-01-29,10,3,15
2016-01-30,6,0,0
2016-01-31,1,0,0
2016-02-01,8,6,11
2016-02-02,2,2,19
2016-02-03,2,3,16
2016-02-04,6,4,14
2016-02-05,15,2,6
2016-02-06,0,0,26
2016-02-07,0,0,12
2016-02-08,0,2,15
2016-02-09,16,2,13
2016-02-10,19,2,13
2016-02-11,5,0,3
2016-02-12,17,0,11
2016-02-13,7,0,6
2016-02-14,1,0,0
2016-02-15,0,2,9
2016-02-16,1,9,21
2016-02-17,1,5,29
2016-02-18,10,2,16
2016-02-19,6,2,1
2016-02-20,2,0,0
2016-02-21,3,0,0
2016-02-22,4,0,24
2016-02-23,10,0,15
2016-02-24,1,3,25
2016-02-25,1,5,23
2016-02-26,2,1,25
2016-02-27,2,0,11
2016-02-28,2,0,13
2016-02-29,3,4,15
2016-03-01,2,3,15
2016-03-02,7,2,6
2016-03-03,2,6,0
2016-03-04,5,2,10
2016-03-05,1,0,18
2016-03-06,8,0,8
2016-03-07,6,0,12
2016-03-08,0,0,22
2016-03-09,4,2,13
2016-03-10,3,1,0
2016-03-11,9,3,11
2016-03-12,3,0,0
2016-03-13,2,0,2
2016-03-14,6,0,22
2016-03-15,36,0,0
2016-03-16,12,0,0
2016-03-17,7,0,0
2016-03-18,0,1,8
2016-03-19,6,0,10
2016-03-20,1,0,6
2016-03-21,1,3,20
2016-03-22,0,2,7
2016-03-23,0,4,17
2016-03-24,1,1,38
2016-03-25,0,1,24
2016-03-26,0,1,11
2016-03-27,1,0,9
2016-03-28,4,1,33
2016-03-29,0,4,3
2016-03-30,1,2,11
2016-03-31,1,0,9
2016-04-01,1,0,22
2016-04-02,1,0,3
2016-04-03,0,0,2
2016-04-04,3,0,34
2016-04-05,1,2,12
2016-04-06,0,0,23
2016-04-07,9,4,6
2016-04-08,1,1,6
2016-04-09,1,0,2
2016-04-10,0,0,11
2016-04-11,1,2,12
2016-04-12,3,2,9
2016-04-13,6,0,1
2016-04-14,0,1,13
2016-04-15,0,2,8
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,0,0,5
2016-04-19,0,2,26
2016-04-20,3,4,12
2016-04-21,5,3,0
2016-04-22,3,2,8
2016-04-23,0,0,1
2016-04-24,0,0,0
2016-04-25,3,4,0
2016-04-26,0,3,7
2016-04-27,0,8,8
2016-04-28,3,5,14
2016-04-29,2,2,30
2016-04-30,0,0,0
2016-05-01,0,0,4
2016-05-02,6,0,7
2016-05-03,5,0,6
2016-05-04,0,1,19
2016-05-05,2,3,3
2016-05-06,2,6,14
2016-05-07,0,0,8
2016-05-08,0,0,4
2016-05-09,0,0,16
2016-05-10,0,1,8
2016-05-11,4,4,8
2016-05-12,9,1,1
2016-05-13,1,3,22
2016-05-14,0,0,10
2016-05-15,1,0,37
2016-05-16,1,1,33
2016-05-17,0,1,33
2016-05-18,13,3,31
2016-05-19,4,0,22
2016-05-20,8,0,1
2016-05-21,7,0,8
2016-05-22,0,0,10
2016-05-23,2,3,20
2016-05-24,13,0,7
2016-05-25,1,0,2
2016-05-26,2,3,0
2016-05-27,1,4,0
2016-05-28,0,0,0
2016-05-29,0,0,0
2016-05-30,0,3,0
2016-05-31,15,1,8
2016-06-01,2,2,6
2016-06-02,4,2,5
2016-06-03,10,0,11
2016-06-04,4,0,0
2016-06-05,4,0,3
2016-06-06,5,2,4
2016-06-07,13,0,10
2016-06-08,5,0,13
2016-06-09,6,1,12
2016-06-10,4,0,32
2016-06-11,2,0,13
2016-06-12,5,0,14
2016-06-13,0,0,42
2016-06-14,5,4,13
2016-06-15,4,0,4
2016-06-16,23,3,23
2016-06-17,3,3,34
2016-06-18,8,0,0
2016-06-19,4,0,0
2016-06-20,5,4,13
2016-06-21,1,1,13
2016-06-22,1,2,4
2016-06-23,1,2,6
2016-06-24,1,2,19
2016-06-25,9,0,1
2016-06-26,7,0,0
2016-06-27,0,3,13
2016-06-28,2,4,61
2016-06-29,4,2,18
2016-06-30,3,0,24
2016-07-01,2,0,16
2016-07-02,0,0,0
2016-07-03,0,2,8
2016-07-04,0,1,0
2016-07-05,3,2,30
2016-07-06,0,0,36
2016-07-07,3,3,39
2016-07-08,4,2,29
2016-07-09,0,0,2
2016-07-10,0,0,0
2016-07-11,1,1,54
2016-07-12,2,0,26
2016-07-13,3,0,32
2016-07-14,3,0,26
2016-07-15,3,4,23
2016-07-16,0,0,1
2016-07-17,2,0,1
2016-07-18,9,1,19
2016-07-19,1,1,45
2016-07-20,0,3,12
2016-07-21,5,2,16
2016-07-22,2,0,18
2016-07-23,0,0,0
2016-07-24,0,0,0
2016-07-25,3,2,1
2016-07-26,9,2,0
2016-07-27,8,4,3
2016-07-28,14,1,2
2016-07-29,9,0,9
2016-07-30,0,0,2
2016-07-31,0,0,9
2016-08-01,1,0,16
2016-08-02,17,1,17
2016-08-03,10,0,9
2016-08-04,0,1,10
2016-08-05,1,2,14
2016-08-06,6,0,1
2016-08-07,1,0,6
2016-08-08,3,2,6
2016-08-09,2,1,0
2016-08-10,2,1,0
2016-08-11,1,1,2
2016-08-12,2,3,0
2016-08-13,0,0,0
2016-08-14,0,0,0
2016-08-15,0,2,4
2016-08-16,0,3,1
2016-08-17,0,3,13
2016-08-18,1,1,6
2016-08-19,10,1,2
2016-08-20,0,0,0
2016-08-21,7,0,0
2016-08-22,8,1,8
2016-08-23,4,2,37
2016-08-24,3,1,32
2016-08-25,4,0,10
2016-08-26,4,0,38
2016-08-27,0,0,5
2016-08-28,0,0,4
2016-08-29,2,2,25
2016-08-30,4,2,49
2016-08-31,5,2,50
2016-09-01,14,1,42
2016-09-02,3,1,4
2016-09-03,6,0,1
2016-09-04,0,0,1
2016-09-05,7,1,17
2016-09-06,0,3,16
2016-09-07,1,7,26
2016-09-08,2,4,3
2016-09-09,2,1,8
2016-09-10,0,0,1
2016-09-11,0,0,3
2016-09-12,1,2,7
2016-09-13,1,3,28
2016-09-14,4,0,12
2016-09-15,7,3,2
2016-09-16,0,2,0
2016-09-17,0,0,0
2016-09-18,8,0,0
2016-09-19,1,6,11
2016-09-20,8,1,2
2016-09-21,4,5,8
2016-09-22,3,1,8
2016-09-23,17,1,30
2016-09-24,5,0,12
2016-09-25,10,0,1
2016-09-26,12,1,23
2016-09-27,8,0,5
2016-09-28,10,0,10
2016-09-29,13,1,7
2016-09-30,3,2,30
2016-10-01,4,0,0
2016-10-02,7,0,21
2016-10-03,2,1,28
2016-10-04,8,1,29
2016-10-05,9,1,13
2016-10-06,10,3,14
2016-10-07,15,1,1
2016-10-08,0,0,0
2016-10-09,0,0,0
2016-10-10,15,1,3
2016-10-11,26,3,2
2016-10-12,28,4,6
2016-10-13,16,4,20
2016-10-14,12,1,23
2016-10-15,0,0,0
2016-10-16,1,0,0
2016-10-17,1,4,11
2016-10-18,10,2,1
2016-10-19,6,6,4
2016-10-20,1,0,9
2016-10-21,11,2,14
2016-10-22,1,0,6
2016-10-23,1,0,2
2016-10-24,16,3,7
2016-10-25,30,1,6
2016-10-26,12,1,5
2016-10-27,5,3,0
2016-10-28,3,2,1
2016-10-29,4,0,0
2016-10-30,0,0,0
2016-10-31,8,2,1
2016-11-01,15,2,1
2016-11-02,18,2,2
2016-11-03,7,2,4
2016-11-04,0,0,3
2016-11-05,0,0,0
2016-11-06,1,0,0
2016-11-07,13,0,12
2016-11-08,8,4,7
2016-11-09,1,1,3
2016-11-10,1,0,1
2016-11-11,3,0,7
2016-11-12,0,0,0
2016-11-13,3,0,0
2016-11-14,8,1,31
2016-11-15,0,0,33
2016-11-16,0,3,14
2016-11-17,4,1,11
2016-11-18,4,1,0
2016-11-19,4,0,0
2016-11-20,0,0,0
2016-11-21,2,0,15
2016-11-22,1,2,9
2016-11-23,2,0,5
2016-11-24,8,1,0
2016-11-25,2,0,2
2016-11-26,2,0,7
2016-11-27,0,0,6
2016-11-28,4,2,30
2016-11-29,1,2,15
2016-11-30,6,5,7
2016-12-01,1,1,2
2016-12-02,0,3,1
2016-12-03,3,0,0
2016-12-04,0,0,8
2016-12-05,1,0,14
2016-12-06,0,3,9
2016-12-07,3,5,8
2016-12-08,1,6,8
2016-12-09,0,0,15
2016-12-10,0,0,0
2016-12-11,1,0,0
2016-12-12,2,3,17
2016-12-13,3,2,19
2016-12-14,3,1,8
2016-12-15,0,2,8
2016-12-16,0,3,5
2016-12-17,0,0,3
2016-12-18,0,0,3
2016-12-19,5,4,13
2016-12-20,8,2,5
2016-12-21,14,3,16
2016-12-22,8,5,16
2016-12-23,10,1,13
2016-12-24,11,0,0
2016-12-25,0,0,0
2016-12-26,0,1,1
2016-12-27,6,3,2
2016-12-28,1,5,11
2016-12-29,0,2,0
2016-12-30,0,1,4
2016-12-31,0,0,0
2017-01-01,0,0,1
2017-01-02,4,0,7
2017-01-03,13,0,2
2017-01-04,7,0,17
2017-01-05,8,0,10
2017-01-06,2,0,10
2017-01-07,15,0,5
2017-01-08,3,0,0
2017-01-09,9,4,20
2017-01-10,1,1,8
2017-01-11,0,2,2
2017-01-12,0,4,0
2017-01-13,2,1,11
2017-01-14,0,0,0
2017-01-15,0,0,0
2017-01-16,0,3,0
2017-01-17,7,2,6
2017-01-18,2,3,2
2017-01-19,1,7,10
2017-01-20,1,3,13
2017-01-21,0,0,10
2017-01-22,0,0,0
2017-01-23,10,1,6
2017-01-24,1,1,5
2017-01-25,3,3,1
2017-01-26,7,2,13
2017-01-27,3,3,13
2017-01-28,1,0,0
2017-01-29,0,0,6
2017-01-30,7,0,17
2017-01-31,1,1,4
2017-02-01,2,1,4
2017-02-02,0,2,7
2017-02-03,2,0,11
2017-02-04,2,0,0
2017-02-05,6,0,18
2017-02-06,8,2,20
2017-02-07,2,1,30
2017-02-08,7,3,15
2017-02-09,4,2,15
2017-02-10,1,2,25
2017-02-11,0,0,19
2017-02-12,0,0,17
2017-02-13,12,6,16
2017-02-14,3,0,2
2017-02-15,6,4,0
2017-02-16,1,7,2
2017-02-17,1,0,1
2017-02-18,6,0,0
2017-02-19,0,0,0
2017-02-20,10,0,0
2017-02-21,5,2,3
2017-02-22,21,4,4
2017-02-23,13,0,8
2017-02-24,7,0,1
2017-02-25,0,0,0
2017-02-26,0,0,2
2017-02-27,5,0,1
2017-02-28,5,3,2
2017-03-01,10,0,8
2017-03-02,17,3,4
2017-03-03,9,1,1
2017-03-04,3,0,0
2017-03-05,2,0,1
2017-03-06,14,4,9
2017-03-07,14,3,28
2017-03-08,11,0,1
2017-03-09,16,2,16
2017-03-10,9,1,5
2017-03-11,2,0,0
2017-03-12,0,0,0
2017-03-13,8,0,1
2017-03-14,8,0,2
2017-03-15,19,1,2
2017-03-16,10,1,2
2017-03-17,6,7,0
2017-03-18,3,0,0
2017-03-19,0,0,0
2017-03-20,3,9,0
2017-03-21,6,1,1
2017-03-22,5,1,11
2017-03-23,4,3,5
2017-03-24,1,5,10
2017-03-25,0,0,0
2017-03-26,15,0,0
2017-03-27,5,4,10
2017-03-28,8,3,7
2017-03-29,15,0,7
2017-03-30,21,1,4
2017-03-31,2,2,6
2017-04-01,0,0,0
2017-04-02,0,0,0
2017-04-03,17,2,4
2017-04-04,11,0,7
2017-04-05,3,0,16
2017-04-06,14,3,5
2017-04-07,8,0,5
2017-04-08,4,0,9
2017-04-09,11,0,3
2017-04-10,8,0,1
2017-04-11,7,2,11
2017-04-12,14,5,41
2017-04-13,7,0,23
2017-04-14,5,2,21
2017-04-15,0,0,3
2017-04-16,0,0,2
2017-04-17,2,2,19
2017-04-18,11,4,8
2017-04-19,3,6,15
2017-04-20,3,5,13
2017-04-21,13,3,90
2017-04-22,3,0,0
2017-04-23,0,0,0
2017-04-24,4,2,11
2017-04-25,3,3,45
2017-04-26,3,4,9
2017-04-27,10,0,1
2017-04-28,3,0,18
2017-04-29,0,0,0
2017-04-30,0,0,1
2017-05-01,0,0,6
2017-05-02,3,1,19
2017-05-03,1,0,3
2017-05-04,7,1,4
2017-05-05,0,0,5
2017-05-06,0,0,0
2017-05-07,0,0,0
2017-05-08,0,0,1
2017-05-09,1,0,52
2017-05-10,1,2,15
2017-05-11,2,0,6
2017-05-12,16,3,3
2017-05-13,0,0,5
2017-05-14,0,0,2
2017-05-15,10,2,71
2017-05-16,0,0,52
2017-05-17,8,0,87
2017-05-18,4,2,60
2017-05-19,2,0,78
2017-05-20,1,0,0
2017-05-21,7,0,0
2017-05-22,0,0,32
2017-05-23,0,2,37
2017-05-24,5,0,43
2017-05-25,0,1,27
2017-05-26,6,2,15
2017-05-27,2,0,16
2017-05-28,0,0,0
2017-05-29,0,2,8
2017-05-30,2,1,16
2017-05-31,0,5,43
2017-06-01,0,0,17
2017-06-02,0,0,15
2017-06-03,0,0,0
2017-06-04,0,0,0
2017-06-05,1,1,44
2017-06-06,5,0,27
2017-06-07,5,1,22
2017-06-08,3,0,25
2017-06-09,0,3,36
2017-06-10,0,0,6
2017-06-11,5,1,9
2017-06-12,1,0,31
2017-06-13,3,6,71
2017-06-14,8,0,14
2017-06-15,2,1,23
2017-06-16,4,0,28
2017-06-17,2,0,24
2017-06-18,0,0,11
2017-06-19,5,2,50
2017-06-20,4,3,42
2017-06-21,4,3,37
2017-06-22,7,0,29
2017-06-23,10,0,17
2017-06-24,1,0,13
2017-06-25,0,0,7
2017-06-26,10,2,17
2017-06-27,3,3,21
2017-06-28,2,1,36
2017-06-29,2,0,56
2017-06-30,0,1,25
2017-07-01,0,0,6
2017-07-02,0,0,10
2017-07-03,2,3,11
2017-07-04,3,1,5
2017-07-05,2,2,40
2017-07-06,0,0,38
2017-07-07,4,0,26
2017-07-08,0,0,18
2017-07-09,0,0,10
2017-07-10,3,4,24
2017-07-11,8,1,19
2017-07-12,1,1,14
2017-07-13,1,0,23
2017-07-14,1,1,10
2017-07-15,0,0,24
2017-07-16,1,0,17
2017-07-17,0,1,25
2017-07-18,7,0,26
2017-07-19,5,0,27
2017-07-20,31,2,1
2017-07-21,25,4,8
2017-07-22,3,1,3
2017-07-23,3,0,8
2017-07-24,0,5,26
2017-07-25,2,1,6
2017-07-26,6,0,22
2017-07-27,0,0,18
2017-07-28,0,1,0
2017-07-29,0,0,2
2017-07-30,0,0,4
2017-07-31,5,4,6
2017-08-01,0,0,5
2017-08-02,8,4,4
2017-08-03,4,0,0
2017-08-04,9,0,0
2017-08-05,4,0,1
2017-08-06,0,0,0
2017-08-07,4,0,1
2017-08-08,27,0,0
2017-08-09,20,0,10
2017-08-10,15,0,4
2017-08-11,2,1,17
2017-08-12,1,0,5
2017-08-13,0,0,19
2017-08-14,9,1,27
2017-08-15,18,4,17
2017-08-16,7,3,14
2017-08-17,13,1,34
2017-08-18,7,2,15
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,11,1,9
2017-08-22,3,0,20
2017-08-23,7,0,47
2017-08-24,10,1,22
2017-08-25,7,0,20
2017-08-26,2,0,17
2017-08-27,5,0,0
2017-08-28,11,0,13
2017-08-29,16,1,23
2017-08-30,12,3,5
2017-08-31,9,4,11
2017-09-01,25,1,24
2017-09-02,0,0,2
2017-09-03,4,0,13
2017-09-04,5,0,42
2017-09-05,1,2,26
2017-09-06,4,3,18
2017-09-07,9,1,11
2017-09-08,8,2,3
2017-09-09,0,0,6
2017-09-10,8,0,13
2017-09-11,11,3,17
2017-09-12,1,4,4
2017-09-13,4,2,7
2017-09-14,5,2,12
2017-09-15,9,0,12
2017-09-16,0,0,22
2017-09-17,1,0,16
2017-09-18,5,2,6
2017-09-19,63,3,4
2017-09-20,3,3,0
2017-09-21,3,3,0
2017-09-22,12,1,0
2017-09-23,0,0,0
2017-09-24,0,0,0
2017-09-25,6,0,11
2017-09-26,0,3,15
2017-09-27,2,1,21
2017-09-28,6,2,25
2017-09-29,5,1,16
2017-09-30,0,0,0
2017-10-01,0,0,2
2017-10-02,6,1,1
2017-10-03,10,3,23
2017-10-04,15,3,15
2017-10-05,3,1,32
2017-10-06,23,0,21
2017-10-07,0,0,6
2017-10-08,0,0,6
2017-10-09,9,3,5
2017-10-10,0,9,16
2017-10-11,18,1,3
2017-10-12,2,3,16
2017-10-13,2,1,17
2017-10-14,3,0,8
2017-10-15,0,0,2
2017-10-16,0,0,2
2017-10-17,0,3,7
2017-10-18,2,2,11
2017-10-19,3,0,0
2017-10-20,6,0,10
2017-10-21,1,0,0
2017-10-22,4,0,0
2017-10-23,6,3,13
2017-10-24,13,1,13
2017-10-25,23,1,3
2017-10-26,6,1,7
2017-10-27,8,0,3
2017-10-28,7,0,1
2017-10-29,8,0,0
2017-10-30,1,1,18
2017-10-31,9,0,0
2017-11-01,1,0,2
2017-11-02,27,0,2
2017-11-03,16,0,1
2017-11-04,0,0,0
2017-11-05,0,0,0
2017-11-06,8,0,0
2017-11-07,3,0,1
2017-11-08,3,1,1
2017-11-09,3,1,1
2017-11-10,6,0,0
2017-11-11,2,0,0
2017-11-12,3,0,0
2017-11-13,4,1,0
2017-11-14,1,1,2
2017-11-15,4,0,1
2017-11-16,8,2,4
2017-11-17,22,3,0
2017-11-18,6,0,1
2017-11-19,1,0,0
2017-11-20,2,0,12
2017-11-21,3,0,10
2017-11-22,9,0,14
2017-11-23,6,2,0
2017-11-24,1,3,0
2017-11-25,5,0,0
2017-11-26,0,0,0
2017-11-27,10,1,5
2017-11-28,17,0,0
2017-11-29,2,4,2
2017-11-30,10,1,3
2017-12-01,9,4,0
2017-12-02,4,0,1
2017-12-03,4,0,1
2017-12-04,0,0,8
2017-12-05,0,3,4
2017-12-06,10,2,3
2017-12-07,8,1,9
2017-12-08,6,1,1
2017-12-09,0,0,0
2017-12-10,3,0,0
2017-12-11,1,2,0
2017-12-12,1,0,2
2017-12-13,5,0,2
2017-12-14,1,1,3
2017-12-15,3,1,5
2017-12-16,5,0,0
2017-12-17,4,0,3
2017-12-18,2,0,0
2017-12-19,0,0,8
2017-12-20,0,0,1
2017-12-21,5,1,2
2017-12-22,4,2,1
2017-12-23,0,0,0
2017-12-24,0,0,2
2017-12-25,1,0,4
2017-12-26,0,0,16
2017-12-27,1,0,17
2017-12-28,4,2,8
2017-12-29,4,3,0
2017-12-30,5,0,0
2017-12-31,0,0,7
2018-01-01,0,0,8
2018-01-02,0,0,6
2018-01-03,0,0,0
2018-01-04,2,0,1
2018-01-05,0,0,1
2018-01-06,0,0,4
2018-01-07,0,0,1
2018-01-08,13,0,1
2018-01-09,1,0,4
2018-01-10,1,1,1
2018-01-11,9,0,0
2018-01-12,2,3,2
2018-01-13,4,0,0
2018-01-14,0,0,0
2018-01-15,3,0,2
2018-01-16,0,0,3
2018-01-17,16,0,2
2018-01-18,25,1,6
2018-01-19,20,0,1
2018-01-20,4,0,0
2018-01-21,0,0,0
2018-01-22,3,0,0
2018-01-23,0,0,0
2018-01-24,2,0,3
2018-01-25,6,1,1
2018-01-26,8,0,0
2018-01-27,0,0,0
2018-01-28,5,0,0
2018-01-29,0,2,0
2018-01-30,9,0,1
2018-01-31,2,0,6
2018-02-01,1,3,0
2018-02-02,10,0,0
2018-02-03,0,0,0
2018-02-04,0,0,4
2018-02-05,10,2,4
2018-02-06,1,2,1
2018-02-07,7,1,2
2018-02-08,3,3,1
2018-02-09,21,1,0
2018-02-10,2,0,0
2018-02-11,4,0,7
2018-02-12,3,1,3
2018-02-13,15,2,0
2018-02-14,15,0,3
2018-02-15,3,4,0
2018-02-16,5,1,6
2018-02-17,0,0,3
2018-02-18,1,0,3
2018-02-19,4,6,3
2018-02-20,10,1,2
2018-02-21,15,5,2
2018-02-22,6,1,0
2018-02-23,0,0,0
2018-02-24,0,0,0
2018-02-25,0,0,0
2018-02-26,0,3,3
2018-02-27,7,2,0
2018-02-28,2,0,2
2018-03-01,11,4,3
2018-03-02,19,0,0
2018-03-03,7,0,0
2018-03-04,4,0,1
2018-03-05,1,1,5
2018-03-06,32,1,1
2018-03-07,9,1,0
2018-03-08,1,0,0
2018-03-09,7,0,1
2018-03-10,8,0,0
2018-03-11,3,0,0
2018-03-12,11,0,1
2018-03-13,7,2,0
2018-03-14,3,1,2
2018-03-15,2,1,2
2018-03-16,0,1,0
2018-03-17,0,0,1
2018-03-18,0,0,0
2018-03-19,10,1,3
2018-03-20,3,1,0
2018-03-21,4,0,2
2018-03-22,4,1,1
2018-03-23,8,2,0
2018-03-24,1,0,0
2018-03-25,1,0,1
2018-03-26,0,0,3
2018-03-27,11,0,0
2018-03-28,5,0,0
2018-03-29,7,3,0
2018-03-30,1,3,1
2018-03-31,8,0,0
2018-04-01,0,0,0
2018-04-02,4,2,0
2018-04-03,15,5,0
2018-04-04,3,2,4
2018-04-05,4,3,1
2018-04-06,0,1,1
2018-04-07,0,0,1
2018-04-08,2,0,0
2018-04-09,5,1,1
2018-04-10,7,2,0
2018-04-11,0,3,3
2018-04-12,5,2,2
2018-04-13,6,1,1
2018-04-14,0,0,0
2018-04-15,0,0,8
2018-04-16,2,2,5
2018-04-17,3,2,1
2018-04-18,0,1,1
2018-04-19,0,2,2
2018-04-20,4,2,0
2018-04-21,1,0,0
2018-04-22,0,0,0
2018-04-23,7,1,9
2018-04-24,1,2,2
