,hashicorp/consul,apache/zookeeper,etcd-io/etcd
2018-03-03,1,0,-4.632671436800001
2018-03-04,0,0,-2.7698470912000017
2018-03-05,0,1,9.999553535999999
2018-03-06,5,0,0.01819627520000111
2018-03-07,6,0,9.955567411200002
2018-03-08,2,0,6.599687065600001
2018-03-09,5,0,-1.2200007679999993
2018-03-10,0,0,-2.8220352512
2018-03-11,0,0,3.3481555967999994
2018-03-12,0,0,-2.1304038400000005
2018-03-13,5,0,1.7123701759999999
2018-03-14,3,0,5.4314447872
2018-03-15,6,0,10.7076020224
2018-03-16,3,0,0.19717345280000087
2018-03-17,0,0,1.4407300095999993
2018-03-18,0,0,-2.1778496512000007
2018-03-19,10,0,11.739223039999999
2018-03-20,0,0,15.485503487999999
2018-03-21,1,0,-0.5037685760000006
2018-03-22,6,0,11.313971404799998
2018-03-23,0,0,-4.172547788799999
2018-03-24,0,0,3.102272716799999
2018-03-25,0,0,-3.0261866496000005
2018-03-26,4,3,3.182248038399999
2018-03-27,16,0,20.684568064
2018-03-28,6,0,-1.0536696831999972
2018-03-29,11,0,4.183598182399999
2018-03-30,6,0,24.310338048
2018-03-31,2,0,-6.683468287999999
2018-04-01,0,0,6.219732377599998
2018-04-02,3,0,24.5502078976
2018-04-03,5,0,10.64351488
2018-04-04,2,0,8.010063872
2018-04-05,2,0,25.4603102208
2018-04-06,9,1,-2.6935854080000006
2018-04-07,0,0,-5.110769459200002
2018-04-08,2,0,-1.7720159232000015
2018-04-09,2,0,50.3032554496
2018-04-10,4,0,-6.437893631999996
2018-04-11,9,0,22.2845563904
2018-04-12,5,0,40.5069947904
2018-04-13,13,0,1.3224165376000023
2018-04-14,0,0,-8.155874099200004
2018-04-15,0,0,-5.877217587200004
2018-04-16,3,2,-2.8608263168000025
2018-04-17,6,1,52.956768460800006
2018-04-18,12,0,-10.466641305599996
2018-04-19,3,0,-1.2956771328000025
2018-04-20,4,0,21.194369536000004
2018-04-21,2,0,-8.990008934399997
2018-04-22,0,0,-3.350878412800002
2018-04-23,3,1,1.9501651967999987
2018-04-24,11,2,3.7718009855999997
2018-04-25,2,1,26.4272100352
2018-04-26,0,1,11.744958259200004
2018-04-27,4,1,11.477238886399999
2018-04-28,0,0,-7.6865931264
2018-04-29,0,0,-3.1224951808000014
2018-04-30,0,1,20.207897088
2018-05-01,0,0,19.3551210496
2018-05-02,2,0,14.347377664
2018-05-03,0,0,-4.0631984127999985
2018-05-04,3,0,9.130221568
2018-05-05,0,0,1.4918896640000012
2018-05-06,0,0,-5.200442777600001
2018-05-07,4,0,-2.050179072000002
2018-05-08,6,1,2.5309761536
2018-05-09,3,2,18.115825868800002
2018-05-10,22,3,-4.898474086399998
2018-05-11,38,0,-2.929664819200001
2018-05-12,3,0,-1.6951121919999999
2018-05-13,0,0,-1.2038507519999992
2018-05-14,1,0,14.2113184768
2018-05-15,2,0,-2.5535621119999994
2018-05-16,11,1,7.1397021696
2018-05-17,0,0,17.018584576000002
2018-05-18,0,0,16.4517559296
2018-05-19,1,0,-6.8611093504000005
2018-05-20,0,0,-3.3543680000000027
2018-05-21,4,1,18.7678464
2018-05-22,3,1,3.1334784000000013
2018-05-23,3,2,30.195863552
2018-05-24,5,0,-6.657926758399999
2018-05-25,7,0,2.690033766399999
2018-05-26,0,0,-3.924572671999999
2018-05-27,0,0,-1.0931545088000005
2018-05-28,1,0,-2.397880320000001
2018-05-29,0,1,12.277101568
2018-05-30,2,2,1.8210446336000015
2018-05-31,5,2,10.757259366400001
2018-06-01,13,0,-2.638504959999999
2018-06-02,0,0,-2.4886940672000004
2018-06-03,0,0,-1.5390999552000006
2018-06-04,6,0,0.9531360255999997
2018-06-05,4,0,13.7908104192
2018-06-06,0,0,3.1999365120000016
2018-06-07,0,0,8.7652711424
2018-06-08,4,1,5.9427024896
2018-06-09,0,0,-4.054418329600001
2018-06-10,0,0,-2.060036300800001
2018-06-11,7,0,7.59776256
2018-06-12,27,0,0.13189017599999975
2018-06-13,7,0,31.8202529792
2018-06-14,316,0,-1.1671628799999993
2018-06-15,9,2,47.0043948032
2018-06-16,1,0,-12.2161333248
2018-06-17,0,0,-6.223560704000004
2018-06-18,26,0,5.106949119999998
2018-06-19,7,0,-0.6488007680000001
2018-06-20,26,1,-1.7553693696000008
2018-06-21,11,0,0.11508910080000101
2018-06-22,10,0,0.32030986240000114
2018-06-23,0,0,-2.152597196799997
2018-06-24,0,0,-1.3999971327999985
2018-06-25,245,1,-0.5423970304000003
2018-06-26,31,1,5.584538112000001
2018-06-27,7,0,2.458477158400001
2018-06-28,7,0,-0.47071938560000004
2018-06-29,7,0,2.0731180032
2018-06-30,7,0,-1.1541711871999998
2018-07-01,6,0,-0.6130240512000003
2018-07-02,11,0,3.5976831999999996
2018-07-03,18,0,5.89038848
2018-07-04,10,2,0.02893004800000032
2018-07-05,5,0,11.6374199296
2018-07-06,12,0,-2.3454452735999998
2018-07-07,2,0,-1.7289764864000008
2018-07-08,0,0,-1.0690752512000006
2018-07-09,18,0,5.25341952
2018-07-10,17,4,2.217536512
2018-07-11,14,2,-0.7555552255999998
2018-07-12,44,0,-1.1645370368000003
2018-07-13,10,2,-0.7025056767999994
2018-07-14,0,0,-0.5121052671999996
2018-07-15,0,0,-0.2707861504000001
2018-07-16,5,1,-0.2088115200000001
2018-07-17,4,1,1.8255380480000003
2018-07-18,11,1,0.45070632960000057
2018-07-19,5,4,6.5757348864
2018-07-20,7,1,8.4115306496
2018-07-21,0,0,4.3248
2018-07-22,0,0,0.3793279999999992
2018-07-23,2,0,9.058406399999999
2018-07-24,4,0,6.65496576
2018-07-25,17,0,-3.703263744000001
2018-07-26,13,0,0.030346547199998852
2018-07-27,2,5,2.2483398655999998
2018-07-28,0,3,4.012167987200001
2018-07-29,0,0,-0.3722644479999997
2018-07-30,11,1,-1.6601305088000005
2018-07-31,1,0,-0.9984120831999996
2018-08-01,0,1,-0.7216415743999992
2018-08-02,6,0,1.5393218560000002
2018-08-03,1,1,-0.6701271039999999
2018-08-04,0,0,-0.38490746879999993
2018-08-05,0,0,-0.26605711359999956
2018-08-06,2,3,9.8292084736
2018-08-07,3,0,2.9239892992000005
2018-08-08,3,2,4.1591423999999995
2018-08-09,2,0,-0.11385344000000064
2018-08-10,4,0,9.515224576
2018-08-11,0,0,-1.0962987007999998
2018-08-12,0,0,-1.909568000000001
2018-08-13,0,0,0.8201727999999993
2018-08-14,7,1,0.7322444800000003
2018-08-15,2,0,3.7528540160000006
2018-08-16,6,0,0.2856847360000003
2018-08-17,5,3,1.7061569535999999
2018-08-18,0,0,1.6646710272000005
2018-08-19,0,0,-0.3618678783999998
2018-08-20,2,0,0.12147025919999965
2018-08-21,0,1,-0.7406448640000002
2018-08-22,0,0,1.5153866751999998
2018-08-23,2,0,4.2497748992
2018-08-24,4,0,-0.42232473599999976
2018-08-25,0,0,2.1391532032
2018-08-26,0,0,-1.1051267071999997
2018-08-27,5,0,-0.5757944832000002
2018-08-28,6,0,2.6270053376
2018-08-29,6,1,36.1251972096
2018-08-30,2,0,-2.8504458239999986
2018-08-31,1,0,-2.2790903808000023
2018-09-01,0,0,-0.8043146240000016
2018-09-02,0,0,-2.1754404864000003
2018-09-03,0,1,0.5324735487999992
2018-09-04,4,1,1.5024742399999995
2018-09-05,5,3,-1.6498677760000002
2018-09-06,6,0,6.917683404800002
2018-09-07,8,2,-0.4192155647999982
2018-09-08,1,0,-1.3168476160000002
2018-09-09,0,0,-0.7151797248000002
2018-09-10,4,2,0.5151214591999999
2018-09-11,9,1,-0.5510435840000001
2018-09-12,12,2,2.6373957632000002
2018-09-13,19,0,3.1383205888
2018-09-14,2,3,1.7774448640000005
2018-09-15,0,0,-0.2180662271999998
2018-09-16,0,0,0.2218324991999997
2018-09-17,3,1,1.3480652799999997
2018-09-18,1,0,0.1933818879999999
2018-09-19,0,0,3.3368272895999995
2018-09-20,4,0,1.7927075840000002
2018-09-21,3,0,7.7730961408
2018-09-22,0,2,-2.4470680575999997
2018-09-23,0,0,0.8664839167999994
2018-09-24,3,0,1.8839166975999997
2018-09-25,2,0,0.7211053056000001
2018-09-26,4,0,-1.1341436928000004
2018-09-27,0,0,-0.6758595584000001
2018-09-28,1,1,1.5067469824000002
2018-09-29,0,0,9.248436940800001
2018-09-30,0,0,-2.4184359935999993
2018-10-01,13,1,2.983586815999999
2018-10-02,6,0,5.5508447232
2018-10-03,4,0,-0.17325547519999995
2018-10-04,4,1,2.526843699199999
2018-10-05,4,2,-0.6685414400000003
2018-10-06,0,0,-1.1513866240000004
2018-10-07,0,0,3.2315169792000003
2018-10-08,5,2,9.631126016
2018-10-09,3,0,3.1273605120000005
2018-10-10,25,0,5.4363039743999995
2018-10-11,22,0,1.0534034431999997
2018-10-12,0,2,0.7008397311999994
2018-10-13,0,0,-1.9324763136000005
2018-10-14,0,0,2.8410909695999993
2018-10-15,0,1,2.350994432
2018-10-16,1,1,-1.7960769535999994
2018-10-17,1,0,-0.029226086400000018
2018-10-18,1,1,1.1546889216000005
2018-10-19,29,1,-0.9246298111999997
2018-10-20,0,0,-0.48489973759999994
2018-10-21,0,0,-0.3164301312000001
2018-10-22,1,0,7.782006272
2018-10-23,0,0,-1.7789290495999992
2018-10-24,11,1,2.2523382783999994
2018-10-25,5,0,3.967758848
2018-10-26,8,0,-0.5500447743999999
2018-10-27,0,0,0.0267732991999996
2018-10-28,0,0,0.21576959999999967
2018-10-29,5,0,0.2919782399999997
2018-10-30,3,0,-0.6656680959999997
2018-10-31,8,0,6.5601850368
2018-11-01,1,0,-1.6553615359999996
2018-11-02,3,0,-0.7658381312000001
2018-11-03,0,0,-0.475625984
2018-11-04,0,0,-0.2994125824
2018-11-05,4,2,-0.22253578240000002
2018-11-06,4,1,-0.16985866239999997
2018-11-07,10,2,-0.13095639040000004
2018-11-08,3,0,-0.10071398399999958
2018-11-09,4,0,3.9127145472000002
2018-11-10,3,0,1.2000000000000002
2018-11-11,0,0,2.28
2018-11-12,4,1,2.048
2018-11-13,8,0,-1.0704000000000002
2018-11-14,4,0,2.4466559999999995
2018-11-15,7,0,6.0224128
2018-11-16,9,0,0.07402752000000001
2018-11-17,0,2,-1.3332986880000004
2018-11-18,0,0,-0.7875193856000002
2018-11-19,1,0,-0.5266899968
2018-11-20,5,0,3.6121904128
2018-11-21,0,1,-1.0822618111999998
2018-11-22,0,1,-0.5225077760000002
2018-11-23,0,1,1.6360245248000003
2018-11-24,0,0,1.3495391232000005
2018-11-25,0,0,-0.6870827008
2018-11-26,7,0,0.6622847999999997
2018-11-27,4,4,-0.4309068800000001
2018-11-28,1,1,1.7441771520000002
2018-11-29,7,0,-0.5898070015999999
2018-11-30,1,0,-0.26831104000000017
2018-12-01,1,0,-0.18416486399999998
2018-12-02,0,0,-0.14134292479999983
2018-12-03,0,0,4.9070625792
