,tensorflow/tensorflow,apache/mxnet,pytorch/pytorch
2020-12-15,129,2,30
2020-12-16,78,2,44
2020-12-17,99,0,51
2020-12-18,47,1,35
2020-12-19,8,1,16
2020-12-20,6,1,3
2020-12-21,49,1,28
2020-12-22,56,0,31
2020-12-23,67,2,27
2020-12-24,21,1,4
2020-12-25,6,0,1
2020-12-26,2,0,0
2020-12-27,6,0,0
2020-12-28,48,0,7
2020-12-29,42,0,8
2020-12-30,54,1,13
2020-12-31,20,1,5
2021-01-01,5,1,1
2021-01-02,7,0,0
2021-01-03,7,0,1
2021-01-04,27,1,21
2021-01-05,86,2,40
2021-01-06,85,0,46
2021-01-07,79,0,28
2021-01-08,91,0,43
2021-01-09,15,0,8
2021-01-10,8,0,4
2021-01-11,82,0,28
2021-01-12,112,1,43
2021-01-13,107,0,33
2021-01-14,74,0,27
2021-01-15,73,2,23
2021-01-16,21,1,11
2021-01-17,8,0,1
2021-01-18,28,0,7
2021-01-19,62,0,30
2021-01-20,100,2,44
2021-01-21,95,0,28
2021-01-22,104,0,45
2021-01-23,24,0,13
2021-01-24,17,0,2
2021-01-25,98,0,20
2021-01-26,75,0,30
2021-01-27,109,0,35
2021-01-28,90,1,49
2021-01-29,73,1,37
2021-01-30,44,0,9
2021-01-31,4,1,3
2021-02-01,74,0,23
2021-02-02,100,1,61
2021-02-03,86,3,44
2021-02-04,95,0,68
2021-02-05,78,2,37
2021-02-06,27,0,13
2021-02-07,6,2,3
2021-02-08,72,1,25
2021-02-09,79,0,28
2021-02-10,93,0,37
2021-02-11,71,0,42
2021-02-12,82,0,17
2021-02-13,38,0,11
2021-02-14,4,0,12
2021-02-15,48,2,3
2021-02-16,54,3,10
2021-02-17,92,0,40
2021-02-18,68,2,47
2021-02-19,41,1,47
2021-02-20,38,0,12
2021-02-21,15,2,3
2021-02-22,91,1,29
2021-02-23,113,0,30
2021-02-24,99,2,26
2021-02-25,114,0,40
2021-02-26,115,1,33
2021-02-27,33,1,8
2021-02-28,11,0,6
2021-03-01,66,2,38
2021-03-02,77,0,74
2021-03-03,98,0,59
2021-03-04,98,0,31
2021-03-05,133,0,48
2021-03-06,23,1,7
2021-03-07,12,0,3
2021-03-08,60,0,28
2021-03-09,79,2,44
2021-03-10,116,1,48
2021-03-11,93,1,47
2021-03-12,105,4,73
2021-03-13,43,0,10
2021-03-14,22,1,7
2021-03-15,75,2,30
2021-03-16,135,2,27
2021-03-17,89,0,35
2021-03-18,107,1,41
2021-03-19,132,1,28
2021-03-20,41,0,7
2021-03-21,17,2,3
2021-03-22,71,1,28
2021-03-23,113,0,43
2021-03-24,89,3,31
2021-03-25,91,0,30
2021-03-26,33,3,33
2021-03-27,6,0,29
2021-03-28,8,0,6
2021-03-29,62,0,46
2021-03-30,80,1,42
2021-03-31,101,1,46
2021-04-01,75,0,64
2021-04-02,81,1,53
2021-04-03,15,2,10
2021-04-04,12,0,1
2021-04-05,61,1,33
2021-04-06,52,1,56
2021-04-07,89,2,51
2021-04-08,93,0,38
2021-04-09,72,0,38
2021-04-10,14,0,17
2021-04-11,5,1,7
2021-04-12,47,1,30
2021-04-13,74,0,72
2021-04-14,79,1,58
2021-04-15,77,2,88
2021-04-16,70,0,54
2021-04-17,18,0,12
2021-04-18,9,0,6
2021-04-19,94,1,33
2021-04-20,104,2,51
2021-04-21,96,0,73
2021-04-22,95,2,56
2021-04-23,87,0,44
2021-04-24,15,0,12
2021-04-25,7,0,12
2021-04-26,61,3,38
2021-04-27,65,1,87
2021-04-28,86,0,43
2021-04-29,52,1,60
2021-04-30,75,6,56
2021-05-01,12,1,25
2021-05-02,7,0,15
2021-05-03,59,2,38
2021-05-04,71,1,46
2021-05-05,72,0,38
2021-05-06,83,0,62
2021-05-07,81,0,52
2021-05-08,31,1,14
2021-05-09,12,0,4
2021-05-10,62,0,35
2021-05-11,85,0,59
2021-05-12,89,0,73
2021-05-13,94,1,72
2021-05-14,61,1,61
2021-05-15,37,1,10
2021-05-16,12,0,2
2021-05-17,92,0,41
2021-05-18,76,1,39
2021-05-19,80,0,32
2021-05-20,76,0,40
2021-05-21,102,1,68
2021-05-22,21,0,24
2021-05-23,8,0,11
2021-05-24,53,1,24
2021-05-25,82,1,46
2021-05-26,101,0,43
2021-05-27,94,0,39
2021-05-28,39,0,16
2021-05-29,6,0,6
2021-05-30,4,0,6
2021-05-31,23,0,7
2021-06-01,53,1,30
2021-06-02,70,1,52
2021-06-03,85,0,33
2021-06-04,70,0,55
2021-06-05,12,0,22
2021-06-06,5,0,6
2021-06-07,51,0,21
2021-06-08,89,1,47
2021-06-09,100,0,48
2021-06-10,80,0,38
2021-06-11,84,0,37
2021-06-12,17,0,9
2021-06-13,6,0,5
2021-06-14,58,1,20
2021-06-15,92,1,38
2021-06-16,71,0,33
2021-06-17,97,1,54
2021-06-18,114,0,29
2021-06-19,15,0,8
2021-06-20,10,0,4
2021-06-21,79,2,28
2021-06-22,85,2,47
2021-06-23,98,0,50
2021-06-24,104,1,50
2021-06-25,71,1,46
2021-06-26,18,0,9
2021-06-27,3,0,2
2021-06-28,49,1,39
2021-06-29,78,3,34
2021-06-30,77,4,53
2021-07-01,78,0,35
2021-07-02,62,1,11
2021-07-03,9,0,7
2021-07-04,8,0,0
2021-07-05,37,0,0
2021-07-06,48,3,13
2021-07-07,71,1,54
2021-07-08,106,1,38
2021-07-09,77,0,50
2021-07-10,21,0,18
2021-07-11,11,0,10
2021-07-12,53,0,35
2021-07-13,73,2,20
2021-07-14,97,0,21
2021-07-15,93,0,25
2021-07-16,84,1,35
2021-07-17,15,0,5
2021-07-18,2,0,9
2021-07-19,57,0,27
2021-07-20,64,0,51
2021-07-21,73,0,41
2021-07-22,81,0,37
2021-07-23,72,0,35
2021-07-24,19,0,12
2021-07-25,4,0,3
2021-07-26,57,1,36
2021-07-27,79,0,46
2021-07-28,76,1,32
2021-07-29,81,0,28
2021-07-30,81,1,43
2021-07-31,36,0,7
2021-08-01,16,0,1
2021-08-02,90,1,27
2021-08-03,79,0,49
2021-08-04,77,2,28
2021-08-05,77,0,28
2021-08-06,80,0,28
2021-08-07,30,0,7
2021-08-08,11,0,0
2021-08-09,69,2,34
2021-08-10,97,0,35
2021-08-11,94,0,27
2021-08-12,79,1,19
2021-08-13,92,1,36
2021-08-14,22,2,8
2021-08-15,9,0,5
2021-08-16,52,0,29
2021-08-17,70,1,36
2021-08-18,88,1,50
2021-08-19,57,2,34
2021-08-20,57,0,34
2021-08-21,19,1,8
2021-08-22,12,0,1
2021-08-23,59,1,15
2021-08-24,75,1,45
2021-08-25,78,1,45
2021-08-26,62,1,41
2021-08-27,57,0,42
2021-08-28,19,0,9
2021-08-29,5,0,8
2021-08-30,44,0,35
2021-08-31,52,0,34
2021-09-01,53,0,44
2021-09-02,49,0,48
2021-09-03,49,0,11
2021-09-04,22,0,3
2021-09-05,14,1,6
2021-09-06,23,1,1
2021-09-07,57,0,24
2021-09-08,63,1,48
2021-09-09,88,1,37
2021-09-10,85,2,30
2021-09-11,32,0,9
2021-09-12,13,0,6
2021-09-13,84,1,29
2021-09-14,82,1,37
2021-09-15,48,0,41
2021-09-16,84,1,29
2021-09-17,81,1,56
2021-09-18,22,0,12
2021-09-19,9,0,0
2021-09-20,33,1,18
2021-09-21,74,0,34
2021-09-22,69,1,34
2021-09-23,92,2,28
2021-09-24,63,1,39
2021-09-25,18,0,10
2021-09-26,8,0,1
2021-09-27,58,0,13
2021-09-28,57,7,27
2021-09-29,64,2,32
2021-09-30,72,1,34
2021-10-01,67,0,62
2021-10-02,34,0,13
2021-10-03,8,0,4
2021-10-04,48,1,6
2021-10-05,77,1,33
2021-10-06,104,1,39
2021-10-07,72,1,35
2021-10-08,72,2,53
2021-10-09,38,1,26
2021-10-10,12,0,9
2021-10-11,70,0,27
2021-10-12,103,1,31
2021-10-13,54,2,45
2021-10-14,73,3,29
2021-10-15,181,2,38
2021-10-16,23,0,5
2021-10-17,13,1,6
2021-10-18,58,2,34
2021-10-19,89,4,54
2021-10-20,105,3,43
2021-10-21,136,1,34
2021-10-22,40,0,39
2021-10-23,9,0,10
2021-10-24,28,0,5
2021-10-25,61,0,29
2021-10-26,75,0,40
2021-10-27,50,3,32
2021-10-28,69,4,56
2021-10-29,58,1,39
2021-10-30,17,9,8
2021-10-31,29,1,3
2021-11-01,59,2,19
2021-11-02,67,0,27
2021-11-03,66,3,46
2021-11-04,71,2,38
2021-11-05,45,0,39
2021-11-06,27,1,4
2021-11-07,10,0,2
2021-11-08,75,0,25
2021-11-09,77,0,41
2021-11-10,65,1,27
2021-11-11,83,0,37
2021-11-12,90,0,20
2021-11-13,25,0,11
2021-11-14,7,0,1
2021-11-15,54,1,20
2021-11-16,71,0,39
2021-11-17,60,1,33
2021-11-18,63,4,25
2021-11-19,104,2,42
2021-11-20,17,0,18
2021-11-21,11,2,11
2021-11-22,49,2,13
2021-11-23,65,1,21
2021-11-24,56,1,20
2021-11-25,32,2,3
2021-11-26,26,1,0
2021-11-27,9,0,1
2021-11-28,10,0,2
2021-11-29,51,2,24
2021-11-30,69,0,52
2021-12-01,62,1,30
2021-12-02,56,3,59
2021-12-03,56,0,30
2021-12-04,73,0,10
2021-12-05,16,0,1
2021-12-06,68,0,20
2021-12-07,84,0,37
2021-12-08,71,0,37
2021-12-09,68,0,28
2021-12-10,53,0,25
2021-12-11,29,0,7
2021-12-12,10,0,9
2021-12-13,63,0,5
2021-12-14,88,2,44
2021-12-15,72,0,34
2021-12-16,51,1,39
2021-12-17,29,1,47
2021-12-18,11,0,8
2021-12-19,5,0,7
2021-12-20,44,0,17
2021-12-21,44,2,32
2021-12-22,60,0,34
2021-12-23,59,1,27
2021-12-24,17,3,5
2021-12-25,6,1,2
2021-12-26,7,0,0
2021-12-27,11,0,2
2021-12-28,53,0,13
2021-12-29,74,1,13
2021-12-30,41,0,18
2021-12-31,13,0,2
2022-01-01,4,0,0
2022-01-02,3,0,2
2022-01-03,30,0,3
2022-01-04,62,1,20
2022-01-05,56,2,50
2022-01-06,57,1,37
2022-01-07,80,0,53
2022-01-08,22,0,14
2022-01-09,11,0,3
2022-01-10,47,0,24
2022-01-11,64,0,29
2022-01-12,59,0,49
2022-01-13,44,1,30
2022-01-14,51,0,27
2022-01-15,20,0,7
2022-01-16,5,0,1
2022-01-17,19,0,4
2022-01-18,43,3,19
2022-01-19,59,1,32
2022-01-20,64,0,43
2022-01-21,56,0,34
2022-01-22,18,0,17
2022-01-23,6,0,3
2022-01-24,41,0,10
2022-01-25,66,1,40
2022-01-26,72,1,44
2022-01-27,60,1,49
2022-01-28,52,2,40
2022-01-29,16,0,8
2022-01-30,5,0,4
2022-01-31,42,0,24
2022-02-01,57,1,47
2022-02-02,96,1,34
2022-02-03,67,0,35
2022-02-04,85,0,37
2022-02-05,20,5,11
2022-02-06,14,0,0
2022-02-07,48,0,39
2022-02-08,67,0,31
2022-02-09,80,1,30
2022-02-10,82,1,24
2022-02-11,60,2,43
2022-02-12,17,0,8
2022-02-13,3,0,1
2022-02-14,56,3,25
2022-02-15,88,0,47
2022-02-16,72,1,45
2022-02-17,66,1,31
2022-02-18,54,0,29
2022-02-19,12,0,17
2022-02-20,3,0,3
2022-02-21,15,1,2
2022-02-22,44,0,23
2022-02-23,64,0,36
2022-02-24,65,1,45
2022-02-25,47,0,27
2022-02-26,10,0,13
2022-02-27,3,0,3
2022-02-28,55,0,22
2022-03-01,59,1,52
2022-03-02,72,2,37
2022-03-03,53,0,31
2022-03-04,53,2,30
2022-03-05,21,0,7
2022-03-06,3,0,5
2022-03-07,51,2,15
2022-03-08,53,3,35
2022-03-09,76,0,29
2022-03-10,34,0,25
2022-03-11,44,0,42
2022-03-12,5,0,8
2022-03-13,17,0,2
2022-03-14,44,0,27
2022-03-15,58,3,41
2022-03-16,51,0,51
2022-03-17,40,2,41
2022-03-18,44,2,10
2022-03-19,10,0,2
2022-03-20,2,0,0
2022-03-21,56,0,32
2022-03-22,66,2,41
2022-03-23,79,0,31
2022-03-24,72,3,34
2022-03-25,93,1,36
2022-03-26,33,0,4
2022-03-27,16,0,0
2022-03-28,48,3,34
2022-03-29,56,2,48
2022-03-30,77,0,34
2022-03-31,51,2,46
2022-04-01,57,1,43
2022-04-02,12,0,10
2022-04-03,3,0,1
2022-04-04,45,0,36
2022-04-05,52,0,33
2022-04-06,65,1,51
2022-04-07,57,0,54
2022-04-08,71,0,39
2022-04-09,8,0,9
2022-04-10,5,0,1
2022-04-11,47,0,41
2022-04-12,60,0,33
2022-04-13,57,0,40
2022-04-14,93,0,42
2022-04-15,34,1,47
2022-04-16,17,0,13
2022-04-17,3,0,8
2022-04-18,33,0,27
2022-04-19,59,1,60
2022-04-20,77,0,37
2022-04-21,48,0,23
2022-04-22,66,0,47
2022-04-23,13,0,11
2022-04-24,6,0,6
2022-04-25,49,0,47
2022-04-26,75,2,45
2022-04-27,77,1,25
2022-04-28,67,1,42
2022-04-29,49,0,8
2022-04-30,9,0,4
2022-05-01,5,0,6
2022-05-02,46,0,38
2022-05-03,82,0,54
2022-05-04,71,0,46
2022-05-05,70,0,43
2022-05-06,94,0,30
2022-05-07,20,0,11
2022-05-08,4,0,4
2022-05-09,52,0,42
2022-05-10,62,0,50
2022-05-11,73,0,74
2022-05-12,40,0,45
2022-05-13,59,0,53
2022-05-14,10,0,14
2022-05-15,8,0,8
2022-05-16,55,1,42
2022-05-17,95,2,51
2022-05-18,71,1,65
2022-05-19,80,1,60
2022-05-20,67,0,54
2022-05-21,12,0,20
2022-05-22,6,0,12
2022-05-23,62,1,24
2022-05-24,63,0,50
2022-05-25,50,1,43
2022-05-26,64,0,47
2022-05-27,62,0,13
2022-05-28,16,0,6
2022-05-29,6,0,1
2022-05-30,29,1,8
2022-05-31,58,1,56
2022-06-01,107,0,57
2022-06-02,65,1,44
2022-06-03,82,0,51
2022-06-04,22,0,11
2022-06-05,13,0,7
2022-06-06,39,0,57
2022-06-07,93,1,43
2022-06-08,51,0,52
2022-06-09,48,0,67
2022-06-10,66,1,54
2022-06-11,16,0,18
2022-06-12,9,0,7
2022-06-13,58,0,45
2022-06-14,57,2,62
2022-06-15,57,0,42
2022-06-16,51,0,49
2022-06-17,67,1,45
2022-06-18,13,0,8
2022-06-19,3,0,2
2022-06-20,22,2,36
2022-06-21,34,3,50
2022-06-22,59,1,58
2022-06-23,86,4,37
2022-06-24,86,0,49
2022-06-25,19,0,11
2022-06-26,7,0,4
2022-06-27,38,0,46
2022-06-28,65,2,41
2022-06-29,43,1,48
2022-06-30,62,0,47
2022-07-01,53,0,17
2022-07-02,11,0,4
2022-07-03,3,0,1
2022-07-04,26,0,11
2022-07-05,17,2,50
2022-07-06,46,1,49
2022-07-07,39,2,59
2022-07-08,62,0,52
2022-07-09,10,0,16
2022-07-10,2,0,1
2022-07-11,56,0,28
2022-07-12,65,0,43
2022-07-13,48,0,57
2022-07-14,61,0,41
2022-07-15,46,4,51
2022-07-16,10,0,15
2022-07-17,7,0,11
2022-07-18,49,1,23
2022-07-19,65,3,44
2022-07-20,67,0,48
2022-07-21,80,1,1222
2022-07-22,52,1,64
2022-07-23,13,0,17
2022-07-24,7,0,8
2022-07-25,50,0,46
2022-07-26,67,0,51
2022-07-27,74,0,83
2022-07-28,80,0,47
2022-07-29,66,1,35
2022-07-30,20,0,8
2022-07-31,3,0,2
2022-08-01,40,1,33
2022-08-02,76,1,34
2022-08-03,75,0,51
2022-08-04,70,3,43
2022-08-05,61,0,39
2022-08-06,11,0,21
2022-08-07,7,0,10
2022-08-08,63,0,42
2022-08-09,69,0,37
2022-08-10,73,0,48
2022-08-11,67,0,43
2022-08-12,67,2,34
2022-08-13,1,0,12
2022-08-14,8,0,3
2022-08-15,53,0,23
2022-08-16,86,1,51
2022-08-17,69,0,45
2022-08-18,72,0,44
2022-08-19,56,0,51
2022-08-20,12,0,9
2022-08-21,5,0,7
2022-08-22,71,1,42
2022-08-23,74,1,43
2022-08-24,65,0,50
