,gorhill/ublock,brave/brave-browser,adblockplus/adblockplus
2017-07-28,0,0,0
2017-07-29,0,0,0
2017-07-30,0,0,0
2017-07-31,1,0,0
2017-08-01,0,0,0
2017-08-02,0,1,0
2017-08-03,3,0,0
2017-08-04,4,0,0
2017-08-05,3,0,0
2017-08-06,0,0,0
2017-08-07,0,0,0
2017-08-08,4,0,0
2017-08-09,1,0,0
2017-08-10,3,0,0
2017-08-11,3,0,0
2017-08-12,2,0,0
2017-08-13,2,0,0
2017-08-14,1,0,0
2017-08-15,1,0,0
2017-08-16,3,1,0
2017-08-17,5,0,0
2017-08-18,1,0,0
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,3,0,1
2017-08-22,3,0,1
2017-08-23,3,0,2
2017-08-24,3,0,0
2017-08-25,0,0,2
2017-08-26,0,0,0
2017-08-27,0,0,0
2017-08-28,1,0,2
2017-08-29,2,0,3
2017-08-30,9,0,0
2017-08-31,3,0,0
2017-09-01,2,2,0
2017-09-02,10,1,0
2017-09-03,0,0,0
2017-09-04,7,0,1
2017-09-05,3,0,0
2017-09-06,0,1,0
2017-09-07,0,0,0
2017-09-08,0,0,0
2017-09-09,0,0,0
2017-09-10,4,0,0
2017-09-11,5,0,0
2017-09-12,1,2,0
2017-09-13,2,0,0
2017-09-14,3,0,2
2017-09-15,0,0,3
2017-09-16,7,0,0
2017-09-17,2,0,0
2017-09-18,4,0,1
2017-09-19,3,0,0
2017-09-20,4,1,0
2017-09-21,5,0,0
2017-09-22,0,1,3
2017-09-23,1,0,0
2017-09-24,0,0,0
2017-09-25,0,0,4
2017-09-26,7,0,1
2017-09-27,7,0,1
2017-09-28,4,0,4
2017-09-29,3,1,4
2017-09-30,6,0,0
2017-10-01,3,0,0
2017-10-02,5,0,0
2017-10-03,0,0,0
2017-10-04,6,3,0
2017-10-05,2,0,2
2017-10-06,5,0,1
2017-10-07,0,0,0
2017-10-08,1,0,0
2017-10-09,2,0,3
2017-10-10,0,0,3
2017-10-11,0,0,5
2017-10-12,1,0,0
2017-10-13,5,0,1
2017-10-14,0,1,0
2017-10-15,1,0,0
2017-10-16,0,0,0
2017-10-17,0,0,2
2017-10-18,3,1,0
2017-10-19,7,1,0
2017-10-20,1,0,2
2017-10-21,4,0,0
2017-10-22,3,0,0
2017-10-23,8,1,1
2017-10-24,11,0,9
2017-10-25,4,0,1
2017-10-26,3,0,2
2017-10-27,1,1,2
2017-10-28,3,0,0
2017-10-29,3,0,0
2017-10-30,0,0,0
2017-10-31,4,0,0
2017-11-01,0,0,0
2017-11-02,3,0,3
2017-11-03,2,0,2
2017-11-04,0,0,0
2017-11-05,4,0,0
2017-11-06,0,0,0
2017-11-07,3,0,0
2017-11-08,4,1,1
2017-11-09,5,0,0
2017-11-10,7,9,0
2017-11-11,4,0,0
2017-11-12,2,1,0
2017-11-13,2,0,0
2017-11-14,3,0,1
2017-11-15,2,0,0
2017-11-16,3,1,1
2017-11-17,0,0,0
2017-11-18,1,0,0
2017-11-19,0,2,0
2017-11-20,3,0,0
2017-11-21,4,0,1
2017-11-22,2,0,1
2017-11-23,0,0,2
2017-11-24,2,0,3
2017-11-25,0,0,0
2017-11-26,0,0,0
2017-11-27,4,0,0
2017-11-28,0,0,2
2017-11-29,4,0,0
2017-11-30,4,0,1
2017-12-01,2,0,0
2017-12-02,0,0,0
2017-12-03,2,0,0
2017-12-04,0,0,0
2017-12-05,5,0,1
2017-12-06,0,1,1
2017-12-07,1,0,0
2017-12-08,4,0,1
2017-12-09,0,0,0
2017-12-10,2,0,0
2017-12-11,0,0,0
2017-12-12,0,0,1
2017-12-13,2,0,1
2017-12-14,4,0,1
2017-12-15,4,0,0
2017-12-16,0,0,0
2017-12-17,5,0,0
2017-12-18,0,0,0
2017-12-19,0,1,1
2017-12-20,0,0,2
2017-12-21,1,0,0
2017-12-22,6,0,0
2017-12-23,1,0,0
2017-12-24,0,0,0
2017-12-25,0,0,0
2017-12-26,0,0,0
2017-12-27,1,0,0
2017-12-28,3,0,0
2017-12-29,7,6,0
2017-12-30,12,0,0
2017-12-31,4,0,0
2018-01-01,4,0,0
2018-01-02,0,1,0
2018-01-03,5,0,0
2018-01-04,5,0,0
2018-01-05,3,0,0
2018-01-06,1,0,0
2018-01-07,4,0,0
2018-01-08,6,0,1
2018-01-09,3,0,1
2018-01-10,4,0,0
2018-01-11,3,0,0
2018-01-12,1,0,1
2018-01-13,7,0,0
2018-01-14,0,1,0
2018-01-15,1,0,0
2018-01-16,3,0,0
2018-01-17,0,0,0
2018-01-18,1,3,0
2018-01-19,0,0,0
2018-01-20,1,1,0
2018-01-21,0,0,0
2018-01-22,0,0,1
2018-01-23,0,0,0
2018-01-24,0,0,0
2018-01-25,0,0,2
2018-01-26,0,0,0
2018-01-27,0,0,0
2018-01-28,0,0,0
2018-01-29,0,2,0
2018-01-30,1,3,0
2018-01-31,3,0,1
2018-02-01,0,0,0
2018-02-02,0,0,0
2018-02-03,5,0,0
2018-02-04,1,0,0
2018-02-05,1,0,0
2018-02-06,0,1,0
2018-02-07,0,0,0
2018-02-08,1,0,1
2018-02-09,0,4,0
2018-02-10,0,5,0
2018-02-11,0,0,0
2018-02-12,5,0,0
2018-02-13,0,0,0
2018-02-14,0,1,2
2018-02-15,5,1,0
2018-02-16,6,2,0
2018-02-17,0,0,0
2018-02-18,4,0,0
2018-02-19,0,4,0
2018-02-20,1,3,0
2018-02-21,3,1,1
2018-02-22,0,0,1
2018-02-23,4,0,1
2018-02-24,6,0,0
2018-02-25,1,0,0
2018-02-26,10,0,0
2018-02-27,3,0,0
2018-02-28,8,2,0
2018-03-01,10,0,0
2018-03-02,3,1,0
2018-03-03,0,0,0
2018-03-04,11,0,0
2018-03-05,8,0,0
2018-03-06,5,2,2
2018-03-07,2,2,3
2018-03-08,0,0,0
2018-03-09,0,0,0
2018-03-10,0,0,0
2018-03-11,8,0,0
2018-03-12,9,0,1
2018-03-13,4,0,2
2018-03-14,5,5,1
2018-03-15,0,0,0
2018-03-16,10,0,1
2018-03-17,11,0,0
2018-03-18,5,0,0
2018-03-19,2,0,0
2018-03-20,0,7,0
2018-03-21,4,1,1
2018-03-22,0,0,1
2018-03-23,6,1,1
2018-03-24,0,0,0
2018-03-25,0,0,0
2018-03-26,0,5,0
2018-03-27,8,2,1
2018-03-28,11,9,0
2018-03-29,0,0,0
2018-03-30,10,0,0
2018-03-31,13,0,0
2018-04-01,3,0,0
2018-04-02,11,1,0
2018-04-03,0,0,0
2018-04-04,2,0,1
2018-04-05,6,0,0
2018-04-06,8,3,0
2018-04-07,2,0,0
2018-04-08,1,0,0
2018-04-09,13,0,0
2018-04-10,10,0,0
2018-04-11,5,0,0
2018-04-12,10,1,0
2018-04-13,1,1,0
2018-04-14,7,0,0
2018-04-15,7,0,0
2018-04-16,0,0,0
2018-04-17,0,4,0
2018-04-18,3,0,0
2018-04-19,2,0,0
2018-04-20,8,1,0
2018-04-21,3,0,0
2018-04-22,5,1,0
2018-04-23,4,1,0
2018-04-24,8,0,1
2018-04-25,3,0,0
2018-04-26,3,0,1
2018-04-27,15,0,0
2018-04-28,6,0,0
2018-04-29,5,0,0
2018-04-30,5,0,0
2018-05-01,6,0,0
2018-05-02,8,1,0
2018-05-03,2,0,0
2018-05-04,3,0,0
2018-05-05,2,0,0
2018-05-06,5,0,0
2018-05-07,4,0,0
2018-05-08,7,1,0
2018-05-09,1,1,0
2018-05-10,4,0,0
2018-05-11,1,0,0
2018-05-12,1,1,0
2018-05-13,0,0,0
2018-05-14,4,0,0
2018-05-15,4,0,0
2018-05-16,6,2,0
2018-05-17,6,0,0
2018-05-18,5,0,0
2018-05-19,0,0,0
2018-05-20,9,0,0
2018-05-21,0,1,0
2018-05-22,1,1,0
2018-05-23,0,0,0
2018-05-24,0,0,0
2018-05-25,2,2,0
2018-05-26,0,0,0
2018-05-27,2,0,0
2018-05-28,3,1,0
2018-05-29,1,1,0
2018-05-30,3,0,15
2018-05-31,4,0,0
2018-06-01,8,2,0
2018-06-02,0,0,0
2018-06-03,6,1,0
2018-06-04,4,5,0
2018-06-05,0,0,1
2018-06-06,0,2,0
2018-06-07,0,2,0
2018-06-08,0,4,0
2018-06-09,0,0,0
2018-06-10,1,0,0
2018-06-11,0,0,0
2018-06-12,2,6,0
2018-06-13,0,6,0
2018-06-14,3,0,0
2018-06-15,0,6,0
2018-06-16,0,0,0
2018-06-17,0,0,0
2018-06-18,0,1,0
2018-06-19,0,3,0
2018-06-20,0,3,0
2018-06-21,2,0,0
2018-06-22,1,4,0
2018-06-23,1,2,0
2018-06-24,3,0,0
2018-06-25,0,9,0
2018-06-26,4,8,0
2018-06-27,0,6,0
2018-06-28,2,4,0
2018-06-29,0,5,0
2018-06-30,0,6,0
2018-07-01,0,3,0
2018-07-02,0,2,0
2018-07-03,0,4,0
2018-07-04,5,0,0
2018-07-05,2,0,0
2018-07-06,4,4,0
2018-07-07,0,0,0
2018-07-08,1,0,0
2018-07-09,1,0,0
2018-07-10,3,0,0
2018-07-11,0,5,0
2018-07-12,0,2,0
2018-07-13,0,2,0
2018-07-14,0,0,0
2018-07-15,0,0,0
2018-07-16,4,2,0
2018-07-17,1,4,0
2018-07-18,1,5,2
2018-07-19,6,2,0
2018-07-20,10,18,0
2018-07-21,4,0,0
2018-07-22,11,1,0
2018-07-23,6,3,0
2018-07-24,2,11,0
2018-07-25,3,2,0
2018-07-26,2,6,2
2018-07-27,0,3,3
2018-07-28,0,0,0
2018-07-29,0,3,0
2018-07-30,1,4,0
2018-07-31,0,2,0
2018-08-01,0,0,0
2018-08-02,3,1,0
2018-08-03,0,1,0
2018-08-04,0,0,0
2018-08-05,0,0,0
2018-08-06,3,2,0
2018-08-07,0,1,0
2018-08-08,0,2,0
2018-08-09,1,5,0
2018-08-10,0,3,0
2018-08-11,4,0,0
2018-08-12,7,1,0
2018-08-13,3,0,0
2018-08-14,14,0,0
2018-08-15,7,4,0
2018-08-16,0,0,0
2018-08-17,0,2,0
2018-08-18,1,0,0
2018-08-19,0,0,0
2018-08-20,0,2,0
2018-08-21,6,0,0
2018-08-22,3,0,1
2018-08-23,0,0,0
2018-08-24,4,2,1
2018-08-25,4,1,0
2018-08-26,0,0,0
2018-08-27,3,0,0
2018-08-28,0,2,1
2018-08-29,3,1,0
2018-08-30,1,0,0
2018-08-31,5,1,0
2018-09-01,5,1,0
2018-09-02,1,0,0
2018-09-03,9,2,1
2018-09-04,3,0,0
2018-09-05,2,0,0
2018-09-06,2,2,1
2018-09-07,7,1,2
2018-09-08,0,2,0
2018-09-09,8,3,0
2018-09-10,0,1,1
2018-09-11,6,4,2
2018-09-12,0,1,0
2018-09-13,0,2,69
2018-09-14,1,2,2
2018-09-15,1,0,0
2018-09-16,0,0,0
2018-09-17,0,3,0
2018-09-18,5,0,1
2018-09-19,1,0,0
2018-09-20,2,0,3
2018-09-21,4,1,1
2018-09-22,0,1,0
2018-09-23,2,2,0
2018-09-24,0,2,1
2018-09-25,0,0,4
2018-09-26,4,7,7
2018-09-27,0,11,0
2018-09-28,0,3,1
2018-09-29,3,0,0
2018-09-30,0,1,0
2018-10-01,1,7,0
2018-10-02,1,3,1
2018-10-03,0,2,0
2018-10-04,1,1,3
2018-10-05,0,3,7
2018-10-06,0,0,0
2018-10-07,0,0,0
2018-10-08,0,3,1
2018-10-09,0,6,0
2018-10-10,0,0,1
2018-10-11,0,3,0
2018-10-12,0,0,1
2018-10-13,0,0,0
2018-10-14,0,3,0
2018-10-15,1,0,0
2018-10-16,0,5,0
2018-10-17,2,7,1
2018-10-18,3,18,0
2018-10-19,3,0,0
2018-10-20,0,3,0
2018-10-21,0,0,0
2018-10-22,1,1,1
2018-10-23,3,0,0
2018-10-24,9,2,2
2018-10-25,1,3,2
2018-10-26,0,3,0
2018-10-27,0,0,0
2018-10-28,4,0,0
2018-10-29,3,1,0
2018-10-30,0,4,0
2018-10-31,1,3,0
2018-11-01,0,5,0
2018-11-02,4,2,2
2018-11-03,5,0,0
2018-11-04,6,1,0
2018-11-05,3,0,0
2018-11-06,7,2,0
2018-11-07,0,2,2
2018-11-08,9,2,0
