,raywenderlich/swift-style-guide,vsouza/awesome-ios,matteocrippa/awesome-swift
2014-12-22,7,-0.4436227050718751,0
2014-12-23,0,-0.22922099999999976,0
2014-12-24,0,-0.1601742749999998,0
2014-12-25,0,0.8763390700000004,0
2014-12-26,0,-0.20076796478124978,0
2014-12-27,0,-0.1299886816187498,0
2014-12-28,0,-0.08697764635781235,0
2014-12-29,0,-0.04936743904687485,1
2014-12-30,0,-0.04131330760781238,0
2014-12-31,0,-0.01316201249999996,0
2015-01-01,0,-0.011093696249999967,0
2015-01-02,0,-0.009568313015624975,0
2015-01-03,0,-0.008398852535937478,2
2015-01-04,0,3.0,0
2015-01-05,0,-0.30000000000000027,1
2015-01-06,0,-0.1350000000000001,0
2015-01-07,0,-0.08550000000000006,0
2015-01-08,0,-0.06198749999999977,0
2015-01-09,0,-0.048350249999999845,0
2015-01-10,0,-0.03948603749999988,0
2015-01-11,0,-0.0332810887499999,0
2015-01-12,0,-0.028704939046874926,1
2015-01-13,0,-0.025196557607812434,2
2015-01-14,0,1.0,0
2015-01-15,0,0.8999999999999999,0
2015-01-16,0,1.855,7
2015-01-17,0,-0.27350000000000024,0
2015-01-18,0,0.8608374999999999,0
2015-01-19,0,-0.19377925000000001,0
2015-01-20,0,1.8843962375000003,0
2015-01-21,0,3.71501079125,0
2015-01-22,0,1.4423514657343748,0
2015-01-23,0,1.5067286919484373,0
2015-01-24,0,-0.4860224910671876,0
2015-01-25,0,0.7102250986781253,0
2015-01-26,0,0.7013156619843753,2
2015-01-27,0,4.698207204964063,2
2015-01-28,0,0.30443106396874986,0
2015-01-29,0,3.522255125365625,0
2015-01-30,0,1.3008013213249998,0
2015-01-31,0,-0.5770255936031248,0
2015-02-01,0,-0.3462996638218747,0
2015-02-02,0,-0.24223882176562445,0
2015-02-03,0,1.807610340698438,0
2015-02-04,0,8.647784336135938,0
2015-02-05,0,-0.11226138569531297,2
2015-02-06,0,8.369140502901562,2
2015-02-07,0,-1.2955570361750008,0
2015-02-08,0,1.3315062949281256,0
2015-02-09,0,1.3514627250000002,0
2015-02-10,0,2.367275245000001,0
2015-02-11,0,10.27580734521875,6
2015-02-12,0,-1.5657893309625002,2
2015-02-13,0,-0.8390597520890621,4
2015-02-14,0,-0.528558694676562,0
2015-02-15,0,-0.3997388403234362,0
2015-02-16,0,-0.25809430603124917,0
2015-02-17,0,0.7860024426468756,0
2015-02-18,0,0.7324666971312503,0
2015-02-19,0,-0.2754480007796873,0
2015-02-20,0,-0.16588737789531233,2
2015-02-21,0,-0.04916249999999994,0
2015-02-22,0,-0.036779249999999875,1
2015-02-23,0,-0.02927876249999991,2
2015-02-24,0,-0.024255708749999928,3
2015-02-25,0,0.9793379907343751,2
2015-02-26,0,-0.11796716555156254,1
2015-02-27,0,7.9466011474640625,12
2015-02-28,0,-0.8285000000000007,3
2015-03-01,0,-0.3806625000000002,6
2015-03-02,0,-0.24411675000000013,9
2015-03-03,0,0.8215379875000006,7
2015-03-04,0,-0.24002769624999964,1
2015-03-05,0,11.840135586984376,5
2015-03-06,0,-0.3256484225359384,3
2015-03-07,0,-0.7372090041250001,5
2015-03-08,0,-0.47030757028750003,0
2015-03-09,0,0.710387987500001,0
2015-03-10,0,-0.3251571962499994,6
2015-03-11,0,1.7713707869843756,1
2015-03-12,0,-0.38318522003593725,0
2015-03-13,0,6.7634240475625,2
2015-03-14,1,-0.8834712934468754,0
2015-03-15,0,-0.3778858650359375,0
2015-03-16,0,-0.24282719625000002,2
2015-03-17,0,5.819470161984375,2
2015-03-18,0,3.2565965049640626,2
2015-03-19,0,1.2187292864687498,4
2015-03-20,0,0.35454642117812485,1
2015-03-21,1,6.505046808890626,0
2015-03-22,0,6.959857532248438,0
2015-03-23,0,3.6717359249999997,3
2015-03-24,0,-1.2316062275000004,0
2015-03-25,0,-0.7418629380937495,2
2015-03-26,0,1.455366977721876,2
2015-03-27,0,1.411793680075001,0
2015-03-28,0,-0.5799017418374994,0
2015-03-29,0,-0.376936676145312,0
2015-03-30,0,6.710868046873438,1
2015-03-31,0,2.111409114634375,6
2015-04-01,1,4.284448212320312,5
2015-04-02,0,-0.8830114175000006,0
2015-04-03,0,-0.49646151853124965,1
2015-04-04,0,-0.3532390811031244,0
2015-04-05,1,-0.26059454257187414,0
2015-04-06,2,2.8022743387500006,1
2015-04-07,0,1.5339306576406253,5
2015-04-08,0,9.522034611951563,5
2015-04-09,13,-1.2485381226859382,4
2015-04-10,0,2.3890182373203124,2
2015-04-11,0,-0.6746752500000002,2
2015-04-12,0,-0.4133445374999991,0
2015-04-13,0,0.6937273862500006,0
2015-04-14,0,7.6555000434531255,3
2015-04-15,0,18.951379603860936,1
2015-04-16,0,-1.5404668727281265,2
2015-04-17,1,3.6340678858906243,1
2015-04-18,0,-1.3251216890468753,1
2015-04-19,0,-0.8340425701078106,2
2015-04-20,0,-0.6018872962499986,1
2015-04-21,0,2.5190126169843765,2
2015-04-22,0,3.2994349558390637,0
2015-04-23,0,-0.8704608393499995,0
2015-04-24,0,-0.49851384498437457,0
2015-04-25,0,-0.2322279176140622,0
2015-04-26,0,-0.17299451267968693,0
2015-04-27,0,1.8960469625000003,2
2015-04-28,0,1.7140708612500002,0
2015-04-29,0,1.636920275953125,9
2015-04-30,0,-0.4104698096703126,3
2015-05-01,0,-0.22192041014374986,2
2015-05-02,0,-0.1305584999999998,2
2015-05-03,0,0.9001174750000003,0
2015-05-04,0,0.8192550825000002,2
2015-05-05,0,5.78735195646875,2
2015-05-06,0,1.2683782763968745,3
2015-05-07,1,5.444903168896875,0
2015-05-08,0,5.085423044928125,0
2015-05-09,0,0.9197462374999998,1
2015-05-10,0,1.1967187912500001,0
2015-05-11,0,2.2831574157343755,5
2015-05-12,0,8.221471131948437,2
2015-05-13,0,-1.3969936981296875,2
2015-05-14,0,3.2208775062531254,8
2015-05-15,0,-0.9178147856656247,5
2015-05-16,0,0.4293728391906261,1
2015-05-17,0,-0.4902539212468744,0
2015-05-18,0,0.6846764676468758,2
2015-05-19,0,0.6616870896312506,7
2015-05-20,0,-0.3296219247484371,1
2015-05-21,0,11.790418792176563,3
2015-05-22,0,5.699402235437499,7
2015-05-23,0,3.678531643606249,0
2015-05-24,0,2.804152924484374,0
2015-05-25,0,2.894895438714063,0
2015-05-26,0,3.9187994907343757,1
2015-05-27,0,-1.1860410655515619,6
2015-05-28,0,0.2641089549640635,2
2015-05-29,0,1.3520973075625011,0
2015-05-30,0,-0.6886604527906238,2
2015-05-31,0,-0.4027401178296868,2
2015-06-01,0,6.731885137757813,15
2015-06-02,0,6.11522110654375,2
2015-06-03,0,1.8581675122781245,13
2015-06-04,0,1.1060880160703122,3
2015-06-05,0,6.2891067944843755,2
2015-06-06,0,-0.1604902285671872,3
2015-06-07,0,-0.7557365425718745,1
2015-06-08,0,1.4960347887500007,0
2015-06-09,0,4.410508897640626,2
2015-06-10,0,-0.9088550226109371,4
2015-06-11,0,-0.49993513679843715,1
2015-06-12,0,0.681023930110938,1
2015-06-13,0,-0.33041559243124935,1
2015-06-14,0,2.779731944232813,1
2015-06-15,0,-0.42489630753593755,9
2015-06-16,0,0.7697323927187503,0
2015-06-17,0,-0.26625602014999994,2
2015-06-18,0,2.837856224820313,0
2015-06-19,0,4.61205605375,1
2015-06-20,0,-0.7047168505156254,0
2015-06-21,0,1.6317033087140624,4
2015-06-22,0,0.5536455484531251,0
2015-06-23,0,8.622046996142188,2
2015-06-24,1,-1.1316381005156255,1
2015-06-25,0,-0.5823150037859374,2
2015-06-26,0,4.606430579703125,0
2015-06-27,0,-0.8014413976859369,2
2015-06-28,0,0.552605582320313,0
2015-06-29,0,3.6088115652187502,4
2015-06-30,1,3.3254782156625002,0
2015-07-01,0,0.2164025803234375,11
2015-07-02,0,1.4439377646765625,3
2015-07-03,0,4.4867647687500005,1
2015-07-04,0,-0.8266205775781248,3
2015-07-05,0,-0.47286550892968715,0
2015-07-06,0,2.6934671019843757,5
2015-07-07,0,7.460245097901563,2
2015-07-08,0,1.87512986654375,2
2015-07-09,0,1.1233388218406248,1
2015-07-10,0,-0.7079914598171875,0
2015-07-11,0,3.546210479850001,0
2015-07-12,0,0.27059819982031297,0
2015-07-13,0,0.4917475612500005,2
2015-07-14,0,7.551825953453125,3
2015-07-15,0,3.8825018245171874,1
2015-07-16,0,1.9082873481656248,1
2015-07-17,0,4.113239516360937,0
2015-07-18,0,-0.03325125257187489,2
2015-07-19,0,-0.7052754608124994,4
2015-07-20,0,-0.48962476940937416,5
2015-07-21,0,-0.3526895480515615,5
2015-07-22,0,2.7188538745890636,0
2015-07-23,0,0.4697597133843754,2
2015-07-24,0,1.6256703045234377,2
2015-07-25,0,-0.4146318189359376,2
2015-07-26,0,0.7679499243046878,2
2015-07-27,0,0.7655883974640626,2
2015-07-28,0,1.7580722125000001,2
2015-07-29,0,-0.35217660125,0
2015-07-30,0,2.794714839703125,2
2015-07-31,0,-0.4507315131234375,1
2015-08-01,0,-0.23313924106718728,0
2015-08-02,0,0.8412130861781252,3
2015-08-03,0,0.7910264657343753,7
2015-08-04,0,5.7664951919484375,4
2015-08-05,0,1.2594784839328121,6
2015-08-06,0,-0.5692412938218752,0
2015-08-07,0,0.673515810953125,1
2015-08-08,0,-0.335450320107812,0
2015-08-09,0,4.79271879125,0
2015-08-10,0,6.339632415734375,5
2015-08-11,0,-1.056515868051563,0
2015-08-12,0,-0.5616128731296876,0
2015-08-13,0,-0.3855042537468746,0
2015-08-14,0,1.746887348678126,0
2015-08-15,0,-0.3881956255156246,0
2015-08-16,0,-0.2460014212859371,2
2015-08-17,0,0.8175025611718754,0
2015-08-18,0,0.7497025462109379,2
2015-08-19,0,4.7639745322484375,2
2015-08-20,0,-0.5998240250000004,0
2015-08-21,0,0.7036501074999999,0
2015-08-22,0,-0.29841587603124997,0
2015-08-23,0,15.805611032428125,1
2015-08-24,0,5.266660541249999,2
2015-08-25,0,13.472865428234375,1
2015-08-26,0,5.639447603198436,7
2015-08-27,0,1.9254975698859376,0
2015-08-28,0,1.356906541070313,2
2015-08-29,0,-0.35091526301562337,4
2015-08-30,0,1.9659166699640647,0
2015-08-31,0,4.929736930500002,1
2015-09-01,0,3.6369841245656263,0
2015-09-02,0,2.731772967014063,1
2015-09-03,0,6.839505635335938,1
2015-09-04,0,-0.4467324235999999,4
2015-09-05,0,-0.8868930829406245,3
2015-09-06,0,0.4167482156265633,2
2015-09-07,0,0.47225696841718867,0
2015-09-08,0,1.5146805330484385,3
2015-09-09,0,8.46247768470625,4
2015-09-10,0,11.778658402757813,2
2015-09-11,0,5.0799851394812485,0
2015-09-12,0,1.3111371041968742,1
2015-09-13,0,-0.23635056128593734,1
2015-09-14,0,-0.8951492842656238,8
2015-09-15,4,4.356732079448439,9
2015-09-16,0,5.998210342682814,3
2015-09-17,0,-1.3332774109624996,3
2015-09-18,0,2.2092635967234378,2
2015-09-19,0,6.174581124673438,1
2015-09-20,0,-1.1588118530484373,0
2015-09-21,0,6.386107816876563,9
2015-09-22,0,8.882511078714062,9
2015-09-23,0,5.366514811171875,1
2015-09-24,0,6.389224258710938,0
2015-09-25,0,0.27115535599843743,0
2015-09-26,0,0.8146969372031259,2
2015-09-27,0,1.9918861637828136,8
2015-09-28,0,2.006814783498439,4
2015-09-29,0,24.067691758890625,14
2015-09-30,0,5.868514428342186,3
2015-10-01,0,1.5292386885312492,2
2015-10-02,0,2.188312360623437,1
2015-10-03,0,0.4505863736812519,3
2015-10-04,0,3.808417292646877,0
2015-10-05,0,5.660465204631251,3
2015-10-06,0,-1.5788190154046866,1
2015-10-07,0,6.019812300751564,0
2015-10-08,0,0.5718450344609383,0
2015-10-09,0,13.075217015114063,3
2015-10-10,0,1.0378166327937492,2
2015-10-11,0,0.6680278950750003,0
2015-10-12,0,21.9695626061,9
2015-10-13,0,-1.9981150412890631,2
2015-10-14,0,3.357606133498438,2
2015-10-15,0,0.4363909913906252,6
2015-10-16,0,3.7663026212171897,1
2015-10-17,0,3.6657930489593764,3
2015-10-18,0,2.627368195450001,1
2015-10-19,0,6.797941040110938,3
2015-10-20,0,1.4281813368187504,1
2015-10-21,0,-0.24243067759218673,3
2015-10-22,0,-0.7704716226140619,5
2015-10-23,0,0.4573235675390638,6
2015-10-24,0,-0.49217730139999893,2
2015-10-25,0,0.6464805372421883,6
2015-10-26,0,1.6468801277578131,1
2015-10-27,0,-0.4222475155187497,0
2015-10-28,0,-0.24160620558437473,4
2015-10-29,0,0.8744106168765626,0
2015-10-30,0,-0.17693429878593733,2
2015-10-31,0,1.9000361744843752,4
2015-11-01,0,-0.27431657378593755,3
2015-11-02,0,0.8575817944843751,6
2015-11-03,0,0.7993477714328125,1
2015-11-04,0,10.783715282428124,5
2015-11-05,0,4.783172803749999,0
2015-11-06,1,-1.1800548380156257,2
2015-11-07,0,2.3491345049640624,0
2015-11-08,0,-0.7467028885312494,2
2015-11-09,0,-0.477312663821874,11
2015-11-10,0,-0.3476446467656243,2
2015-11-11,0,0.7190426006984384,2
2015-11-12,0,19.671437276792187,13
2015-11-13,0,6.765716706510936,0
2015-11-14,0,0.0878257960343738,0
2015-11-15,0,0.7756325609531243,0
2015-11-16,0,-1.0010633076078113,3
2015-11-17,0,1.3315404875000016,5
2015-11-18,0,27.282290303750003,0
2015-11-19,0,3.686541149484374,4
2015-11-20,0,-1.3751659040984379,6
2015-11-21,0,1.4430717146406251,1
2015-11-22,0,9.727802808645315,2
2015-11-23,0,3.0783351438968762,3
2015-11-24,0,3.3784988024281257,2
2015-11-25,0,14.46150154146875,0
2015-11-26,0,11.381333894240626,4
2015-11-27,0,0.10417745413437496,0
2015-11-28,0,-1.8163197570171872,0
2015-11-29,0,7.829871737167189,0
2015-11-30,0,19.215630455470315,0
2015-12-01,0,6.801088375776563,3
2015-12-02,0,0.2985466072421872,2
2015-12-03,0,3.075652444070313,1
2015-12-04,0,2.1994176384562523,6
2015-12-05,0,-1.520323737049998,3
2015-12-06,0,3.052902913642189,5
2015-12-07,0,2.8836346866093763,7
2015-12-08,0,0.8298190038484388,7
2015-12-09,0,4.070382815339063,2
2015-12-10,0,8.99254000434375,9
2015-12-11,0,8.453470092314062,26
2015-12-12,0,2.168792435257812,3
2015-12-13,0,1.59883575485625,2
2015-12-14,0,-1.1611808120624993,4
2015-12-15,0,15.223341382793752,5
2015-12-16,0,-1.169138142425,2
2015-12-17,0,-1.2536508576499992,0
2015-12-18,0,3.149387344664063,1
2015-12-19,0,-1.0226324780156233,2
2015-12-20,0,5.385926633828126,0
2015-12-21,0,13.996990700809375,23
2015-12-22,0,0.9314922898921871,11
2015-12-23,0,3.6253462955,2
2015-12-24,0,-0.3830730035906249,0
2015-12-25,0,5.130088362464064,2
2015-12-26,0,-1.2084840770624994,0
2015-12-27,0,-0.7477505251437487,0
2015-12-28,0,5.464452390656251,9
2015-12-29,0,-1.0331007116999993,3
2015-12-30,0,1.4099812791640631,1
2015-12-31,0,2.4658961060640627,2
2016-01-01,0,1.367900246804688,0
2016-01-02,0,9.445490769370313,2
2016-01-03,0,5.6538098097843745,1
2016-01-04,0,-1.3677831775000004,1
2016-01-05,0,16.22659084690625,15
2016-01-06,0,2.7495749547843746,3
2016-01-07,0,9.35045326021875,3
2016-01-08,0,0.8783725883812492,4
2016-01-09,0,2.463833266360939,1
2016-01-10,0,-0.4159339589781239,0
2016-01-11,1,1.9519078210312517,2
2016-01-12,0,12.988533383498439,4
2016-01-13,0,8.942587809984374,4
2016-01-14,0,-2.252768254439063,2
2016-01-15,0,16.79472090539844,6
2016-01-16,0,-2.6297543644421877,3
2016-01-17,0,3.623028456579689,5
2016-01-18,0,-1.4509972369093744,1
2016-01-19,0,2.0658773234171894,2
2016-01-20,0,20.986214901423438,2
2016-01-21,0,8.101935896325,2
2016-01-22,0,12.451842339604687,6
2016-01-23,0,-0.9220271967812512,1
2016-01-24,0,1.1019269231031263,1
2016-01-25,0,2.5133163974218764,9
2016-01-26,0,-1.4440613764296852,4
2016-01-27,2,1.033875355953127,2
2016-01-28,0,3.0366187097984394,8
2016-01-29,0,14.896244082287502,2
2016-01-30,0,35.800947496870315,17
2016-01-31,0,-1.906373552820316,0
2016-02-01,0,28.32923907088125,7
2016-02-02,0,1.197139165329686,0
2016-02-03,0,8.768026147356252,0
2016-02-04,0,17.69797238896875,4
2016-02-05,0,4.767385677865628,5
2016-02-06,0,-3.458329163393748,4
2016-02-07,0,-1.2874315114187471,1
2016-02-08,0,28.245448505837505,4
2016-02-09,0,7.884265161407813,0
2016-02-10,0,22.54914832579219,5
2016-02-11,0,9.467698894846873,7
2016-02-12,0,12.050444179990626,0
2016-02-13,0,-0.9781052328953117,1
2016-02-14,0,-0.6311697440734347,7
2016-02-15,0,5.000366149484378,6
2016-02-16,0,19.797480576995316,6
2016-02-17,0,16.268654890234377,18
2016-02-18,0,24.0053584336625,9
2016-02-19,0,2.926817274346874,6
2016-02-20,0,-2.5276743075031245,0
2016-02-21,0,1.6967734403781276,2
2016-02-22,0,13.014561667610941,6
2016-02-23,0,6.0838535363187525,3
2016-02-24,0,7.301698370904689,5
2016-02-25,0,14.276672638896876,5
2016-02-26,0,3.6812941023437507,2
2016-02-27,0,2.446830128618751,0
2016-02-28,0,-1.9697398558031238,0
2016-02-29,0,1.731534339151565,0
2016-03-01,0,1.7302942533718773,6
2016-03-02,2,16.802081469820315,8
2016-03-03,0,5.446916523270312,8
2016-03-04,0,9.852396717125,19
2016-03-05,0,-0.4485649154703131,2
2016-03-06,0,-0.5343948203296862,0
2016-03-07,0,1.8978371110703138,0
2016-03-08,0,4.922213747203127,3
2016-03-09,0,7.642889870845314,0
2016-03-10,1,7.247484088110938,3
2016-03-11,0,10.058721520228126,0
2016-03-12,1,0.7488147685249995,0
2016-03-13,0,2.4503344097875006,1
2016-03-14,0,17.6533675681625,7
2016-03-15,0,3.2193751684171876,3
2016-03-16,0,7.874703685548438,3
2016-03-17,0,-0.3367955986062503,3
2016-03-18,0,-1.6123693824640606,8
2016-03-19,0,4.918468182239065,1
2016-03-20,0,1.6157303080218766,0
2016-03-21,0,2.8742853865796887,4
2016-03-22,0,25.848190840059374,2
2016-03-23,0,-3.4437240637765636,1
2016-03-24,0,2.3440483621281247,0
2016-03-25,0,4.517402523609375,6
2016-03-26,0,4.474799579928127,3
2016-03-27,0,2.437508733156251,2
2016-03-28,0,5.597502823237501,4
2016-03-29,0,0.3975583915796883,6
2016-03-30,0,5.805736588434376,0
2016-03-31,0,-0.5189663784703118,0
2016-04-01,0,1.1350879954375008,4
2016-04-02,0,1.1911422342625007,3
2016-04-03,0,2.2603171341906263,1
2016-04-04,0,6.226873983971876,6
2016-04-05,0,7.8356631687468745,2
2016-04-06,4,4.4571950199671875,6
2016-04-07,3,15.58008538256875,3
2016-04-08,4,6.463640551732812,1
2016-04-09,0,-1.2239886585671877,1
2016-04-10,0,0.5801247426468756,1
2016-04-11,0,-1.191079630368748,0
2016-04-12,0,3.150562660032815,4
2016-04-13,15,14.942063575107813,1
2016-04-14,9,-1.2774922496671879,1
2016-04-15,3,-0.29229321523124985,3
2016-04-16,2,0.05003696849843797,3
2016-04-17,0,3.324087621660939,3
2016-04-18,0,10.167785971432814,3
2016-04-19,0,-0.6170439400718752,2
2016-04-20,3,3.0252863454375003,0
2016-04-21,3,12.93178912285625,0
2016-04-22,0,-2.068460162340625,8
2016-04-23,0,6.976344338198437,2
2016-04-24,3,-1.5048908380515627,2
2016-04-25,0,4.104393224151564,9
2016-04-26,9,1.8437769004343756,9
2016-04-27,1,9.979101349089063,1
2016-04-28,0,-0.7084178520984377,6
2016-04-29,0,12.943339607637501,0
2016-04-30,0,-2.1074047555031257,2
2016-05-01,0,-1.0764943166249992,0
2016-05-02,1,12.2409079109625,3
2016-05-03,1,21.168703458671875,1
2016-05-04,0,-0.3165263729765635,1
2016-05-05,1,6.968690127970312,0
2016-05-06,0,4.783620061589063,1
2016-05-07,0,1.9823895152453144,1
2016-05-08,0,1.3071371519968764,1
2016-05-09,0,1.6392429112500018,0
2016-05-10,0,-0.25771737045312326,5
2016-05-11,0,3.0030372664234393,6
2016-05-12,0,-0.0708104011234365,1
2016-05-13,0,4.339546951501563,1
2016-05-14,0,-0.9544414364328122,0
2016-05-15,0,0.4779009039359381,3
2016-05-16,1,1.5636270495593754,6
2016-05-17,1,34.517927507095315,3
2016-05-18,0,3.2086145818765597,0
2016-05-19,0,8.52376163665156,23
2016-05-20,0,-1.5685739544093762,6
2016-05-21,0,0.3806765698859398,1
2016-05-22,0,3.653364266070315,2
2016-05-23,2,2.5489691069843774,15
2016-05-24,0,8.612104315182814,0
2016-05-25,0,-1.9540684218687492,2
2016-05-26,0,0.804323298882814,9
2016-05-27,0,1.1503051178265633,1
2016-05-28,0,4.248954854089064,0
2016-05-29,0,0.0561804901828129,3
2016-05-30,0,16.336040819850002,2
2016-05-31,1,1.8477370227578116,5
2016-06-01,0,5.5153514346999994,5
2016-06-02,1,2.401753807140625,0
2016-06-03,0,0.696486668968751,7
2016-06-04,0,-0.04069957485312381,3
2016-06-05,0,3.1874083211000013,6
2016-06-06,0,3.0097292880546886,0
2016-06-07,0,9.978138953698439,0
2016-06-08,0,2.241746331076562,0
2016-06-09,0,9.720960838746874,4
2016-06-10,0,0.12696837518593718,2
2016-06-11,0,0.7827717175750006,3
2016-06-12,0,6.013176896912501,7
2016-06-13,0,3.6254164729015637,0
2016-06-14,0,1.6628433790437507,4
2016-06-15,0,0.8739377241843755,8
2016-06-16,0,0.06661368629218856,1
2016-06-17,0,5.321011979184376,0
2016-06-18,0,-0.070416733926562,0
2016-06-19,0,16.332424482646875,0
2016-06-20,0,-2.147626414931251,0
2016-06-21,0,1.9001696034203128,0
2016-06-22,0,4.992088393273438,6
2016-06-23,0,3.7632217951109386,2
2016-06-24,0,10.764425041912501,2
2016-06-25,0,15.041355860620312,2
2016-06-26,0,-1.8033795144812506,0
2016-06-27,0,6.382440788698438,6
2016-06-28,0,12.086932593139064,4
2016-06-29,0,1.5057593209531257,2
2016-06-30,0,3.1513336830484384,0
2016-07-01,0,4.284470002206251,0
2016-07-02,0,6.284222132382814,1
2016-07-03,0,2.0993781520531263,6
2016-07-04,0,4.475853948873438,5
2016-07-05,0,12.494536095839063,7
2016-07-06,0,0.6426674499937501,2
2016-07-07,0,2.397118256184376,0
2016-07-08,0,0.6242627472781255,1
2016-07-09,0,-0.0922772607734359,0
2016-07-10,0,0.15809152065937637,0
2016-07-11,0,6.310705325150002,4
2016-07-12,0,-0.1650950732374996,0
2016-07-13,0,0.23332536381562552,7
2016-07-14,0,-0.5982669345499996,5
2016-07-15,0,17.66692653532969,22
2016-07-16,0,-2.038967494925001,0
2016-07-17,0,7.0236269481625,14
2016-07-18,0,0.5620981981984368,4
2016-07-19,0,6.968442247604688,4
2016-07-20,0,4.512444522982813,6
2016-07-21,0,0.5628166094484381,0
2016-07-22,0,8.923655614964064,0
2016-07-23,0,0.26394076571875047,0
2016-07-24,0,-0.226161940646874,3
2016-07-25,0,9.182944503375001,0
2016-07-26,0,3.4050924086812504,3
2016-07-27,0,2.6327770883031256,0
2016-07-28,0,5.75869578411875,0
2016-07-29,0,5.547967521253126,0
2016-07-30,0,-0.5413102402281247,0
2016-07-31,0,-0.023572722640624155,0
2016-08-01,0,3.243282456912501,6
2016-08-02,0,29.056846736057814,0
2016-08-03,0,6.389681287062499,0
2016-08-04,0,0.24916327400781135,5
2016-08-05,0,6.104841762496875,0
2016-08-06,0,3.9456321323890644,5
2016-08-07,0,6.132270472982815,0
2016-08-08,0,1.0216426744484386,4
2016-08-09,0,-1.5557533670984358,0
2016-08-10,0,0.913023199387502,0
2016-08-11,0,3.966273605015627,12
2016-08-12,0,11.938663390593751,0
2016-08-13,0,2.096048410767187,0
2016-08-14,0,15.57833869411875,0
2016-08-15,0,-1.5462667080906263,3
2016-08-16,0,5.549583965665626,7
2016-08-17,0,14.365138237392188,0
2016-08-18,0,12.39505923021875,1
2016-08-19,0,23.024347378599998,8
2016-08-20,0,-3.326265579382814,0
2016-08-21,0,4.509869566220313,1
