,rails/rails,sinatra/sinatra,django/django
2019-12-13,16,2,-0.6306304246671877
2019-12-14,8,0,1.0144531936750005
2019-12-15,9,0,-0.8392770427515618
2019-12-16,11,0,2.4694194975000014
2019-12-17,36,0,0.28750463190625075
2019-12-18,44,0,6.425828662940626
2019-12-19,19,0,3.92602654095625
2019-12-20,23,0,1.9289856989296874
2019-12-21,9,0,0.09914187166093746
2019-12-22,9,0,-0.605275766067187
2019-12-23,10,0,5.5901294436781255
2019-12-24,5,0,-0.9030039727968746
2019-12-25,10,0,-0.5172435568734369
2019-12-26,4,0,-0.3574483123953121
2019-12-27,22,0,4.722948365920313
2019-12-28,7,0,-0.6784933979765624
2019-12-29,5,0,-0.33873694562343737
2019-12-30,1,2,5.782538969964063
2019-12-31,9,0,5.2392776219062505
2020-01-01,1,7,-1.0009768652156255
2020-01-02,14,0,3.4931899375
2020-01-03,10,0,4.24955651875
2020-01-04,11,0,0.05148293492187528
2020-01-05,6,0,-0.6566668376796873
2020-01-06,11,0,2.5843157475000007
2020-01-07,19,0,3.3797484444062507
2020-01-08,14,0,4.203302706690625
2020-01-09,12,0,9.057805287284374
2020-01-10,14,0,2.492108754187499
2020-01-11,6,0,0.7839690785281248
2020-01-12,3,0,-0.9238281131953121
2020-01-13,8,0,1.4144632587140635
2020-01-14,10,0,1.360292713453126
2020-01-15,13,0,6.3536495840796885
2020-01-16,6,0,4.875744512278125
2020-01-17,8,0,4.778298797164062
2020-01-18,0,0,-0.28750766992187526
2020-01-19,10,0,-0.7969270611749997
2020-01-20,8,0,5.481898627428126
2020-01-21,12,0,4.017366393968751
2020-01-22,3,0,3.920074720146875
2020-01-23,16,0,1.8585731013187499
2020-01-24,9,0,3.012598964154688
2020-01-25,2,0,-0.9964096895593746
2020-01-26,6,0,-0.5883297532312491
2020-01-27,17,0,5.602657657464063
2020-01-28,5,0,2.0903113281562504
2020-01-29,11,0,12.17234380095625
2020-01-30,7,0,0.21823503349218676
2020-01-31,0,0,5.890451013273438
2020-02-01,3,0,-1.3826578096703128
2020-02-02,4,0,-0.8015302351437488
2020-02-03,2,0,6.4436090350000015
2020-02-04,5,0,5.861331870656251
2020-02-05,12,0,3.6225426194875
2020-02-06,8,0,3.7215938931890626
2020-02-07,13,0,3.724884917251563
2020-02-08,4,0,-0.20873064618124948
2020-02-09,14,0,-0.8345558052515617
2020-02-10,23,0,4.4588137887500015
2020-02-11,8,0,3.0771596226406257
2020-02-12,11,0,2.026705047389063
2020-02-13,14,0,4.133471173420313
2020-02-14,6,1,2.989221178492188
2020-02-15,1,0,-0.9746632740078123
2020-02-16,12,0,-0.566327138195312
2020-02-17,2,0,0.6178218662140633
2020-02-18,3,1,5.605063862421876
2020-02-19,2,0,6.111174334007813
2020-02-20,13,0,1.8310831195593746
2020-02-21,6,0,-0.9240754076859377
2020-02-22,4,0,-0.554859264742187
2020-02-23,0,0,-0.3735954226437491
2020-02-24,22,0,4.735129478750001
2020-02-25,26,0,0.2833851719843752
2020-02-26,12,0,7.492049358120313
2020-02-27,31,0,3.8618476049249995
2020-02-28,12,0,5.920690593201562
2020-02-29,3,0,-0.27944280760781304
2020-03-01,0,0,-0.8047268124999996
2020-03-02,3,0,1.4546230062500007
2020-03-03,8,0,4.382047388671876
2020-03-04,21,0,6.070398041804688
2020-03-05,14,0,4.769335324589062
2020-03-06,7,0,4.695324728384374
2020-03-07,4,0,0.6748878499609374
2020-03-08,0,0,-0.9609055557671868
2020-03-09,6,0,6.4058114424640635
2020-03-10,9,4,8.855585305218751
2020-03-11,5,1,1.3257072811000001
2020-03-12,14,0,2.7637597937109373
2020-03-13,8,11,2.826274451654688
2020-03-14,4,0,0.8850673641906259
2020-03-15,0,1,-0.8788188287468742
2020-03-16,11,1,4.438926046178126
2020-03-17,5,0,8.078481808890626
2020-03-18,8,5,5.528803763342188
2020-03-19,10,4,4.51055020059375
2020-03-20,7,2,0.5910188803296874
2020-03-21,9,0,0.9698976952937508
2020-03-22,3,0,-0.869230348674999
2020-03-23,6,0,4.425483451178126
2020-03-24,8,0,7.065155581171876
2020-03-25,3,1,9.616704471429689
2020-03-26,4,0,2.129812433567187
2020-03-27,5,0,0.6089742366546873
2020-03-28,5,0,-1.0311008837468745
2020-03-29,9,0,-0.6619658936031236
2020-03-30,6,0,0.5055034636781264
2020-03-31,12,0,6.512834727421876
2020-04-01,3,0,5.929547024445313
2020-04-02,3,0,3.713358926540625
2020-04-03,3,0,-1.1880105224578128
2020-04-04,5,0,1.3620137138250004
2020-04-05,6,0,-0.6299144675718743
2020-04-06,5,0,3.590642466250001
2020-04-07,8,0,14.283057975734376
2020-04-08,13,0,3.059832020104687
2020-04-09,3,0,7.497527859889062
2020-04-10,9,0,4.231892442170311
2020-04-11,8,0,-1.586086155179687
2020-04-12,4,0,-0.943348426031249
2020-04-13,14,0,-0.6961489275718734
2020-04-14,14,0,9.460485491687502
2020-04-15,6,0,7.552252800871876
2020-04-16,6,0,3.2973603056328122
2020-04-17,4,0,4.6153287426796865
2020-04-18,5,0,-0.42112455091718726
2020-04-19,4,0,-0.910023115215624
2020-04-20,8,0,11.404016625
2020-04-21,5,0,5.337546175
2020-04-22,6,0,9.38130054109375
2020-04-23,8,0,1.9223393512499998
2020-04-24,10,0,3.454394572098438
2020-04-25,10,0,0.5579636629765632
2020-04-26,4,0,-1.0970103282312487
2020-04-27,9,0,4.273908454964064
2020-04-28,8,0,7.937962732562501
2020-04-29,8,0,5.410648119709375
2020-04-30,5,0,3.446038241576562
2020-05-01,22,0,5.612734363792187
2020-05-02,11,0,0.5053293822781253
2020-05-03,8,0,-1.0741292012109367
2020-05-04,16,0,8.303645951178126
2020-05-05,35,0,5.577959831171876
2020-05-06,24,0,4.469282733929688
2020-05-07,19,0,1.5060960673171875
2020-05-08,13,0,9.833924068420313
2020-05-09,15,0,-1.8268480962890625
2020-05-10,11,0,-1.0136789562828117
2020-05-11,11,0,8.319036941178126
2020-05-12,23,0,5.581619484109376
2020-05-13,17,0,15.469099671067188
2020-05-14,17,0,9.434234927904686
2020-05-15,13,0,3.4484087869874998
2020-05-16,12,0,-2.0446362507796874
2020-05-17,21,0,-1.2869252403953109
2020-05-18,20,0,6.115087896250002
2020-05-19,21,0,4.595099096609377
2020-05-20,21,0,3.4991946498171886
2020-05-21,9,0,5.596950280982813
2020-05-22,4,0,-1.564799926798437
2020-05-23,15,0,1.1475116414750008
2020-05-24,16,0,-0.7420402027156242
2020-05-25,9,0,5.528150801250002
2020-05-26,16,0,3.030832318890625
2020-05-27,12,0,10.024870585404688
2020-05-28,16,0,4.340875945956249
2020-05-29,12,0,4.531728521210937
2020-05-30,1,0,-1.4438298602515627
2020-05-31,12,0,-0.8308632010312491
2020-06-01,21,0,8.391732817428126
2020-06-02,13,0,2.632757699406251
2020-06-03,14,0,12.808630398971875
2020-06-04,19,0,8.879118894184375
2020-06-05,11,0,1.753678066510937
2020-06-06,2,0,-1.6295037433093749
2020-06-07,7,0,-1.0160932277156236
2020-06-08,4,0,4.280586683750002
2020-06-09,5,0,-1.0746920271406237
2020-06-10,12,0,6.296576190114064
2020-06-11,7,0,0.8152694988875002
2020-06-12,3,0,5.114477336325001
2020-06-13,12,0,-1.1007443799578125
2020-06-14,13,0,-0.5710429726437494
2020-06-15,11,0,3.6193892687500004
2020-06-16,5,0,4.303815847421876
2020-06-17,9,0,9.077325338570313
2020-06-18,5,0,1.4928623413906243
2020-06-19,16,0,-1.1196407712828125
2020-06-20,20,0,-0.6619870831656245
2020-06-21,4,0,-0.47574991521562376
2020-06-22,9,0,6.666660152500001
2020-06-23,6,0,6.026287891687501
2020-06-24,6,0,8.753140024778125
2020-06-25,7,0,3.3145415184140616
2020-06-26,0,0,3.59316903559375
2020-06-27,4,0,-1.2926513076078123
2020-06-28,2,0,-0.7790763374999988
2020-06-29,10,0,1.4232300387500012
2020-06-30,8,0,5.339849560140626
2020-07-01,4,0,5.926899066139063
2020-07-02,8,0,0.6972463583421873
2020-07-03,2,0,3.0853764283125003
2020-07-04,2,0,1.0644556722421878
2020-07-05,3,1,-0.7466562876796868
2020-07-06,13,0,3.5406982825000006
2020-07-07,12,0,1.2502836089687506
2020-07-08,8,0,6.336020518084376
2020-07-09,7,0,1.871559751175
2020-07-10,3,0,5.096722596217187
2020-07-11,1,0,-1.1175503496343753
2020-07-12,1,6,-0.6377510861749993
2020-07-13,7,0,3.5666987349281256
2020-07-14,6,0,4.2750800179375
2020-07-15,4,0,2.0534255525750003
2020-07-16,4,0,5.16497094006875
2020-07-17,4,0,1.8857909157015627
2020-07-18,5,2,-0.9058859357015622
2020-07-19,4,0,-0.5516124152156244
2020-07-20,6,1,6.631989902500001
2020-07-21,2,0,2.0080842291875003
2020-07-22,7,0,7.142959611028125
2020-07-23,7,0,0.6887525832734371
2020-07-24,4,0,1.0939749755484378
2020-07-25,10,0,-0.7719028042624996
2020-07-26,6,1,-0.4779808951078115
2020-07-27,9,0,3.6555990887500007
2020-07-28,7,3,5.320886120140625
2020-07-29,6,0,5.985195998201562
2020-07-30,10,0,2.765745520767187
2020-07-31,12,0,2.9228351611812498
2020-08-01,4,1,0.9961236688968751
2020-08-02,2,0,-0.8047837550718744
2020-08-03,7,0,1.4771858900000008
2020-08-04,6,0,2.398913482937501
2020-08-05,3,0,6.282898788012501
2020-08-06,6,0,1.861372358675
2020-08-07,6,0,3.0904109701859377
2020-08-08,3,5,2.07722294529375
2020-08-09,0,1,-0.8375438111749995
2020-08-10,8,0,1.4977241149281255
2020-08-11,4,1,5.43894794771875
2020-08-12,8,2,1.0209009446312503
2020-08-13,2,0,4.2465458625328125
2020-08-14,16,1,4.026317270701562
2020-08-15,5,1,-1.0349593984203125
2020-08-16,0,0,-0.5941498741906246
2020-08-17,11,0,1.5955979748921882
2020-08-18,4,0,4.504080921468751
2020-08-19,8,0,1.1672112118343752
2020-08-20,5,0,3.327191715003125
2020-08-21,3,0,1.2060672486
2020-08-22,4,0,-0.6623818277578121
2020-08-23,12,0,-0.3942270376796871
2020-08-24,8,0,6.740119045000001
2020-08-25,11,0,1.09327886771875
2020-08-26,31,0,3.31329178735
2020-08-27,2,0,1.1786703012890622
2020-08-28,0,0,8.341104150365625
2020-08-29,2,1,-1.3108742861750002
2020-08-30,4,1,-0.6858152925718746
2020-08-31,6,2,5.53372810125
2020-09-01,9,0,6.039990366390626
2020-09-02,11,0,5.736321846217187
2020-09-03,10,5,2.618283537865625
2020-09-04,7,7,1.8089496975750001
2020-09-05,7,0,-0.023750522212499625
2020-09-06,6,0,-0.7610164978234365
2020-09-07,5,0,3.515336485000001
2020-09-08,12,0,-0.7821543393437493
2020-09-09,6,0,3.5033120199250005
2020-09-10,4,0,4.2602522686390625
2020-09-11,4,0,2.0938416789359375
2020-09-12,1,0,-0.7768610454406252
2020-09-13,3,0,1.552437079376563
2020-09-14,4,0,4.493946862464063
2020-09-15,6,0,4.1765074479375
2020-09-16,10,0,3.02586949235625
2020-09-17,5,0,3.0579472291874996
2020-09-18,1,1,0.02723593602812524
2020-09-19,4,0,-0.6749194767265619
2020-09-20,5,0,-0.43542776260781174
2020-09-21,10,0,1.6839678302187508
2020-09-22,18,0,4.542114698600001
2020-09-23,13,1,6.207024587242188
2020-09-24,10,0,1.880195687757812
2020-09-25,9,3,7.118212641543749
2020-09-26,5,0,-1.3132097231593753
2020-09-27,1,0,-0.7054441275359369
2020-09-28,3,1,0.5091977950000007
2020-09-29,6,0,2.519610555218751
2020-09-30,4,0,4.3442848186
2020-10-01,3,1,6.088950357460938
2020-10-02,69,5,0.7925910232015623
2020-10-03,9,0,-0.8373473117328125
2020-10-04,2,0,-0.5215155827874994
2020-10-05,7,1,4.6671990162500006
2020-10-06,10,2,6.237198285734375
2020-10-07,22,0,2.858060139667187
