,nwjs/nw.js,AvaloniaUI/Avalonia,electron/electron
2018-03-02,0,4,3
2018-03-03,0,8,0
2018-03-04,0,7,1
2018-03-05,1,17,7
2018-03-06,0,2,39
2018-03-07,2,9,13
2018-03-08,0,6,6
2018-03-09,0,3,27
2018-03-10,0,5,1
2018-03-11,0,4,0
2018-03-12,0,1,3
2018-03-13,0,4,13
2018-03-14,2,3,13
2018-03-15,0,0,8
2018-03-16,0,2,6
2018-03-17,0,6,1
2018-03-18,0,5,0
2018-03-19,2,11,8
2018-03-20,0,8,103
2018-03-21,0,7,4
2018-03-22,0,4,15
2018-03-23,2,2,2
2018-03-24,0,6,0
2018-03-25,0,0,1
2018-03-26,0,4,0
2018-03-27,1,2,2
2018-03-28,0,0,1
2018-03-29,3,1,1
2018-03-30,0,0,1
2018-03-31,0,1,2
2018-04-01,0,0,0
2018-04-02,0,3,3
2018-04-03,0,5,3
2018-04-04,0,7,1
2018-04-05,0,2,9
2018-04-06,0,2,5
2018-04-07,0,0,1
2018-04-08,4,4,0
2018-04-09,0,1,9
2018-04-10,1,9,2
2018-04-11,0,13,10
2018-04-12,0,15,3
2018-04-13,0,29,8
2018-04-14,0,16,4
2018-04-15,0,9,7
2018-04-16,0,8,14
2018-04-17,0,17,3
2018-04-18,2,14,4
2018-04-19,0,6,30
2018-04-20,1,2,17
2018-04-21,0,1,0
2018-04-22,0,0,1
2018-04-23,0,2,2
2018-04-24,0,3,2
2018-04-25,2,1,4
2018-04-26,1,9,7
2018-04-27,2,2,2
2018-04-28,3,4,1
2018-04-29,0,3,0
2018-04-30,0,7,17
2018-05-01,0,5,11
2018-05-02,1,9,8
2018-05-03,0,12,14
2018-05-04,0,22,13
2018-05-05,0,5,2
2018-05-06,0,28,0
2018-05-07,0,42,6
2018-05-08,0,4,3
2018-05-09,0,9,1
2018-05-10,2,2,9
2018-05-11,0,7,12
2018-05-12,0,8,5
2018-05-13,0,3,0
2018-05-14,2,9,11
2018-05-15,0,21,18
2018-05-16,0,9,11
2018-05-17,0,9,3
2018-05-18,2,16,12
2018-05-19,0,1,0
2018-05-20,0,4,0
2018-05-21,0,7,15
2018-05-22,1,4,3
2018-05-23,4,7,14
2018-05-24,0,14,13
2018-05-25,0,11,6
2018-05-26,0,4,0
2018-05-27,0,22,0
2018-05-28,0,13,1
2018-05-29,0,12,24
2018-05-30,3,4,2
2018-05-31,0,12,2
2018-06-01,0,10,2
2018-06-02,0,4,1
2018-06-03,0,0,1
2018-06-04,1,5,0
2018-06-05,2,11,0
2018-06-06,0,18,0
2018-06-07,0,8,2
2018-06-08,2,3,0
2018-06-09,0,4,0
2018-06-10,0,10,1
2018-06-11,0,2,2
2018-06-12,0,1,1
2018-06-13,0,8,2
2018-06-14,6,8,5
2018-06-15,0,1,2
2018-06-16,1,7,5
2018-06-17,1,17,7
2018-06-18,0,4,16
2018-06-19,0,9,234
2018-06-20,0,20,16
2018-06-21,1,8,12
2018-06-22,0,16,11
2018-06-23,0,8,1
2018-06-24,1,2,0
2018-06-25,2,11,1
2018-06-26,0,16,8
2018-06-27,0,5,12
2018-06-28,2,9,7
2018-06-29,0,30,8
2018-06-30,0,12,1
2018-07-01,0,0,0
2018-07-02,1,3,1
2018-07-03,0,19,3
2018-07-04,0,8,0
2018-07-05,1,4,1
2018-07-06,0,3,9
2018-07-07,0,5,0
2018-07-08,0,1,0
2018-07-09,2,8,4
2018-07-10,0,8,13
2018-07-11,1,3,15
2018-07-12,4,0,16
2018-07-13,0,0,11
2018-07-14,0,2,1
2018-07-15,0,1,1
2018-07-16,0,2,11
2018-07-17,2,6,13
2018-07-18,0,13,7
2018-07-19,0,25,11
2018-07-20,0,35,12
2018-07-21,0,12,1
2018-07-22,0,7,0
2018-07-23,1,7,3
2018-07-24,0,3,4
2018-07-25,2,5,13
2018-07-26,0,12,5
2018-07-27,1,3,6
2018-07-28,0,1,0
2018-07-29,0,0,0
2018-07-30,0,2,13
2018-07-31,0,2,7
2018-08-01,0,10,8
2018-08-02,2,6,1
2018-08-03,0,12,9
2018-08-04,0,0,1
2018-08-05,0,4,0
2018-08-06,0,1,1
2018-08-07,0,0,1
2018-08-08,0,0,3
2018-08-09,0,0,4
2018-08-10,0,0,8
2018-08-11,1,2,2
2018-08-12,0,1,3
2018-08-13,1,18,8
2018-08-14,0,13,8
2018-08-15,0,3,7
2018-08-16,3,8,26
2018-08-17,0,9,21
2018-08-18,1,5,2
2018-08-19,0,1,8
2018-08-20,2,4,6
2018-08-21,0,2,11
2018-08-22,0,5,4
2018-08-23,0,0,5
2018-08-24,0,2,10
2018-08-25,7,6,1
2018-08-26,0,2,2
2018-08-27,1,7,8
2018-08-28,1,5,9
2018-08-29,0,4,7
2018-08-30,2,4,1
2018-08-31,4,1,10
2018-09-01,0,10,2
2018-09-02,0,8,1
2018-09-03,1,7,2
2018-09-04,1,6,5
2018-09-05,3,13,7
2018-09-06,0,31,6
2018-09-07,0,15,7
2018-09-08,0,35,1
2018-09-09,0,13,5
2018-09-10,0,7,8
2018-09-11,3,9,53
2018-09-12,2,15,19
2018-09-13,0,10,15
2018-09-14,0,9,15
2018-09-15,0,15,4
2018-09-16,0,16,1
2018-09-17,0,2,4
2018-09-18,2,6,7
2018-09-19,1,0,15
2018-09-20,0,0,15
2018-09-21,0,1,17
2018-09-22,0,0,2
2018-09-23,0,19,1
2018-09-24,0,24,7
2018-09-25,6,1,7
2018-09-26,2,5,7
2018-09-27,1,6,8
2018-09-28,2,7,37
2018-09-29,0,5,25
2018-09-30,0,2,1
2018-10-01,0,10,8
2018-10-02,0,11,12
2018-10-03,3,13,61
2018-10-04,1,42,22
2018-10-05,0,2,15
2018-10-06,0,4,8
2018-10-07,0,9,1
2018-10-08,0,10,4
2018-10-09,0,18,93
2018-10-10,0,10,30
2018-10-11,1,13,10
2018-10-12,2,7,6
2018-10-13,0,4,7
2018-10-14,1,0,2
2018-10-15,2,9,1
2018-10-16,4,17,6
2018-10-17,3,17,8
2018-10-18,1,12,9
2018-10-19,2,1,14
2018-10-20,0,2,0
2018-10-21,0,36,1
2018-10-22,1,15,6
2018-10-23,1,30,8
2018-10-24,3,17,9
2018-10-25,2,12,7
2018-10-26,0,57,5
2018-10-27,3,15,0
2018-10-28,0,28,0
2018-10-29,1,56,4
2018-10-30,1,22,5
2018-10-31,0,9,8
2018-11-01,2,0,4
2018-11-02,1,20,3
2018-11-03,1,4,0
2018-11-04,0,3,0
2018-11-05,2,5,6
2018-11-06,0,9,9
2018-11-07,1,14,4
2018-11-08,2,16,14
2018-11-09,0,7,5
2018-11-10,2,8,3
2018-11-11,0,9,0
2018-11-12,2,8,6
2018-11-13,1,3,3
2018-11-14,0,18,6
2018-11-15,3,6,3
2018-11-16,4,8,1
2018-11-17,11,20,1
2018-11-18,2,10,0
2018-11-19,0,29,7
2018-11-20,1,9,8
2018-11-21,3,2,8
2018-11-22,2,6,1
2018-11-23,0,6,0
2018-11-24,0,8,0
2018-11-25,4,7,1
2018-11-26,2,5,3
2018-11-27,0,4,9
2018-11-28,3,10,12
2018-11-29,4,2,6
2018-11-30,3,7,7
2018-12-01,2,17,1
2018-12-02,1,5,1
2018-12-03,0,0,72
2018-12-04,0,4,11
