,NativeScript/NativeScript,flutter/flutter,facebook/react-native
2019-07-02,0,5,17
2019-07-03,5,13,5
2019-07-04,2,2,17
2019-07-05,0,1,4
2019-07-06,0,0,1
2019-07-07,0,0,1
2019-07-08,2,17,16
2019-07-09,5,16,7
2019-07-10,11,13,14
2019-07-11,1,15,18
2019-07-12,0,16,9
2019-07-13,0,5,8
2019-07-14,0,0,0
2019-07-15,1,7,14
2019-07-16,13,13,6
2019-07-17,11,27,29
2019-07-18,4,14,23
2019-07-19,5,23,16
2019-07-20,1,3,4
2019-07-21,0,6,0
2019-07-22,4,19,8
2019-07-23,0,16,9
2019-07-24,1,17,25
2019-07-25,4,11,14
2019-07-26,4,15,9
2019-07-27,0,9,1
2019-07-28,2,2,0
2019-07-29,1,11,13
2019-07-30,2,16,6
2019-07-31,3,15,14
2019-08-01,4,19,10
2019-08-02,9,19,25
2019-08-03,0,5,1
2019-08-04,0,3,0
2019-08-05,2,8,9
2019-08-06,0,25,5
2019-08-07,6,19,7
2019-08-08,2,18,19
2019-08-09,0,22,8
2019-08-10,0,5,0
2019-08-11,0,0,1
2019-08-12,2,13,16
2019-08-13,2,6,9
2019-08-14,5,23,20
2019-08-15,5,30,18
2019-08-16,1,28,4
2019-08-17,0,5,0
2019-08-18,2,3,0
2019-08-19,5,14,16
2019-08-20,4,32,3
2019-08-21,2,20,10
2019-08-22,4,19,10
2019-08-23,3,16,10
2019-08-24,0,3,1
2019-08-25,0,2,0
2019-08-26,1,14,2
2019-08-27,0,17,6
2019-08-28,4,31,6
2019-08-29,3,15,7
2019-08-30,2,15,8
2019-08-31,0,10,19
2019-09-01,0,0,0
2019-09-02,0,13,5
2019-09-03,0,25,13
2019-09-04,1,5,14
2019-09-05,0,21,12
2019-09-06,0,17,20
2019-09-07,0,5,7
2019-09-08,0,0,1
2019-09-09,0,2,9
2019-09-10,5,21,13
2019-09-11,1,21,12
2019-09-12,3,19,12
2019-09-13,3,16,7
2019-09-14,0,10,6
2019-09-15,0,0,0
2019-09-16,0,27,0
2019-09-17,2,12,11
2019-09-18,1,20,12
2019-09-19,3,20,14
2019-09-20,0,13,14
2019-09-21,0,0,4
2019-09-22,0,0,1
2019-09-23,0,4,23
2019-09-24,1,25,4
2019-09-25,1,21,15
2019-09-26,0,27,10
2019-09-27,1,23,5
2019-09-28,1,7,3
2019-09-29,0,4,0
2019-09-30,1,18,26
2019-10-01,2,14,12
2019-10-02,6,23,9
2019-10-03,1,9,15
2019-10-04,3,28,6
2019-10-05,0,5,2
2019-10-06,0,2,0
2019-10-07,2,13,10
2019-10-08,5,14,15
2019-10-09,3,23,21
2019-10-10,6,35,13
2019-10-11,0,19,33
2019-10-12,0,0,7
2019-10-13,0,1,0
2019-10-14,2,16,9
2019-10-15,6,26,18
2019-10-16,6,11,19
2019-10-17,2,15,6
2019-10-18,0,24,8
2019-10-19,0,0,8
2019-10-20,0,0,0
2019-10-21,2,13,19
2019-10-22,4,11,29
2019-10-23,3,12,13
2019-10-24,2,28,4
2019-10-25,1,12,19
2019-10-26,0,9,1
2019-10-27,0,0,0
2019-10-28,2,29,16
2019-10-29,4,24,6
2019-10-30,0,20,10
2019-10-31,1,19,19
2019-11-01,1,19,30
2019-11-02,0,2,6
2019-11-03,0,0,9
2019-11-04,0,5,25
2019-11-05,0,30,25
2019-11-06,4,23,27
2019-11-07,5,19,14
2019-11-08,1,18,12
2019-11-09,0,12,8
2019-11-10,0,2,1
2019-11-11,1,10,13
2019-11-12,2,9,13
2019-11-13,0,12,18
2019-11-14,4,20,9
2019-11-15,0,17,17
2019-11-16,0,7,13
2019-11-17,0,3,2
2019-11-18,1,13,10
2019-11-19,2,24,16
2019-11-20,4,21,9
2019-11-21,7,22,16
2019-11-22,1,23,17
2019-11-23,0,9,10
2019-11-24,0,1,0
2019-11-25,0,13,0
2019-11-26,4,20,0
2019-11-27,1,21,25
2019-11-28,1,7,1
2019-11-29,2,1,0
2019-11-30,0,1,2
2019-12-01,0,0,1
2019-12-02,1,8,12
2019-12-03,5,23,8
2019-12-04,3,27,11
2019-12-05,3,19,16
2019-12-06,2,15,12
2019-12-07,0,1,6
2019-12-08,0,0,2
2019-12-09,2,13,7
2019-12-10,1,20,11
2019-12-11,0,6,13
2019-12-12,1,12,18
2019-12-13,5,16,3
2019-12-14,0,0,8
2019-12-15,0,0,0
2019-12-16,2,12,7
2019-12-17,2,16,10
2019-12-18,0,21,19
2019-12-19,0,19,16
2019-12-20,2,7,11
2019-12-21,0,7,2
2019-12-22,0,0,0
2019-12-23,0,5,5
2019-12-24,0,2,7
2019-12-25,0,0,0
2019-12-26,0,8,0
2019-12-27,0,5,4
2019-12-28,0,3,1
2019-12-29,0,1,0
2019-12-30,0,3,1
2019-12-31,0,1,1
2020-01-01,0,0,0
2020-01-02,0,6,4
2020-01-03,1,14,5
2020-01-04,0,1,0
2020-01-05,0,0,1
2020-01-06,1,14,6
2020-01-07,0,13,11
2020-01-08,2,28,3
2020-01-09,1,11,1
2020-01-10,2,18,0
2020-01-11,0,6,0
2020-01-12,0,0,0
2020-01-13,0,11,4
2020-01-14,2,18,24
2020-01-15,1,12,9
2020-01-16,3,26,6
2020-01-17,0,22,2
2020-01-18,0,2,7
2020-01-19,0,0,2
2020-01-20,0,0,13
2020-01-21,1,9,6
2020-01-22,1,26,8
2020-01-23,1,5,14
2020-01-24,0,18,5
2020-01-25,0,15,2
2020-01-26,0,3,0
2020-01-27,2,12,12
2020-01-28,1,28,18
2020-01-29,0,24,17
