,ioBroker/ioBroker,home-assistant/core,node-red/node-red
2015-04-26,0,8,1
2015-04-27,0,6,1
2015-04-28,0,4,1
2015-04-29,0,6,0
2015-04-30,0,3,1
2015-05-01,0,11,2
2015-05-02,0,5,3
2015-05-03,0,0,2
2015-05-04,0,1,2
2015-05-05,0,0,4
2015-05-06,0,0,1
2015-05-07,0,0,5
2015-05-08,0,8,1
2015-05-09,0,0,1
2015-05-10,0,10,1
2015-05-11,0,10,1
2015-05-12,0,6,0
2015-05-13,0,5,4
2015-05-14,0,2,1
2015-05-15,0,6,0
2015-05-16,0,7,0
2015-05-17,0,1,0
2015-05-18,1,13,0
2015-05-19,0,9,3
2015-05-20,0,19,0
2015-05-21,0,6,2
2015-05-22,0,4,0
2015-05-23,0,0,1
2015-05-24,0,0,0
2015-05-25,0,2,0
2015-05-26,0,1,2
2015-05-27,0,4,1
2015-05-28,0,16,0
2015-05-29,0,2,1
2015-05-30,0,21,0
2015-05-31,0,27,3
2015-06-01,0,13,0
2015-06-02,0,44,3
2015-06-03,0,14,2
2015-06-04,0,9,0
2015-06-05,0,2,0
2015-06-06,0,0,0
2015-06-07,0,0,0
2015-06-08,0,1,2
2015-06-09,0,6,0
2015-06-10,0,1,1
2015-06-11,0,17,0
2015-06-12,0,0,0
2015-06-13,0,4,0
2015-06-14,0,0,0
2015-06-15,0,5,5
2015-06-16,0,4,8
2015-06-17,0,17,11
2015-06-18,0,2,0
2015-06-19,0,6,1
2015-06-20,0,9,0
2015-06-21,0,0,0
2015-06-22,0,13,3
2015-06-23,1,3,0
2015-06-24,0,6,1
2015-06-25,0,18,2
2015-06-26,1,0,0
2015-06-27,0,7,0
2015-06-28,1,1,0
2015-06-29,0,3,14
2015-06-30,2,0,0
2015-07-01,1,2,0
2015-07-02,0,0,43
2015-07-03,0,1,4
2015-07-04,0,0,1
2015-07-05,0,0,4
2015-07-06,0,5,0
2015-07-07,0,6,0
2015-07-08,0,9,6
2015-07-09,0,3,1
2015-07-10,0,10,3
2015-07-11,0,22,1
2015-07-12,0,2,0
2015-07-13,0,5,5
2015-07-14,0,0,5
2015-07-15,0,0,4
2015-07-16,0,2,0
2015-07-17,0,3,0
2015-07-18,0,2,1
2015-07-19,0,0,1
2015-07-20,0,8,0
2015-07-21,0,2,0
2015-07-22,0,0,3
2015-07-23,0,7,0
2015-07-24,0,7,0
2015-07-25,0,0,0
2015-07-26,0,7,0
2015-07-27,0,3,0
2015-07-28,0,0,0
2015-07-29,0,2,0
2015-07-30,0,4,1
2015-07-31,0,2,0
2015-08-01,0,4,0
2015-08-02,0,0,0
2015-08-03,0,10,0
2015-08-04,0,11,0
2015-08-05,0,11,0
2015-08-06,0,31,0
2015-08-07,0,3,0
2015-08-08,0,9,0
2015-08-09,0,9,0
2015-08-10,0,7,0
2015-08-11,0,19,1
2015-08-12,0,3,1
2015-08-13,0,0,0
2015-08-14,0,0,0
2015-08-15,0,1,1
2015-08-16,0,2,0
2015-08-17,0,10,1
2015-08-18,1,11,0
2015-08-19,0,9,0
2015-08-20,0,3,0
2015-08-21,0,0,0
2015-08-22,0,6,0
2015-08-23,2,5,0
2015-08-24,0,10,0
2015-08-25,0,12,0
2015-08-26,0,11,0
2015-08-27,0,10,0
2015-08-28,0,7,0
2015-08-29,0,7,0
2015-08-30,0,38,0
2015-08-31,0,24,1
2015-09-01,0,27,0
2015-09-02,0,5,0
2015-09-03,0,0,0
2015-09-04,0,14,0
2015-09-05,0,6,0
2015-09-06,0,2,0
2015-09-07,0,14,0
2015-09-08,0,9,1
2015-09-09,0,15,0
2015-09-10,0,15,0
2015-09-11,1,9,0
2015-09-12,0,26,0
2015-09-13,0,37,0
2015-09-14,0,29,0
2015-09-15,0,46,0
2015-09-16,0,20,1
2015-09-17,0,23,0
2015-09-18,0,19,0
2015-09-19,0,21,0
2015-09-20,0,24,1
2015-09-21,0,18,0
2015-09-22,0,22,2
2015-09-23,0,20,1
2015-09-24,0,23,1
2015-09-25,0,11,1
2015-09-26,0,1,1
2015-09-27,0,4,0
2015-09-28,0,8,0
2015-09-29,0,5,2
2015-09-30,0,7,0
2015-10-01,2,4,0
2015-10-02,0,20,42
2015-10-03,0,9,4
2015-10-04,0,4,2
2015-10-05,1,1,6
2015-10-06,0,8,0
2015-10-07,0,41,0
2015-10-08,0,31,0
2015-10-09,0,28,3
2015-10-10,0,8,1
2015-10-11,0,11,0
2015-10-12,0,14,0
2015-10-13,0,45,0
2015-10-14,0,10,3
2015-10-15,0,14,4
2015-10-16,0,1,2
2015-10-17,0,3,1
2015-10-18,0,5,0
2015-10-19,0,4,0
2015-10-20,0,23,4
2015-10-21,0,27,0
2015-10-22,0,0,2
2015-10-23,0,36,3
2015-10-24,0,10,0
2015-10-25,0,32,1
2015-10-26,0,15,2
2015-10-27,1,15,0
2015-10-28,0,21,0
2015-10-29,0,2,0
2015-10-30,0,7,0
2015-10-31,1,8,0
2015-11-01,0,4,0
2015-11-02,0,10,3
2015-11-03,0,6,4
2015-11-04,0,5,2
2015-11-05,0,4,1
2015-11-06,0,4,3
2015-11-07,0,7,0
2015-11-08,2,5,2
2015-11-09,0,24,2
2015-11-10,0,13,1
2015-11-11,0,11,0
2015-11-12,0,3,0
2015-11-13,0,10,0
2015-11-14,0,13,2
2015-11-15,0,35,1
2015-11-16,0,9,2
2015-11-17,0,5,1
2015-11-18,0,8,0
2015-11-19,0,8,0
2015-11-20,0,19,0
2015-11-21,0,6,1
2015-11-22,0,11,0
2015-11-23,0,10,0
2015-11-24,1,7,3
2015-11-25,0,12,0
2015-11-26,0,19,1
2015-11-27,0,8,0
2015-11-28,0,16,1
2015-11-29,0,32,0
2015-11-30,0,17,1
2015-12-01,0,14,2
2015-12-02,0,14,1
2015-12-03,0,3,0
2015-12-04,0,8,0
2015-12-05,0,6,0
2015-12-06,0,20,0
2015-12-07,0,8,4
2015-12-08,0,9,0
2015-12-09,0,4,3
2015-12-10,0,1,6
2015-12-11,0,20,5
2015-12-12,0,16,3
2015-12-13,1,18,3
2015-12-14,0,15,1
2015-12-15,0,24,0
2015-12-16,0,32,0
2015-12-17,0,18,0
2015-12-18,0,17,0
2015-12-19,0,2,2
2015-12-20,0,11,0
2015-12-21,0,11,1
2015-12-22,0,11,1
2015-12-23,0,14,2
2015-12-24,0,3,0
2015-12-25,0,12,0
2015-12-26,0,3,0
2015-12-27,0,24,0
2015-12-28,0,14,0
2015-12-29,0,3,0
2015-12-30,0,8,0
2015-12-31,0,25,0
2016-01-01,0,2,0
2016-01-02,0,24,0
2016-01-03,0,13,0
2016-01-04,0,10,1
2016-01-05,0,2,0
2016-01-06,0,3,44
2016-01-07,0,3,7
2016-01-08,0,10,7
2016-01-09,0,10,4
2016-01-10,0,12,2
2016-01-11,0,8,4
2016-01-12,0,9,5
2016-01-13,0,40,3
2016-01-14,0,27,3
2016-01-15,0,31,1
2016-01-16,0,19,1
2016-01-17,0,3,1
2016-01-18,0,13,2
2016-01-19,0,12,0
2016-01-20,0,12,0
2016-01-21,0,20,2
2016-01-22,0,17,0
2016-01-23,0,14,0
2016-01-24,0,36,0
2016-01-25,0,32,1
2016-01-26,0,38,0
2016-01-27,0,35,0
2016-01-28,1,7,0
2016-01-29,0,30,2
2016-01-30,0,31,0
2016-01-31,0,32,0
2016-02-01,0,21,0
2016-02-02,0,26,0
2016-02-03,1,19,1
2016-02-04,0,13,7
2016-02-05,0,14,0
2016-02-06,0,14,0
2016-02-07,0,42,0
2016-02-08,0,3,4
2016-02-09,0,13,3
2016-02-10,0,18,3
2016-02-11,0,48,2
2016-02-12,0,37,5
2016-02-13,0,25,0
2016-02-14,0,30,2
2016-02-15,0,19,1
2016-02-16,0,9,0
2016-02-17,0,17,0
2016-02-18,0,17,1
2016-02-19,0,26,3
2016-02-20,0,19,0
2016-02-21,0,22,1
2016-02-22,0,24,3
2016-02-23,0,14,1
2016-02-24,0,15,1
2016-02-25,0,16,1
2016-02-26,0,13,2
2016-02-27,0,19,0
2016-02-28,0,36,0
2016-02-29,0,10,0
2016-03-01,1,10,2
2016-03-02,0,4,1
2016-03-03,0,4,1
2016-03-04,0,5,1
2016-03-05,0,9,1
2016-03-06,0,10,2
2016-03-07,0,29,0
2016-03-08,0,24,0
2016-03-09,0,6,0
2016-03-10,0,9,0
2016-03-11,0,7,2
2016-03-12,2,12,4
2016-03-13,0,9,4
2016-03-14,1,11,0
2016-03-15,0,17,0
2016-03-16,0,6,3
2016-03-17,0,7,1
2016-03-18,0,11,1
2016-03-19,0,4,0
2016-03-20,2,4,1
2016-03-21,0,5,1
2016-03-22,2,7,0
2016-03-23,0,8,0
2016-03-24,0,10,0
2016-03-25,0,8,0
2016-03-26,0,27,0
2016-03-27,0,20,0
2016-03-28,0,10,0
2016-03-29,0,3,0
2016-03-30,0,18,1
2016-03-31,0,3,0
2016-04-01,0,24,4
2016-04-02,0,4,0
2016-04-03,0,10,0
2016-04-04,0,3,1
2016-04-05,0,1,0
2016-04-06,0,13,0
2016-04-07,0,29,6
2016-04-08,0,5,0
2016-04-09,0,23,0
2016-04-10,0,17,7
2016-04-11,0,14,3
2016-04-12,1,20,0
2016-04-13,0,25,0
2016-04-14,0,5,2
2016-04-15,0,1,0
2016-04-16,0,8,1
2016-04-17,0,9,1
2016-04-18,0,5,7
2016-04-19,0,7,0
2016-04-20,0,9,0
2016-04-21,0,13,1
2016-04-22,0,10,0
2016-04-23,0,11,4
2016-04-24,0,6,4
2016-04-25,0,2,0
2016-04-26,0,7,0
2016-04-27,0,1,22
2016-04-28,1,16,2
2016-04-29,1,3,1
2016-04-30,0,1,1
2016-05-01,0,0,0
2016-05-02,0,3,0
2016-05-03,1,3,3
2016-05-04,0,14,3
2016-05-05,0,1,0
2016-05-06,0,0,4
2016-05-07,0,26,0
2016-05-08,0,10,3
2016-05-09,0,9,0
2016-05-10,0,14,0
2016-05-11,0,7,2
2016-05-12,0,12,0
2016-05-13,0,7,0
2016-05-14,0,12,0
2016-05-15,0,7,0
2016-05-16,0,2,0
2016-05-17,0,7,5
2016-05-18,0,0,3
2016-05-19,0,8,4
2016-05-20,0,9,2
2016-05-21,1,42,2
2016-05-22,0,9,1
2016-05-23,0,5,0
2016-05-24,0,12,0
2016-05-25,0,5,0
2016-05-26,0,4,2
2016-05-27,0,3,0
2016-05-28,0,4,0
2016-05-29,0,15,4
2016-05-30,0,3,0
2016-05-31,0,4,8
2016-06-01,0,2,0
2016-06-02,0,18,0
2016-06-03,0,2,3
2016-06-04,0,1,1
2016-06-05,0,7,0
2016-06-06,0,3,2
2016-06-07,0,7,5
2016-06-08,0,7,4
2016-06-09,0,10,1
2016-06-10,0,12,3
2016-06-11,0,5,2
2016-06-12,0,19,4
2016-06-13,0,5,7
2016-06-14,0,5,6
2016-06-15,0,9,4
2016-06-16,0,0,0
2016-06-17,0,0,7
2016-06-18,0,14,0
2016-06-19,0,1,1
2016-06-20,0,9,11
2016-06-21,0,5,0
2016-06-22,0,7,0
2016-06-23,0,4,0
2016-06-24,0,3,0
2016-06-25,0,30,3
2016-06-26,0,5,2
2016-06-27,0,3,0
2016-06-28,0,6,2
2016-06-29,0,4,7
2016-06-30,0,11,0
2016-07-01,0,5,0
2016-07-02,0,20,0
2016-07-03,0,3,3
2016-07-04,0,4,3
2016-07-05,0,2,5
2016-07-06,0,2,4
2016-07-07,0,5,0
2016-07-08,1,7,0
2016-07-09,0,1,0
2016-07-10,0,4,0
2016-07-11,0,7,0
2016-07-12,0,9,0
2016-07-13,0,17,0
2016-07-14,0,10,1
2016-07-15,0,2,2
2016-07-16,0,9,0
2016-07-17,0,20,0
2016-07-18,0,2,0
2016-07-19,0,2,0
2016-07-20,0,13,3
2016-07-21,0,10,0
2016-07-22,0,2,0
2016-07-23,0,13,2
2016-07-24,0,1,0
2016-07-25,0,2,0
2016-07-26,0,8,3
2016-07-27,0,0,1
2016-07-28,0,10,6
2016-07-29,0,10,3
2016-07-30,0,9,0
2016-07-31,0,22,0
2016-08-01,0,13,2
2016-08-02,0,10,4
2016-08-03,0,5,0
2016-08-04,0,2,4
2016-08-05,0,4,2
2016-08-06,0,0,0
2016-08-07,0,2,0
2016-08-08,0,14,0
2016-08-09,0,16,2
2016-08-10,0,16,2
2016-08-11,0,9,1
2016-08-12,0,7,2
2016-08-13,0,15,0
2016-08-14,0,10,1
2016-08-15,0,5,0
2016-08-16,0,15,0
2016-08-17,0,19,0
2016-08-18,0,47,1
2016-08-19,0,15,0
2016-08-20,0,20,0
2016-08-21,0,15,1
2016-08-22,0,6,0
2016-08-23,0,11,0
2016-08-24,0,21,0
2016-08-25,0,18,5
2016-08-26,0,14,7
2016-08-27,0,14,0
2016-08-28,0,10,4
2016-08-29,0,10,0
2016-08-30,1,10,0
2016-08-31,0,8,0
2016-09-01,0,17,0
2016-09-02,0,36,1
2016-09-03,0,15,0
2016-09-04,1,21,0
2016-09-05,0,27,1
2016-09-06,0,18,0
2016-09-07,0,20,0
2016-09-08,0,6,3
2016-09-09,0,13,0
2016-09-10,0,4,0
2016-09-11,0,23,0
2016-09-12,0,17,0
2016-09-13,0,24,1
2016-09-14,0,23,1
2016-09-15,0,6,0
2016-09-16,0,2,1
2016-09-17,0,1,5
2016-09-18,0,19,1
2016-09-19,0,4,2
2016-09-20,0,13,1
2016-09-21,0,24,3
2016-09-22,0,2,0
2016-09-23,0,14,4
2016-09-24,0,9,2
2016-09-25,0,4,0
2016-09-26,0,1,2
2016-09-27,0,7,1
2016-09-28,0,6,0
2016-09-29,0,19,5
2016-09-30,0,24,9
2016-10-01,0,20,0
2016-10-02,0,17,2
2016-10-03,0,6,0
2016-10-04,0,19,0
2016-10-05,0,31,0
2016-10-06,0,2,1
2016-10-07,0,5,0
2016-10-08,0,23,0
2016-10-09,0,6,7
2016-10-10,0,4,9
2016-10-11,0,26,11
2016-10-12,1,9,7
2016-10-13,0,12,2
2016-10-14,0,14,1
2016-10-15,0,9,1
2016-10-16,0,14,0
2016-10-17,0,6,1
2016-10-18,1,15,0
2016-10-19,0,6,1
2016-10-20,0,7,3
2016-10-21,0,6,4
2016-10-22,0,21,0
2016-10-23,0,2,0
2016-10-24,0,17,0
2016-10-25,0,21,4
2016-10-26,0,6,1
2016-10-27,0,16,0
2016-10-28,0,8,3
2016-10-29,0,19,0
2016-10-30,0,10,0
2016-10-31,0,11,0
2016-11-01,0,4,0
2016-11-02,0,10,1
2016-11-03,0,17,25
2016-11-04,0,12,3
2016-11-05,0,18,0
2016-11-06,0,15,2
2016-11-07,0,16,3
2016-11-08,0,3,7
2016-11-09,0,12,4
2016-11-10,0,3,9
2016-11-11,0,31,1
2016-11-12,0,2,0
2016-11-13,0,7,0
2016-11-14,1,8,4
2016-11-15,0,17,2
2016-11-16,0,8,10
2016-11-17,0,6,4
2016-11-18,0,18,3
2016-11-19,0,13,1
2016-11-20,0,8,0
2016-11-21,0,9,1
2016-11-22,0,23,2
2016-11-23,0,28,4
2016-11-24,0,12,1
2016-11-25,0,5,1
2016-11-26,0,1,1
2016-11-27,0,13,1
2016-11-28,0,15,1
2016-11-29,0,6,0
2016-11-30,0,9,0
2016-12-01,0,6,1
2016-12-02,0,17,0
2016-12-03,0,14,0
2016-12-04,0,41,1
2016-12-05,0,6,2
2016-12-06,0,24,1
2016-12-07,0,16,3
2016-12-08,0,4,0
2016-12-09,0,7,1
2016-12-10,0,2,0
2016-12-11,0,12,0
2016-12-12,0,18,0
2016-12-13,0,7,0
2016-12-14,0,8,0
2016-12-15,0,5,0
2016-12-16,0,22,2
2016-12-17,0,13,0
2016-12-18,0,18,0
2016-12-19,0,5,0
2016-12-20,0,4,3
2016-12-21,0,9,0
2016-12-22,0,5,3
2016-12-23,0,2,1
2016-12-24,0,0,0
2016-12-25,0,0,0
2016-12-26,0,9,0
2016-12-27,0,5,0
2016-12-28,0,3,0
2016-12-29,0,5,0
2016-12-30,0,2,0
2016-12-31,0,2,0
2017-01-01,0,2,8
2017-01-02,0,9,0
2017-01-03,0,20,0
2017-01-04,0,9,4
2017-01-05,2,16,2
2017-01-06,0,1,12
2017-01-07,0,4,0
2017-01-08,0,7,7
2017-01-09,0,14,9
2017-01-10,0,5,2
2017-01-11,0,9,10
2017-01-12,0,4,1
2017-01-13,0,7,2
2017-01-14,0,26,4
2017-01-15,0,21,1
2017-01-16,0,6,4
2017-01-17,0,37,2
2017-01-18,0,10,3
2017-01-19,0,15,6
2017-01-20,4,17,0
2017-01-21,0,22,2
2017-01-22,0,6,0
2017-01-23,0,10,3
2017-01-24,0,10,5
2017-01-25,0,31,3
2017-01-26,0,11,1
2017-01-27,0,17,4
2017-01-28,1,19,2
2017-01-29,0,5,0
2017-01-30,0,14,2
2017-01-31,0,13,0
2017-02-01,0,12,0
2017-02-02,0,32,1
2017-02-03,2,12,0
2017-02-04,0,4,0
2017-02-05,1,6,0
2017-02-06,1,8,0
2017-02-07,5,18,5
2017-02-08,0,18,7
2017-02-09,0,19,1
2017-02-10,0,17,1
2017-02-11,0,30,0
2017-02-12,0,33,0
2017-02-13,0,20,1
2017-02-14,0,22,1
2017-02-15,0,25,2
2017-02-16,0,13,4
2017-02-17,0,8,0
2017-02-18,0,12,0
2017-02-19,0,9,0
2017-02-20,0,12,1
2017-02-21,0,16,0
2017-02-22,1,11,2
2017-02-23,0,19,0
2017-02-24,0,13,0
2017-02-25,0,28,0
2017-02-26,0,9,0
2017-02-27,0,17,1
2017-02-28,0,7,5
2017-03-01,0,20,5
2017-03-02,0,26,5
2017-03-03,0,16,3
2017-03-04,0,12,0
2017-03-05,2,20,0
2017-03-06,0,3,16
2017-03-07,0,7,0
2017-03-08,0,13,4
2017-03-09,0,13,6
2017-03-10,0,23,3
2017-03-11,0,18,0
2017-03-12,0,4,9
2017-03-13,2,16,0
2017-03-14,1,13,0
2017-03-15,2,8,0
2017-03-16,0,30,1
2017-03-17,0,6,1
2017-03-18,0,5,0
2017-03-19,0,7,0
2017-03-20,0,7,0
2017-03-21,0,5,0
2017-03-22,0,7,0
2017-03-23,0,6,4
2017-03-24,0,14,1
2017-03-25,0,6,0
2017-03-26,0,8,0
2017-03-27,0,8,0
2017-03-28,0,4,0
2017-03-29,0,6,2
2017-03-30,0,8,0
2017-03-31,0,7,0
2017-04-01,0,7,0
2017-04-02,0,5,0
2017-04-03,0,9,0
2017-04-04,0,13,0
2017-04-05,0,9,1
2017-04-06,0,7,2
2017-04-07,0,11,4
2017-04-08,0,21,0
2017-04-09,0,11,1
2017-04-10,0,8,12
2017-04-11,0,23,2
2017-04-12,0,13,5
2017-04-13,1,7,2
2017-04-14,3,9,0
2017-04-15,1,1,0
2017-04-16,0,21,3
2017-04-17,2,3,0
2017-04-18,0,14,1
2017-04-19,0,13,1
2017-04-20,0,13,1
2017-04-21,0,8,8
2017-04-22,0,20,2
2017-04-23,0,10,2
2017-04-24,0,16,1
2017-04-25,0,21,1
2017-04-26,0,8,1
2017-04-27,0,22,0
2017-04-28,0,14,0
2017-04-29,0,10,0
2017-04-30,0,23,0
2017-05-01,0,10,0
2017-05-02,0,14,0
2017-05-03,0,20,10
2017-05-04,0,15,0
2017-05-05,0,23,6
2017-05-06,0,6,0
2017-05-07,0,24,0
2017-05-08,0,6,1
2017-05-09,0,6,1
2017-05-10,0,13,4
2017-05-11,0,7,10
2017-05-12,0,10,6
2017-05-13,0,12,1
2017-05-14,0,2,0
2017-05-15,0,8,8
2017-05-16,0,6,0
2017-05-17,0,12,0
2017-05-18,0,10,0
2017-05-19,1,10,2
2017-05-20,0,11,2
2017-05-21,0,6,0
2017-05-22,0,15,4
2017-05-23,0,11,4
2017-05-24,0,5,12
2017-05-25,0,2,0
2017-05-26,0,9,2
2017-05-27,0,0,0
2017-05-28,0,1,0
2017-05-29,0,12,0
2017-05-30,0,8,0
2017-05-31,0,4,1
2017-06-01,0,0,0
2017-06-02,0,22,0
2017-06-03,0,14,0
2017-06-04,0,4,0
2017-06-05,0,24,9
2017-06-06,0,2,1
2017-06-07,0,7,0
2017-06-08,0,12,0
2017-06-09,0,16,1
2017-06-10,0,4,0
2017-06-11,0,5,0
2017-06-12,0,7,0
2017-06-13,0,8,2
2017-06-14,0,3,3
2017-06-15,0,6,0
2017-06-16,0,16,3
2017-06-17,0,27,0
2017-06-18,0,6,1
2017-06-19,0,8,0
2017-06-20,0,9,0
2017-06-21,0,18,0
2017-06-22,0,13,2
2017-06-23,0,3,5
2017-06-24,0,14,3
2017-06-25,0,8,0
2017-06-26,0,3,10
2017-06-27,0,8,10
2017-06-28,0,2,10
2017-06-29,0,5,8
2017-06-30,0,11,4
2017-07-01,0,21,4
2017-07-02,0,8,5
2017-07-03,0,9,6
2017-07-04,0,10,11
2017-07-05,0,15,2
2017-07-06,0,7,1
2017-07-07,0,31,1
2017-07-08,0,7,3
2017-07-09,0,2,4
2017-07-10,0,4,1
2017-07-11,0,18,0
2017-07-12,0,7,0
2017-07-13,0,8,0
2017-07-14,0,8,1
2017-07-15,0,1,0
2017-07-16,0,17,0
2017-07-17,0,11,0
2017-07-18,0,7,0
